Language	ISO 639-3	Glottocode	possessed	possessive_marker	possessor_marked
Skolt Sami	sms	skol1241	True	True	False
Sirajic	NOCODE_Sirajic	sira1263	True	True	False
Sipacapense	qum	sipa1247	True	True	False
Shipibo-Conibo	shp	ship1254	True	True	False
Sherdukpen	sdp	sher1257	True	True	False
Shawi	cbt	chay1248	True	True	False
Shabo	sbf	shab1252	True	False	True
Senthang Chin	sez	sent1260	True	True	False
Selepet	spl	sele1250	True	True	False
Sekpele	lip	sekp1241	True	True	False
Seimat	ssg	seim1238	True	True	False
Sarikoli	srh	sari1246	True	False	True
Santa María Quiegolani Zapotec	zpi	sant1451	True	True	False
Saniyo-Hiyewe	sny	sani1270	True	False	True
San Francisco del Mar Huave	hue	sanf1258	True	True	False
San Dionisio del Mar Huave	hve	sand1278	True	True	False
Saliba	sbe	sali1295	True	True	False
Sakha	sah	yaku1245	True	True	False
Sahu	saj	sahu1245	True	False	True
Saaroa	sxr	saar1237	True	True	False
Sa'a	apb	saaa1240	True	True	False
Rundi	run	rund1242	True	True	False
Rotuman	rtm	rotu1241	True	True	False
Rotokas	roo	roto1249	True	True	False
Riuk Bekati'	bei	beka1241	True	True	False
Reta	ret	rett1240	True	True	False
Rennell-Bellona	mnv	renn1242	True	True	False
Rembong-Wangka	reb	remb1250	True	True	False
Rawa	rwo	rawa1267	True	True	False
Rapanui	rap	rapa1244	True	True	False
Rama	rma	rama1270	True	True	False
Rakahanga-Manihiki	rkh	raka1237	True	True	False
Qimant	ahg	qima1242	True	True	False
Qashqa'i	qxq	qash1240	True	True	False
Puma	pum	puma1239	True	True	False
Pouye	bye	pouy1238	True	True	False
Popti'	jac	popt1235	True	True	False
Pondi	lnm	lang1328	True	True	False
Piscataway	psy	pisc1239	True	True	False
Pirahã	myp	pira1253	True	True	False
Pilagá	plg	pila1245	True	True	False
Peve	lme	peve1243	True	True	False
Pero	pip	pero1241	True	True	False
Patpatar	gfk	patp1243	True	True	False
Pass Valley Yali	yac	pass1247	False	True	True
Parecís	pab	pare1272	True	False	True
Papuan Malay	pmy	papu1250	True	True	False
Paluai	blq	balu1257	True	True	False
Pahari Newari	phj	paha1257	True	True	False
Pagu	pgu	pagu1249	True	False	True
Paakantyi	drl	darl1243	True	True	False
Ot Danum	otd	otda1235	True	True	False
Oluta Popoluca	plo	olut1240	True	False	True
Olo	ong	oloo1241	True	False	True
Oksapmin	opm	oksa1245	True	True	False
Oko-Eni-Osayen	oks	okoe1238	True	True	False
Ogbia	ogb	ogbi1239	True	True	False
Obokuitai	afz	obok1239	True	True	False
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	True	True	False
Nzanyi	nja	nzan1240	True	True	False
Nyangbo	nyb	nyan1302	True	True	False
Nyang'i	nyp	nyan1313	True	True	False
Nungali	nug	nung1291	True	True	False
Nottoway	ntw	nott1246	True	True	False
Notsi	ncf	nots1237	True	True	False
Northwestern Ojibwa	ojb	nort2961	True	True	False
Northern Yukaghir	ykg	nort2745	True	True	False
Northern Qiang	cng	nort2722	True	True	False
Northern Pomo	pej	nort2966	True	True	False
Northern Pame	pmq	nort2984	True	False	True
Northern East Cree	crl	nort1552	True	False	True
North Tanna	tnn	nort2847	True	True	False
North Slavey	scs	nort2942	True	True	False
North Moluccan Malay	max	nort2828	True	True	False
North Ambrym	mmg	nort2839	True	True	False
Nopala Chatino	cya	nopa1235	True	True	False
Noone	nhu	noon1243	True	True	False
Nonuya	noj	nonu1241	True	True	False
Nkami	nkq	nkam1239	True	True	False
Niellim	nie	niel1243	True	True	False
Ngochang	NOCODE_Ngochang	ngoc1235	True	True	False
Ngiti	niy	ngit1239	True	True	False
Ngarinyin	ung	ngar1284	True	True	False
Ngarinman	nbj	ngar1235	True	False	True
Nganasan	nio	ngan1291	True	True	False
Neve'ei	vnm	vinm1237	True	True	False
Nese	NOCODE_Nese	nese1235	True	True	False
Nehan	nsn	neha1247	True	True	False
Nedebang	nec	nede1245	True	True	False
Nawuri	naw	nawu1242	True	True	False
Narim	loh	nari1240	True	True	False
Nanti	cox	nant1250	True	True	False
Nandi	niq	nand1266	True	True	False
Nanai	gld	nana1257	True	True	False
Namuyi	nmy	namu1246	True	True	False
Naman	lzl	litz1237	True	True	False
Namakura	nmk	nama1268	True	True	False
Nalik	nal	nali1244	True	True	False
Nakara	nck	naka1260	True	True	False
Nakanai	nak	naka1262	True	True	False
Nahavaq	sns	sout2857	True	True	False
Nabak	naf	naba1256	True	True	False
Mwaghavul	sur	mwag1236	True	True	False
Mussau-Emira	emi	muss1246	True	True	False
Murui Huitoto	huu	muru1274	True	True	False
Muna	mnb	muna1247	True	True	False
Muduapa	wiv	mudu1242	True	True	False
Mualang	mtd	mual1241	True	True	False
Mpade	mpi	mpad1242	True	True	False
Movima	mzp	movi1243	True	True	False
Mountain Koiali	kpx	moun1252	True	True	False
Montagnais	moe	mont1268	True	True	False
Mono-Alu	mte	mono1273	True	True	False
Mongghul	mjg	huzh1238	True	True	False
Momu-Fas	fqs	fass1245	True	True	False
Mombo Dogon	dmb	momb1254	True	False	True
Mokilese	mkj	moki1238	True	True	False
Moken	mwt	moke1242	True	False	True
Mok	mqt	mokk1243	True	True	False
Mocoví	moc	moco1246	True	True	False
Mocho	mhc	moch1257	True	True	False
Minigir	vmg	mini1251	True	True	False
Min Bei Chinese	mnp	minb1244	True	True	False
Miluk	iml	milu1241	True	True	False
Mikasuki	mik	mika1239	True	True	False
Michoacán Nahuatl	ncl	mich1245	True	True	False
Michif	crg	mich1243	True	True	False
Miami	mia	miam1252	True	False	True
Meyah	mej	meya1236	True	False	True
Mewari	mtr	mewa1249	True	True	False
Mehek	nux	mehe1243	True	True	False
Mayogo	mdm	mayo1261	True	True	False
Maybrat-Karon	ayz	maib1239	True	True	False
Mauwake	mhl	mauw1238	True	True	False
Mato	met	mato1252	True	True	False
Maskelynes	klv	mask1242	True	True	False
Martuthunira	vma	mart1255	True	True	False
Marithiel	mfr	mari1424	True	False	True
Marik	dad	mari1428	True	True	False
Maragus	mrs	mara1399	True	True	False
Mape	mlh	mape1249	True	True	False
Maonan	mmd	maon1241	True	True	False
Mangghuer	NOCODE_Mangghuer	minh1238	True	True	False
Mangarayi	mpc	mang1381	True	True	False
Manda-Matumba	mgs	mand1423	True	True	False
Manambu	mle	mana1298	True	True	False
Mamanwa	mmn	mama1275	True	False	True
Mamaindé	wmd	mama1278	True	True	False
Mam	mam	mamm1241	True	True	False
Maleu-Kilenge	mgl	male1289	True	True	False
Malay, Manado	xmm	mala1481	True	True	False
Makasar	mak	maka1311	True	True	False
Makasae-Makalero	mkz	maka1316	True	True	False
Majang	mpe	maja1242	True	True	False
Mafea	mkv	mafe1237	True	True	False
Maco	wpc	maco1239	True	True	False
Maay	ymm	maay1238	True	True	False
Ma Manda	skc	sauk1252	True	False	True
Lunda	lun	lund1266	True	False	True
Lou	loj	louu1245	True	True	False
Lopit	lpx	lopi1242	True	True	False
Loniu	los	loni1238	True	True	False
Lolopo	ycl	lolo1259	True	True	False
Limonese Creole	qlm	limo1249	True	True	False
