Language	ISO 639-3	Glottocode	case_marker	case_prefix	case_suffix	comitative	instrumental	locative
Nara	nrb	nara1262	True	False	True	True	True	True
Nar Phu	npa	narp1239	True	False	True	True	True	True
Nangikurrunggurr	nam	nang1259	True	False	True	True	True	True
Nabak	naf	naba1256	True	False	True	True	True	True
Muruwari	zmu	muru1266	True	False	True	True	True	True
Mursi	muz	murs1242	True	False	True	True	True	True
Muklom	NOCODE_Muklom	mukl1234	True	False	True	True	True	True
Mongolia Buriat	bxm	mong1330	True	False	True	True	True	True
Mongghul	mjg	huzh1238	True	False	True	True	True	True
Mohave	mov	moha1256	True	False	True	True	True	True
Martuthunira	vma	mart1255	True	False	True	True	True	True
Martu Wangka	mpj	mart1256	True	False	True	True	True	True
Mara	mec	mara1385	False	True	True	True	True	True
Mangarayi	mpc	mang1381	True	True	True	False	True	True
Mangala	mem	mang1383	True	False	True	True	True	True
Manambu	mle	mana1298	True	False	True	True	True	True
Male (Ethiopia)	mdy	male1284	True	False	True	True	True	True
Majhi	mjz	majh1253	True	False	True	True	True	True
Madngele	zml	madn1237	True	False	True	True	True	True
Lezghian	lez	lezg1247	True	False	True	True	True	True
Lamjung-Melamchi Yolmo	scp	hela1238	True	False	True	True	True	True
Kxoe	xuu	kxoe1243	True	False	True	True	True	True
Kurtokha	xkz	kurt1248	True	False	True	True	True	True
Kurrama	vku	kurr1243	True	False	True	True	True	True
Kuikúro-Kalapálo	kui	kuik1246	True	False	True	True	True	True
Kotiria	gvc	guan1269	True	False	True	True	True	True
Kipsigis	sgc	kips1239	True	False	True	True	True	True
Kilmeri	kih	kilm1241	True	False	True	True	True	True
Kilen	NOCODE_Kilen	kile1243	True	False	True	True	True	True
Kharam Naga	kfw	khar1288	True	False	True	True	True	True
Ket	ket	kett1243	True	False	True	True	True	True
Kayardild	gyd	kaya1319	True	False	True	True	True	True
Kashaya	kju	kash1280	True	False	True	True	True	True
Karata	kpt	kara1474	True	False	True	True	True	True
Karadjeri	gbd	kara1476	True	False	True	True	True	True
Kamu	xmu	kamu1258	True	False	True	True	True	True
Kambaata	ktb	kamb1316	True	False	True	True	True	True
Kalo Finnish Romani	rmf	kalo1256	True	False	True	True	True	True
Kachama-Ganjule-Haro	kcx	kach1284	True	False	True	True	True	True
Kabikabi	gbw	kabi1260	True	False	True	True	True	True
Jerung	jee	jeru1240	True	False	True	True	True	True
Jaru	ddj	jaru1254	True	False	True	True	True	True
Indo-Aryan Kinnauri	kjo	hari1246	True	False	True	True	True	True
Imonda	imn	imon1245	True	False	True	True	True	True
Ikaranggal	ikr	ikar1243	True	False	True	True	True	True
Iatmul	ian	iatm1242	True	False	True	True	True	True
Hup	jup	hupd1244	True	False	True	True	True	True
Hungarian	hun	hung1274	True	False	True	True	True	True
Humburi Senni Songhay	hmb	humb1243	True	False	True	True	True	True
Huarijio	var	huar1255	True	False	True	True	True	True
Hozo	hoz	hozo1236	True	False	True	True	True	True
Hinuq	gin	hinu1240	True	False	True	True	True	True
Hadiyya	hdy	hadi1240	True	False	True	True	True	True
Gurinji	gue	guri1247	True	False	True	True	True	True
Guragone	gge	gura1252	False	True	True	True	True	True
Gujari	gju	guja1253	True	False	True	True	True	True
Gooniyandi	gni	goon1238	True	False	True	True	True	True
Gofa	gof	gofa1235	True	False	True	True	True	True
Garawa	wrk	gara1269	True	False	True	True	True	True
Gamo	gmv	gamo1243	True	False	True	True	True	True
Forest Enets	enf	fore1265	True	False	True	True	True	True
Even	eve	even1260	True	False	True	True	True	True
Eudeve	NOCODE_Eudeve	eude1234	True	False	True	True	True	True
Ese Ejja	ese	esee1248	True	False	True	True	True	True
Eipomek	eip	eipo1242	True	False	True	True	True	True
Edolo	etr	edol1239	True	False	True	True	True	True
Eastern Arrernte	aer	east2379	True	False	True	True	True	True
Dura	drq	dura1244	True	False	True	True	True	True
Dungar Varli	vav	varl1238	True	False	True	True	True	True
Duhumbi	cvg	chug1252	True	False	True	True	True	True
Dongxiang	sce	dong1285	True	False	True	True	True	True
Dolgan	dlg	dolg1241	True	False	True	True	True	True
Djingili	jig	djin1251	True	False	True	True	True	True
Dime	dim	dime1235	True	False	True	True	True	True
Dhuwal	duj	dhuw1249	True	False	True	True	True	True
Dhimal	dhi	dhim1246	True	False	True	True	True	True
Dera (Indonesia)	kbv	dera1245	True	False	True	True	True	True
Darai	dry	dara1250	True	False	True	True	True	True
Dameli	dml	dame1241	True	False	True	True	True	True
Dagur	dta	daur1238	True	False	True	True	True	True
Cocama-Cocamilla	cod	coca1259	True	False	True	True	True	True
Chácobo	cao	chac1251	True	False	True	True	True	True
Chuvash	chv	chuv1255	True	False	True	True	True	True
Chulym Turkic	clw	chul1246	True	False	True	True	True	True
Chukchi	ckt	chuk1273	True	False	True	True	True	True
Chintang	ctn	chhi1245	True	False	True	True	True	True
China Buriat	bxu	chin1476	True	False	True	True	True	True
Chickasaw	cic	chic1270	True	False	True	True	True	True
Chepang	cdm	chep1245	True	False	True	True	True	True
Central Romani	rmc	carp1235	True	False	True	True	True	True
Central Mansi	NOCODE_Central-Mansi	cent2322	True	False	True	True	True	True
Cavineña	cav	cavi1250	True	False	True	True	True	True
Camsá	kbh	cams1241	True	False	True	True	True	True
Burji	bji	burj1242	True	False	True	True	True	True
Bo-Ung	mux	boun1245	True	False	True	True	True	True
Bilin	byn	bili1260	True	False	True	True	True	True
Bhoti Kinnauri	nes	bhot1235	True	False	True	True	True	True
Betta Kurumba	xub	bett1235	True	False	True	True	True	True
Betoi-Jirara	NOCODE_Betoi	beto1236	True	False	True	True	True	True
Bench	bcq	benc1235	True	False	True	True	True	True
Basque	eus	basq1248	True	False	True	True	True	True
Baré	bae	bare1276	True	False	True	True	True	True
Bardi	bcj	bard1255	True	False	True	True	True	True
Bambassi	myf	bamb1262	True	False	True	True	True	True
Badimaya	bia	badi1246	True	False	True	True	True	True
Awngi	awn	awng1244	True	False	True	True	True	True
Awetí	awe	awet1244	True	False	True	True	True	True
Awa-Cuaiquer	kwi	awac1239	True	False	True	True	True	True
Athpariya	aph	athp1241	True	False	True	True	True	True
Archi	aqc	arch1244	True	False	True	True	True	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	False	True	True	True	True
Anindilyakwa	aoi	anin1240	True	False	True	True	True	True
Anamuxra	imi	anam1248	True	False	True	True	True	True
Amur Nivkh	niv	gily1242	True	False	True	True	True	True
Alutor	alr	alut1245	True	False	True	True	True	True
Alamblak	amp	alam1246	True	False	True	True	True	True
Alabama	akz	alab1237	True	False	True	True	True	True
Alaba-K'abeena	alw	alab1254	True	False	True	True	True	True
Aimele	ail	aime1238	True	False	True	True	True	True
Aguaruna	agr	agua1253	True	False	True	True	True	True
Aghwan	xag	aghw1237	True	False	True	True	True	True
