Language	ISO 639-3	Glottocode	case_marker	case_prefix	case_suffix	comitative	instrumental	locative
Sekpele	lip	sekp1241	True	False	False	True	False	True
Seke (Vanuatu)	ske	seke1241	False	False	False	True	True	True
Sebat Bet Gurage	sgw	seba1251	False	False	False	True	True	True
Savi	sdg	savi1242	False	False	True	False	True	True
Sauria Paharia	mjt	saur1249	True	False	False	False	True	True
Saurashtra	saz	saur1248	False	False	True	False	True	True
Sarsi	srs	sars1236	False	False	False	True	True	True
Sarikoli	srh	sari1246	False	False	False	True	True	True
Sara Kaba Náà	kwv	sara1321	False	False	False	True	True	True
San Miguel El Grande Mixtec	mig	sanm1295	False	False	False	True	True	True
San Martín Quechua	qvs	sanm1289	True	False	True	False	False	True
San Dionisio del Mar Huave	hve	sand1278	False	False	False	True	True	True
Sambalpuri	spv	samb1325	True	False	False	False	True	True
Samba Daka	ccg	samb1311	False	False	False	True	True	True
Saliba	sbe	sali1295	False	False	False	True	True	True
Sajalong	sjl	saja1240	False	False	True	False	True	True
Sacapulteco	quv	saca1238	False	False	False	True	True	True
Saamia	lsm	saam1283	False	False	False	True	True	True
Ruuli	ruc	ruul1235	False	False	False	True	True	True
Rutul	rut	rutu1240	False	False	False	True	True	True
Rundi	run	rund1242	False	False	False	True	True	True
Rongmei Naga	nbu	rong1266	False	False	True	False	True	True
Romblomanon	rol	romb1245	True	False	False	False	True	True
Romansh	roh	roma1326	False	False	False	True	True	True
Reta	ret	rett1240	False	False	False	True	True	True
Rennell-Bellona	mnv	renn1242	False	False	False	True	True	True
Rengao	ren	reng1252	True	False	False	True	True	False
Rembong-Wangka	reb	remb1250	False	False	False	True	True	True
Rawang	raw	rawa1265	True	False	False	False	True	True
Raute	rau	raut1239	True	False	False	False	True	True
Qaqet	byx	qaqe1238	False	False	False	True	True	True
Principense	pre	prin1242	False	False	False	True	True	True
Pottangi Ollar Gadaba	gdb	pott1240	False	False	True	False	True	True
Poqomam	poc	poqo1253	False	False	False	True	True	True
Popti'	jac	popt1235	True	False	False	False	True	True
Pondi	lnm	lang1328	False	False	False	True	True	True
Pnar	pbv	pnar1238	True	False	False	False	True	True
Pitta Pitta	pit	pitt1247	False	False	True	False	True	True
Pitjantjatjara	pjt	pitj1243	True	False	False	False	True	True
Pirahã	myp	pira1253	False	False	False	True	True	True
Pimbwe	piw	pimb1238	False	False	False	True	True	True
Pichi	fpe	fern1234	False	False	False	True	True	True
Piapoco	pio	piap1246	True	False	False	False	True	True
Phom Naga	nph	phom1236	True	False	False	False	True	True
Phake	phk	phak1238	True	False	False	False	True	True
Pazeh	pzh	kulo1237	True	False	False	False	True	True
Pawnee	paw	pawn1254	False	False	False	True	True	True
Papuan Malay	pmy	papu1250	False	False	False	True	True	True
Paisaci Prakrit	qpp	pais1238	False	False	True	False	True	True
Paama	pma	paam1238	True	False	False	False	True	True
Pa'a	pqa	paaa1242	False	False	False	True	True	True
Osage	osa	osag1243	False	False	False	True	True	True
Orowe	bpk	orow1242	False	False	False	True	True	True
Oroko	bdu	orok1266	False	False	False	True	True	True
Orok	oaa	orok1265	False	False	False	True	True	True
Oriya	ory	oriy1255	True	False	False	False	True	True
Ongota	bxe	bira1253	True	False	False	False	True	True
Omagua	omg	omag1248	False	False	False	True	True	True
Oluta Popoluca	plo	olut1240	False	False	False	True	True	True
Old Tamil	oty	oldt1248	True	False	False	False	True	True
Old Saxon	osx	olds1250	False	False	True	False	True	True
Old Prussian	prg	prus1238	False	False	True	False	True	True
Old Marathi	omr	oldm1244	False	False	True	False	True	True
Old Khmer	qok	oldk1249	False	False	False	True	True	True
Old Japanese	ojp	oldj1239	True	False	False	True	False	True
Old Georgian	oge	oldg1234	True	False	False	False	True	True
Oksapmin	opm	oksa1245	True	False	False	True	True	False
Oko-Eni-Osayen	oks	okoe1238	False	False	False	True	True	True
Oki-No-Erabu	okn	okin1246	True	False	False	True	False	True
Oirad-Kalmyk-Darkhat	xal	kalm1243	False	False	False	True	True	True
Odoodee	kkc	odoo1238	True	False	False	False	True	True
Nzadi	nzd	nzad1234	False	False	False	True	True	True
Nyawaygi	nyt	nyaw1247	False	False	False	True	True	True
Nyangbo	nyb	nyan1302	False	False	False	True	True	True
Nyangatom	nnj	nyan1315	False	False	False	True	True	True
Northwestern Ojibwa	ojb	nort2961	False	False	False	True	True	True
Northwest Sahaptin	yak	yaki1237	False	False	True	False	True	True
Northern Tujia	tji	nort2732	False	False	False	True	True	True
Northern Tepehuan	ntp	nort2959	False	False	False	True	True	True
Northern Subanen	stb	nort2885	True	False	False	False	True	True
Northern Qiang	cng	nort2722	False	False	False	True	True	True
Northern Pumi	pmi	nort2723	False	False	False	True	True	True
Northern Pomo	pej	nort2966	True	False	True	False	True	False
Northern Dagara	dgi	nort2780	False	False	False	True	True	True
Northern Alta	aqn	nort2875	False	False	False	True	True	True
Northeastern Thai	tts	nort2741	True	False	False	False	True	True
Northeast Kiwai	kiw	nort2930	True	False	False	False	True	True
North-Central Talysh	tly	taly1247	True	False	False	False	True	True
North-Central Ju	knw	kung1261	False	False	False	True	True	True
North Junín Quechua	qvn	nort2980	False	False	True	False	True	True
North Ambrym	mmg	nort2839	False	False	False	True	True	True
Noone	nhu	noon1243	False	False	False	True	True	True
Noon	snf	noon1242	False	False	False	True	True	True
Nonuya	noj	nonu1241	False	False	False	True	True	True
Nomatsiguenga	not	noma1263	True	False	False	False	True	True
Nocte Naga	njb	noct1238	True	False	False	False	True	True
Nkami	nkq	nkam1239	False	False	False	True	True	True
Nizaa	sgi	suga1248	True	False	False	True	False	True
Ninde	mwi	labo1244	False	False	False	True	True	True
Ninam	shb	nina1238	False	False	False	True	True	True
Nigerian Pidgin	pcm	nige1257	False	False	False	True	True	True
Nicaragua Creole English	bzk	nica1252	False	False	False	True	True	True
Nias	nia	nias1242	False	False	False	True	True	True
Ngochang	NOCODE_Ngochang	ngoc1235	True	False	False	False	True	True
Ngiti	niy	ngit1239	False	False	False	True	True	True
Ngalkbun	ngk	ngal1292	False	False	False	True	True	True
Ngadjunmaya	nju	ngad1258	False	False	False	True	True	True
Neverver	lgk	ling1265	False	False	False	True	True	True
Nese	NOCODE_Nese	nese1235	False	False	False	True	True	True
Nend	anh	nend1239	True	False	False	False	True	True
Nek	nif	nekk1240	False	False	True	True	False	True
Ndali	ndh	ndal1241	False	False	False	True	True	True
Nawuri	naw	nawu1242	True	False	False	False	True	True
Nauete	nxa	naue1237	False	False	False	True	True	True
Nandi	niq	nand1266	False	False	False	True	True	True
Namuyi	nmy	namu1246	True	False	False	False	True	True
Namakura	nmk	nama1268	True	False	False	False	True	True
Nalik	nal	nali1244	False	False	False	True	True	True
Nahavaq	sns	sout2857	False	True	False	False	True	True
Mycenaean Greek	gmy	myce1241	False	False	False	True	True	True
Mwotlap	mlv	motl1237	False	False	False	True	True	True
Mwaghavul	sur	mwag1236	True	False	False	False	True	True
Muyang	muy	muya1243	False	False	False	True	True	True
Mutsun	css	muts1243	False	False	False	True	True	True
Muthuvan	muv	muth1236	False	False	True	False	True	True
Mungbam	mij	abar1238	False	False	False	True	True	True
Mundabli	boe	mund1328	False	False	False	True	True	True
Mullukmulluk	mpb	mull1237	False	False	False	True	True	True
Muduga	udg	mudu1239	True	False	False	False	True	True
Mudhili Gadaba	gau	mudh1235	True	False	False	False	True	True
Mpoto	mpa	mpot1240	False	False	False	True	True	True
Movima	mzp	movi1243	True	False	False	False	True	True
Moskona	mtj	mosk1236	False	False	False	True	True	True
Morelos Nahuatl	nhm	more1259	False	False	True	False	True	True
Montagnais	moe	mont1268	True	False	True	False	False	True
Mono (USA)	mnr	mono1275	False	False	True	False	True	True
Molmo One	aun	molm1235	True	False	False	False	True	True
Molale	mbe	mola1238	False	False	True	False	True	True
Mokpwe	bri	mokp1239	False	True	False	True	False	True
Moken	mwt	moke1242	True	False	False	False	True	True
Mochica	omc	moch1259	False	False	True	False	True	True
Mizo	lus	lush1249	True	False	False	False	True	True
Miyako	mvi	miya1259	True	False	False	False	True	True
Miriwung	mep	miri1266	False	False	False	True	True	True
Minangkabau	min	mina1268	True	False	False	True	False	True
Min Bei Chinese	mnp	minb1244	False	False	False	True	True	True
Miluk	iml	milu1241	True	False	False	False	True	True
Midob	mei	mido1240	True	False	True	False	False	True
Middle Mongol	xng	midd1351	False	False	False	True	True	True
Middle Clarence	bdy	midd1357	False	False	True	False	True	True
Mewari	mtr	mewa1249	True	False	False	False	True	True
Mesqan	mvz	mesq1240	False	False	False	True	True	True
Merei	lmb	mere1242	False	False	False	True	True	True
Menya	mcr	meny1245	True	False	False	False	True	True
Mbre	mka	mbre1244	False	False	False	True	True	True
Maybrat-Karon	ayz	maib1239	False	False	False	True	True	True
Mauwake	mhl	mauw1238	False	False	False	True	True	True
Masbatenyo	msb	masb1238	True	False	False	False	True	True
Marwari (India)	rwr	marw1260	True	False	False	False	True	True
Markweeta	enb	mark1255	False	False	False	True	True	True
Marind	mrz	nucl1622	False	False	False	True	True	True
Marghi Central	mrt	marg1265	False	False	True	False	True	True
Maram Naga	nma	mara1379	False	False	True	False	True	True
Maraghei	vmh	mara1373	True	False	False	False	True	True
Mapudungun	arn	mapu1245	False	False	False	True	True	True
Maonan	mmd	maon1241	True	False	False	False	True	True
Manus Koro	kxr	bowa1234	False	False	False	True	True	True
Mannan	mjv	mann1246	True	False	False	False	True	True
Manipuri	mni	mani1292	True	False	False	False	True	True
Mangaia-Old Rapa	ray	rapa1245	True	False	False	False	True	True
Mandaya	mry	kara1489	True	False	False	False	True	True
Mand	ate	atem1241	False	False	False	True	True	True
Mali	gcc	mali1284	False	False	False	True	True	True
Malgana	vml	malg1242	False	False	False	True	True	True
Malecite-Passamaquoddy	pqm	male1292	True	False	False	False	True	True
Malayo	mbp	mala1522	True	False	False	False	True	True
Malayalam	mal	mala1464	False	False	True	False	True	True
Malacca-Batavia Portuguese Creole	mcm	mala1533	False	False	False	True	True	True
Makhuwa-Saka	xsq	makh1266	False	False	False	True	True	True
Makasar	mak	maka1311	False	False	False	True	True	True
Majang	mpe	maja1242	True	False	False	False	True	True
Mairasi	zrs	nucl1594	True	False	False	False	True	True
Maipure-Avane	NOCODE_Maipure	maip1247	False	False	False	True	True	True
Maijiki	ore	orej1242	False	False	False	True	True	True
Maia	sks	maia1254	False	False	False	True	True	True
Mafea	mkv	mafe1237	False	False	False	True	True	True
Maasina Fulfulde	ffm	maas1239	False	False	False	True	True	True
Ma'di	mhi	madi1260	False	False	False	True	True	True
Ma'anyan	mhy	maan1238	False	False	False	True	True	True
Luwo	lwo	luwo1239	True	False	False	False	True	True
Lundayeh	lnd	lund1271	True	False	False	False	True	True
Lumun	lmd	lumu1239	False	False	False	True	True	True
Luiseno	lui	luis1253	False	False	True	False	True	True
Luguru	ruf	lugu1238	False	False	False	True	True	True
Luchazi	lch	luch1239	False	False	False	True	True	True
Lou	loj	louu1245	False	False	False	True	True	True
Longgu	lgu	long1395	False	False	False	True	True	True
Lolopo	ycl	lolo1259	False	False	False	True	True	True
Lizu	NOCODE_Lizu	lizu1234	True	False	False	False	True	True
Liv	liv	livv1244	False	False	False	True	True	True
Lisu	lis	lisu1250	True	False	False	False	True	True
Lishán Didán	trg	lish1246	False	False	False	True	True	True
Limos Kalinga	kmk	limo1248	True	False	False	False	True	True
Lewotobi	lwt	lewo1244	True	False	False	False	True	True
Leti (Indonesia)	lti	leti1246	False	False	False	True	True	True
Lengua Sur	enx	sout2989	False	False	False	True	True	True
Lengo	lgr	leng1259	False	False	False	True	True	True
Lenakel	tnl	lena1238	True	False	False	False	True	True
Lelepa	lpa	lele1267	False	False	False	True	True	True
Lele (Papua New Guinea)	lle	lele1270	True	False	False	True	False	True
Laz	lzz	lazz1240	True	False	False	False	True	True
Laven	lbo	lave1248	False	False	False	True	True	True
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	True	False	False	False	True	True
Lashi	lsi	lash1243	True	False	False	False	True	True
Lardil	lbz	lard1243	False	False	True	False	True	True
Langi	lag	lang1320	False	False	False	True	True	True
Lamkang	lmk	lamk1238	False	False	False	True	True	True
Lamang	hia	lama1288	False	False	False	True	True	True
Lamaholot	slp	lama1277	False	False	False	True	True	True
Lak	lbe	lakk1252	False	False	False	True	True	True
Labuk-Kinabatangan Kadazan	dtb	labu1249	False	False	False	True	True	True
Kyerung	kgy	kyer1238	True	False	False	False	True	True
Kwomtari	kwo	nucl1593	False	False	False	True	True	True
Kwini	gww	kwin1241	False	False	False	True	True	True
Kwakum	kwu	kwak1266	False	False	False	True	True	True
Kuy	kdt	kuyy1240	False	False	False	True	True	True
Kuvi	kxv	kuvi1243	False	False	True	False	True	True
Kutep	kub	kute1248	False	False	False	True	True	True
Kuria	kuj	kuri1259	False	True	False	False	True	True
Kupsabiny	kpz	kups1238	False	False	True	False	True	True
Kulsab	faj	fait1240	False	False	False	True	True	True
Kuku-Uwanh	uwa	kuku1280	True	False	False	True	False	True
Kui (Indonesia)	kvd	kuii1253	False	False	False	True	True	True
Kui (India)	kxu	kuii1252	False	False	True	False	True	True
Kuanyama	kua	kuan1247	False	False	False	True	True	True
Kuanua	ksd	kuan1248	False	False	False	True	True	True
Kriol	rop	krio1252	False	False	True	True	False	True
Koyraboro Senni Songhai	ses	koyr1242	False	False	False	True	True	True
Koyra Chiini Songhay	khq	koyr1240	False	False	False	True	True	True
Kove	kvc	kove1237	False	False	False	True	True	True
Koti	eko	koti1238	False	False	False	True	True	True
Koshin	kid	kosh1246	True	False	False	True	False	True
Koromfé	kfz	koro1298	False	False	False	True	True	True
Korlai Portuguese	vkp	korl1238	False	False	False	True	True	True
Korku	kfq	kork1243	False	False	True	False	True	True
Korafe-Yegha	kpr	kora1294	False	False	False	True	True	True
Konkan Marathi	knn	konk1267	False	False	True	False	True	True
Konda-Dora	kfc	kond1295	False	False	True	False	True	True
Konai	kxw	kona1242	True	False	False	False	True	True
Komi-Zyrian	kpv	komi1268	False	False	True	True	True	False
Kola	kvv	kola1285	True	False	False	False	True	True
Koko Dhawa	NOCODE_Koko-Dhawa	koko1272	False	False	False	True	True	True
Koda	cdz	koda1236	True	False	False	False	True	True
Kman	mxj	miju1243	False	False	True	True	False	True
Klamath-Modoc	kla	klam1254	False	False	True	False	True	True
Kituba (Democratic Republic of Congo)	ktu	kitu1246	False	False	False	True	True	True
Kistane	gru	kist1241	False	False	False	True	True	True
Kimaragang	kqr	kima1244	True	False	False	False	True	True
Khotanese	kho	khot1251	False	False	False	True	True	True
Khoibu	nkb	khoi1251	True	False	False	False	True	True
Khezha Naga	nkh	khez1235	True	False	False	False	True	True
Kharia	khr	khar1287	True	False	False	False	True	True
Khana	ogo	khan1278	False	False	False	True	True	True
Khams Tibetan	khg	kham1282	True	False	False	False	True	True
Kenuzi-Dongola	kzh	kenu1236	False	False	False	True	True	True
Keerak	hhr	kera1248	False	False	False	True	True	True
Ke'o	xxk	keoo1238	False	False	False	True	True	True
Kazakh	kaz	kaza1248	False	False	True	False	True	True
Kayapó	txu	kaya1330	True	False	False	False	True	True
Kawaiisu	xaw	kawa1283	False	False	False	True	True	True
Kavalan	ckv	kava1241	True	False	False	False	True	True
Katso	kaf	kats1235	True	False	False	False	True	True
Katkari	kfu	katk1238	False	False	True	False	True	True
Kathmandu Valley Newari	new	newa1246	True	False	False	False	True	True
Katcha-Kadugli-Miri	xtc	katc1249	True	False	False	False	True	True
Kashubian	csb	kash1274	False	False	False	True	True	True
Karo (Brazil)	arr	karo1305	True	False	False	True	False	True
Kariyarra	vka	kari1304	False	False	False	True	True	True
Karachay-Balkar	krc	kara1465	False	False	True	False	True	True
Kara (Papua New Guinea)	leu	kara1486	False	False	False	True	True	True
Kannada	kan	nucl1305	False	False	True	False	True	True
Kaninuwa	wat	kani1281	False	False	False	True	True	True
Kangri	xnr	kang1280	True	False	False	False	True	True
Kanasi	soq	kana1288	False	False	False	True	True	True
Kanakanavu	xnb	kana1286	True	False	False	False	True	True
Kambera	xbr	kamb1299	False	False	False	True	True	True
Kamas-Koibal	xas	kama1351	False	False	False	True	True	True
Kam	kdx	kamm1249	False	False	False	True	True	True
Kalkutung	ktg	kalk1246	False	False	True	False	True	True
Kalasha	kls	kala1372	False	False	True	False	True	True
Kala Lagaw Ya	mwp	kala1377	False	False	True	False	True	True
Kairiru	kxa	kair1263	False	False	False	True	True	True
Kabardian	kbd	kaba1278	False	False	False	True	True	True
Jina	jia	jina1244	False	False	False	True	True	True
Jejara Naga	pzn	para1302	True	False	False	False	True	True
Jehai	jhi	jeha1242	True	False	False	False	True	True
Jaunsari	jns	jaun1243	True	False	False	False	True	True
Japanese	jpn	nucl1643	True	False	False	False	True	True
Jamsay Dogon	djm	jams1239	False	False	False	True	True	True
Jamamadí	jaa	jama1261	False	False	False	True	True	True
Jalkunan	bxl	jalk1242	False	False	False	True	True	True
Jah Hut	jah	jahh1242	True	False	False	False	True	True
Inari Sami	smn	inar1241	True	False	False	True	False	True
Ili'uun	ilu	iliu1237	False	False	False	True	True	True
Ik	ikx	ikkk1242	True	False	True	False	False	True
Igor Ossetian	oss	iron1242	False	False	True	True	True	False
Idun	ldb	idun1241	False	False	False	True	True	True
Idu	clk	idum1241	False	False	False	True	True	True
Ibaloi	ibl	ibal1244	False	False	False	True	True	True
I'saka	ksi	kris1246	True	False	False	False	True	True
Hurrian	xhu	hurr1240	False	False	False	True	True	True
Hunzib	huz	hunz1247	False	False	False	True	True	True
Huli	hui	huli1244	False	False	False	True	True	True
Hulaulá	huy	hula1244	False	False	False	True	True	True
Huizhou Chinese	czh	huiz1242	False	False	False	True	True	True
Huastec	hus	huas1242	False	False	False	True	True	True
Hruso	hru	hrus1242	False	False	True	False	True	True
Hixkaryána	hix	hixk1239	False	False	False	True	True	True
Haya	hay	haya1250	False	False	False	True	True	True
Hawaiian	haw	hawa1245	True	False	False	False	True	True
Hatang Kayi	agv	remo1247	True	False	False	False	True	True
Hamer-Banna	amf	hame1242	False	False	False	True	True	True
Halia	hla	hali1244	True	False	False	False	True	True
Hadza	hts	hadz1240	False	False	False	True	True	True
Hadothi	hoj	hado1235	True	False	False	False	True	True
Gyele	gyi	gyel1242	False	False	False	True	True	True
Gurdjar	gdj	gurd1238	False	False	True	False	True	True
Gumawana	gvs	guma1254	False	False	False	True	True	True
Guiqiong	gqi	guiq1238	True	False	False	False	True	True
Gugu Badhun	gdc	gugu1253	False	False	True	True	False	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	False	False	False	True	True	True
Gorontalo	gor	goro1259	False	False	False	True	True	True
Golin	gvf	goli1247	True	False	False	False	True	True
Goemai	ank	goem1240	False	False	False	True	True	True
Goan Konkani	gom	goan1235	False	False	True	False	True	True
Gilaki	glk	gila1241	False	False	False	True	True	True
Ghanaian Pidgin English	gpe	ghan1244	False	False	False	True	True	True
Ghadames	gha	ghad1239	False	False	False	True	True	True
Gedaged	gdd	geda1237	False	False	False	True	True	True
Gbari	gby	gbar1246	True	False	False	False	True	True
Gayo	gay	gayo1244	False	False	False	True	True	True
Gawar-Bati	gwt	gawa1247	False	False	True	False	True	True
Garifuna	cab	gari1256	False	False	False	True	True	True
Gants	gao	gant1244	False	False	False	True	True	True
Gangou	NOCODE_Gangou	gang1272	True	False	True	False	False	True
Galo	adl	galo1242	False	False	False	True	True	True
Gagauz	gag	gaga1249	False	False	True	False	True	True
Gade Lohar	gda	gade1236	False	False	True	False	True	True
Ga'anda	gqa	gaan1243	False	False	False	True	True	True
Fyam	pym	fyam1238	False	False	True	True	False	True
Fwe	fwe	fwee1238	False	False	False	True	True	True
Fuyug	fuy	fuyu1242	False	False	False	True	True	True
Fuliiru	flr	fuli1240	False	False	False	True	True	True
Fore	for	fore1270	True	False	False	False	True	True
Foodo	fod	food1238	True	False	False	False	True	True
Finallig	bkb	fina1242	True	False	False	False	True	True
Eyak	eya	eyak1241	False	False	False	True	True	True
Etulo	utr	etul1245	False	False	False	True	True	True
Etruscan	ett	etru1241	False	False	True	False	True	True
Emai-Iuleha-Ora	ema	emai1241	False	False	False	True	True	True
El Nayar Cora	crn	elna1235	False	False	False	True	True	True
El Molo	elo	elmo1238	True	False	False	False	True	True
Ejagham	etu	ejag1239	False	False	False	True	True	True
Eastern Tamang	taj	east2347	True	False	False	False	True	True
Eastern Oromo	hae	east2652	True	False	False	False	True	True
Eastern Meohang	emg	east2357	True	False	False	False	True	True
Eastern Kayah	eky	east2342	False	False	False	True	True	True
Eastern Canadian Inuktitut	ike	east2534	False	False	True	False	True	True
East Kewa	kjs	east2516	True	False	False	False	True	True
East Ambae	omb	east2443	False	False	False	True	True	True
Dzongkha	dzo	dzon1239	False	False	True	False	True	True
Dyirbal	dbl	dyir1250	False	False	False	True	True	True
Dyaabugay	dyy	dyaa1242	False	False	False	True	True	True
Dusner	dsn	dusn1237	False	False	False	True	True	True
Dupaninan Agta	duo	dupa1235	True	False	False	False	True	True
Drung	duu	drun1238	False	False	False	True	True	True
Donno So Dogon	dds	donn1239	False	False	False	True	True	True
Domaaki	dmk	doma1260	False	False	True	False	True	True
Dom	doa	domm1246	False	False	False	True	True	True
Dogri	dgo	dogr1250	True	False	False	False	True	True
Dirasha	gdl	dira1242	True	False	False	False	True	True
Dhundari	dhd	dhun1238	True	False	False	False	True	True
Dhudhuroa	ddr	dhud1236	False	False	True	False	True	True
Dhofari Arabic	adf	dhof1235	True	False	False	True	False	True
Dhangu	dhg	dhan1270	False	False	True	False	True	True
Dandami Maria	daq	dand1238	False	False	True	False	True	True
Dakaka	bpa	daka1243	False	False	False	True	True	True
Dahalo	dal	daha1245	False	False	False	True	True	True
Dagik	dec	dagi1241	False	False	False	True	True	True
Daats'iin	dtn	daat1234	False	False	False	True	True	True
Culina	cul	culi1244	False	False	False	True	True	True
Crimean Tatar	crh	crim1257	True	False	True	False	False	True
Copainalá Zoque	zoc	copa1236	False	False	False	True	True	True
Congo Swahili	swc	cong1236	False	False	False	True	True	True
Comox	coo	como1259	True	False	False	False	True	True
Comanche	com	coma1245	False	False	False	True	True	True
Columbia-Wenatchi	col	colu1241	True	False	False	False	True	True
Cocopa	coc	coco1261	False	False	True	False	True	True
Cochimi	coj	coch1272	False	False	True	False	True	True
Coahuilteco	xcw	coah1252	False	False	False	True	True	True
Clatsop-Shoalwater Chinook	chh	chin1286	False	False	True	False	True	True
Classical Tibetan	xct	clas1254	True	False	False	False	True	True
Classical Armenian	xcl	clas1249	True	False	False	False	True	True
Chuwabu	chw	chuw1238	False	False	False	True	True	True
Cholti	NOCODE_Cholti	chol1283	False	False	False	True	True	True
Choctaw	cho	choc1276	True	False	False	False	True	True
Chiga	cgg	chig1238	False	False	False	True	True	True
Cheke Holo	mrn	chek1238	False	False	False	True	True	True
Chechen	che	chec1245	False	False	True	False	True	True
Chadian Arabic	shu	chad1249	False	False	False	True	True	True
Central Siberian Yupik	ess	cent2128	False	False	False	True	True	True
Central Okinawan	ryu	cent2126	True	False	False	False	True	True
Central Lembata-Lewokukun	lvu	levu1239	True	False	False	True	False	True
Central Bai	bca	cent2004	False	False	False	True	True	True
Central Aymara	ayr	cent2142	True	False	False	False	True	True
Central Alaskan Yupik	esu	cent2127	True	False	False	False	True	True
Cebuano	ceb	cebu1242	True	False	False	False	True	True
Caribbean Hindustani	hns	cari1275	True	False	False	False	True	True
Caquinte	cot	caqu1242	False	False	False	True	True	True
Campidanese Sardinian	sro	camp1261	False	False	False	True	True	True
Cabécar	cjp	cabe1245	False	False	False	True	True	True
Caac	msq	caac1237	True	False	False	False	True	True
Buwal	bhs	buwa1243	False	False	False	True	True	True
Burushaski	bsk	buru1296	True	False	True	False	False	True
Buru (Indonesia)	mhs	buru1303	False	False	False	True	True	True
Burarra	bvr	bura1267	True	False	False	False	True	True
Bunganditj	xbg	bung1264	True	False	False	False	True	True
Bunak	bfn	buna1278	False	False	False	True	True	True
Bulo Stieng	sti	bulo1242	False	False	False	True	True	True
Bukharic	bhh	bukh1238	True	False	True	False	False	True
Bugawac	buk	buga1250	False	False	False	True	True	True
Bouyei	pcc	bouy1240	True	False	False	False	True	True
Botolan Sambal	sbl	boto1242	True	False	False	False	True	True
Borong	ksr	boro1279	False	False	False	True	True	True
Bori-Karko	adi	bori1243	True	False	False	False	True	True
Bonggi	bdg	bong1289	True	False	False	True	False	True
Bondo	bfw	bond1245	False	False	True	False	True	True
Bodo-Mech	brx	bodo1269	True	False	False	False	True	True
Biwat	bwm	biwa1243	True	False	False	True	False	True
Bininj Kun-Wok	gup	gunw1252	False	False	False	True	True	True
Binandere	bhg	bina1277	False	False	False	True	True	True
Bimin	bhl	bimi1240	True	False	False	False	True	True
Bilua	blb	bilu1245	False	False	False	True	True	True
Bih	ibh	biha1246	True	False	False	True	False	True
Bierebo	bnk	bier1244	False	False	False	True	True	True
Biak	bhw	biak1248	False	False	False	True	True	True
Bezhta	kap	bezh1248	True	False	False	False	True	True
Beria	zag	zagh1240	False	False	False	True	True	True
Beng	nhb	beng1286	False	False	False	True	True	True
Bembe	bmb	bemb1255	False	False	False	True	True	True
Belhariya	byw	belh1239	False	False	True	True	False	True
Belarusian	bel	bela1254	False	False	False	True	True	True
Baure	brg	baur1253	False	False	False	True	True	True
Bauni	bpe	wara1302	False	False	False	True	True	True
Batuley	bay	batu1258	False	False	False	True	True	True
Bati (Cameroon)	btc	bati1251	False	False	False	True	True	True
Batak Karo	btx	bata1293	False	False	False	True	True	True
Basay	byq	basa1287	True	False	False	False	True	True
Basa (Cameroon)	bas	basa1284	False	False	False	True	True	True
Barí	mot	bari1297	False	False	False	True	True	True
Baruga	bjz	baru1269	False	False	False	True	True	True
Barok	bjk	baro1253	False	False	False	True	True	True
Bargam	mlp	barg1252	False	False	False	True	True	True
Bannoni	bcm	bann1247	False	False	False	True	True	True
Bankan Tey Dogon	dbw	bank1259	False	False	False	True	True	True
Bangime	dba	bang1363	False	False	False	True	True	True
Bandial	bqj	band1340	False	False	False	True	True	True
Balanta-Ganja	bjt	bala1302	False	False	False	True	True	True
Baiso	bsw	bais1246	False	False	False	True	True	True
Bahing	bhj	bahi1252	True	False	False	False	True	True
Bagirmi	bmi	bagi1246	False	False	False	True	True	True
Baa	kwb	kwaa1262	False	False	False	True	True	True
Ayacucho Quechua	quy	ayac1239	False	False	True	False	True	True
Awjilah	auj	awji1241	False	False	False	True	True	True
Avatime	avn	avat1244	False	False	False	True	True	True
Aukan	djk	ndyu1242	False	False	False	True	True	True
Arhuaco	arh	arhu1242	True	False	False	False	True	True
Arequipa-La Unión Quechua	qxu	areq1237	False	False	True	False	True	True
Araki	akr	arak1252	False	False	False	True	True	True
Apma	app	apma1240	True	False	False	False	True	True
Apatani	apt	apat1240	False	False	True	False	True	True
Apalaí	apy	apal1257	False	False	False	True	True	True
Ao Naga	njo	aona1235	True	False	False	False	True	True
Aneityum	aty	anei1239	False	False	False	True	True	True
Andegerebinha	adg	ande1247	True	False	False	True	False	True
Andalusian Arabic	xaa	anda1287	True	False	False	False	True	True
Amkoe	huc	hoaa1235	False	False	True	False	True	True
Amdo Tibetan	adx	amdo1237	True	False	False	False	True	True
Ambonese Malay	abs	ambo1250	False	False	False	True	True	True
Amam	NOCODE_Amam	amam1246	False	False	True	True	False	True
Alorese	aol	alor1247	False	False	False	True	True	True
Alagwa	wbj	alag1248	True	False	False	False	True	True
Akoose	bss	akoo1248	False	False	False	True	True	True
Akateko	knj	west2635	True	False	False	False	True	True
Aka-Bea	abj	akab1249	False	False	False	True	True	True
Ainu (China)	aib	ainu1251	True	False	True	False	False	True
Aghem	agq	aghe1239	False	False	False	True	True	True
Adonara	adr	adon1237	False	False	False	True	True	True
Achuar-Shiwiar	acu	achu1248	True	False	False	True	False	True
