Language	ISO 639-3	Glottocode	passive	transitivity	valence
Menya	mcr	meny1245	True	True	True
Mekeo	mek	meke1243	True	True	True
Mekens	skf	saki1248	True	True	True
Mayo	mfy	mayo1264	True	True	True
Mauwake	mhl	mauw1238	True	True	True
Maung	mph	maun1240	True	True	True
Matumbi	mgw	matu1259	True	True	True
Matsés	mcf	mats1244	True	True	True
Matbat	xmt	matb1237	True	True	True
Masbatenyo	msb	masb1238	True	True	True
Martuthunira	vma	mart1255	True	True	True
Marshallese	mah	mars1254	True	True	True
Markweeta	enb	mark1255	True	True	True
Marithiel	mfr	mari1424	True	True	True
Marind	mrz	nucl1622	True	True	True
Maonan	mmd	maon1241	True	True	True
Manus Koro	kxr	bowa1234	True	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	True	True
Mandjak	mfv	mand1419	True	True	True
Mandara	tbf	mand1440	True	True	True
Manda-Matumba	mgs	mand1423	True	True	True
Mamaindé	wmd	mama1278	True	True	True
Malayo	mbp	mala1522	True	True	True
Makhuwa-Saka	xsq	makh1266	True	True	True
Makasar	mak	maka1311	True	True	True
Maco	wpc	maco1239	True	True	True
Lunda	lun	lund1266	True	True	True
Luchazi	lch	luch1239	True	True	True
Luang	lex	luan1263	True	True	True
Lower Grand Valley Dani	dni	lowe1415	True	True	True
Lopit	lpx	lopi1242	True	True	True
Lezghian	lez	lezg1247	True	True	True
Lewotobi	lwt	lewo1244	True	True	True
Lewo	lww	lewo1242	True	True	True
Lengua Sur	enx	sout2989	True	True	True
Lelepa	lpa	lele1267	True	True	True
Lao	lao	laoo1244	True	True	True
Lamang	hia	lama1288	True	True	True
Lamaholot	slp	lama1277	True	True	True
Lakkia	lbc	lakk1238	True	True	True
Lacandon	lac	laca1243	True	True	True
Kusunda	kgg	kusu1250	True	True	True
Kuria	kuj	kuri1259	True	True	True
Kula (Indonesia)	tpg	kula1280	True	True	True
Kuku-Uwanh	uwa	kuku1280	True	True	True
Kuku	ukv	kuku1285	True	True	True
Kuikúro-Kalapálo	kui	kuik1246	True	True	True
Kuanua	ksd	kuan1248	True	True	True
Kotiria	gvc	guan1269	True	True	True
Koi	kkt	koii1238	True	True	True
Kohistani Shina	plk	kohi1248	True	True	True
Kipsigis	sgc	kips1239	True	True	True
Kilmeri	kih	kilm1241	True	True	True
Kilen	NOCODE_Kilen	kile1243	True	True	True
Khwarshi-Inkhoqwari	khv	khva1239	True	True	True
Khroskyabs	jiq	guan1266	True	True	True
