Language	ISO 639-3	Glottocode	cardinals	quantifiers	reduced_numerals	reduced_system	small_numerals	small_system
Àhàn	ahn	ahan1244	True	True	False	False	False	False
Zabana	kji	zaba1237	True	True	False	False	False	False
Yuchi	yuc	yuch1247	True	True	False	False	False	False
Yemsa	jnj	yems1235	True	True	False	False	False	False
Yemba	ybb	yemb1246	True	True	False	False	False	False
Yawuru	ywr	yawu1244	True	True	False	False	False	False
Western Subanon	suc	west2557	True	True	False	False	False	False
Welsh	cym	wels1247	True	True	False	False	False	False
Warrwa	wwr	warr1258	True	True	False	False	False	False
Warlmanpa	wrl	warl1255	True	True	False	False	False	False
Waray (Philippines)	war	wara1300	True	True	False	False	False	False
Wandamen	wad	wand1267	True	True	False	False	False	False
Wanam Yelmek	NOCODE_Wanam	wana1273	False	True	False	False	True	False
Waima	rro	waim1251	True	True	False	False	False	False
Vaiphei	vap	vaip1239	True	True	False	False	False	False
Urhobo	urh	urho1239	True	True	False	False	False	False
Ukrainian	ukr	ukra1253	True	True	False	False	False	False
Ughele	uge	ughe1237	True	True	False	False	False	False
Udmurt	udm	udmu1245	True	True	False	False	False	False
Udihe	ude	udih1248	True	True	False	False	False	False
Ubykh	uby	ubyk1235	True	True	False	False	False	False
Tz'utujil	tzj	tzut1248	True	True	False	False	False	False
Tuwuli	bov	tuwu1238	True	True	False	False	False	False
Tikhak	NOCODE_Tikhak	tikh1243	True	True	False	False	False	False
Thangal Naga	nki	than1255	True	True	False	False	False	False
Tetum	tet	tetu1245	True	True	False	False	False	False
Tarok	yer	taro1263	True	True	False	False	False	False
Tamambo	mla	malo1243	True	True	False	False	False	False
Tafi	tcd	tafi1243	True	True	False	False	False	False
Svan	sva	svan1243	True	True	False	False	False	False
Supyire Senoufo	spp	supy1237	True	True	False	False	False	False
Sunwar	suz	sunw1242	True	True	False	False	False	False
Southern Alta	agy	sout2905	True	True	False	False	False	False
Soqotri	sqt	soqo1240	True	True	False	False	False	False
Skolt Sami	sms	skol1241	True	True	False	False	False	False
Sirajic	NOCODE_Sirajic	sira1263	True	True	False	False	False	False
Simte	smt	simt1238	True	True	False	False	False	False
Sidamo	sid	sida1246	True	True	False	False	False	False
Shwe Palaung	pll	shwe1236	True	True	False	False	False	False
Shekhawati	swv	shek1243	True	True	False	False	False	False
Shabo	sbf	shab1252	True	True	False	False	False	False
Selee	snw	sele1249	True	True	False	False	False	False
Sekpele	lip	sekp1241	True	True	False	False	False	False
Seke (Vanuatu)	ske	seke1241	True	True	False	False	False	False
Sawila	swt	sawi1256	True	True	False	False	False	False
Sawai	szw	sawa1247	True	True	False	False	False	False
Sarsi	srs	sars1236	True	True	False	False	False	False
Sambalpuri	spv	samb1325	True	True	False	False	False	False
Saliba	sbe	sali1295	True	True	False	False	False	False
Sa'a	apb	saaa1240	True	True	False	False	False	False
Rukai	dru	ruka1240	True	True	False	False	False	False
Riantana	ran	rian1263	True	True	False	False	False	False
Qimant	ahg	qima1242	True	True	False	False	False	False
Psikye	kvj	psik1239	True	True	False	False	False	False
Poumei Naga	pmx	poum1235	True	True	False	False	False	False
Potawatomi	pot	pota1247	True	True	False	False	False	False
Pijin	pis	piji1239	True	True	False	False	False	False
Pendau	ums	pend1242	True	True	False	False	False	False
Patwin	pwi	patw1250	True	True	False	False	False	False
Papapana	ppn	papa1265	True	True	False	False	False	False
Panamint	par	pana1305	True	True	False	False	False	False
Pahari Newari	phj	paha1257	True	True	False	False	False	False
Old Norse	non	oldn1244	True	True	False	False	False	False
Nzanyi	nja	nzan1240	True	True	False	False	False	False
Nyulnyul	nyv	nyul1247	True	True	False	False	False	False
Nyiha (Tanzania)	nih	nyih1240	True	True	False	False	False	False
Northern Tujia	tji	nort2732	True	True	False	False	False	False
Northeastern Thai	tts	nort2741	True	True	False	False	False	False
North Azerbaijani	azj	nort2697	True	True	False	False	False	False
Noon	snf	noon1242	True	True	False	False	False	False
Ngarinman	nbj	ngar1235	True	True	False	False	False	False
Ngardi	rxd	ngar1288	True	True	False	False	False	False
Narungga	nnr	naru1238	True	True	False	False	False	False
Namakura	nmk	nama1268	True	True	False	False	False	False
Mpur	akc	mpur1239	True	True	False	False	False	False
Moyon	nmo	moyo1238	True	True	False	False	False	False
Momu-Fas	fqs	fass1245	True	True	False	False	False	False
Mmen	bfm	mmen1238	True	True	False	False	False	False
Miya	mkf	miya1266	True	True	False	False	False	False
Minigir	vmg	mini1251	True	True	False	False	False	False
Mingrelian	xmf	ming1252	True	True	False	False	False	False
Mekeo	mek	meke1243	True	True	False	False	False	False
Mehri	gdq	mehr1241	True	True	False	False	False	False
Masbatenyo	msb	masb1238	True	True	False	False	False	False
Masalit	mls	nucl1440	True	True	False	False	False	False
Marshallese	mah	mars1254	True	True	False	False	False	False
Mao Naga	nbi	maon1238	True	True	False	False	False	False
Mann	mev	mann1248	True	True	False	False	False	False
Manda-Matumba	mgs	mand1423	True	True	False	False	False	False
Male (Ethiopia)	mdy	male1284	True	True	False	False	False	False
Malavedan	mjr	mala1463	True	True	False	False	False	False
Macedonian	mkd	mace1250	True	True	False	False	False	False
Logba	lgq	logb1245	True	True	False	False	False	False
Lishán Didán	trg	lish1246	True	True	False	False	False	False
Lillooet	lil	lill1248	True	True	False	False	False	False
Libido	liq	libi1250	True	True	False	False	False	False
Liangmai Naga	njn	lian1251	True	True	False	False	False	False
Lezghian	lez	lezg1247	True	True	False	False	False	False
Lewo	lww	lewo1242	True	True	False	False	False	False
Leti (Indonesia)	lti	leti1246	True	True	False	False	False	False
Lelemi	lef	lele1264	True	True	False	False	False	False
Larteh	lar	lart1238	True	True	False	False	False	False
Lao	lao	laoo1244	True	True	False	False	False	False
Lamkang	lmk	lamk1238	True	True	False	False	False	False
Lamang	hia	lama1288	True	True	False	False	False	False
Lakkia	lbc	lakk1238	True	True	False	False	False	False
Laari	ldi	laar1238	True	True	False	False	False	False
Kwini	gww	kwin1241	True	True	False	False	False	False
Koyraboro Senni Songhai	ses	koyr1242	True	True	False	False	False	False
Koyra Chiini Songhay	khq	koyr1240	True	True	False	False	False	False
Koy Sanjaq Jewish Neo-Aramaic	kqd	koys1242	True	True	False	False	False	False
Kosraean	kos	kosr1238	True	True	False	False	False	False
Konso	kxc	kons1243	True	True	False	False	False	False
Kokota	kkk	koko1269	True	True	False	False	False	False
Koho	kpm	koho1244	True	True	False	False	False	False
Kipsigis	sgc	kips1239	True	True	False	False	False	False
Khoibu	nkb	khoi1251	True	True	False	False	False	False
Khezha Naga	nkh	khez1235	True	True	False	False	False	False
Kharia	khr	khar1287	True	True	False	False	False	False
Kgalagadi	xkv	kgal1244	True	True	False	False	False	False
Kenuzi-Dongola	kzh	kenu1236	True	True	False	False	False	False
Keapara	khz	keap1239	True	True	False	False	False	False
Kashmiri	kas	kash1277	True	True	False	False	False	False
Karo (Ethiopia)	kxh	karo1297	True	True	False	False	False	False
Karachay-Balkar	krc	kara1465	True	True	False	False	False	False
Kalamang	kgv	kara1499	True	True	False	False	False	False
Kaike	kzq	kaik1246	True	True	False	False	False	False
Kaera	jka	kaer1234	True	True	False	False	False	False
Kachi Koli	gjk	kach1272	True	True	False	False	False	False
Kachchi	kfr	kach1277	True	True	False	False	False	False
Kachama-Ganjule-Haro	kcx	kach1284	True	True	False	False	False	False
Judeo-Persian	jpr	jude1257	True	True	False	False	False	False
Jambi Malay	jax	jamb1236	True	True	False	False	False	False
Inter-Zab Jewish Neo-Aramaic	aij	lish1245	True	True	False	False	False	False
Ingush	inh	ingu1240	True	True	False	False	False	False
Igala	igl	igal1242	True	True	False	False	False	False
Ibanag	ibg	iban1267	True	True	False	False	False	False
Iban	iba	iban1264	True	True	False	False	False	False
Ibaloi	ibl	ibal1244	True	True	False	False	False	False
Hungarian	hun	hung1274	True	True	False	False	False	False
Hulaulá	huy	hula1244	True	True	False	False	False	False
Hozo	hoz	hozo1236	True	True	False	False	False	False
Hoava	hoa	hoav1238	True	True	False	False	False	False
Hadothi	hoj	hado1235	True	True	False	False	False	False
Gyele	gyi	gyel1242	True	True	False	False	False	False
Gusii	guz	gusi1247	True	True	False	False	False	False
Gumawana	gvs	guma1254	True	True	False	False	False	False
Gorowa	gow	goro1270	True	True	False	False	False	False
Gooniyandi	gni	goon1238	True	True	False	False	False	False
Godoberi	gdo	ghod1238	True	True	False	False	False	False
Georgian	kat	nucl1302	True	True	False	False	False	False
Gedeo	drs	gede1246	True	True	False	False	False	False
Gbagyi	gbr	gbag1258	True	True	False	False	False	False
Forest Enets	enf	fore1265	True	True	False	False	False	False
Etulo	utr	etul1245	True	True	False	False	False	False
Emai-Iuleha-Ora	ema	emai1241	True	True	False	False	False	False
Eastern Oromo	hae	east2652	True	True	False	False	False	False
East Kewa	kjs	east2516	True	True	False	False	False	False
Dibole	bvx	dibo1245	True	True	False	False	False	False
Dhao	nfa	dhao1237	True	True	False	False	False	False
Dera (Nigeria)	kna	dera1248	True	True	False	False	False	False
Degema	deg	dege1246	True	True	False	False	False	False
Daman-Diu Portuguese	idb	dama1278	True	True	False	False	False	False
Dagbani	dag	dagb1246	True	True	False	False	False	False
Comox	coo	como1259	True	True	False	False	False	False
Chuvash	chv	chuv1255	True	True	False	False	False	False
Chitwania Tharu	the	chit1274	True	True	False	False	False	False
Cheke Holo	mrn	chek1238	True	True	False	False	False	False
Chaldean Neo-Aramaic	cld	chal1275	True	True	False	False	False	False
Chakma	ccp	chak1266	True	True	False	False	False	False
Chakali	cli	chak1271	True	True	False	False	False	False
Central Romani	rmc	carp1235	True	True	False	False	False	False
Caribbean Hindustani	hns	cari1275	True	True	False	False	False	False
Burji	bji	burj1242	True	True	False	False	False	False
Brokskat	bkk	brok1247	True	True	False	False	False	False
Breton	bre	bret1244	True	True	False	False	False	False
Bierebo	bnk	bier1244	True	True	False	False	False	False
Belanda Bor	bxb	bela1256	True	True	False	False	False	False
Befang	bby	befa1241	True	True	False	False	False	False
Bats	bbl	bats1242	True	True	False	False	False	False
Bati (Cameroon)	btc	bati1251	True	True	False	False	False	False
Bannoni	bcm	bann1247	True	True	False	False	False	False
Bamun	bax	bamu1253	True	True	False	False	False	False
Baltic Romani	rml	balt1257	True	True	False	False	False	False
Bagri	bgq	bagr1243	True	True	False	False	False	False
Awngi	awn	awng1244	True	True	False	False	False	False
Awa-Cuaiquer	kwi	awac1239	True	True	False	False	False	False
Avatime	avn	avat1244	True	True	False	False	False	False
Ao Naga	njo	aona1235	True	True	False	False	False	False
Antigua and Barbuda Creole English	aig	anti1245	True	True	False	False	False	False
Aleut	ale	aleu1260	True	True	False	False	False	False
Alaba-K'abeena	alw	alab1254	True	True	False	False	False	False
Aghwan	xag	aghw1237	True	True	False	False	False	False
Adonara	adr	adon1237	True	True	False	False	False	False
Abkhazian	abk	abkh1244	True	True	False	False	False	False
Abaza	abq	abaz1241	True	True	False	False	False	False
A'ou	aou	aoua1234	True	True	False	False	False	False
'Are'are	alu	area1240	True	True	False	False	False	False
Ömie	aom	omie1241	False	True	False	False	False	False
Zulgo-Gemzek	gnd	zulg1242	False	True	False	False	False	False
Zoogocho Zapotec	zpq	zoog1238	False	True	False	False	False	False
Zimba	zmb	zimb1251	False	True	False	False	False	False
Zigula-Mushungulu	ziw	zigu1244	False	True	False	False	False	False
Zialo	zil	zial1235	False	True	False	False	False	False
Zenzontepec Chatino	czn	zenz1235	False	True	False	False	False	False
Zemba	dhm	zemb1238	False	True	False	False	False	False
Zayse-Zergulla	zay	zays1235	False	True	False	False	False	False
Zauzou	zal	zauz1238	False	True	False	False	False	False
Zaniza Zapotec	zpw	zani1235	False	True	False	False	False	False
Zaiwa	atb	zaiw1241	False	True	False	False	False	False
Yuracaré	yuz	yura1255	False	True	False	False	False	False
Yuki	yuk	yuki1243	False	True	False	False	False	False
Yosondúa Mixtec	mpm	yoso1239	False	True	False	False	False	False
Yopno	yut	yopn1238	False	True	False	False	False	False
Yongning Na	nru	yong1270	False	True	False	False	False	False
Yongnan Zhuang	zyn	yong1275	False	True	False	False	False	False
Yonggom	yon	yong1280	False	True	False	False	False	False
Yonaguni	yoi	yona1241	False	True	False	False	False	False
Yir-Yoront	yiy	yiry1245	False	True	False	False	False	False
Yinggarda	yia	ying1247	False	True	False	False	False	False
Yindjibarndi	yij	yind1247	False	True	False	False	False	False
Yimas	yee	yima1243	False	True	False	False	False	False
Yidiny	yii	yidi1250	False	True	False	False	False	False
Yeyi	yey	yeyi1239	False	True	False	False	False	False
Yerukula	yeu	yeru1240	True	False	False	False	False	False
Yeri	yev	yapu1240	False	True	False	False	False	False
Yele	yle	yele1255	False	True	False	False	False	False
Yecuatla Totonac	tlc	yecu1235	False	True	False	False	False	False
Ye'kwana	mch	maqu1238	False	True	False	False	False	False
Yauyos Quechua	qux	yauy1235	False	True	False	False	False	False
Yareba	yrb	yare1248	False	True	False	False	False	False
Yaqui	yaq	yaqu1251	False	True	False	False	False	False
Yapese	yap	yape1248	False	True	False	False	False	False
Yanomám	wca	yano1262	False	True	False	False	False	False
Yanda Dom Dogon	dym	yand1257	False	True	False	False	False	False
Yan-nhangu	jay	yann1237	False	True	False	False	False	False
Yaminahua	yaa	yami1256	False	True	False	False	False	False
Yamba	yam	yamb1251	False	True	False	False	False	False
Yalunka	yal	yalu1240	False	True	False	False	False	False
Yale	nce	yale1246	False	True	False	False	False	False
Yakkha	ybh	yakk1236	False	True	False	False	False	False
Yakan	yka	yaka1277	False	True	False	False	False	False
Yagua	yad	yagu1244	False	True	False	False	False	False
Yagnobi	yai	yagn1238	False	True	False	False	False	False
Yabem	jae	yabe1254	False	True	False	False	False	False
Xârâcùù	ane	xara1244	False	True	False	False	False	False
Xishanba Lalo	ywt	xish1235	False	True	False	False	False	False
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	False	True	False	False	False	False
Xanaguía Zapotec	ztg	xana1235	False	True	False	False	False	False
Xamtanga	xan	xamt1239	False	True	False	False	False	False
Wuvulu-Aua	wuv	wuvu1239	False	True	False	False	False	False
Wutunhua	wuh	wutu1241	False	True	False	False	False	False
Wutung	wut	wutu1244	False	True	False	False	False	False
Worodougou	jud	woro1256	False	True	False	False	False	False
Worimi	kda	wori1245	False	True	False	False	False	False
Woods Cree	cwd	wood1236	False	True	False	False	False	False
Wolane	wle	wola1253	False	True	False	False	False	False
Woi	wbw	woii1237	False	True	False	False	False	False
Wipi	gdr	wipi1242	False	True	False	False	False	False
Wik-Ngathana	wig	wikn1245	False	True	False	False	False	False
Wik-Mungkan	wim	wikm1247	False	True	False	False	False	False
Wichita	wic	wich1260	False	True	False	False	False	False
Westphalic	wep	west2356	True	False	False	False	False	False
Western Xiangxi Miao	mmr	west2430	False	True	False	False	False	False
Western Tlacolula Valley Zapotec	zab	sanj1284	False	True	False	False	False	False
Western Tamang	tdg	west2415	False	True	False	False	False	False
Western Sisaala	ssl	west2465	False	True	False	False	False	False
Western Puroik	NOCODE_Western-Puroik	west2873	False	True	False	False	False	False
Western Parbate Kham	kjl	west2420	False	True	False	False	False	False
Western Pantar	lev	lamm1241	False	True	False	False	False	False
Western Ojibwa	ojw	west1510	False	True	False	False	False	False
Western Neo-Aramaic	amw	west2763	True	False	False	False	False	False
Western Minyag	wmg	west2417	False	True	False	False	False	False
Western Karaboro	kza	west2466	False	True	False	False	False	False
Western Highland Chatino	ctp	west2644	False	True	False	False	False	False
Western Frisian	fry	west2354	False	True	False	False	False	False
Western Fijian	wyy	west2519	False	True	False	False	False	False
Western Dani	dnw	west2594	False	True	False	False	False	False
Western Canadian Inuktitut	ikt	west2618	False	True	False	False	False	False
Western Arrarnta	are	west2441	True	False	False	False	False	False
West Yugur	ybe	west2402	False	True	False	False	False	False
West Makian	mqs	west2600	False	True	False	False	False	False
West Kewa	kew	west2599	False	True	False	False	False	False
West Coast Bajau	bdr	west2560	False	True	False	False	False	False
Wersing	kvw	wers1238	False	True	False	False	False	False
Wedau	wed	weda1241	True	False	False	False	False	False
Wayu	vay	wayu1241	False	True	False	False	False	False
Wawa	www	wawa1246	False	True	False	False	False	False
Warray	wrz	wara1290	False	True	False	False	False	False
Warlpiri	wbp	warl1254	False	True	False	False	False	False
Waris	wrs	wari1266	False	True	False	False	False	False
Wari'	pav	wari1268	False	True	False	False	False	False
Warembori	wsa	ware1253	False	True	False	False	False	False
Wappo	wao	wapp1239	False	True	False	False	False	False
Wandarang	wnd	wand1263	False	True	False	False	False	False
Wandala	mfi	wand1278	False	True	False	False	False	False
Wambule	wme	wamb1257	False	True	False	False	False	False
Wambon	wms	wamb1259	False	True	False	False	False	False
Wambayan	wmb	wamb1258	False	True	False	False	False	False
Wallisian	wls	wall1257	False	True	False	False	False	False
Wala	lgl	wala1266	False	True	False	False	False	False
Wakawaka	wkw	waka1274	False	True	False	False	False	False
Waimiri-Atroari	atr	waim1253	False	True	False	False	False	False
Waima'a	wmh	waim1252	False	True	False	False	False	False
Wailaki	wlk	wail1244	False	True	False	False	False	False
Waigeo	wgo	waig1244	False	True	False	False	False	False
Wageman	waq	wage1238	False	True	False	False	False	False
Wagdi	wbr	wagd1238	True	False	False	False	False	False
Waddar	wbq	wadd1237	True	False	False	False	False	False
Vwanji	wbi	vwan1235	False	True	False	False	False	False
Vute	vut	vute1244	False	True	False	False	False	False
Vurës	msn	vure1239	False	True	False	False	False	False
Votic	vot	voti1245	True	False	False	False	False	False
Vera'a	vra	vera1241	False	True	False	False	False	False
Ventureño	veo	vent1242	False	True	False	False	False	False
Vengo	bav	veng1238	False	True	False	False	False	False
Vamale	mkt	vama1243	False	True	False	False	False	False
Vai	vai	vaii1241	True	False	False	False	False	False
Vagla	vag	vagl1239	False	True	False	False	False	False
Vaghri	vgr	vagh1246	True	False	False	False	False	False
Vaeakau-Taumako	piv	pile1238	False	True	False	False	False	False
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	False	True	False	False	False	False
Vaal-Orange	kqu	vaal1235	True	False	False	False	False	False
Vaagri Booli	vaa	vaag1238	True	False	False	False	False	False
Ut-Main	gel	kagf1238	False	True	False	False	False	False
Usan	wnu	usan1239	False	True	False	False	False	False
Urubú-Kaapor	urb	urub1250	False	True	False	False	False	False
Uru	ure	uruu1244	False	True	False	False	False	False
Uripiv-Wala-Rano-Atchin	upv	urip1239	True	False	False	False	False	False
Urim	uri	urim1252	False	True	False	False	False	False
Urat	urt	urat1244	False	True	False	False	False	False
Urarina	ura	urar1246	False	True	False	False	False	False
Urak Lawoi'	urk	urak1238	False	True	False	False	False	False
Upper Tanana	tau	uppe1437	False	True	False	False	False	False
Upper Necaxa Totonac	tku	uppe1275	False	True	False	False	False	False
Upper Guinea Crioulo	pov	uppe1455	False	True	False	False	False	False
Upper Chinookan	wac	wasc1239	True	False	False	False	False	False
Unua	onu	unua1237	False	True	False	False	False	False
Uneapa	bbn	unea1237	False	True	False	False	False	False
Umbrian	xum	umbr1253	True	False	False	False	False	False
Umatilla	uma	umat1237	False	True	False	False	False	False
Ulwa (Papua New Guinea)	yla	yaul1241	False	True	False	False	False	False
Ugaritic	uga	ugar1238	True	False	False	False	False	False
Uduk	udu	uduk1239	False	True	False	False	False	False
Udi	udi	udii1243	True	False	False	False	False	False
Ubir	ubr	ubir1237	False	True	False	False	False	False
Tyap	kcg	tyap1238	False	True	False	False	False	False
Tuwali Ifugao	ifk	tuwa1243	False	True	False	False	False	False
Tuvinian	tyv	tuvi1240	False	True	False	False	False	False
Tuvalu	tvl	tuva1244	False	True	False	False	False	False
Tuscarora	tus	tusc1257	False	True	False	False	False	False
Turkish	tur	nucl1301	False	True	False	False	False	False
Tungurahua Highland Quichua	qxl	sala1272	False	True	False	False	False	False
Tungag	lcm	tung1290	False	True	False	False	False	False
Tundra Nenets	yrk	nene1249	True	False	False	False	False	False
Tumbuka	tum	tumb1250	False	True	False	False	False	False
Tuki	bag	tuki1240	False	True	False	False	False	False
Tukang Besi North	khc	tuka1248	False	True	False	False	False	False
Tugun	tzn	tugu1245	False	True	False	False	False	False
Tshangla	tsj	tsha1245	False	True	False	False	False	False
Tsez	ddo	dido1241	True	False	False	False	False	False
Tsat	huq	tsat1238	False	True	False	False	False	False
Tsakhur	tkr	tsak1249	True	False	False	False	False	False
Tsafiki	cof	colo1256	False	True	False	False	False	False
Ts'ixa	NOCODE_Tsixa	tsix1234	False	True	False	False	False	False
Trumai	tpy	trum1247	False	True	False	False	False	False
Trió	tri	trio1238	False	True	False	False	False	False
Towa	tow	jeme1245	False	True	False	False	False	False
Totontepec Mixe	mto	toto1305	False	True	False	False	False	False
Toto	txo	toto1302	True	False	False	False	False	False
Totela	ttl	tote1238	False	True	False	False	False	False
Torres Strait Creole	tcs	torr1261	False	True	False	False	False	False
Toro Tegu Dogon	dtt	toro1253	False	True	False	False	False	False
Toro So Dogon	dts	toro1252	False	True	False	False	False	False
Toposa	toq	topo1242	False	True	False	False	False	False
Tonkawa	tqw	tonk1249	False	True	False	False	False	False
Tondi Songway Kiini	tst	tond1249	False	True	False	False	False	False
Tondano	tdn	tond1251	False	True	False	False	False	False
Tomo Kan Dogon	dtm	tomo1243	False	True	False	False	False	False
Tommo So Dogon	dto	tomm1242	False	True	False	False	False	False
Tombonuo	txa	tomb1244	False	True	False	False	False	False
Tohono O'odham	ood	toho1245	False	True	False	False	False	False
Tocantins Asurini	asu	toca1235	False	True	False	False	False	False
Tobelo	tlb	tobe1252	False	True	False	False	False	False
Tobati	tti	toba1266	False	True	False	False	False	False
Tobagonian Creole English	tgh	toba1282	False	True	False	False	False	False
To'abaita	mlu	toab1237	False	True	False	False	False	False
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	False	True	False	False	False	False
Tlahuitoltepec Mixe	mxp	tlah1239	False	True	False	False	False	False
Tiwi	tiw	tiwi1244	False	True	False	False	False	False
Tiwa (India)	lax	tiwa1253	True	False	False	False	False	False
Titan	ttv	tita1241	False	True	False	False	False	False
Tiri-Mea	cir	tiri1258	False	True	False	False	False	False
Tirax	mme	maee1241	False	True	False	False	False	False
Tiranige Diga Dogon	tde	tira1258	False	True	False	False	False	False
Tinani	lbf	tina1246	True	False	False	False	False	False
Timucua	tjm	timu1245	True	False	False	False	False	False
Timor Pidgin	tvy	timo1258	False	True	False	False	False	False
Tima	tms	tima1241	False	True	False	False	False	False
Tilung	tij	tilu1238	False	True	False	False	False	False
Tigon Mbembe	nza	tigo1236	False	True	False	False	False	False
Tigak	tgc	tiga1245	False	True	False	False	False	False
Tifal	tif	tifa1245	False	True	False	False	False	False
Tiene	tii	tien1242	True	False	False	False	False	False
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	False	True	False	False	False	False
Tidore	tvo	tido1248	False	True	False	False	False	False
Ticuna	tca	ticu1245	False	True	False	False	False	False
Tharaka	thk	thar1283	True	False	False	False	False	False
Thao	ssf	thao1240	False	True	False	False	False	False
Thangmi	thf	than1259	False	True	False	False	False	False
Thado Chin	tcz	thad1238	True	False	False	False	False	False
Tetun Dili	tdt	tetu1246	False	True	False	False	False	False
Ternate	tft	tern1247	False	True	False	False	False	False
Teribe	tfr	teri1250	False	True	False	False	False	False
Terena-Kinikinao-Chane	ter	tere1279	False	True	False	False	False	False
Tera	ttr	tera1251	False	True	False	False	False	False
Tepeuxila Cuicatec	cux	tepe1280	False	True	False	False	False	False
Tepetotutla Chinantec	cnt	tepe1279	False	True	False	False	False	False
Teop	tio	teop1238	False	True	False	False	False	False
Tengou-Togo Dogon	dtk	tene1248	False	True	False	False	False	False
Tengger	tes	teng1272	False	True	False	False	False	False
Tena Lowland Quichua	quw	tena1240	False	True	False	False	False	False
Telugu	tel	telu1262	True	False	False	False	False	False
Telefol	tlf	tele1256	False	True	False	False	False	False
Teiwa	twe	teiw1235	False	True	False	False	False	False
Tedim Chin	ctd	tedi1235	False	True	False	False	False	False
Tebul Ure Dogon	dtu	tebu1239	False	True	False	False	False	False
Tayart Tamajeq	thz	taya1257	False	True	False	False	False	False
Tawra	mhu	diga1241	False	True	False	False	False	False
Tawala	tbo	tawa1275	False	True	False	False	False	False
Tauya	tya	tauy1241	False	True	False	False	False	False
Taulil	tuh	taul1251	False	True	False	False	False	False
Tatuyo	tav	tatu1247	False	True	False	False	False	False
Tatana	txx	tata1257	False	True	False	False	False	False
Tataltepec Chatino	cta	tata1258	False	True	False	False	False	False
Tariana	tae	tari1256	False	True	False	False	False	False
Tapieté	tpj	tapi1253	False	True	False	False	False	False
Tanzanian Ngoni	xnj	tanz1241	False	True	False	False	False	False
Tanimuca-Retuarã	tnc	tani1257	False	True	False	False	False	False
Tamasheq	taq	tama1365	False	True	False	False	False	False
Talise	tlr	tali1259	True	False	False	False	False	False
Takuu	nho	taku1257	True	False	False	False	False	False
Takia	tbc	taki1248	False	True	False	False	False	False
Takelma	tkm	take1257	True	False	False	False	False	False
Tajio	tdj	taji1246	False	True	False	False	False	False
Tairuma	uar	tair1256	False	True	False	False	False	False
Tainae	ago	tain1253	False	True	False	False	False	False
Taiga Sayan Turkic	kim	kara1462	False	True	False	False	False	False
Taiap	gpn	taia1239	False	True	False	False	False	False
Tai Dam	blt	taid1247	False	True	False	False	False	False
Tagabawa	bgs	taga1272	False	True	False	False	False	False
Tadaksahak	dsq	tada1238	False	True	False	False	False	False
Tachelhit	shi	tach1250	False	True	False	False	False	False
Tabo	knv	tabo1241	False	True	False	False	False	False
Tabasco Chontal	chf	taba1266	False	True	False	False	False	False
Sãotomense	cri	saot1239	False	True	False	False	False	False
Susu	sus	susu1250	True	False	False	False	False	False
Surigaonon	sgd	suri1273	False	True	False	False	False	False
Surgut Khanty	NOCODE_Surgut-Khanty	surg1248	True	False	False	False	False	False
Sundanese	sun	sund1252	False	True	False	False	False	False
Sulka	sua	sulk1246	False	True	False	False	False	False
Sukur	syk	suku1272	False	True	False	False	False	False
Sudest	tgo	sude1239	False	True	False	False	False	False
Sud Oranais-Gourara	grr	tazn1238	False	True	False	False	False	False
Stod Bhoti	sbu	stod1241	True	False	False	False	False	False
Stau-Dgebshes	ero	horp1239	False	True	False	False	False	False
Standard Arabic	arb	stan1318	True	False	False	False	False	False
Squamish	squ	squa1248	True	False	False	False	False	False
Spiti Bhoti	spt	spit1240	True	False	False	False	False	False
