Language	ISO 639-3	Glottocode	cardinals	quantifiers	reduced_numerals	reduced_system	small_numerals	small_system
Halbi	hlb	halb1244	True	False	False	False	False	False
Haka Chin	cnh	haka1240	False	True	False	False	False	False
Hadza	hts	hadz1240	False	True	False	False	False	False
Hadrami Arabic	ayh	hadr1236	True	False	False	False	False	False
Hadiyya	hdy	hadi1240	False	True	False	False	False	False
Ha	haq	haaa1252	False	True	False	False	False	False
Gwahatike	dah	gwah1244	False	True	False	False	False	False
Guruntum-Mbaaru	grd	guru1271	False	True	False	False	False	False
Guragone	gge	gura1252	False	True	False	False	False	False
Gulf Coast French	NOCODE_Gulf-Coast-French	gulf1242	False	True	False	False	False	False
Gulf Arabic	afb	gulf1241	False	True	False	False	False	False
Gujari	gju	guja1253	True	False	False	False	False	False
Gujarati	guj	guja1252	True	False	False	False	False	False
Guiqiong	gqi	guiq1238	False	True	False	False	False	False
Gugu Badhun	gdc	gugu1253	False	True	False	False	False	False
Gude	gde	gude1246	False	True	False	False	False	False
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	False	True	False	False	False	False
Guató	gta	guat1253	False	True	False	False	False	False
Guaicurian	NOCODE_Guaicurian	guai1237	False	True	False	False	False	False
Grenadian Creole English	gcl	gren1247	False	True	False	False	False	False
Grass Koiari	kbk	gras1249	False	True	False	False	False	False
Gorontalo	gor	goro1259	False	True	False	False	False	False
Golin	gvf	goli1247	False	True	False	False	False	False
Gogo	gog	gogo1263	True	False	False	False	False	False
