Language	ISO 639-3	Glottocode	comitative_causative	sociative
Taiap	gpn	taia1239	False	False
Tai Laing	tjl	tail1248	False	False
Tai Dón	twh	taid1250	False	False
Tai Dam	blt	taid1247	False	False
Tahltan	tht	tahl1239	False	False
Tahitian	tah	tahi1242	False	False
Tahaggart Tamahaq	thv	taha1241	False	False
Tagoi	tag	tago1246	False	False
Tagish	tgx	tagi1240	False	False
Tagin	tgj	tagi1241	False	False
Tagdal	tda	tagd1238	False	False
Tagbanwa	tbw	tagb1258	False	False
Tagalog	tgl	taga1270	False	False
Tagabawa	bgs	taga1272	False	False
Tafi	tcd	tafi1243	False	False
Tadaksahak	dsq	tada1238	False	False
Tachelhit	shi	tach1250	False	False
Tacana	tna	taca1256	False	False
Tabo	knv	tabo1241	False	False
Tabla	tnm	tabl1243	False	False
Tabasco Chontal	chf	taba1266	False	False
Tabaru	tby	taba1263	False	False
Ta'izzi-Adeni Arabic	acq	taiz1242	False	False
T'apo	lgn	opuu1239	False	False
Sô	sss	sooo1254	False	False
Sìcìté Sénoufo	sep	sici1249	False	False
Sãotomense	cri	saot1239	False	False
Sylheti	syl	sylh1242	False	False
Sydney	xdk	sydn1236	False	False
Syan	NOCODE_Syan	syan1242	False	False
Swedish	swe	swed1254	False	False
Swati	ssw	swat1243	False	False
Swampy Cree	csw	swam1239	False	False
Swahili	swh	swah1253	False	False
Swabian	swg	swab1242	False	False
Svan	sva	svan1243	False	False
Susu	sus	susu1250	False	False
Sursurunga	sgz	surs1246	False	False
Surigaonon	sgd	suri1273	False	False
Surgut Khanty	NOCODE_Surgut-Khanty	surg1248	False	False
Supyire Senoufo	spp	supy1237	False	False
Sundanese	sun	sund1252	False	False
Sumi Naga	nsm	sumi1235	False	False
Sumerian	sux	sume1241	False	False
Sumbawa	smw	sumb1241	False	False
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	False	False
Sulka	sua	sulk1246	False	False
Sula	szn	sula1248	False	False
Sukur	syk	suku1272	False	False
Sui	swi	suii1243	False	False
Suena	sue	suen1241	False	False
Sudest	tgo	sude1239	False	False
Sudanese Creole Arabic	pga	suda1237	False	False
Sudanese Arabic	apd	suda1236	False	False
Sud Oranais-Gourara	grr	tazn1238	False	False
Subtiaba	sut	subt1250	False	False
Subiya	sbs	subi1246	False	False
Suba-Simbiti	ssc	suba1252	False	False
Suba	sxb	suba1238	False	False
Suabo	szp	suab1238	False	False
Stoney	sto	ston1242	False	False
Stod Bhoti	sbu	stod1241	False	False
Stau-Dgebshes	ero	horp1239	False	False
Standard Malay	zsm	stan1306	False	False
Standard Indonesian	ind	indo1316	False	False
Standard Arabic	arb	stan1318	False	False
Sri Lanka Malay	sci	sril1245	False	False
Sranan Tongo	srn	sran1240	False	False
Squamish	squ	squa1248	False	False
Spokane	spo	spok1245	False	False
Spiti Bhoti	spt	spit1240	False	False
Spanish	spa	stan1288	False	False
Southwestern Dinka	dik	sout2832	False	False
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	False	False
Southwest Tanna	nwi	sout2869	False	False
Southern-Coastal Tsimshian	tsi	nucl1649	False	False
Southern Tutchone	tce	sout2957	False	False
Southern Tiwa	tix	sout2961	False	False
Southern Tangkhul Naga	NOCODE_Southern-Tangkhul	khan1277	False	False
Southern Sotho	sot	sout2807	False	False
Southern Sierra Miwok	skd	sout2985	False	False
Southern Sama	ssb	sout2918	False	False
Southern Qiang	qxs	sout2728	False	False
Southern Puget Sound Salish	slh	sout2965	False	False
Southern Pomo	peq	sout2984	False	False
Southern Pashto	pbt	sout2649	False	False
Southern Pame	pmz	sout2999	False	False
Southern Nambikuára	nab	sout2994	False	False
Southern Kiwai	kjd	sout2949	False	False
Southern Kisi	kss	sout2778	False	False
Southern Jinghpaw	kac	kach1280	False	False
Southern Haida	hax	sout2956	False	False
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	False	False
Southern Grebo	grj	sout2826	False	False
Southern Ghale	ghe	sout2715	False	False
Southern Dong	kmc	sout2741	False	False
Southern Conchucos Ancash Quechua	qxo	sout2992	False	False
Southern Bobo Madaré	bwq	sout2840	False	False
Southern Balochi	bcc	sout2642	False	False
Southern Bai	bfs	sout2730	False	False
Southern Aymara	ayc	sout2996	False	False
Southern Amami-Oshima	ams	sout2954	False	False
Southern Altai	alt	sout2694	False	False
Southeastern Tepehuan	stp	sout2976	False	False
Southeastern Pomo	pom	sout2982	False	False
Southeastern Kolami	nit	sout1549	False	False
Southeast Pashayi	psi	sout2672	False	False
Southeast Ijo	ijs	sout2774	False	False
Southeast Ambrym	tvk	sout2859	False	False
South-Eastern Ju	ktz	juho1239	False	False
South-Central Koongo	kng	koon1244	False	False
South Wa	prk	para1301	False	False
South Nuaulu	nxl	sout2895	False	False
South Levantine Arabic	ajp	sout3123	False	False
South Fali	fal	sout2782	False	False
South Efate	erk	sout2856	False	False
South Bolivian Quechua	quh	sout2991	False	False
South Azerbaijani	azb	sout2697	False	False
Sougb	mnx	mani1235	False	False
Sorkhei	sqo	sork1239	False	False
Sora	srb	sora1254	False	False
Soqotri	sqt	soqo1240	False	False
Soo	teu	sooo1256	False	False
Sonsorol	sov	sons1242	False	False
Somali	som	soma1255	False	False
Solu-Khumbu Sherpa	xsr	sher1255	False	False
Soli	sby	soli1239	False	False
Soic	soj	soii1239	False	False
Sogdian	sog	sogd1245	False	False
Soga	xog	soga1242	False	False
Sochiapam Chinantec	cso	soch1239	False	False
Sobei	sob	sobe1238	False	False
So (Democratic Republic of Congo)	soc	sode1235	False	False
Slovenian	slv	slov1268	False	False
Slovak	slk	slov1269	False	False
Skou	skv	nucl1634	False	False
Skolt Sami	sms	skol1241	False	False
Siyin Chin	csy	siyi1240	False	False
Siwu	akp	siwu1238	False	False
Siwi	siz	siwi1239	False	False
Siwai	siw	siwa1245	False	False
Siuslaw	sis	sius1254	False	False
Situ	tzi	situ1238	False	False
Sisiqa	NOCODE_Sisiqa	sisi1250	False	False
Sirva	sbq	sile1255	False	False
Siroi	ssd	siro1249	False	False
Sirionó	srq	siri1273	False	False
Siraya	fos	sira1267	False	False
Sipacapense	qum	sipa1247	False	False
Siona-Tetete	snn	sion1247	False	False
Sio	xsi	sioo1240	False	False
Sinte-Manus Romani	rmo	sint1235	False	False
Sinhala	sin	sinh1246	False	False
Sindhi	snd	sind1272	False	False
Sinaugoro	snc	sina1266	False	False
Sinasina	sst	sina1271	False	False
Simte	smt	simt1238	False	False
Simbo	sbb	simb1256	False	False
Silt'e	stv	silt1240	False	False
Silacayoapan Mixtec	mks	sila1250	False	False
Siksika	bla	siks1238	False	False
Sikkimese	sip	sikk1242	False	False
Sikaiana	sky	sika1261	False	False
Sika	ski	sika1262	False	False
Sierra de Juárez Zapotec	zaa	sier1250	False	False
Sie	erg	siee1239	False	False
Sidamo	sid	sida1246	False	False
Sicilian	scn	sici1248	False	False
Sichuan Yi	iii	sich1238	False	False
Siawi	mmp	siaw1243	False	False
Siar-Lak	sjr	siar1238	False	False
Siane	snp	sian1257	False	False
Siamou	sif	siam1242	False	False
Shwe Palaung	pll	shwe1236	False	False
Shuswap	shs	shus1248	False	False
Shumashti	sts	shum1235	False	False
Shuar	jiv	shua1257	False	False
Shua	shg	shua1254	False	False
Shoshoni	shh	shos1248	False	False
Shona	sna	shon1251	False	False
Sholaga	sle	shol1240	False	False
Shixing	sxg	shix1238	False	False
Shina	scl	shin1264	False	False
Shilluk	shk	shil1265	False	False
Shihhi Arabic	ssh	shih1239	False	False
Shi	shr	shii1238	False	False
Sherdukpen	sdp	sher1257	False	False
Sherbro	bun	sher1258	False	False
Sheko	she	shek1245	False	False
Shekhawati	swv	shek1243	False	False
She	shx	shee1238	False	False
Shawnee	sjw	shaw1249	False	False
Shatt	shj	shat1244	False	False
Shasta	sht	shas1239	False	False
Shan	shn	shan1277	False	False
Shambala	ksb	sham1280	False	False
Shahrudi	shm	shah1254	False	False
Shabo	sbf	shab1252	False	False
Seze	sze	seze1235	False	False
Severn Ojibwa	ojs	seve1240	False	False
Seselwa Creole French	crs	sese1246	False	False
Serudung Murut	srk	seru1246	False	False
Serua	srw	seru1245	False	False
Serrano	ser	serr1255	False	False
Seri	sei	seri1257	False	False
Sereer	srr	sere1260	False	False
Serbian-Croatian-Bosnian	hbs	sout1528	False	False
Senthang Chin	sez	sent1260	False	False
Sentani	set	nucl1632	False	False
Senhaja De Srair	sjs	senh1238	False	False
Seneca	see	sene1264	False	False
Senari	sef	ceba1235	False	False
Sena	seh	nucl1396	False	False
Semnani	smy	semn1249	False	False
Semelai	sza	seme1247	False	False
Semaq Beri	szc	sema1265	False	False
Semai	sea	sema1266	False	False
Selkup	sel	selk1253	False	False
Selk'nam	ona	onaa1245	False	False
Selepet	spl	sele1250	False	False
Selee	snw	sele1249	False	False
Selayar	sly	sela1260	False	False
Selaru	slu	sela1259	False	False
Sekpele	lip	sekp1241	False	False
Seke (Vanuatu)	ske	seke1241	False	False
Seke (Nepal)	skj	seke1240	False	False
Seimat	ssg	seim1238	False	False
Seediq	trv	taro1264	False	False
Sedang	sed	seda1262	False	False
Sechelt	sec	sech1246	False	False
Sebat Bet Gurage	sgw	seba1251	False	False
Sea Island Creole English	gul	gull1241	False	False
Scottish Gaelic	gla	scot1245	False	False
Scots	sco	scot1243	False	False
Scanian	scy	scan1238	False	False
Sayula Popoluca	pos	sayu1241	False	False
Saya	say	saya1246	False	False
Sawila	swt	sawi1256	False	False
Sawai	szw	sawa1247	False	False
Savosavo	svs	savo1255	False	False
Savi	sdg	savi1242	False	False
Sauria Paharia	mjt	saur1249	False	False
Saurashtra	saz	saur1248	False	False
Sauraseni Prakrit	psu	saur1252	False	False
Satawalese	stw	sata1237	False	False
Sasak	sas	sasa1249	False	False
Sartang	onp	sart1249	False	False
Sarsi	srs	sars1236	False	False
Sarikoli	srh	sari1246	False	False
Sarangani Manobo	mbs	sara1327	False	False
Sarangani Blaan	bps	sara1326	False	False
Saramaccan	srm	sara1340	False	False
Saraiki	skr	sera1259	False	False
Sara Kaba Náà	kwv	sara1321	False	False
Sapuan	spu	sapu1248	False	False
Saposa	sps	sapo1253	False	False
Sanumá	xsu	sanu1240	False	False
Santali	sat	sant1410	False	False
Santa María Quiegolani Zapotec	zpi	sant1451	False	False
Sanskrit	san	sans1269	False	False
Sansi	ssi	sans1271	False	False
Sankaran Maninka	msc	sank1253	False	False
Saniyo-Hiyewe	sny	sani1270	False	False
Sango	sag	sang1328	False	False
Sangisari	sgr	sang1315	False	False
Sangir	sxn	sang1336	False	False
Sanga (Democratic Republic of Congo)	sng	sang1331	False	False
Sandawe	sad	sand1273	False	False
Sanapaná	spn	sana1298	False	False
Sanaani Arabic	ayn	sana1295	False	False
San Miguel El Grande Mixtec	mig	sanm1295	False	False
San Martín Quechua	qvs	sanm1289	False	False
San Juan Atzingo Popoloca	poe	sanj1285	False	False
San Francisco del Mar Huave	hue	sanf1258	False	False
San Felipe Otlaltepec Popoloca	pow	sanf1264	False	False
San Dionisio del Mar Huave	hve	sand1278	False	False
San Blas Kuna	cuk	sanb1242	False	False
San Andres Creole English	icr	sana1297	False	False
Samoan	smo	samo1305	False	False
Samo	smq	samo1303	False	False
Samburu	saq	samb1315	False	False
Sambalpuri	spv	samb1325	False	False
Samba Daka	ccg	samb1311	False	False
Samaritan	smp	sama1313	False	False
Salt-Yui	sll	salt1242	False	False
Salka-Tsishingini	tsw	tsis1238	False	False
Salinan	sln	sali1253	False	False
Saliba	sbe	sali1295	False	False
Sakizaya	szy	saki1247	False	False
Sakao	sku	saka1289	False	False
Sajalong	sjl	saja1240	False	False
Saisiyat	xsy	sais1237	False	False
Saint Lucian Creole French	acf	sain1246	False	False
Saidi Arabic	aec	said1239	False	False
Sahu	saj	sahu1245	False	False
Saho	ssy	saho1246	False	False
Sagalla	tga	saga1262	False	False
Safwa	sbk	safw1238	False	False
Safeyoka	apz	safe1240	False	False
Safaliba	saf	safa1243	False	False
Sadu	NOCODE_Sadu	sadu1234	False	False
Sadri	sck	sadr1248	False	False
Sacapulteco	quv	saca1238	False	False
Sabanê	sae	saba1268	False	False
Sabaic	xsa	saba1279	False	False
Sabah Malay	msi	saba1263	False	False
Saaroa	sxr	saar1237	False	False
Saamia	lsm	saam1283	False	False
Saafi-Saafi	sav	saaf1238	False	False
Sa'a	apb	saaa1240	False	False
Sa	sax	saaa1241	False	False
S'gaw Karen	ksw	sgaw1245	False	False
Réunion Creole French	rcf	reun1238	False	False
Rwa	rwk	rwaa1238	False	False
Ruund	rnd	ruun1238	False	False
Ruuli	ruc	ruul1235	False	False
Rutul	rut	rutu1240	False	False
Rusyn	rue	rusy1239	False	False
Russian	rus	russ1263	False	False
Russia Buriat	bxr	russ1264	False	False
Rungus	drg	rung1259	False	False
Rundi	run	rund1242	False	False
Rumu	klq	rumu1243	False	False
Rukai	dru	ruka1240	False	False
Ruga	ruh	ruga1238	False	False
Ruching Palaung	pce	ruch1235	False	False
Roviana	rug	rovi1238	False	False
Rotuman	rtm	rotu1241	False	False
Rotokas	roo	roto1249	False	False
Rongpo	rnp	rong1264	False	False
Rongmei Naga	nbu	rong1266	False	False
Romblomanon	rol	romb1245	False	False
Romansh	roh	roma1326	False	False
Romanian	ron	roma1327	False	False
Romagnol	rgn	roma1328	False	False
Riuk Bekati'	bei	beka1241	False	False
Ritarungo	rit	rita1239	False	False
Rio Grande Tewa	tew	tewa1260	False	False
Rimanggudinhma	zmv	mbar1253	False	False
Riantana	ran	rian1263	False	False
Reta	ret	rett1240	False	False
Resígaro	rgr	resi1247	False	False
Reshe	res	resh1242	False	False
Rerep	pgk	rere1240	False	False
Rennell-Bellona	mnv	renn1242	False	False
Rengao	ren	reng1252	False	False
Rendille	rel	rend1243	False	False
Rembong-Wangka	reb	remb1250	False	False
Rembarunga	rmb	remb1249	False	False
Rejang	rej	reja1240	False	False
Rejang Kayan	ree	reja1241	False	False
Reel	atu	reel1238	False	False
Rayón Zoque	zor	rayo1235	False	False
Rawat	jnl	rawa1264	False	False
Rawang	raw	rawa1265	False	False
Rawa	rwo	rawa1267	False	False
Raute	rau	raut1239	False	False
Ratahan	rth	rata1244	False	False
Rarotongan	rar	raro1241	False	False
Rapoisi	kyx	rapo1238	False	False
Rapanui	rap	rapa1244	False	False
Rao	rao	raoo1244	False	False
Rangpuri	rkt	rang1265	False	False
Rana Tharu	thr	rana1246	False	False
Ramoaaina	rai	ramo1244	False	False
Rama	rma	rama1270	False	False
Rakahanga-Manihiki	rkh	raka1237	False	False
Raji	rji	raji1240	False	False
Rajbanshi	rjs	rajb1243	False	False
Rade	rad	rade1240	False	False
Rabha	rah	rabh1238	False	False
Quiotepec Chinantec	chq	quio1240	False	False
Quinault	qun	quin1251	False	False
Quileute	qui	quil1240	False	False
Quechan	yum	quec1382	False	False
Quapaw	qua	quap1242	False	False
Qimant	ahg	qima1242	False	False
Qashqa'i	qxq	qash1240	False	False
Qaqet	byx	qaqe1238	False	False
Q'anjob'al	kjb	qanj1241	False	False
Pökoot	pko	poko1263	False	False
Päri	lkr	pari1256	False	False
Páez	pbb	paez1247	False	False
Pwo Western Karen	pwo	pwow1235	False	False
Pwo Eastern Karen	kjp	pwoe1235	False	False
Puyuma	pyu	puyu1239	False	False
Purum	pub	puru1266	False	False
Purik-Sham-Nubra	prx	puri1258	False	False
Purepecha	tsz	pure1242	False	False
Purari	iar	pura1257	False	False
Pumé	yae	pume1238	False	False
Puma	pum	puma1239	False	False
Puluwatese	puw	pulu1242	False	False
Pular	fuf	pula1262	False	False
Pulaar	fuc	pula1263	False	False
Pukapuka	pkp	puka1242	False	False
Psikye	kvj	psik1239	False	False
Principense	pre	prin1242	False	False
Prasun	prn	pras1239	False	False
Prai	prt	phai1238	False	False
Pouye	bye	pouy1238	False	False
Poumei Naga	pmx	poum1235	False	False
Pottangi Ollar Gadaba	gdb	pott1240	False	False
Potawatomi	pot	pota1247	False	False
Portuguese	por	port1283	False	False
Port Sandwich	psw	port1285	False	False
Poqomchi'	poh	poqo1254	False	False
Poqomam	poc	poqo1253	False	False
Popti'	jac	popt1235	False	False
Pontic	pnt	pont1253	False	False
Pondi	lnm	lang1328	False	False
Polish	pol	poli1260	False	False
Polci	plj	polc1243	False	False
Polabian	pox	pola1255	False	False
Pohnpeian	pon	pohn1238	False	False
Plautdietsch	pdt	plau1238	False	False
Plateau Malagasy	plt	plat1254	False	False
Plains Cree	crk	plai1258	False	False
Pitta Pitta	pit	pitt1247	False	False
Pitjantjatjara	pjt	pitj1243	False	False
Pite Sami	sje	pite1240	False	False
Pitcairn-Norfolk	pih	pitc1234	False	False
Piscataway	psy	pisc1239	False	False
Pirahã	myp	pira1253	False	False
Pipil	ppl	pipi1250	False	False
Pintupi-Luritja	piu	pint1250	False	False
Pintiini	pti	pint1251	False	False
Pinotepa Nacional Mixtec	mio	pino1237	False	False
Pingelapese	pif	ping1243	False	False
Pinai-Hagahai	pnn	pina1252	False	False
Pimbwe	piw	pimb1238	False	False
Pima Bajo	pia	pima1248	False	False
Pilagá	plg	pila1245	False	False
Pijin	pis	piji1239	False	False
Piemontese	pms	piem1238	False	False
Picuris Northern Tiwa	NOCODE_Picuris-Northern-Tiwa	picu1248	False	False
Pichi	fpe	fern1234	False	False
Piaroa	pid	piar1243	False	False
Piapoco	pio	piap1246	False	False
Phrygian	xpg	phry1239	False	False
Phong-Kniang	pnx	phon1246	False	False
Phoenician	phn	phoe1239	False	False
Phalura	phl	phal1254	False	False
Phake	phk	phak1238	False	False
Pfaelzisch	pfl	pala1330	False	False
Peñoles Mixtec	mil	peno1244	False	False
Peve	lme	peve1243	False	False
Pero	pip	pero1241	False	False
Peripheral Mongolian	mvf	peri1253	False	False
Peranakan Indonesian	pea	pera1256	False	False
Penrhyn	pnh	penr1237	False	False
Pennsylvania German	pdc	penn1240	False	False
Pendau	ums	pend1242	False	False
Penange	NOCODE_Penange	pena1270	False	False
Pele-Ata	ata	pele1245	False	False
Pedi	nso	pedi1238	False	False
Pech	pay	pech1241	False	False
Pazeh	pzh	kulo1237	False	False
Pawnee	paw	pawn1254	False	False
Paumarí	pad	paum1247	False	False
Patwin	pwi	patw1250	False	False
Patpatar	gfk	patp1243	False	False
Patep	ptp	pate1247	False	False
Pass Valley Yali	yac	pass1247	False	False
Pará Arára	aap	para1310	False	False
Parachi	prc	para1299	False	False
Papuan Malay	pmy	papu1250	False	False
Papiamento	pap	papi1253	False	False
Papar	dpp	papa1268	False	False
Papapana	ppn	papa1265	False	False
Panytyima	pnw	pany1241	False	False
Pangwa Naga	nst	tase1235	False	False
Pangutaran Sama	slm	pang1291	False	False
Pangasinan	pag	pang1290	False	False
Panará	kre	pana1307	False	False
Panare	pbh	enap1235	False	False
Panamint	par	pana1305	False	False
Pamplona Atta	att	pamp1244	False	False
Pampanga	pam	pamp1243	False	False
Pamosu	hih	pamo1253	False	False
Paluai	blq	balu1257	False	False
Palikúr	plu	pali1279	False	False
Pali	pli	pali1273	False	False
Palenquero	pln	pale1260	False	False
Palauan	pau	pala1344	False	False
Palantla Chinantec	cpa	pala1351	False	False
Paiwan	pwn	paiw1248	False	False
Paite Chin	pck	pait1244	False	False
Paisaci Prakrit	qpp	pais1238	False	False
Paipai	ppi	paip1241	False	False
Pahlavi	pal	pahl1241	False	False
Pahari Newari	phj	paha1257	False	False
Pagu	pgu	pagu1249	False	False
Pagibete	pae	pagi1243	False	False
Pacoh	pac	paco1243	False	False
Pacific Gulf Yupik	ems	paci1278	False	False
Pacaraos Quechua	qvp	paca1245	False	False
Paasaal	sig	paas1238	False	False
Paama	pma	paam1238	False	False
Paakantyi	drl	darl1243	False	False
Pa'a	pqa	paaa1242	False	False
Ozolotepec Zapotec	zao	ozol1235	False	False
Oyda	oyd	oyda1235	False	False
Owa	stn	owaa1237	False	False
Otuho	lot	otuh1238	False	False
Ottawa	otw	otta1242	False	False
Otoro	otr	otor1240	False	False
Ot Danum	otd	otda1235	False	False
Ostfränkisch	vmf	main1267	False	False
Osage	osa	osag1243	False	False
Orya	ury	orya1242	False	False
Orowe	bpk	orow1242	False	False
Oroko	bdu	orok1266	False	False
Orokaiva	okv	orok1269	False	False
Orok	oaa	orok1265	False	False
Oroha	ora	oroh1237	False	False
Oro Win	orw	orow1243	False	False
Ormuri	oru	ormu1247	False	False
Ormu	orz	ormu1248	False	False
Orma	orc	orma1241	False	False
Oriya	ory	oriy1255	False	False
Onondaga	ono	onon1246	False	False
Ongota	bxe	bira1253	False	False
Oneida	one	onei1249	False	False
Omi	omi	omii1238	False	False
Omani Arabic	acx	oman1239	False	False
Omaha-Ponca	oma	omah1247	False	False
Omagua	omg	omag1248	False	False
Olo	ong	oloo1241	False	False
Olekha	ole	olek1239	False	False
Older Runic	NOCODE_Older-Runic	olde1239	False	False
Old Welsh	owl	oldw1239	False	False
Old Saxon	osx	olds1250	False	False
Old Sabellic	qhr	sabe1248	False	False
Old Prussian	prg	prus1238	False	False
Old Provençal	pro	oldp1253	False	False
Old Persian (ca. 600-400 B.C.)	peo	oldp1254	False	False
Old Nubian	onw	oldn1245	False	False
Old Norse	non	oldn1244	False	False
Old Mon	omx	oldm1242	False	False
Old Malay	NOCODE_Old-Malay	oldm1243	False	False
Old Khmer	qok	oldk1249	False	False
Old Kannada	qkn	oldk1250	False	False
Old Japanese	ojp	oldj1239	False	False
Old High German (ca. 750-1050)	goh	oldh1241	False	False
Old Georgian	oge	oldg1234	False	False
Old Frisian	ofs	oldf1241	False	False
Old French (842-ca. 1400)	fro	oldf1239	False	False
Old English (ca. 450-1100)	ang	olde1238	False	False
Old Chinese	och	oldc1244	False	False
Oku	oku	okuu1243	False	False
Oksapmin	opm	oksa1245	False	False
Okolie	oie	okol1243	False	False
Oko-Eni-Osayen	oks	okoe1238	False	False
Okiek	oki	okie1245	False	False
Oki-No-Erabu	okn	okin1246	False	False
Okanagan	oka	okan1243	False	False
Oirata	oia	oira1263	False	False
Oinam	NOCODE_Oinam	-	False	False
Ogea	eri	ogea1238	False	False
Ogbronuagum	ogu	ogbr1243	False	False
Ogbia	ogb	ogbi1239	False	False
Odual	odu	odua1238	False	False
Odoodee	kkc	odoo1238	False	False
Ocotepec Mixtec	mie	ocot1243	False	False
Occitan	oci	occi1239	False	False
Obolo	ann	obol1243	False	False
Obokuitai	afz	obok1239	False	False
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	False	False
N||ng	ngh	nngg1234	False	False
Nzima	nzi	nzim1238	False	False
Nzanyi	nja	nzan1240	False	False
Nzadi	nzd	nzad1234	False	False
Nyunga	nys	nyun1247	False	False
Nyulnyul	nyv	nyul1247	False	False
Nyoro	nyo	nyor1246	False	False
Nyiyaparli	xny	nija1241	False	False
Nyishi-Hill Miri	njz	nyis1236	False	False
Nyiha (Tanzania)	nih	nyih1240	False	False
Nyigina	nyh	nyig1240	False	False
Nyawaygi	nyt	nyaw1247	False	False
Nyaturu	rim	nyat1246	False	False
Nyankole	nyn	nyan1307	False	False
Nyanja	nya	nyan1308	False	False
Nyangumarta	nna	nyan1301	False	False
Nyangbo	nyb	nyan1302	False	False
Nyangatom	nnj	nyan1315	False	False
Nyang'i	nyp	nyan1313	False	False
Nyamwezi	nym	nyam1276	False	False
Nyambo	now	nyam1277	False	False
Nyam	nmi	nyam1285	False	False
Nyali	nlj	nyal1250	False	False
Nyahkur	cbn	nyah1250	False	False
Nyaheun	nev	nyah1249	False	False
Nuu-chah-nulth	nuk	nuuc1236	False	False
Nuristani Kalasha	wbk	waig1243	False	False
Nupe-Nupe-Tako	nup	nupe1254	False	False
Nungali	nug	nung1291	False	False
Nung (Viet Nam)	nut	nung1283	False	False
Nung (Myanmar)	nun	nung1282	False	False
Nukuoro	nkr	nuku1260	False	False
Nukna	klt	nukn1238	False	False
Nugunu (Cameroon)	yas	nugu1242	False	False
Nuer	nus	nuer1246	False	False
Nubi	kcn	nubi1253	False	False
Nsenga	nse	nsen1242	False	False
Nottoway	ntw	nott1246	False	False
Notsi	ncf	nots1237	False	False
Norwegian	nor	norw1258	False	False
Northwestern Ojibwa	ojb	nort2961	False	False
Northwestern Lingala	NOCODE_Northwestern-Lingala	nort3345	False	False
Northwestern Kolami	kfb	nort2699	False	False
Northwest Sahaptin	yak	yaki1237	False	False
Northwest Maidu	mjd	nort2951	False	False
Northwest Gbaya	gya	nort2775	False	False
Northwest Alaska Inupiatun	esk	nort2945	False	False
Northern Yukaghir	ykg	nort2745	False	False
Northern Uzbek	uzn	nort2690	False	False
Northern Tujia	tji	nort2732	False	False
Northern Tshwa	hio	tsoa1238	False	False
Northern Tosk Albanian	als	tosk1239	False	False
Northern Thai	nod	nort2740	False	False
Northern Tepehuan	ntp	nort2959	False	False
Northern Subanen	stb	nort2885	False	False
Northern Straits Salish	str	stra1244	False	False
Northern Sami	sme	nort2671	False	False
Northern Roglai	rog	nort2994	False	False
Northern Qiang	cng	nort2722	False	False
Northern Pumi	pmi	nort2723	False	False
Northern Puebla Nahuatl	ncj	nort2957	False	False
Northern Pomo	pej	nort2966	False	False
Northern Pastaza Quichua	qvz	nort2973	False	False
Northern Pashto	pbu	nort2646	False	False
Northern Pame	pmq	nort2984	False	False
Northern Paiute	pao	nort2954	False	False
Northern One	onr	nort2907	False	False
Northern Mansi	mns	mans1258	False	False
Northern Lushootseed	lut	lush1252	False	False
Northern Luri	lrc	nort2645	False	False
Northern Kurdish	kmr	nort2641	False	False
Northern Khmer	kxm	nort2684	False	False
Northern Kankanay	xnn	nort2877	False	False
Northern Jinghpaw	sgp	sing1264	False	False
Northern Inland Yuin	NOCODE_Northern-Inland-Yuin	nort2760	False	False
Northern Hmong	NOCODE_Northern-Hmong	nort3244	False	False
Northern Haida	hdn	nort2938	False	False
Northern Gumuz	guk	gumu1244	False	False
Northern Gondi	gno	nort2702	False	False
Northern Frisian	frr	nort2626	False	False
Northern Emberá	emp	nort2972	False	False
Northern East Cree	crl	nort1552	False	False
Northern Dagara	dgi	nort2780	False	False
Northern Conchucos Ancash Quechua	qxn	nort2979	False	False
Northern Amami-Oshima	ryn	nort2935	False	False
Northern Alta	aqn	nort2875	False	False
Northeastern Thai	tts	nort2741	False	False
Northeast Maidu	nmu	nort2952	False	False
Northeast Kiwai	kiw	nort2930	False	False
North-Central Talysh	tly	taly1247	False	False
North-Central Ju	knw	kung1261	False	False
North-Central Dargwa	dar	darg1241	False	False
North Tanna	tnn	nort2847	False	False
North Tairora	tbg	nort2920	False	False
North Slavey	scs	nort2942	False	False
North Moluccan Malay	max	nort2828	False	False
North Mesopotamian Arabic	ayp	nort3142	False	False
North Marquesan	mrq	nort2845	False	False
North Levantine Arabic	apc	nort3139	False	False
North Junín Quechua	qvn	nort2980	False	False
North Giziga	gis	nort3047	False	False
North Efate	llp	nort2836	False	False
North Azerbaijani	azj	nort2697	False	False
North Ambrym	mmg	nort2839	False	False
North Alaskan Inupiatun	esi	nort2943	False	False
Nopala Chatino	cya	nopa1235	False	False
Noone	nhu	noon1243	False	False
Noon	snf	noon1242	False	False
Nonuya	noj	nonu1241	False	False
Nomaande	lem	noma1260	False	False
Nokuku	nkk	noku1237	False	False
Nogai	nog	noga1249	False	False
Nocte Naga	njb	noct1238	False	False
Nobiin	fia	nobi1240	False	False
Nkonya	nko	nkon1248	False	False
Nkem-Nkum	isi	nkem1242	False	False
Nkami	nkq	nkam1239	False	False
Njyem	njy	njye1238	False	False
Njerep	njr	njer1242	False	False
Njebi	nzb	njeb1242	False	False
Njanga	NOCODE_Njanga	njan1240	False	False
Nizaa	sgi	suga1248	False	False
Niuean	niu	niue1239	False	False
Niuafo'ou	num	niua1240	False	False
Nisga'a	ncg	nisg1240	False	False
Nisenan	nsz	nise1244	False	False
Nipmuck	xlo	loup1243	False	False
