Language	ISO 639-3	Glottocode	comitative_causative	sociative
Zemba	dhm	zemb1238	False	False
Zbu	NOCODE_Zbu	zbua1234	False	False
Zayse-Zergulla	zay	zays1235	False	False
Zarma-Kaado	dje	zarm1239	False	False
Zaniza Zapotec	zpw	zani1235	False	False
Zande	zne	zand1248	False	False
Zakhring	zkr	zakh1243	False	False
Zaiwa	atb	zaiw1241	False	False
Zacatepec Chatino	ctz	zaca1242	False	False
Zabana	kji	zaba1237	False	False
Yámana	yag	yama1264	False	False
Yuwaalaraay-Gamilaraay	kld	gami1243	False	False
Yurok	yur	yuro1248	False	False
Yuracaré	yuz	yura1255	False	False
Yuputhimri	NOCODE_Yuputhimri	yupu1235	False	False
Yulu	yul	yulu1243	False	False
Yulparija	NOCODE_Yulparija	yulp1239	False	False
Yukuben	ybl	yuku1243	False	False
Yuki	yuk	yuki1243	False	False
Yue Chinese	yue	yuec1235	False	False
Yucuna	ycn	yucu1253	False	False
Yuchi	yuc	yuch1247	False	False
Yucatec Maya	yua	yuca1254	False	False
Yoy	yoy	yoyy1238	False	False
Younuo Bunu	buh	youn1235	False	False
Yosondúa Mixtec	mpm	yoso1239	False	False
Yoruba	yor	yoru1245	False	False
Yorta Yorta	xyy	yort1237	False	False
Yora	mts	yora1241	False	False
Yopno	yut	yopn1238	False	False
Yongning Na	nru	yong1270	False	False
Yongnan Zhuang	zyn	yong1275	False	False
Yonggom	yon	yong1280	False	False
Yonaguni	yoi	yona1241	False	False
Yom	pil	yomm1242	False	False
Yokuts	yok	yoku1256	False	False
Yogad	yog	yoga1237	False	False
Yiwom	gek	yiwo1237	False	False
Yir-Yoront	yiy	yiry1245	False	False
Yintyinka-Ayabadhu	ayd	ayab1239	False	False
Yinggarda	yia	ying1247	False	False
Yine	pib	yine1238	False	False
Yindjibarndi	yij	yind1247	False	False
Yinchia	yin	yinc1238	False	False
Yimas	yee	yima1243	False	False
Yidiny	yii	yidi1250	False	False
Yeyi	yey	yeyi1239	False	False
Yessan-Mayo	yss	yess1239	False	False
Yerukula	yeu	yeru1240	False	False
Yeri	yev	yapu1240	False	False
Yemsa	jnj	yems1235	False	False
Yemba	ybb	yemb1246	False	False
Yele	yle	yele1255	False	False
Yecuatla Totonac	tlc	yecu1235	False	False
Ye'kwana	mch	maqu1238	False	False
Yaygir	xya	yayg1236	False	False
Yawuru	ywr	yawu1244	False	False
Yaweyuha	yby	yawe1241	False	False
Yawa	yva	nucl1454	False	False
Yauyos Quechua	qux	yauy1235	False	False
Yau (Morobe Province)	yuw	yaum1237	False	False
Yareba	yrb	yare1248	False	False
Yaqui	yaq	yaqu1251	False	False
Yapese	yap	yape1248	False	False
Yao	yao	yaoo1241	False	False
Yanyuwa	jao	yany1243	False	False
Yanomám	wca	yano1262	False	False
Yankunytjatjara	kdd	yank1247	False	False
Yanesha'	ame	yane1238	False	False
Yandruwandha	ynd	yand1253	False	False
Yanda Dom Dogon	dym	yand1257	False	False
Yana	ynn	yana1271	False	False
Yan-nhangu	jay	yann1237	False	False
Yami	tao	yami1254	False	False
Yamba	yam	yamb1251	False	False
Yalunka	yal	yalu1240	False	False
Yale	nce	yale1246	False	False
Yalarnnga	ylr	yala1262	False	False
Yalahatan-Haruru-Awaiya	jal	yala1266	False	False
Yala	yba	yala1263	False	False
Yakkha	ybh	yakk1236	False	False
Yakan	yka	yaka1277	False	False
Yagua	yad	yagu1244	False	False
Yagnobi	yai	yagn1238	False	False
Yagaria	ygr	yaga1260	False	False
Yagara-Jandai	NOCODE_Yagara	yaga1256	False	False
Yaeyama	rys	yaey1239	False	False
Yabem	jae	yabe1254	False	False
Yaaku	muu	yaak1241	False	False
Xârâcùù	ane	xara1244	False	False
Xokleng	xok	xokl1240	False	False
Xishanba Lalo	ywt	xish1235	False	False
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	False	False
Xicotepec De Juárez Totonac	too	xico1235	False	False
Xiang Chinese	hsn	xian1251	False	False
Xhosa	xho	xhos1239	False	False
Xanaguía Zapotec	ztg	xana1235	False	False
Xamtanga	xan	xamt1239	False	False
Wymysorys	wym	wymy1235	False	False
Wuvulu-Aua	wuv	wuvu1239	False	False
Wutung	wut	wutu1244	False	False
Wunambal	wub	wuna1249	False	False
Wulguru	qgu	wulg1239	False	False
Wubuy	nuy	nung1290	False	False
