Language	ISO 639-3	Glottocode	occlusive	plosive	stop
Kawarrang-Ogh Undjan	NOCODE_Kawarrang-Ogh-Undjan	kawa1290	False	True	True
Kavalan	ckv	kava1241	False	True	True
Katcha-Kadugli-Miri	xtc	katc1249	False	True	True
Karitiâna	ktn	kari1311	False	True	True
Karipúna Creole French	kmv	kari1301	False	True	True
Karata	kpt	kara1474	False	True	True
Karamojong	kdj	kara1483	False	True	True
Kara-Kalpak	kaa	kara1467	False	True	True
Kankanaey	kne	kank1243	False	True	True
Kaninuwa	wat	kani1281	False	True	True
Kaningdon-Nindem	kdp	kani1277	False	True	True
Kanashi	xns	kana1283	False	True	True
Kanakanavu	xnb	kana1286	False	True	True
Kami (Tanzania)	kcu	kami1256	False	True	True
Kambaata	ktb	kamb1316	False	True	True
Kamang	woi	kama1365	False	True	True
Kam	kdx	kamm1249	False	True	True
Kalkoti	xka	kalk1245	False	True	True
Kalanga	kck	kala1384	False	True	True
Kalami	gwc	kala1373	False	True	True
Kalamang	kgv	kara1499	False	True	True
Kalabari	ijn	kala1381	False	True	True
Kakabe	kke	kaka1265	True	False	True
Kaike	kzq	kaik1246	False	True	True
Kagulu	kki	kagu1239	False	True	True
Kafoa	kpu	kafo1240	False	True	True
Kaera	jka	kaer1234	False	True	True
Kado	kdv	kado1242	False	True	True
Kachi Koli	gjk	kach1272	False	True	True
Kachchi	kfr	kach1277	False	True	True
Kaba	ksp	kaba1281	False	True	True
Jumjum	jum	jumj1238	False	True	True
Judeo-Tripolitanian Arabic	yud	jude1264	False	True	True
Judeo-Persian	jpr	jude1257	False	True	True
Jiba	juo	jiba1237	False	True	True
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	jewi1240	False	True	True
Jerung	jee	jeru1240	False	True	True
Jennu Kurumba	xuj	jenn1240	False	True	True
Jejara Naga	pzn	para1302	False	True	True
Jebero	jeb	jebe1250	False	True	True
Jaunsari	jns	jaun1243	False	True	True
Jarawa (India)	anq	jara1245	False	True	True
Jarai	jra	jara1266	False	True	True
Jaqaru	jqr	jaqa1244	True	False	True
Japhug	NOCODE_Japhug	japh1234	False	True	True
Jambi Malay	jax	jamb1236	False	True	True
Jah Hut	jah	jahh1242	True	False	True
Jad	jda	jadd1243	False	True	True
Izi-Ezaa-Ikwo-Mgbo	izi	izie1238	False	True	True
Izere	izr	izer1241	False	True	True
Itbayat	ivv	ivat1242	False	True	True
Isinai	inn	isin1239	False	True	True
Irula of the Nilagiri	iru	irul1243	False	True	True
Iraqw	irk	iraq1241	False	True	True
Inter-Zab Jewish Neo-Aramaic	aij	lish1245	False	True	True
Ingush	inh	ingu1240	False	True	True
Imonda	imn	imon1245	False	True	True
Imbabura Highland Quichua	qvi	imba1240	False	True	True
Ili'uun	ilu	iliu1237	False	True	True
Ikoma-Nata	ntk	ikom1245	False	True	True
Ikaranggal	ikr	ikar1243	False	True	True
Ika	ikk	ikaa1238	False	True	True
Igbo	ibo	nucl1417	False	True	True
Igala	igl	igal1242	False	True	True
Iban	iba	iban1264	False	True	True
Iatmul	ian	iatm1242	False	True	True
Hunzib	huz	hunz1247	False	True	True
Hungarian	hun	hung1274	False	True	True
Hung	hnu	hung1275	True	False	True
Huli	hui	huli1244	False	True	True
Hula	hul	hula1239	False	True	True
Huizhou Chinese	czh	huiz1242	False	True	True
Huichol	hch	huic1243	False	True	True
Huba	hbb	huba1236	False	True	True
Hoava	hoa	hoav1238	False	True	True
Hixkaryána	hix	hixk1239	False	True	True
Hinuq	gin	hinu1240	False	True	True
Herero	her	here1253	False	True	True
Heiltsuk-Oowekyala	hei	heil1246	False	True	True
Hawai'i Creole English	hwc	hawa1247	False	True	True
Hausa States Fulfulde	fuv	nige1253	False	True	True
Harari	har	hara1271	False	True	True
Hanga Hundi	wos	hang1263	False	True	True
Hadza	hts	hadz1240	False	True	True
Hadothi	hoj	hado1235	False	True	True
Hadiyya	hdy	hadi1240	False	True	True
Ha	haq	haaa1252	False	True	True
Guyanese Creole English	gyn	creo1235	False	True	True
Gurani	hac	gura1251	False	True	True
Gujari	gju	guja1253	False	True	True
Gugubera	kkp	gugu1254	False	True	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	False	True	True
Gooniyandi	gni	goon1238	True	False	True
Gonja	gjn	gonj1241	False	True	True
Gogo	gog	gogo1263	False	True	True
Gofa	gof	gofa1235	False	True	True
Gitonga	toh	gito1238	False	True	True
Girirra	gii	giri1245	False	True	True
Ghanongga	ghn	ghan1242	False	True	True
Ghanaian Pidgin English	gpe	ghan1244	False	True	True
Ghadames	gha	ghad1239	True	False	True
German Northern Low Saxon	frs	nort2628	False	True	True
Gedeo	drs	gede1246	False	True	True
Geba Karen	kvq	geba1237	False	True	True
Gbari	gby	gbar1246	False	True	True
Gayo	gay	gayo1244	False	True	True
Garifuna	cab	gari1256	False	True	True
Gants	gao	gant1244	False	True	True
Ganai	unn	gana1278	False	True	True
Gan Chinese	gan	ganc1239	False	True	True
Gafat	gft	gafa1240	True	False	True
Gaam	tbi	gaam1241	False	True	True
Gaa	ttb	gaaa1245	False	True	True
Fwe	fwe	fwee1238	False	True	True
Futuna-Aniwa	fut	futu1245	False	True	True
Fur	fvr	furr1244	False	True	True
Fungwa	ula	fung1245	False	True	True
Fuliiru	flr	fuli1240	False	True	True
Filomeno Mata Totonac	tlp	filo1235	False	True	True
Fataluku	ddg	fata1247	False	True	True
Fars Dialects	fay	sout2645	False	True	True
Faroese	fao	faro1244	False	True	True
Falam Chin	cfm	fala1243	False	True	True
Faiwol	fai	faiw1243	False	True	True
Faifi	fif	faif1234	False	True	True
Eyak	eya	eyak1241	True	False	True
Even	eve	even1260	False	True	True
Etulo	utr	etul1245	False	True	True
Etruscan	ett	etru1241	True	False	True
Eton-Mengisa	eto	eton1253	False	True	True
Ese Ejja	ese	esee1248	True	False	True
Erzya	myv	erzy1239	False	True	True
Epena	sja	epen1239	False	True	True
Engenni	enn	enge1239	False	True	True
Eleme	elm	elem1253	False	True	True
El Molo	elo	elmo1238	False	True	True
Ejagham	etu	ejag1239	False	True	True
Eipomek	eip	eipo1242	False	True	True
Efe	efe	efee1239	False	True	True
Edolo	etr	edol1239	False	True	True
Ebira	igb	ebir1243	False	True	True
Eastern Pomo	peb	east2545	False	True	True
Eastern Penan	pez	east2485	False	True	True
Eastern Low German	nds	nort2627	False	True	True
Eastern Egyptian Bedawi Arabic	avl	east2690	False	True	True
Eastern Atadei	lmf	sout2896	False	True	True
Eastern Arrernte	aer	east2379	False	True	True
East Taa	nmn	huaa1248	False	True	True
East Nyala	nle	east2409	False	True	True
East Makian	mky	east2440	False	True	True
Dyangadi	dyn	dyan1250	False	True	True
Dusner	dsn	dusn1237	False	True	True
Duruwa	pci	duru1236	True	False	True
Dura	drq	dura1244	False	True	True
Dungar Varli	vav	varl1238	False	True	True
Dumi	dus	dumi1241	False	True	True
Duhumbi	cvg	chug1252	False	True	True
Doromu-Koki	kqc	doro1266	False	True	True
Dom	doa	domm1246	False	True	True
Dogul Dom Dogon	dbg	dogu1235	False	True	True
Dobel	kvo	dobe1238	False	True	True
Diriku	diu	diri1252	False	True	True
Dime	dim	dime1235	False	True	True
Dhofari Arabic	adf	dhof1235	False	True	True
Dhimal	dhi	dhim1246	False	True	True
Dharumbal	xgm	dhar1248	False	True	True
Dhao	nfa	dhao1237	False	True	True
Dhalandji	dhl	dhal1245	False	True	True
Desano	des	desa1247	False	True	True
Dera (Indonesia)	kbv	dera1245	False	True	True
Degema	deg	dege1246	False	True	True
Dazaga	dzg	daza1242	False	True	True
Darma	drd	darm1243	False	True	True
Darai	dry	dara1250	False	True	True
Dampelas	dms	damp1237	False	True	True
Dameli	dml	dame1241	False	True	True
Daman-Diu Portuguese	idb	dama1278	False	True	True
Dahalo	dal	daha1245	True	False	True
Dahalik	dlk	daha1247	False	True	True
Dagik	dec	dagi1241	False	True	True
Dagbani	dag	dagb1246	False	True	True
Daai Chin	dao	daai1236	False	True	True
Cypriot Greek	NOCODE_Cypriot-Greek	cypr1249	True	False	True
Cypriot Arabic	acy	cypr1248	False	True	True
Culina	cul	culi1244	False	True	True
Cross River Mbembe	mfn	cros1244	False	True	True
Crimean Tatar	crh	crim1257	False	True	True
Continental Southern Italian	nap	neap1235	False	True	True
Cocama-Cocamilla	cod	coca1259	True	False	True
Classical Syriac	syc	clas1252	False	True	True
Classical Mandaic	myz	clas1253	False	True	True
Classical Armenian	xcl	clas1249	True	False	True
Cicipu	awc	cici1237	False	True	True
Cia-Cia	cia	ciac1237	False	True	True
Chuvash	chv	chuv1255	False	True	True
Chulym Turkic	clw	chul1246	False	True	True
Chong of Chanthaburi	cog	chon1284	False	True	True
Chocangacakha	cgk	choc1275	False	True	True
Chitwania Tharu	the	chit1274	False	True	True
Chittagonian	ctg	chit1275	False	True	True
Chitkuli Kinnauri	cik	chit1279	False	True	True
Chintang	ctn	chhi1245	False	True	True
Chinali	cih	chin1475	False	True	True
Chimwiini	NOCODE_Chimwiini	chim1312	False	True	True
Chimariko	cid	chim1301	False	True	True
Chiga	cgg	chig1238	False	True	True
Chechen	che	chec1245	False	True	True
Chavacano	cbk	chav1241	False	True	True
Chaldean Neo-Aramaic	cld	chal1275	False	True	True
Chakma	ccp	chak1266	False	True	True
Chakali	cli	chak1271	False	True	True
Chak	ckh	chak1270	False	True	True
Central Tarahumara	tar	cent2131	False	True	True
Central Romani	rmc	carp1235	False	True	True
Central Mansi	NOCODE_Central-Mansi	cent2322	False	True	True
Central Lembata-Lewokukun	lvu	levu1239	False	True	True
Central Kanuri	knc	cent2050	False	True	True
Central Dagaare	dga	sout2789	False	True	True
Central Bai	bca	cent2004	True	False	True
Central Aymara	ayr	cent2142	True	False	True
Cavineña	cav	cavi1250	False	True	True
Catalan	cat	stan1289	False	True	True
Caribbean Javanese	jvn	cari1276	False	True	True
Caribbean Hindustani	hns	cari1275	False	True	True
Cappadocian Greek	cpg	capp1239	False	True	True
Capanahua	kaq	capa1241	True	False	True
Cao Miao	cov	caom1238	False	True	True
Camarines Norte Agta	abd	cama1250	False	True	True
Cajun French	frc	caju1236	False	True	True
Buwal	bhs	buwa1243	False	True	True
Busoa	bup	buso1238	False	True	True
Busa	bqp	busa1253	False	True	True
Burushaski	bsk	buru1296	False	True	True
Burji	bji	burj1242	False	True	True
Bure	bvh	bure1242	False	True	True
Bundeli	bns	bund1253	False	True	True
Bunan	bfu	gahr1239	False	True	True
Bumthangkha	kjz	bumt1240	True	True	False
Bullom So	buy	bull1247	False	True	True
Buli (Ghana)	bwu	buli1254	False	True	True
Bujhyal	byh	bujh1238	False	True	True
Budukh	bdk	budu1248	True	False	True
Budu	buu	budu1250	False	True	True
Brokskat	bkk	brok1247	False	True	True
Brokpake	sgt	brok1248	False	True	True
Breton	bre	bret1244	False	True	True
Bouyei	pcc	bouy1240	False	True	True
Boro (Ethiopia)	bwo	boro1277	False	True	True
Bonan	peh	bona1250	False	True	True
Bolivar-North Chimborazo Highland Quichua	qug	chim1302	False	True	True
Bole	bol	nucl1695	False	True	True
Bola	bnp	bola1250	False	True	True
Bohtan Neo-Aramaic	bhn	boht1238	False	True	True
Bodo Gadaba	gbj	bodo1267	False	True	True
Blang	blr	blan1242	False	True	True
Bissa	bib	biss1248	False	True	True
Bishnupuriya	bpy	bish1244	False	True	True
Birri	bvq	birr1240	False	True	True
Binumarien	bjr	binu1245	False	True	True
Bimin	bhl	bimi1240	False	True	True
Big Nambas	nmb	bign1238	False	True	True
Bierebo	bnk	bier1244	False	True	True
Bhoti Kinnauri	nes	bhot1235	False	True	True
Berta	wti	bert1248	False	True	True
Beria	zag	zagh1240	False	True	True
Berbice Creole Dutch	brc	berb1259	False	True	True
Bembe	bmb	bemb1255	False	True	True
Bella Coola	blc	bell1243	True	False	True
Belep	yly	nyal1254	False	True	True
Belarusian	bel	bela1254	False	True	True
Belanda Viri	bvi	bela1255	False	True	True
Belanda Bor	bxb	bela1256	False	True	True
Bekwarra	bkv	bekw1241	False	True	True
Befang	bby	befa1241	False	True	True
Bayungu	bxj	bayu1240	False	True	True
Bavarian	bar	bava1246	False	True	True
Baure	brg	baur1253	False	True	True
Batuley	bay	batu1258	False	True	True
Batak Alas-Kluet	btz	bata1292	False	True	True
Bassari-Tanda	bsc	bass1258	True	True	False
Basque	eus	basq1248	False	True	True
Bashkardi	bsg	bash1263	True	False	True
Basa (Nigeria)	bzw	basa1282	False	True	True
Bariai	bch	bari1286	False	True	True
Barain	bva	bare1279	False	True	True
Baoulé	bci	baou1238	False	True	True
Bangime	dba	bang1363	False	True	True
Bandial	bqj	band1340	False	True	True
Bamun	bax	bamu1253	False	True	True
Bambassi	myf	bamb1262	False	True	True
Baltic Romani	rml	balt1257	False	True	True
Balti	bft	balt1258	False	True	True
Balantak	blz	bala1315	False	True	True
Balanta-Ganja	bjt	bala1302	False	True	True
Bakoko	bkh	bako1249	False	True	True
Baiso	bsw	bais1246	False	True	True
Baharna Arabic	abv	baha1259	False	True	True
Bagirmi	bmi	bagi1246	False	True	True
Baga Sitemu	bsp	baga1272	False	True	True
Bafaw-Balong	bwt	bafa1247	False	True	True
Bafanji	bfj	bafa1249	False	True	True
Badaga	bfq	bada1257	False	True	True
Babanki	bbk	baba1266	False	True	True
Baba Malay	mbf	baba1267	False	True	True
Baa	kwb	kwaa1262	False	True	True
Axamb	ahb	axam1237	False	True	True
Awutu	afu	awut1241	False	True	True
Awngi	awn	awng1244	False	True	True
Awiakay-Karimba	NOCODE_Awiakay	awia1234	False	True	True
Awetí	awe	awet1244	False	True	True
Aweer	bob	awee1242	False	True	True
Awara	awx	awar1248	False	True	True
Awar	aya	awar1249	True	False	True
Awadhi	awa	awad1243	False	True	True
Awa (Papua New Guinea)	awb	awap1236	False	True	True
Avokaya	avu	avok1242	False	True	True
Aushi	auh	aush1241	False	True	True
Aukan	djk	ndyu1242	False	True	True
Asu (Tanzania)	asa	asut1235	False	True	True
Assyrian Neo-Aramaic	aii	assy1241	False	True	True
Ashéninka Perené	prq	ashe1272	False	True	True
Argobba	agj	argo1244	True	False	True
Arbore	arv	arbo1245	False	True	True
Araona	aro	arao1248	False	True	True
Apurinã	apu	apur1254	False	True	True
Apinayé	apn	apin1244	False	True	True
Anu	anl	anuu1241	False	True	True
Antigua and Barbuda Creole English	aig	anti1245	False	True	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	False	True	True
Angolar	aoa	ango1258	False	True	True
Andalusian Arabic	xaa	anda1287	True	False	True
Amur Nivkh	niv	gily1242	False	True	True
Amkoe	huc	hoaa1235	False	True	True
Amele	aey	amel1241	False	True	True
Ambonese Malay	abs	ambo1250	False	True	True
Ama (Sudan)	nyi	amas1236	False	True	True
Ama (Papua New Guinea)	amm	amap1240	False	True	True
Alyawarr	aly	alya1239	False	True	True
Alutor	alr	alut1245	False	True	True
Ale	gwd	gaww1239	False	True	True
Alagwa	wbj	alag1248	False	True	True
Alaba-K'abeena	alw	alab1254	False	True	True
Akum	aku	akum1238	False	True	True
Akie	mwy	mosi1247	False	True	True
Aka-Kora	ack	akak1251	False	True	True
Aka-Jeru	akj	akaj1239	False	True	True
Ajyíninka Apurucayali	cpc	ajyi1238	False	True	True
Ahom	aho	ahom1240	False	True	True
Agob	kit	agob1244	False	True	True
Aghu	ahh	aghu1255	False	True	True
Adang	adn	adan1251	False	True	True
Acoli	ach	acol1236	False	True	True
Acheron	acz	ache1245	False	True	True
Abé	aba	abee1242	True	False	True
Abun	kgr	abun1252	False	True	True
Abui	abz	abui1241	False	True	True
Abron	abr	abro1238	False	True	True
Abkhazian	abk	abkh1244	False	True	True
Abaza	abq	abaz1241	False	True	True
Aari	aiw	aari1239	False	True	True
/Xam	xam	xamm1241	False	True	True
//Xegwi	xeg	xegw1238	False	True	True
//Gana	gnk	gana1274	False	True	True
//Ani	hnh	anii1246	False	True	True
'Are'are	alu	area1240	False	True	True
Önge	oon	onge1236	False	False	True
Ömie	aom	omie1241	False	False	True
Zuni	zun	zuni1245	False	False	True
Zulu	zul	zulu1248	False	False	True
Zulgo-Gemzek	gnd	zulg1242	False	False	True
Zou	zom	zouu1235	False	False	True
Zoogocho Zapotec	zpq	zoog1238	False	False	True
Zimbabwean Ndebele	nde	nort2795	False	False	True
Zimba	zmb	zimb1251	False	False	True
Zigula-Mushungulu	ziw	zigu1244	False	False	True
Zialo	zil	zial1235	False	False	True
Zia	zia	ziaa1250	False	False	True
Zhangzhung	xzh	zhan1239	False	False	True
Zeme Naga	nzm	zeme1240	False	False	True
Zbu	NOCODE_Zbu	zbua1234	False	False	True
Zarma-Kaado	dje	zarm1239	False	False	True
Zaniza Zapotec	zpw	zani1235	False	False	True
Zande	zne	zand1248	False	False	True
Zabana	kji	zaba1237	False	False	True
Yámana	yag	yama1264	False	False	True
Yuwaalaraay-Gamilaraay	kld	gami1243	False	False	True
Yurok	yur	yuro1248	False	False	True
Yuputhimri	NOCODE_Yuputhimri	yupu1235	False	False	True
Yulu	yul	yulu1243	False	False	True
Yulparija	NOCODE_Yulparija	yulp1239	False	False	True
Yukuben	ybl	yuku1243	False	True	False
Yuki	yuk	yuki1243	False	False	True
Yue Chinese	yue	yuec1235	False	False	True
Yuchi	yuc	yuch1247	False	False	True
Yucatec Maya	yua	yuca1254	False	False	True
Younuo Bunu	buh	youn1235	False	False	True
Yosondúa Mixtec	mpm	yoso1239	False	False	True
Yoruba	yor	yoru1245	False	False	True
Yorta Yorta	xyy	yort1237	False	False	True
Yora	mts	yora1241	False	False	True
Yongning Na	nru	yong1270	False	False	True
Yongnan Zhuang	zyn	yong1275	False	False	True
Yonggom	yon	yong1280	False	True	False
Yom	pil	yomm1242	False	False	True
Yokuts	yok	yoku1256	False	False	True
Yogad	yog	yoga1237	False	False	True
Yiwom	gek	yiwo1237	False	False	True
Yir-Yoront	yiy	yiry1245	False	False	True
Yintyinka-Ayabadhu	ayd	ayab1239	False	False	True
Yinggarda	yia	ying1247	False	False	True
Yine	pib	yine1238	False	False	True
Yindjibarndi	yij	yind1247	False	False	True
Yimas	yee	yima1243	False	False	True
Yidiny	yii	yidi1250	False	False	True
Yessan-Mayo	yss	yess1239	False	False	True
Yemba	ybb	yemb1246	False	False	True
Yele	yle	yele1255	False	False	True
Yekhee	ets	yekh1238	False	False	True
Yecuatla Totonac	tlc	yecu1235	False	False	True
Ye'kwana	mch	maqu1238	False	False	True
Yawa	yva	nucl1454	False	False	True
Yauyos Quechua	qux	yauy1235	False	True	False
Yau (Morobe Province)	yuw	yaum1237	False	False	True
Yaqui	yaq	yaqu1251	False	False	True
Yapese	yap	yape1248	False	False	True
Yao	yao	yaoo1241	False	False	True
Yanyuwa	jao	yany1243	False	False	True
Yankunytjatjara	kdd	yank1247	False	False	True
Yanesha'	ame	yane1238	False	False	True
Yandruwandha	ynd	yand1253	False	False	True
Yanda Dom Dogon	dym	yand1257	False	False	True
Yana	ynn	yana1271	False	False	True
Yan-nhangu	jay	yann1237	False	False	True
Yamba	yam	yamb1251	False	False	True
Yalunka	yal	yalu1240	False	False	True
Yale	nce	yale1246	False	False	True
Yalarnnga	ylr	yala1262	False	False	True
Yala	yba	yala1263	False	False	True
Yakan	yka	yaka1277	False	False	True
Yagua	yad	yagu1244	False	False	True
Yagaria	ygr	yaga1260	False	False	True
Yabem	jae	yabe1254	False	False	True
Xârâcùù	ane	xara1244	False	False	True
Xishanba Lalo	ywt	xish1235	False	False	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	False	False	True
Xicotepec De Juárez Totonac	too	xico1235	False	False	True
Xiang Chinese	hsn	xian1251	False	False	True
Xanaguía Zapotec	ztg	xana1235	False	False	True
Wutunhua	wuh	wutu1241	False	False	True
Wunambal	wub	wuna1249	False	False	True
Wulguru	qgu	wulg1239	False	False	True
Wubuy	nuy	nung1290	False	False	True
Woun Meu	noa	woun1238	False	False	True
Wotu	wtw	wotu1240	False	False	True
Worrorra	wro	worr1237	False	False	True
Worodougou	jud	woro1256	False	False	True
Worimi	kda	wori1245	False	False	True
Woods Cree	cwd	wood1236	False	False	True
Wolof	wol	nucl1347	False	False	True
Wolio	wlo	woli1241	False	False	True
Woleaian	woe	wole1240	False	False	True
Wolaytta	wal	wola1242	False	False	True
Woiwurrung	wyi	woiw1237	False	False	True
Woi	wbw	woii1237	False	False	True
Wiyot	wiy	wiyo1248	False	False	True
Wiru	wiu	wiru1244	False	False	True
Wiradhuri	wrh	wira1262	False	False	True
Wipi	gdr	wipi1242	False	True	False
Wintu	wit	wint1259	False	False	True
Wilson River (Grey Range)	nbx	ngur1261	False	False	True
Wik-Ngathana	wig	wikn1245	False	False	True
Wik-Mungkan	wim	wikm1247	False	False	True
Wichí Lhamtés Vejoz	wlv	wich1263	False	False	True
Wichita	wic	wich1260	False	False	True
Whitesands	tnp	whit1269	False	False	True
Western Tlacolula Valley Zapotec	zab	sanj1284	False	False	True
Western Tamang	tdg	west2415	False	False	True
Western Subanon	suc	west2557	False	False	True
Western Parbate Kham	kjl	west2420	False	False	True
Western Neo-Aramaic	amw	west2763	False	False	True
Western Muria	mut	west2408	False	False	True
Western Minyag	wmg	west2417	False	False	True
Western Keres	kjq	west2632	False	False	True
Western Huasteca Nahuatl	nhw	west2624	False	False	True
Western Highland Chatino	ctp	west2644	False	False	True
Western Frisian	fry	west2354	False	False	True
Western Fijian	wyy	west2519	False	False	True
Western Farsi	pes	west2369	False	False	True
Western Dani	dnw	west2594	False	False	True
Western Canadian Inuktitut	ikt	west2618	False	False	True
Western Bukidnon Manobo	mbb	west2555	False	False	True
Western Bru	brv	west2397	False	False	True
Western Arrarnta	are	west2441	False	False	True
Western Armenian	hyw	homs1234	False	False	True
Western Apache	apw	west2615	False	False	True
Western Abenaki	abe	west2630	False	False	True
West Tarangan	txn	west2538	False	False	True
West Makian	mqs	west2600	False	False	True
West Kewa	kew	west2599	False	False	True
West Central Oromo	gaz	west2721	False	False	True
Weri	wer	weri1253	False	False	True
Welsh	cym	wels1247	False	False	True
Welsh Romani	rmw	wels1246	False	False	True
Wedau	wed	weda1241	False	False	True
Wayu	vay	wayu1241	False	False	True
Wayana	way	waya1269	False	False	True
Waurá	wau	waur1244	False	False	True
Wathawurrung	wth	wath1238	False	False	True
Watam	wax	wata1253	False	False	True
Waskia	wsk	wask1241	False	False	True
Washo	was	wash1253	False	False	True
Warungu	wrg	waru1264	False	False	True
Warumungu	wrm	waru1265	False	False	True
Warrwa	wwr	warr1258	False	False	True
Warrnambool	gjm	warr1257	False	False	True
Warrgamay	wgy	warr1255	False	False	True
Warray	wrz	wara1290	False	False	True
Warlpiri	wbp	warl1254	False	False	True
Waris	wrs	wari1266	False	False	True
Warembori	wsa	ware1253	False	False	True
Waray (Philippines)	war	wara1300	False	False	True
Warao	wba	wara1303	False	False	True
Wappo	wao	wapp1239	False	False	True
Wapishana	wap	wapi1253	False	False	True
Wapan	juk	wapa1235	False	False	True
Waorani	auc	waor1240	False	False	True
Wanman	wbt	wanm1242	False	False	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	False	False	True
Waneci	wne	wane1241	False	False	True
Wandarang	wnd	wand1263	False	False	True
Wandala	mfi	wand1278	False	False	True
Wamey	cou	wame1240	False	False	True
Wambayan	wmb	wamb1258	False	False	True
Walser	wae	wals1238	False	False	True
Walmajarri	wmt	walm1241	False	False	True
Wala	lgl	wala1266	False	False	True
Wakhi	wbl	wakh1245	False	False	True
Wakawaka	wkw	waka1274	False	False	True
Wajarri	wbv	waja1257	False	False	True
Waiwai	waw	waiw1244	False	False	True
Waima'a	wmh	waim1252	False	False	True
Waima	rro	waim1251	False	False	True
Wailaki	wlk	wail1244	False	False	True
Wahgi	wgi	nucl1620	False	False	True
Wageman	waq	wage1238	False	False	True
Wagdi	wbr	wagd1238	False	False	True
Wagaya	wga	waga1260	False	False	True
Wadjiginy	wdj	wadj1254	False	False	True
Waddar	wbq	wadd1237	False	False	True
Vwanji	wbi	vwan1235	False	True	False
Vute	vut	vute1244	False	False	True
Vunjo	vun	vunj1238	False	False	True
Votic	vot	voti1245	False	False	True
Vlax Romani	rmy	vlax1238	False	False	True
Virgin Islands Creole English	vic	virg1240	False	False	True
Vincentian Creole English	svc	vinc1243	False	True	False
Vietnamese	vie	viet1252	False	False	True
Vera'a	vra	vera1241	False	False	True
Ventureño	veo	vent1242	False	False	True
Venetic	xve	vene1257	False	False	True
Venetian	vec	vene1258	False	False	True
Varhadi-Nagpuri	vah	varh1239	False	False	True
Vanimo	vam	vani1248	False	False	True
Vaiphei	vap	vaip1239	False	False	True
Vai	vai	vaii1241	False	False	True
Vagla	vag	vagl1239	False	False	True
Vaghri	vgr	vagh1246	False	False	True
Vafsi	vaf	vafs1240	False	False	True
Vaeakau-Taumako	piv	pile1238	False	False	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	False	False	True
Vaagri Booli	vaa	vaag1238	False	False	True
Uzbeki Arabic	auz	uzbe1248	False	False	True
Ute-Southern Paiute	ute	utes1238	False	False	True
Usarufa	usa	usar1243	False	False	True
Urhobo	urh	urho1239	False	False	True
Urdu	urd	urdu1245	False	False	True
Urat	urt	urat1244	False	False	True
Urartian	xur	urar1245	False	False	True
Urarina	ura	urar1246	False	False	True
Urak Lawoi'	urk	urak1238	False	False	True
Ura (Vanuatu)	uur	urav1235	False	False	True
Upper Taromi	tov	uppe1235	False	False	True
Upper Necaxa Totonac	tku	uppe1275	False	False	True
Upper Chinookan	wac	wasc1239	False	False	True
Upper Chehalis	cjh	uppe1439	False	False	True
Unserdeutsch	uln	unse1236	False	False	True
Uneapa	bbn	unea1237	False	False	True
Unami	unm	unam1242	False	False	True
Una	mtg	unaa1239	False	False	True
Umiray Dumaget Agta	due	umir1236	False	False	True
Umbugarla	umr	umbu1235	False	False	True
Umbu-Ungu	ubu	umbu1258	False	False	True
Umbrian	xum	umbr1253	False	False	True
Umatilla	uma	umat1237	False	False	True
Umanakaina	gdn	uman1240	False	False	True
Ulithian	uli	ulit1238	False	False	True
Uighur	uig	uigh1240	False	False	True
Ugaritic	uga	ugar1238	False	False	True
Udi	udi	udii1243	False	False	True
Tày	tyz	tayy1238	False	False	True
Tzotzil	tzo	tzot1259	False	False	True
Tzeltal	tzh	tzel1254	False	False	True
Tyap	kcg	tyap1238	False	False	True
Tweed-Albert	xjb	twee1234	False	False	True
Twana	twa	twan1247	False	False	True
Tuwuli	bov	tuwu1238	False	False	True
Tuwali Ifugao	ifk	tuwa1243	False	False	True
Tututni	tuu	tutu1242	False	False	True
Tutelo	tta	tute1247	False	False	True
Tuscarora	tus	tusc1257	False	False	True
Turks And Caicos Creole English	tch	turk1310	False	False	True
Turkmen	tuk	turk1304	False	False	True
Turkish	tur	nucl1301	False	False	True
Turkic Khalaj	klj	turk1303	False	False	True
Turkana	tuv	turk1308	False	False	True
Tuparí	tpr	tupa1250	False	False	True
Tunisian Arabic	aeb	tuni1259	False	False	True
Tunica	tun	tuni1252	False	False	True
Tungurahua Highland Quichua	qxl	sala1272	False	False	True
Tunen	tvu	tune1261	False	False	True
Tundra Nenets	yrk	nene1249	False	False	True
Tulu	tcy	tulu1258	False	False	True
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	False	False	True
Tugun	tzn	tugu1245	False	False	True
Tucano	tuo	tuca1252	False	False	True
Tswana	tsn	tswa1253	False	False	True
Tswa	tsc	tswa1255	False	False	True
Tsuvadi	tvd	tsuv1239	False	False	True
Tsou	tsu	tsou1248	False	False	True
Tshobdun	NOCODE_Tshobdun	tsho1240	False	False	True
Tshangla	tsj	tsha1245	False	False	True
Tsez	ddo	dido1241	False	False	True
Tsat	huq	tsat1238	False	False	True
