Language	ISO 639-3	Glottocode	nasal_consonant	occlusive	oral_consonant	plosive	stop
Ute-Southern Paiute	ute	utes1238	True	False	False	False	True
Usan	wnu	usan1239	False	False	False	True	True
Urim	uri	urim1252	False	False	False	True	True
Urarina	ura	urar1246	True	False	False	False	True
Urak Lawoi'	urk	urak1238	True	False	False	False	True
Upper Guinea Crioulo	pov	uppe1455	False	False	False	True	True
Uncunwee	ghl	ghul1238	False	False	False	True	True
Umbu-Ungu	ubu	umbu1258	True	False	False	False	True
Ulwa (Papua New Guinea)	yla	yaul1241	False	False	False	True	True
Ukrainian	ukr	ukra1253	False	False	False	True	True
Ughele	uge	ughe1237	False	False	False	True	True
Udihe	ude	udih1248	False	False	False	True	True
Ubykh	uby	ubyk1235	False	False	False	True	True
U	uuu	uuuu1243	False	True	False	False	True
Tz'utujil	tzj	tzut1248	False	True	False	False	True
Twana	twa	twan1247	True	False	False	False	True
Tuwuli	bov	tuwu1238	True	False	False	False	True
Tuwali Ifugao	ifk	tuwa1243	True	False	False	False	True
Tuvalu	tvl	tuva1244	False	False	False	True	True
Tungag	lcm	tung1290	False	False	False	True	True
Tuki	bag	tuki1240	False	False	False	True	True
Tukang Besi North	khc	tuka1248	False	False	False	True	True
Tugen	tuy	tuge1241	False	False	False	True	True
Tswana	tsn	tswa1253	True	False	False	False	True
Tsonga	tso	tson1249	False	False	False	True	True
Tsat	huq	tsat1238	True	False	False	False	True
Tsamai	tsb	tsam1247	False	False	False	True	True
Tsakhur	tkr	tsak1249	False	False	False	True	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	False	False	False	True
Trumai	tpy	trum1247	True	False	False	False	True
Towa	tow	jeme1245	True	False	False	False	True
Totontepec Mixe	mto	toto1305	True	False	False	False	True
Toro Tegu Dogon	dtt	toro1253	True	False	False	False	True
Tonga (Zambia)	toi	tong1318	False	False	False	True	True
Tondi Songway Kiini	tst	tond1249	True	False	False	False	True
Tomo Kan Dogon	dtm	tomo1243	True	False	False	False	True
Tommo So Dogon	dto	tomm1242	False	False	False	True	True
Tocantins Asurini	asu	toca1235	True	False	False	False	True
Tobelo	tlb	tobe1252	True	False	False	False	True
Tiv	tiv	tivv1240	False	False	False	True	True
Tiri-Mea	cir	tiri1258	False	True	False	False	True
Tirax	mme	maee1241	True	False	False	False	True
Tiranige Diga Dogon	tde	tira1258	True	False	False	False	True
Tira	tic	tira1254	False	False	False	True	True
Tinani	lbf	tina1246	True	False	False	True	False
Timugon Murut	tih	timu1262	True	False	False	False	True
Tigre	tig	tigr1270	False	False	False	True	True
Thayore	thd	thay1249	True	False	False	False	True
Thao	ssf	thao1240	True	False	False	False	True
Thangal Naga	nki	than1255	False	False	False	True	True
Thado Chin	tcz	thad1238	True	False	False	False	True
Tequistlateco Chontal	NOCODE_Tequistlateco-Chontal	tequ1245	False	False	False	True	True
Tepetotutla Chinantec	cnt	tepe1279	True	False	False	False	True
Teop	tio	teop1238	False	False	False	True	True
Tennet	tex	tenn1246	False	False	False	True	True
Tengou-Togo Dogon	dtk	tene1248	True	False	False	False	True
Tengger	tes	teng1272	False	False	False	True	True
Temiar	tea	temi1246	True	False	False	False	True
Tehit	kps	tehi1237	False	True	False	False	True
Tebul Ure Dogon	dtu	tebu1239	True	False	False	False	True
Tayo	cks	tayo1238	False	False	False	True	True
Tawala	tbo	tawa1275	False	False	False	True	True
Tauya	tya	tauy1241	True	False	False	False	True
Tatar	tat	tata1255	True	False	False	False	True
Tatana	txx	tata1257	False	False	False	True	True
Tasawaq	twq	tasa1240	True	False	False	False	True
Tarok	yer	taro1263	False	False	False	True	True
Tariana	tae	tari1256	True	False	False	False	True
Tanimuca-Retuarã	tnc	tani1257	True	False	False	False	True
Tangwang	NOCODE_Tangwang	tang1373	False	False	False	True	True
Tangale	tan	nucl1696	False	False	False	True	True
Tanacross	tcb	tana1290	True	False	False	False	True
Tajio	tdj	taji1246	False	False	False	True	True
Tajik	tgk	taji1245	False	False	False	True	True
Taiap	gpn	taia1239	False	False	False	True	True
Tai Laing	tjl	tail1248	False	False	False	True	True
Tagoi	tag	tago1246	True	False	False	False	True
Tagin	tgj	tagi1241	False	False	False	True	True
Tagdal	tda	tagd1238	True	False	False	False	True
Tabasco Chontal	chf	taba1266	True	False	False	False	True
Swabian	swg	swab1242	True	False	False	True	False
Sunwar	suz	sunw1242	True	False	False	False	True
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	False	False	False	True	True
Sulka	sua	sulk1246	False	False	False	True	True
Sudanese Creole Arabic	pga	suda1237	False	False	False	True	True
Sudanese Arabic	apd	suda1236	False	False	False	True	True
Suabo	szp	suab1238	False	False	False	True	True
Stod Bhoti	sbu	stod1241	False	False	False	True	True
Stau-Dgebshes	ero	horp1239	False	False	False	True	True
Squamish	squ	squa1248	False	False	False	True	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	False	False	False	True	True
Southern Yukaghir	yux	sout2750	False	False	False	True	True
Southern Sotho	sot	sout2807	False	False	False	True	True
Southern Rengma Naga	nre	sout2732	False	False	False	True	True
Southern Pomo	peq	sout2984	False	False	False	True	True
Southern Nambikuára	nab	sout2994	True	False	False	False	True
Southern Kisi	kss	sout2778	True	False	False	False	True
Southern Grebo	grj	sout2826	True	False	False	False	True
Southern Dong	kmc	sout2741	False	False	False	True	True
Southern Conchucos Ancash Quechua	qxo	sout2992	False	False	False	True	True
Southern Amami-Oshima	ams	sout2954	True	False	False	False	True
Southeast Pashayi	psi	sout2672	False	False	False	True	True
Southeast Ambrym	tvk	sout2859	True	False	False	False	True
South-Eastern Ju	ktz	juho1239	False	False	False	True	True
South Wa	prk	para1301	False	False	False	True	True
South Levantine Arabic	ajp	sout3123	False	False	False	True	True
Sougb	mnx	mani1235	False	False	False	True	True
Soqotri	sqt	soqo1240	False	False	False	True	True
Sonsorol	sov	sons1242	False	False	False	True	True
Solu-Khumbu Sherpa	xsr	sher1255	True	False	False	False	True
Soga	xog	soga1242	False	False	False	True	True
Slovenian	slv	slov1268	False	True	False	False	True
Skolt Sami	sms	skol1241	False	False	False	True	True
Siwu	akp	siwu1238	False	False	False	True	True
Siwai	siw	siwa1245	True	False	False	False	True
Situ	tzi	situ1238	False	False	False	True	True
Sisiqa	NOCODE_Sisiqa	sisi1250	True	False	False	False	True
Sirva	sbq	sile1255	False	False	False	True	True
Sirionó	srq	siri1273	True	False	False	False	True
Siraya	fos	sira1267	False	True	False	False	True
Sindhi	snd	sind1272	True	False	False	False	True
Sinasina	sst	sina1271	False	False	False	True	True
Simte	smt	simt1238	False	False	False	True	True
Simbo	sbb	simb1256	False	False	False	True	True
Sikaiana	sky	sika1261	False	False	False	True	True
Sika	ski	sika1262	False	False	False	True	True
Sidamo	sid	sida1246	False	False	False	True	True
Siar-Lak	sjr	siar1238	False	False	False	True	True
Siane	snp	sian1257	True	False	False	False	True
Siamou	sif	siam1242	True	False	False	False	True
Shuar	jiv	shua1257	True	False	False	False	True
Shua	shg	shua1254	True	False	False	False	True
Shixing	sxg	shix1238	False	False	False	True	True
Shihhi Arabic	ssh	shih1239	False	False	False	True	True
Sherdukpen	sdp	sher1257	True	False	False	False	True
Sheko	she	shek1245	False	False	False	True	True
Shawi	cbt	chay1248	False	False	False	True	True
Shabo	sbf	shab1252	False	False	False	True	True
Seze	sze	seze1235	True	False	False	False	True
Severn Ojibwa	ojs	seve1240	True	False	False	False	True
Serudung Murut	srk	seru1246	False	False	False	True	True
Seri	sei	seri1257	True	False	False	False	True
Sereer	srr	sere1260	False	False	False	True	True
Senthang Chin	sez	sent1260	True	False	False	False	True
Sentani	set	nucl1632	False	False	False	True	True
Senari	sef	ceba1235	True	False	False	False	True
Semelai	sza	seme1247	True	False	False	False	True
Semaq Beri	szc	sema1265	False	False	False	True	True
Selkup	sel	selk1253	False	False	False	True	True
Seke (Vanuatu)	ske	seke1241	False	False	False	True	True
Seediq	trv	taro1264	False	False	False	True	True
Sedang	sed	seda1262	True	False	False	False	True
Sawila	swt	sawi1256	False	False	False	True	True
Sauria Paharia	mjt	saur1249	False	False	False	True	True
Sasak	sas	sasa1249	False	False	False	True	True
Sarangani Manobo	mbs	sara1327	True	False	False	False	True
Saramaccan	srm	sara1340	True	False	False	False	True
Sara Kaba Náà	kwv	sara1321	True	False	False	False	True
Sanumá	xsu	sanu1240	False	False	False	True	True
Sangtam Naga	nsa	sang1321	False	False	False	True	True
Sanapaná	spn	sana1298	False	False	False	True	True
San Miguel El Grande Mixtec	mig	sanm1295	True	False	False	False	True
San Martín Quechua	qvs	sanm1289	False	True	False	False	True
San Francisco del Mar Huave	hue	sanf1258	True	False	False	False	True
San Andres Creole English	icr	sana1297	False	False	False	True	True
Samaritan	smp	sama1313	False	False	False	True	True
Salt-Yui	sll	salt1242	True	False	False	False	True
Saliba	sbe	sali1295	False	False	False	True	True
Saidi Arabic	aec	said1239	False	False	False	True	True
Saho	ssy	saho1246	False	False	False	True	True
Sacapulteco	quv	saca1238	False	True	False	False	True
Sabanê	sae	saba1268	True	False	False	False	True
Saafi-Saafi	sav	saaf1238	True	False	False	True	False
Ruund	rnd	ruun1238	True	False	False	False	True
Rusyn	rue	rusy1239	False	False	False	True	True
Rungus	drg	rung1259	False	False	False	True	True
Rundi	run	rund1242	True	False	False	False	True
Rukai	dru	ruka1240	True	False	False	False	True
Ruga	ruh	ruga1238	False	False	False	True	True
Romanian	ron	roma1327	False	False	False	True	True
Rimanggudinhma	zmv	mbar1253	False	False	False	True	True
Riantana	ran	rian1263	True	False	False	False	True
Reta	ret	rett1240	False	False	False	True	True
Resígaro	rgr	resi1247	False	False	False	True	True
Reshe	res	resh1242	True	False	False	False	True
Rennell-Bellona	mnv	renn1242	True	False	False	False	True
Rendille	rel	rend1243	False	False	False	True	True
Rembong-Wangka	reb	remb1250	False	False	False	True	True
Rembarunga	rmb	remb1249	True	False	False	False	True
Rejang	rej	reja1240	True	False	False	False	True
Rayón Zoque	zor	rayo1235	True	False	False	False	True
Rawat	jnl	rawa1264	True	False	False	False	True
Ravula	yea	ravu1237	False	False	False	True	True
Ratahan	rth	rata1244	False	False	True	False	True
Rarotongan	rar	raro1241	False	False	False	True	True
Rangkas	rgk	rang1266	True	False	False	True	False
Rana Tharu	thr	rana1246	False	False	False	True	True
Ramoaaina	rai	ramo1244	True	False	False	False	True
Rakahanga-Manihiki	rkh	raka1237	False	False	False	True	True
Quileute	qui	quil1240	False	False	False	True	True
Quapaw	qua	quap1242	True	False	False	False	True
Qashqa'i	qxq	qash1240	False	False	False	True	True
Purik-Sham-Nubra	prx	puri1258	False	False	False	True	True
Puma	pum	puma1239	True	False	False	False	True
Pukapuka	pkp	puka1242	False	False	False	True	True
Psikye	kvj	psik1239	False	False	False	True	True
Poqomam	poc	poqo1253	True	False	False	False	True
Pontic	pnt	pont1253	False	False	False	True	True
Pondi	lnm	lang1328	False	False	False	True	True
Polish	pol	poli1260	True	False	False	False	True
Pnar	pbv	pnar1238	False	False	False	True	True
Piscataway	psy	pisc1239	True	False	False	True	False
Pirahã	myp	pira1253	False	True	False	False	True
Pimbwe	piw	pimb1238	False	False	False	True	True
Pijin	pis	piji1239	False	False	False	True	True
Picuris Northern Tiwa	NOCODE_Picuris-Northern-Tiwa	picu1248	True	False	False	False	True
Piapoco	pio	piap1246	True	False	False	False	True
Phalura	phl	phal1254	False	False	False	True	True
Phake	phk	phak1238	False	False	False	True	True
Peve	lme	peve1243	True	False	False	False	True
Pero	pip	pero1241	True	False	False	False	True
Pengo	peg	peng1244	False	True	False	False	True
Penange	NOCODE_Penange	pena1270	True	False	False	False	True
Pedi	nso	pedi1238	False	False	False	True	True
Patwin	pwi	patw1250	False	False	False	True	True
Pará Arára	aap	para1310	True	False	False	False	True
Paraguayan Guaraní	gug	para1311	True	False	False	False	True
Papuan Malay	pmy	papu1250	False	False	False	True	True
Papiamento	pap	papi1253	True	False	False	False	True
Papapana	ppn	papa1265	False	False	False	True	True
Paniya	pcg	pani1256	False	False	False	True	True
Panare	pbh	enap1235	True	False	False	False	True
Palenquero	pln	pale1260	False	True	False	False	True
Paiwan	pwn	paiw1248	False	False	False	True	True
Pagu	pgu	pagu1249	False	False	False	True	True
Pagibete	pae	pagi1243	False	False	False	True	True
Ot Danum	otd	otda1235	True	False	False	False	True
Ostfränkisch	vmf	main1267	True	False	False	False	True
Osage	osa	osag1243	True	False	False	False	True
Orokaiva	okv	orok1269	True	False	False	False	True
Orma	orc	orma1241	False	False	False	True	True
Onondaga	ono	onon1246	False	False	False	True	True
Oluta Popoluca	plo	olut1240	True	False	False	False	True
Old Telugu	NOCODE_Old-Telugu	oldt1249	False	False	False	True	True
Old Prussian	prg	prus1238	True	False	False	True	False
Old Marathi	omr	oldm1244	False	True	False	False	True
Old Khmer	qok	oldk1249	True	False	False	False	True
Old Kannada	qkn	oldk1250	False	False	False	True	True
Old French (842-ca. 1400)	fro	oldf1239	False	False	False	True	True
Old English (ca. 450-1100)	ang	olde1238	True	False	False	False	True
Ogbronuagum	ogu	ogbr1243	True	False	False	True	False
Odoodee	kkc	odoo1238	False	False	False	True	True
Ocotepec Mixtec	mie	ocot1243	False	False	False	True	True
Obolo	ann	obol1243	True	False	False	False	True
Nzadi	nzd	nzad1234	True	False	False	False	True
Nyunga	nys	nyun1247	False	False	False	True	True
Nyulnyul	nyv	nyul1247	True	False	False	False	True
Nyiyaparli	xny	nija1241	False	False	False	True	True
Nyiha (Tanzania)	nih	nyih1240	False	False	False	True	True
Nyankole	nyn	nyan1307	True	False	False	False	True
Nyangumarta	nna	nyan1301	True	False	False	False	True
Nyamwezi	nym	nyam1276	False	False	False	True	True
Nyam	nmi	nyam1285	False	False	False	True	True
Nyakyusa-Ngonde	nyy	nyak1260	False	False	False	True	True
Nuristani Kalasha	wbk	waig1243	True	False	False	False	True
Nungali	nug	nung1291	True	False	False	False	True
Nung (Myanmar)	nun	nung1282	True	False	False	False	True
Nukna	klt	nukn1238	False	False	False	True	True
Nubi	kcn	nubi1253	False	False	False	True	True
Northwestern Ojibwa	ojb	nort2961	True	False	False	False	True
Northwestern Kolami	kfb	nort2699	False	False	False	True	True
Northwest Gbaya	gya	nort2775	True	False	False	False	True
Northwest Alaska Inupiatun	esk	nort2945	False	False	False	True	True
Northern Tujia	tji	nort2732	False	False	False	True	True
Northern Sami	sme	nort2671	True	False	False	False	True
Northern Qiang	cng	nort2722	False	False	False	True	True
Northern Pumi	pmi	nort2723	True	False	False	False	True
Northern Pomo	pej	nort2966	True	False	False	False	True
Northern Paiute	pao	nort2954	True	False	False	False	True
Northern Khmer	kxm	nort2684	False	False	False	True	True
Northern Hmong	NOCODE_Northern-Hmong	nort3244	False	False	False	True	True
Northern Emberá	emp	nort2972	True	False	False	False	True
Northern East Cree	crl	nort1552	True	False	False	False	True
Northern Amami-Oshima	ryn	nort2935	False	False	True	False	True
Northern Alta	aqn	nort2875	True	False	False	False	True
Northeast Maidu	nmu	nort2952	False	False	False	True	True
Northeast Kiwai	kiw	nort2930	False	False	False	True	True
North-Central Dargwa	dar	darg1241	False	False	False	True	True
North Slavey	scs	nort2942	True	False	False	False	True
North Mesopotamian Arabic	ayp	nort3142	False	False	False	True	True
North Marquesan	mrq	nort2845	False	True	False	False	True
North Levantine Arabic	apc	nort3139	False	False	False	True	True
North Giziga	gis	nort3047	True	False	False	False	True
Noone	nhu	noon1243	True	False	False	False	True
Noon	snf	noon1242	False	False	False	True	True
Nomatsiguenga	not	noma1263	True	False	False	False	True
Nomaande	lem	noma1260	True	False	False	False	True
Nkonya	nko	nkon1248	False	False	False	True	True
Njerep	njr	njer1242	False	False	False	True	True
Niuafo'ou	num	niua1240	True	False	False	False	True
Nisenan	nsz	nise1244	False	False	False	True	True
Ninde	mwi	labo1244	False	False	False	True	True
Nimadi	noe	nima1243	True	False	False	False	True
Nigerian Pidgin	pcm	nige1257	True	False	False	True	False
Nhengatu	yrl	nhen1239	True	False	False	False	True
Ngarinyin	ung	ngar1284	True	False	False	False	True
Ngarinman	nbj	ngar1235	True	False	False	False	True
Ngandi	nid	ngan1295	True	False	False	False	True
Nganasan	nio	ngan1291	True	False	False	False	True
Ngadjunmaya	nju	ngad1258	False	False	False	True	True
Ngad'a	nxg	ngad1261	False	False	False	True	True
Neverver	lgk	ling1265	False	False	False	True	True
Nek	nif	nekk1240	False	False	False	True	True
Negerhollands	dcr	nege1244	True	False	False	False	True
Nedebang	nec	nede1245	False	False	False	True	True
Ndengereko	ndg	nden1248	True	False	False	False	True
Ndali	ndh	ndal1241	True	False	False	False	True
Nauru	nau	naur1243	False	True	False	False	True
Nauete	nxa	naue1237	False	False	False	True	True
Naro	nhr	naro1249	False	False	False	True	True
Nara	nrb	nara1262	False	False	False	True	True
Nar Phu	npa	narp1239	False	False	False	True	True
Nankina	nnk	nank1250	True	False	False	False	True
Nanga	nzz	nang1261	True	False	False	False	True
Nandi	niq	nand1266	True	False	False	False	True
Nande	nnb	nand1264	True	False	False	False	True
Nanai	gld	nana1257	False	False	False	True	True
Namuyi	nmy	namu1246	False	False	False	True	True
Nambo	ncm	namb1293	True	False	False	False	True
Najdi Arabic	ars	najd1235	False	False	False	True	True
Najanga-Kindige	dbu	bond1248	True	False	False	False	True
Nabak	naf	naba1256	True	False	False	False	True
Mycenaean Greek	gmy	myce1241	False	False	False	True	True
Mwotlap	mlv	motl1237	False	False	False	True	True
Mwera (Nyasa)	mjh	mwer1247	True	False	False	False	True
Mwera (Chimwera)	mwe	mwer1248	True	False	False	False	True
Mwaghavul	sur	mwag1236	True	False	False	False	True
Muyang	muy	muya1243	False	False	False	True	True
Muthuvan	muv	muth1236	False	False	False	True	True
Munsee	umu	muns1251	True	False	False	False	True
Muna	mnb	muna1247	False	False	False	True	True
Mulam	mlm	mula1253	True	False	False	False	True
Muklom	NOCODE_Muklom	mukl1234	False	False	False	True	True
Muduapa	wiv	mudu1242	False	False	False	True	True
Mpur	akc	mpur1239	False	False	False	True	True
Moyon	nmo	moyo1238	False	True	False	False	True
Moskona	mtj	mosk1236	False	False	False	True	True
Mosetén-Chimané	cas	mose1249	False	False	False	True	True
Mori Bawah	xmz	mori1268	True	False	False	False	True
Montagnais	moe	mont1268	True	False	False	False	True
Mongghul	mjg	huzh1238	True	False	False	False	True
Momu-Fas	fqs	fass1245	True	False	False	False	True
Molale	mbe	mola1238	True	False	False	False	True
Moklen	mkm	mokl1243	False	False	False	True	True
Mokilese	mkj	moki1238	True	False	False	False	True
Moi (Indonesia)	mxn	moii1235	False	False	False	True	True
Modern Greek	ell	mode1248	False	False	False	True	True
Mmen	bfm	mmen1238	False	False	False	True	True
Mlabri	mra	mlab1235	False	False	True	False	True
Mixtepec Zapotec	zpm	mixt1426	False	True	False	False	True
Miriwung	mep	miri1266	True	False	False	False	True
Minigir	vmg	mini1251	True	False	False	False	True
Mingrelian	xmf	ming1252	False	False	False	True	True
Milang	NOCODE_Milang	mila1245	True	False	False	False	True
Migabac	mpp	miga1241	False	False	False	True	True
Middle Clarence	bdy	midd1357	False	False	False	True	True
Michif	crg	mich1243	False	False	False	True	True
Miami	mia	miam1252	True	False	False	False	True
Meyah	mej	meya1236	False	False	False	True	True
Mesqan	mvz	mesq1240	False	False	False	True	True
Meru	mer	meru1245	False	False	False	True	True
Menya	mcr	meny1245	False	False	False	True	True
Melpa	med	melp1238	False	False	False	True	True
Mekens	skf	saki1248	True	False	False	False	True
Mbula	mna	mbul1263	True	False	False	False	True
Mbre	mka	mbre1244	True	False	False	False	True
Mbe	mfo	mbee1249	True	False	False	False	True
Mbay	myb	mbay1241	True	False	False	False	True
Maybrat-Karon	ayz	maib1239	False	False	False	True	True
Mauwake	mhl	mauw1238	False	False	False	True	True
Maung	mph	maun1240	False	False	False	True	True
Matumbi	mgw	matu1259	True	False	False	False	True
Matsés	mcf	mats1244	True	False	False	False	True
Mato	met	mato1252	False	False	False	True	True
Maskelynes	klv	mask1242	False	False	False	True	True
Masbatenyo	msb	masb1238	False	False	False	True	True
Masalit	mls	nucl1440	False	False	False	True	True
Markweeta	enb	mark1255	False	False	False	True	True
Marind	mrz	nucl1622	False	False	False	True	True
Maricopa	mrc	mari1440	False	False	True	False	True
Maria (India)	mrr	mari1414	True	False	False	False	True
Marghi Central	mrt	marg1265	False	False	False	True	True
Mara	mec	mara1385	True	False	False	False	True
Mapudungun	arn	mapu1245	False	False	False	True	True
Maonan	mmd	maon1241	False	False	False	True	True
Mao Naga	nbi	maon1238	False	False	False	True	True
Mansim	NOCODE_Mansim	mans1260	False	False	False	True	True
Mannan	mjv	mann1246	False	False	False	True	True
Mankanya	knf	mank1251	False	False	False	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	False	False	False	True
Mangarayi	mpc	mang1381	False	False	False	True	True
Mangaia-Old Rapa	ray	rapa1245	False	False	False	True	True
Mandjak	mfv	mand1419	False	False	False	True	True
Mandan	mhq	mand1446	True	False	False	False	True
Manda-Matumba	mgs	mand1423	False	False	False	True	True
Mand	ate	atem1241	False	False	False	True	True
Manat	pmr	payn1244	False	False	False	True	True
Manange	nmm	mana1288	True	False	False	False	True
Malvi	mup	malv1243	True	False	False	False	True
Maltese	mlt	malt1254	False	False	False	True	True
Male (Ethiopia)	mdy	male1284	True	False	False	False	True
Malacca-Batavia Portuguese Creole	mcm	mala1533	True	False	False	False	True
Maku'a	lva	maku1277	False	True	False	False	True
Makasae-Makalero	mkz	maka1316	False	False	False	True	True
Makaa	mcp	maka1304	True	False	False	False	True
Maijiki	ore	orej1242	False	False	True	False	True
Maia	sks	maia1254	False	False	False	True	True
Mahasu Pahari	bfz	maha1287	True	False	False	False	True
Mafea	mkv	mafe1237	False	False	False	True	True
Madurese	mad	nucl1460	True	False	False	False	True
Madngele	zml	madn1237	True	False	False	False	True
Mada (Nigeria)	mda	mada1282	False	False	False	True	True
Macushi	mbc	macu1259	True	False	False	False	True
Macanese	mzs	maca1262	False	False	False	True	True
Maay	ymm	maay1238	False	False	False	True	True
Ma'di	mhi	madi1260	False	False	False	True	True
Ma'anyan	mhy	maan1238	True	False	False	False	True
Lü	khb	luuu1242	False	False	False	True	True
Lydian	xld	lydi1241	True	False	False	False	True
Lycian A	xlc	lyci1241	True	False	False	False	True
Luwo	lwo	luwo1239	False	False	False	True	True
Lusi	khl	lusi1240	True	False	False	False	True
Lundayeh	lnd	lund1271	True	False	False	False	True
Lunda	lun	lund1266	True	False	False	False	True
Lugbara	lgg	lugb1240	False	False	False	True	True
Luangiua	ojv	onto1237	False	False	False	True	True
Luang	lex	luan1263	False	False	False	True	True
Lowland Tarahumara	tac	lowl1265	False	False	False	True	True
Lower Richmond	NOCODE_Lower-Richmond	lowe1444	False	False	False	True	True
Louisiana Creole French	lou	loui1240	True	False	False	False	True
Lou	loj	louu1245	False	False	False	True	True
Lote	uvl	lote1237	True	False	False	True	False
Lopit	lpx	lopi1242	False	False	False	True	True
Lonwolwol	crc	lonw1238	False	False	False	True	True
Loniu	los	loni1238	True	False	False	False	True
Lolopo	ycl	lolo1259	False	False	False	True	True
Lizu	NOCODE_Lizu	lizu1234	False	False	False	True	True
Lishana Deni	lsd	lish1247	False	False	False	True	True
Lingala	lin	ling1263	False	False	False	True	True
Limilngan	lmc	nucl1327	False	False	False	True	True
Limbum	lmp	limb1268	True	False	False	False	True
Lillooet	lil	lill1248	False	False	False	True	True
Libyan Arabic	ayl	liby1240	True	False	False	False	True
Libinza	liz	libi1244	True	False	False	False	True
Liberia Kpelle	xpe	libe1247	True	False	False	False	True
Lhomi	lhm	lhom1239	True	False	False	False	True
Lezghian	lez	lezg1247	False	True	False	False	True
Lelepa	lpa	lele1267	False	False	False	True	True
Lele (Chad)	lln	lele1276	True	False	False	False	True
Leh Ladakhi	lbj	lada1244	True	False	False	False	True
Laven	lbo	lave1248	True	False	False	False	True
Latvian	lav	latv1249	False	False	False	True	True
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	False	False	False	True	True
Lardil	lbz	lard1243	True	False	False	False	True
Laragia	lrg	lara1258	False	False	False	True	True
Langi	lag	lang1320	False	False	False	True	True
Lampung Api	ljp	lamp1243	True	False	False	False	True
Lamboya	lmy	lamb1273	False	False	False	True	True
Lamang	hia	lama1288	False	False	False	True	True
Lamaholot	slp	lama1277	True	False	False	False	True
Lama (Togo)	las	lama1275	True	False	False	False	True
Lakkia	lbc	lakk1238	False	False	False	True	True
Laiyolo	lji	laiy1246	True	False	False	False	True
Lahu	lhu	lahu1253	True	False	False	False	True
Ladino	lad	ladi1251	False	True	False	False	True
Ladin	lld	ladi1250	False	False	False	True	True
Kyerung	kgy	kyer1238	False	True	False	False	True
Kwomtari	kwo	nucl1593	False	False	False	True	True
Kutep	kub	kute1248	True	False	False	False	True
Kusunda	kgg	kusu1250	True	False	False	False	True
Kurrama	vku	kurr1243	True	False	False	False	True
Kung	kfl	kung1260	True	False	False	False	True
Kunbarlang	wlg	kunb1251	True	False	False	False	True
Kumarbhag Paharia	kmj	kuma1274	True	False	False	False	True
Kumam	kdi	kuma1275	True	False	False	False	True
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	True	False	False	False	True
Kulung (Nigeria)	bbu	kulu1255	False	False	False	True	True
Kulsab	faj	fait1240	False	False	False	True	True
Kula (Indonesia)	tpg	kula1280	False	False	False	True	True
Kuku	ukv	kuku1285	True	False	False	False	True
Kui (Indonesia)	kvd	kuii1253	False	False	False	True	True
Kriang-Khlor	ngt	ngeq1245	False	False	False	True	True
Kpan	kpk	kpan1246	True	False	False	False	True
Koyra Chiini Songhay	khq	koyr1240	True	False	False	False	True
Koy Sanjaq Jewish Neo-Aramaic	kqd	koys1242	False	False	False	True	True
Kosarek Yale	kkl	kosa1249	False	False	False	True	True
Korra Koraga	kfd	korr1238	False	False	False	True	True
Korowai	khe	koro1312	False	False	False	True	True
Koroshi	ktl	koro1296	False	False	False	True	True
Korean	kor	kore1280	True	False	False	False	True
Koonzime	ozm	koon1245	True	False	False	False	True
Konyak Naga	nbe	kony1248	True	False	False	False	True
Konso	kxc	kons1243	True	False	False	False	True
Konai	kxw	kona1242	False	False	False	True	True
Komo (Sudan)	xom	komo1258	False	False	False	True	True
Kombai	tyn	komb1274	False	False	False	True	True
Kokota	kkk	koko1269	False	False	False	True	True
Koko Dhawa	NOCODE_Koko-Dhawa	koko1272	False	False	False	True	True
Kokata	ktd	koka1244	True	False	False	False	True
Kohumono	bcs	kohu1244	True	False	False	False	True
Koho	kpm	koho1244	False	False	False	True	True
Kodava	kfa	koda1255	False	False	False	True	True
Kobon	kpw	kobo1249	False	False	False	True	True
Koasati	cku	koas1236	True	False	False	False	True
Klao	klu	klao1243	True	False	False	False	True
Kire	geb	kire1240	True	False	False	False	True
Kipsigis	sgc	kips1239	False	False	False	True	True
Kiowa Apache	apk	kiow1264	False	False	False	True	True
Kilmeri	kih	kilm1241	False	False	False	True	True
Kiliwa	klb	kili1268	True	False	False	False	True
Kilen	NOCODE_Kilen	kile1243	True	False	False	True	False
Kikuyu	kik	kiku1240	True	False	False	False	True
Khwarshi-Inkhoqwari	khv	khva1239	False	False	False	True	True
Khwarezmian	xco	khwa1238	False	False	False	True	True
Khowar	khw	khow1242	False	False	False	True	True
Khotanese	kho	khot1251	False	False	False	True	True
Khezha Naga	nkh	khez1235	False	False	False	True	True
Kharia	khr	khar1287	False	False	False	True	True
Khams Tibetan	khg	kham1282	True	False	False	False	True
Khamnigan Mongol	NOCODE_Khamnigan-Mongol	kham1281	True	False	False	False	True
Kesawai	xes	kesa1244	True	False	False	False	True
Kensiu	kns	kens1248	False	False	False	True	True
Kendayan-Belangin	knx	kend1254	False	True	False	False	True
Kelantan-Pattani Malay	mfa	patt1249	False	False	True	False	True
