Language	ISO 639-3	Glottocode	nasal_consonant	occlusive	oral_consonant	plosive	stop
Supyire Senoufo	spp	supy1237	True	False	True	False	True
Sundanese	sun	sund1252	True	False	False	True	True
Sumbawa	smw	sumb1241	False	False	True	True	True
Sula	szn	sula1248	True	False	False	True	True
Subiya	sbs	subi1246	True	False	False	True	True
Stoney	sto	ston1242	True	False	False	True	True
Spiti Bhoti	spt	spit1240	True	False	False	True	True
Southern Qiang	qxs	sout2728	True	False	False	True	True
Southern Pumi	pmj	sout2729	True	False	False	True	True
South Fali	fal	sout2782	True	False	False	True	True
Soo	teu	sooo1256	True	False	False	True	True
Sochiapam Chinantec	cso	soch1239	True	False	False	True	True
Siwi	siz	siwi1239	False	True	False	True	True
Sirajic	NOCODE_Sirajic	sira1263	True	False	False	True	True
Sipacapense	qum	sipa1247	True	True	False	False	True
Siona-Tetete	snn	sion1247	True	False	True	False	True
Sierra de Juárez Zapotec	zaa	sier1250	True	False	False	True	True
Sichuan Yi	iii	sich1238	True	False	False	True	True
Shipibo-Conibo	shp	ship1254	True	False	False	True	True
Seselwa Creole French	crs	sese1246	True	False	False	True	True
Senhaja De Srair	sjs	senh1238	False	True	False	True	True
Selk'nam	ona	onaa1245	True	False	False	True	True
Selayar	sly	sela1260	True	False	True	False	True
Sekpele	lip	sekp1241	True	False	False	True	True
Seimat	ssg	seim1238	True	False	False	True	True
Satawalese	stw	sata1237	True	False	False	True	True
Sango	sag	sang1328	True	False	False	True	True
Sabah Malay	msi	saba1263	True	False	False	True	True
Réunion Creole French	rcf	reun1238	True	False	False	True	True
Ruuli	ruc	ruul1235	True	False	False	True	True
Rutul	rut	rutu1240	False	True	False	True	True
Rongpo	rnp	rong1264	True	False	False	True	True
Rio Grande Tewa	tew	tewa1260	True	False	False	True	True
Rejang Kayan	ree	reja1241	True	False	True	False	True
Rapanui	rap	rapa1244	True	False	False	True	True
Rabha	rah	rabh1238	True	False	False	True	True
Qimant	ahg	qima1242	True	False	False	True	True
Qaqet	byx	qaqe1238	True	False	False	True	True
Principense	pre	prin1242	True	False	False	True	True
Prasun	prn	pras1239	False	True	False	True	True
Poumei Naga	pmx	poum1235	True	False	False	True	True
Polabian	pox	pola1255	True	True	False	False	True
Pite Sami	sje	pite1240	True	False	False	True	True
Pinotepa Nacional Mixtec	mio	pino1237	True	False	False	True	True
Pichi	fpe	fern1234	True	False	False	True	True
Piaroa	pid	piar1243	True	False	False	True	True
Phom Naga	nph	phom1236	True	False	False	True	True
Pendau	ums	pend1242	True	False	False	True	True
Paumarí	pad	paum1247	True	False	False	True	True
Parecís	pab	pare1272	True	False	False	True	True
Panará	kre	pana1307	True	False	True	False	True
