Language	ISO 639-3	Glottocode	absolutive	ergative
Siwai	siw	siwa1245	True	True
Situ	tzi	situ1238	True	True
Sirajic	NOCODE_Sirajic	sira1263	True	True
Sipacapense	qum	sipa1247	True	True
Siona-Tetete	snn	sion1247	True	True
Sierra de Juárez Zapotec	zaa	sier1250	True	True
Shipibo-Conibo	shp	ship1254	True	True
Shawi	cbt	chay1248	True	True
Shabo	sbf	shab1252	True	True
Serudung Murut	srk	seru1246	True	True
Serrano	ser	serr1255	True	True
Seri	sei	seri1257	True	True
Senthang Chin	sez	sent1260	True	True
Senhaja De Srair	sjs	senh1238	True	True
Semelai	sza	seme1247	True	True
Selk'nam	ona	onaa1245	True	True
Selayar	sly	sela1260	True	True
Selaru	slu	sela1259	True	True
Savosavo	svs	savo1255	True	True
Savi	sdg	savi1242	True	True
Sangtam Naga	nsa	sang1321	True	True
Saliba	sbe	sali1295	True	True
Sacapulteco	quv	saca1238	True	True
Rutul	rut	rutu1240	True	True
Rumu	klq	rumu1243	True	True
Romblomanon	rol	romb1245	True	True
Rimanggudinhma	zmv	mbar1253	True	True
Rennell-Bellona	mnv	renn1242	True	True
Rembarunga	rmb	remb1249	True	True
Rayón Zoque	zor	rayo1235	True	True
Rana Tharu	thr	rana1246	True	True
Qimant	ahg	qima1242	True	True
Q'anjob'al	kjb	qanj1241	True	True
Puyuma	pyu	puyu1239	True	True
Purik-Sham-Nubra	prx	puri1258	True	True
Puma	pum	puma1239	True	True
Pukapuka	pkp	puka1242	True	True
Poqomam	poc	poqo1253	True	True
Popti'	jac	popt1235	True	True
Pnar	pbv	pnar1238	True	True
Pitjantjatjara	pjt	pitj1243	True	True
Piaroa	pid	piar1243	True	True
Peranakan Indonesian	pea	pera1256	True	True
Pendau	ums	pend1242	True	True
Pará Arára	aap	para1310	True	True
Panytyima	pnw	pany1241	True	True
Pangutaran Sama	slm	pang1291	True	True
Panará	kre	pana1307	True	True
Panare	pbh	enap1235	True	True
Panamint	par	pana1305	True	True
Pamosu	hih	pamo1253	True	True
Paluai	blq	balu1257	True	True
Pahari Newari	phj	paha1257	True	True
Paasaal	sig	paas1238	True	True
Paakantyi	drl	darl1243	True	True
Omagua	omg	omag1248	True	True
Oluta Popoluca	plo	olut1240	True	True
Old Georgian	oge	oldg1234	True	True
Okanagan	oka	okan1243	True	True
Odoodee	kkc	odoo1238	True	True
Nyunga	nys	nyun1247	True	True
Nyulnyul	nyv	nyul1247	True	True
Nyiyaparli	xny	nija1241	True	True
Nyigina	nyh	nyig1240	True	True
Nyawaygi	nyt	nyaw1247	True	True
Nyangumarta	nna	nyan1301	True	True
Northwestern Ojibwa	ojb	nort2961	True	True
Northwest Alaska Inupiatun	esk	nort2945	True	True
Northern Yukaghir	ykg	nort2745	True	True
Northern Subanen	stb	nort2885	True	True
Northern Pomo	pej	nort2966	True	True
Northern Emberá	emp	nort2972	True	True
Northern Alta	aqn	nort2875	True	True
Northeast Kiwai	kiw	nort2930	True	True
North-Central Talysh	tly	taly1247	True	True
North-Central Dargwa	dar	darg1241	True	True
North Junín Quechua	qvn	nort2980	True	True
Nomatsiguenga	not	noma1263	True	True
Nocte Naga	njb	noct1238	True	True
Nkami	nkq	nkam1239	True	True
Nizaa	sgi	suga1248	True	True
Niuafo'ou	num	niua1240	True	True
Nisga'a	ncg	nisg1240	True	True
Nias	nia	nias1242	True	True
Nhanda	nha	nhan1238	True	True
Ngochang	NOCODE_Ngochang	ngoc1235	True	True
Ngkâlmpw Kanum	kcd	ngka1235	True	True
Ngarla on the Ashburton river south of the Hamersley range	nrk	ngar1296	True	True
Ngarinyin	ung	ngar1284	True	True
Ngarinman	nbj	ngar1235	True	True
Ngardi	rxd	ngar1288	True	True
Ngalakan	nig	ngal1293	True	True
Neverver	lgk	ling1265	True	True
Nen	nqn	nenn1238	True	True
Nehan	nsn	neha1247	True	True
Ndut	ndv	ndut1239	True	True
Natchez	ncz	natc1249	True	True
Narungga	nnr	naru1238	True	True
Nar Phu	npa	narp1239	True	True
Nanggu	ngr	nang1262	True	True
Nambo	ncm	namb1293	True	True
Nalca	nlc	nalc1240	True	True
Mün Chin	mwq	munc1235	True	True
Muruwari	zmu	muru1266	True	True
Muklom	NOCODE_Muklom	mukl1234	True	True
Moyon	nmo	moyo1238	True	True
Movima	mzp	movi1243	True	True
Mono-Alu	mte	mono1273	True	True
Momu-Fas	fqs	fass1245	True	True
Molale	mbe	mola1238	True	True
Mocoví	moc	moco1246	True	True
Mocho	mhc	moch1257	True	True
Mizo	lus	lush1249	True	True
Miluk	iml	milu1241	True	True
Migabac	mpp	miga1241	True	True
Middle Clarence	bdy	midd1357	True	True
Mian	mpt	mian1256	True	True
Mekens	skf	saki1248	True	True
Mbabaram	vmb	mbab1239	True	True
Mayogo	mdm	mayo1261	True	True
