Language	ISO 639-3	Glottocode	verbal_number
Yale	nce	yale1246	False
Yalarnnga	ylr	yala1262	False
Yalahatan-Haruru-Awaiya	jal	yala1266	False
Yala	yba	yala1263	False
Yakan	yka	yaka1277	False
Yagua	yad	yagu1244	False
Yagnobi	yai	yagn1238	False
Yagaria	ygr	yaga1260	False
Yagara-Jandai	NOCODE_Yagara	yaga1256	False
Yaeyama	rys	yaey1239	False
Yabem	jae	yabe1254	False
Yaaku	muu	yaak1241	False
Xârâcùù	ane	xara1244	False
Xokleng	xok	xokl1240	False
Xishanba Lalo	ywt	xish1235	False
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	False
Xicotepec De Juárez Totonac	too	xico1235	False
Xiang Chinese	hsn	xian1251	False
Xhosa	xho	xhos1239	False
Xanaguía Zapotec	ztg	xana1235	False
Xamtanga	xan	xamt1239	False
Wymysorys	wym	wymy1235	False
Wuvulu-Aua	wuv	wuvu1239	False
Wutunhua	wuh	wutu1241	False
Wutung	wut	wutu1244	False
Wunambal	wub	wuna1249	False
Wulguru	qgu	wulg1239	False
Wubuy	nuy	nung1290	False
Wu Chinese	wuu	wuch1236	False
Woun Meu	noa	woun1238	False
Wotu	wtw	wotu1240	False
Worrorra	wro	worr1237	False
Worodougou	jud	woro1256	False
Worimi	kda	wori1245	False
Woods Cree	cwd	wood1236	False
Wongo	won	wong1247	False
Wolof	wol	nucl1347	False
Wolio	wlo	woli1241	False
Woleaian	woe	wole1240	False
Wolaytta	wal	wola1242	False
Wolane	wle	wola1253	False
Woiwurrung	wyi	woiw1237	False
Woi	wbw	woii1237	False
Wiyot	wiy	wiyo1248	False
Wiru	wiu	wiru1244	False
Wirangu	wgu	wira1265	False
Wiradhuri	wrh	wira1262	False
Wipi	gdr	wipi1242	False
Wintu	wit	wint1259	False
Wilson River (Grey Range)	nbx	ngur1261	False
Wik-Ngathana	wig	wikn1245	False
Wik-Mungkan	wim	wikm1247	False
Wichí Lhamtés Vejoz	wlv	wich1263	False
Wichita	wic	wich1260	False
Whitesands	tnp	whit1269	False
Westphalic	wep	west2356	False
Western Xiangxi Miao	mmr	west2430	False
Western Victoria	NOCODE_Western-Victoria	west2443	False
Western Tlacolula Valley Zapotec	zab	sanj1284	False
Western Tamang	tdg	west2415	False
Western Subanon	suc	west2557	False
Western Sisaala	ssl	west2465	False
Western Puroik	NOCODE_Western-Puroik	west2873	False
Western Parbate Kham	kjl	west2420	False
Western Pantar	lev	lamm1241	False
Western Panjabi	pnb	west2386	False
Western Ojibwa	ojw	west1510	False
Western Neo-Aramaic	amw	west2763	False
Western Muria	mut	west2408	False
Western Minyag	wmg	west2417	False
Western Lawa	lcp	west2396	False
Western Keres	kjq	west2632	False
Western Kayah	kyu	west2409	False
Western Karaboro	kza	west2466	False
Western Juxtlahuaca Mixtec	jmx	west2643	False
Western Huasteca Nahuatl	nhw	west2624	False
Western Highland Chatino	ctp	west2644	False
Western Frisian	fry	west2354	False
Western Fijian	wyy	west2519	False
Western Farsi	pes	west2369	False
Western Dani	dnw	west2594	False
Western Cham	cja	west2650	False
Western Canadian Inuktitut	ikt	west2618	False
Western Bukidnon Manobo	mbb	west2555	False
Western Bru	brv	west2397	False
Western Balochi	bgn	west2368	False
Western Arrarnta	are	west2441	False
Western Armenian	hyw	homs1234	False
Western Apache	apw	west2615	False
Western Abenaki	abe	west2630	False
West Yugur	ybe	west2402	False
West Tarangan	txn	west2538	False
West Makian	mqs	west2600	False
West Kewa	kew	west2599	False
West Damar	drn	west2548	False
West Coast Bajau	bdr	west2560	False
West Central Oromo	gaz	west2721	False
West Berawan	zbw	west2564	False
Wersing	kvw	wers1238	False
Weri	wer	weri1253	False
Welsh	cym	wels1247	False
Welsh Romani	rmw	wels1246	False
Wedau	wed	weda1241	False
Wayuu	guc	wayu1243	False
Wayu	vay	wayu1241	False
Wayana	way	waya1269	False
Wawa	www	wawa1246	False
Waurá	wau	waur1244	False
Wathawurrung	wth	wath1238	False
Watam	wax	wata1253	False
Waskia	wsk	wask1241	False
Washo	was	wash1253	False
Warungu	wrg	waru1264	False
Warumungu	wrm	waru1265	False
Warrwa	wwr	warr1258	False
Warrnambool	gjm	warr1257	False
Warrgamay	wgy	warr1255	False
Warray	wrz	wara1290	False
Warluwara	wrb	warl1256	False
Warlpiri	wbp	warl1254	False
Warlmanpa	wrl	warl1255	False
Waris	wrs	wari1266	False
Wari'	pav	wari1268	False
Warembori	wsa	ware1253	False
Wardaman	wrr	ward1246	False
Waray (Philippines)	war	wara1300	False
Warao	wba	wara1303	False
Wara	wbf	wara1292	False
War-Jaintia	aml	warj1242	False
Wappo	wao	wapp1239	False
Wapishana	wap	wapi1253	False
Wapan	juk	wapa1235	False
Waorani	auc	waor1240	False
Wantoat	wnc	want1252	False
Wano	wno	wano1243	False
Wanman	wbt	wanm1242	False
Wangaaybuwan-Ngiyambaa	wyb	wang1291	False
Wanga	lwg	wang1294	False
Waneci	wne	wane1241	False
Wandarang	wnd	wand1263	False
Wandamen	wad	wand1267	False
Wandala	mfi	wand1278	False
Wampanoag	wam	wamp1249	False
Wamey	cou	wame1240	False
Wambule	wme	wamb1257	False
Wambon	wms	wamb1259	False
Wambayan	wmb	wamb1258	False
Walser	wae	wals1238	False
Walmajarri	wmt	walm1241	False
Wallisian	wls	wall1257	False
Wala	lgl	wala1266	False
Wakhi	wbl	wakh1245	False
Wakawaka	wkw	waka1274	False
Wajarri	wbv	waja1257	False
Waiwai	waw	waiw1244	False
Waimiri-Atroari	atr	waim1253	False
Waima'a	wmh	waim1252	False
Waima	rro	waim1251	False
Wailaki	wlk	wail1244	False
Waigeo	wgo	waig1244	False
Wahgi	wgi	nucl1620	False
Wageman	waq	wage1238	False
Wagdi	wbr	wagd1238	False
Wagaya	wga	waga1260	False
Waffa	waj	waff1241	False
Wadjiginy	wdj	wadj1254	False
Waddar	wbq	wadd1237	False
Waata	ssn	waat1238	False
Vwanji	wbi	vwan1235	False
Vute	vut	vute1244	False
Vurës	msn	vure1239	False
Vunjo	vun	vunj1238	False
Votic	vot	voti1245	False
Vlax Romani	rmy	vlax1238	False
Virgin Islands Creole English	vic	virg1240	False
Vinza	vin	vinz1238	False
Vincentian Creole English	svc	vinc1243	False
Vietnamese	vie	viet1252	False
Vera'a	vra	vera1241	False
Ventureño	veo	vent1242	False
Vengo	bav	veng1238	False
Venetic	xve	vene1257	False
