Language	ISO 639-3	Glottocode	verbal_number
Slovenian	slv	slov1268	False
Slovak	slk	slov1269	False
Skou	skv	nucl1634	False
Siyin Chin	csy	siyi1240	False
Siwu	akp	siwu1238	False
Siwi	siz	siwi1239	False
Siwai	siw	siwa1245	False
Siuslaw	sis	sius1254	False
Situ	tzi	situ1238	False
Sisiqa	NOCODE_Sisiqa	sisi1250	False
Sirva	sbq	sile1255	False
Siroi	ssd	siro1249	False
Sirionó	srq	siri1273	False
Siraya	fos	sira1267	False
Sirajic	NOCODE_Sirajic	sira1263	False
Sipacapense	qum	sipa1247	False
Siona-Tetete	snn	sion1247	False
Sio	xsi	sioo1240	False
Sinte-Manus Romani	rmo	sint1235	False
Sinhala	sin	sinh1246	False
Sindhi	snd	sind1272	False
Sinaugoro	snc	sina1266	False
Sinasina	sst	sina1271	False
Simte	smt	simt1238	False
Simbo	sbb	simb1256	False
Silt'e	stv	silt1240	False
Silacayoapan Mixtec	mks	sila1250	False
Siksika	bla	siks1238	False
Sikkimese	sip	sikk1242	False
Sikaiana	sky	sika1261	False
Sika	ski	sika1262	False
Sierra de Juárez Zapotec	zaa	sier1250	False
Sie	erg	siee1239	False
Sidamo	sid	sida1246	False
Sicilian	scn	sici1248	False
Sichuan Yi	iii	sich1238	False
Siawi	mmp	siaw1243	False
Siar-Lak	sjr	siar1238	False
Siane	snp	sian1257	False
Siamou	sif	siam1242	False
Shwe Palaung	pll	shwe1236	False
Shuswap	shs	shus1248	False
Shumashti	sts	shum1235	False
Shughni	sgh	shug1248	False
Shuar	jiv	shua1257	False
Shua	shg	shua1254	False
Shoshoni	shh	shos1248	False
Shona	sna	shon1251	False
Sholaga	sle	shol1240	False
Shixing	sxg	shix1238	False
Shipibo-Conibo	shp	ship1254	False
Shina	scl	shin1264	False
Shilluk	shk	shil1265	False
Shihhi Arabic	ssh	shih1239	False
Shi	shr	shii1238	False
Sherdukpen	sdp	sher1257	False
Sherbro	bun	sher1258	False
Sheko	she	shek1245	False
Shekhawati	swv	shek1243	False
She	shx	shee1238	False
Shawnee	sjw	shaw1249	False
Shawi	cbt	chay1248	False
Shatt	shj	shat1244	False
Shan	shn	shan1277	False
Shambala	ksb	sham1280	False
Shahrudi	shm	shah1254	False
Shabo	sbf	shab1252	False
Seze	sze	seze1235	False
Severn Ojibwa	ojs	seve1240	False
Seselwa Creole French	crs	sese1246	False
Serudung Murut	srk	seru1246	False
Serua	srw	seru1245	False
Serrano	ser	serr1255	False
Seri	sei	seri1257	False
Sereer	srr	sere1260	False
Serbian-Croatian-Bosnian	hbs	sout1528	False
Senthang Chin	sez	sent1260	False
Sentani	set	nucl1632	False
Senhaja De Srair	sjs	senh1238	False
Seneca	see	sene1264	False
Senari	sef	ceba1235	False
Sena	seh	nucl1396	False
Semnani	smy	semn1249	False
Semelai	sza	seme1247	False
Semaq Beri	szc	sema1265	False
Semai	sea	sema1266	False
Selkup	sel	selk1253	False
Selk'nam	ona	onaa1245	False
Selepet	spl	sele1250	False
Selee	snw	sele1249	False
Selayar	sly	sela1260	False
Selaru	slu	sela1259	False
Sekpele	lip	sekp1241	False
Seke (Vanuatu)	ske	seke1241	False
Seke (Nepal)	skj	seke1240	False
Seimat	ssg	seim1238	False
Seediq	trv	taro1264	False
Sedang	sed	seda1262	False
Sechelt	sec	sech1246	False
Sebat Bet Gurage	sgw	seba1251	False
Sea Island Creole English	gul	gull1241	False
Scottish Gaelic	gla	scot1245	False
Scots	sco	scot1243	False
Scanian	scy	scan1238	False
Sayula Popoluca	pos	sayu1241	False
Saya	say	saya1246	False
Sawila	swt	sawi1256	False
Sawai	szw	sawa1247	False
Savosavo	svs	savo1255	False
Savi	sdg	savi1242	False
Sauria Paharia	mjt	saur1249	False
Saurashtra	saz	saur1248	False
Sauraseni Prakrit	psu	saur1252	False
Satawalese	stw	sata1237	False
Sasak	sas	sasa1249	False
Sartang	onp	sart1249	False
Sarsi	srs	sars1236	False
Sarikoli	srh	sari1246	False
Sarangani Manobo	mbs	sara1327	False
Sarangani Blaan	bps	sara1326	False
Saramaccan	srm	sara1340	False
Saraiki	skr	sera1259	False
Sara Kaba Náà	kwv	sara1321	False
Sapuan	spu	sapu1248	False
Saposa	sps	sapo1253	False
Sanumá	xsu	sanu1240	False
Santali	sat	sant1410	False
Santa María Quiegolani Zapotec	zpi	sant1451	False
Sanskrit	san	sans1269	False
Sansi	ssi	sans1271	False
Sankaran Maninka	msc	sank1253	False
Saniyo-Hiyewe	sny	sani1270	False
Sangtam Naga	nsa	sang1321	False
Sango	sag	sang1328	False
Sangisari	sgr	sang1315	False
Sangir	sxn	sang1336	False
Sanga (Democratic Republic of Congo)	sng	sang1331	False
Sandawe	sad	sand1273	False
Sanapaná	spn	sana1298	False
Sanaani Arabic	ayn	sana1295	False
San Miguel El Grande Mixtec	mig	sanm1295	False
San Martín Quechua	qvs	sanm1289	False
San Juan Atzingo Popoloca	poe	sanj1285	False
San Francisco del Mar Huave	hue	sanf1258	False
San Felipe Otlaltepec Popoloca	pow	sanf1264	False
San Dionisio del Mar Huave	hve	sand1278	False
San Blas Kuna	cuk	sanb1242	False
San Andres Creole English	icr	sana1297	False
Samoan	smo	samo1305	False
Samo	smq	samo1303	False
Samburu	saq	samb1315	False
Sambalpuri	spv	samb1325	False
Samba Daka	ccg	samb1311	False
Samaritan	smp	sama1313	False
Salt-Yui	sll	salt1242	False
Salka-Tsishingini	tsw	tsis1238	False
Salinan	sln	sali1253	False
Saliba	sbe	sali1295	False
Sakizaya	szy	saki1247	False
Sakha	sah	yaku1245	False
Sakao	sku	saka1289	False
Sajalong	sjl	saja1240	False
Saisiyat	xsy	sais1237	False
Saint Lucian Creole French	acf	sain1246	False
Saidi Arabic	aec	said1239	False
Sahu	saj	sahu1245	False
Saho	ssy	saho1246	False
Sagalla	tga	saga1262	False
Safwa	sbk	safw1238	False
Safeyoka	apz	safe1240	False
Safaliba	saf	safa1243	False
Sadu	NOCODE_Sadu	sadu1234	False
Sadri	sck	sadr1248	False
Sacapulteco	quv	saca1238	False
Sabanê	sae	saba1268	False
Sabaic	xsa	saba1279	False
Sabah Malay	msi	saba1263	False
Saaroa	sxr	saar1237	False
Saamia	lsm	saam1283	False
Saafi-Saafi	sav	saaf1238	False
Sa'a	apb	saaa1240	False
Sa	sax	saaa1241	False
S'gaw Karen	ksw	sgaw1245	False
Réunion Creole French	rcf	reun1238	False
Rwa	rwk	rwaa1238	False
Ruund	rnd	ruun1238	False
Ruuli	ruc	ruul1235	False
Rutul	rut	rutu1240	False
Rusyn	rue	rusy1239	False
Russian	rus	russ1263	False
Russia Buriat	bxr	russ1264	False
Rungus	drg	rung1259	False
Rundi	run	rund1242	False
Rumu	klq	rumu1243	False
Rukai	dru	ruka1240	False
Ruga	ruh	ruga1238	False
Ruching Palaung	pce	ruch1235	False
Roviana	rug	rovi1238	False
Rotuman	rtm	rotu1241	False
Rotokas	roo	roto1249	False
Rongpo	rnp	rong1264	False
Rongmei Naga	nbu	rong1266	False
Romblomanon	rol	romb1245	False
Romansh	roh	roma1326	False
Romanian	ron	roma1327	False
Romagnol	rgn	roma1328	False
Riuk Bekati'	bei	beka1241	False
Ritarungo	rit	rita1239	False
Rio Grande Tewa	tew	tewa1260	False
Rimanggudinhma	zmv	mbar1253	False
Riantana	ran	rian1263	False
Reta	ret	rett1240	False
Resígaro	rgr	resi1247	False
Reshe	res	resh1242	False
Rerep	pgk	rere1240	False
Rennell-Bellona	mnv	renn1242	False
Rengao	ren	reng1252	False
Rendille	rel	rend1243	False
Rembong-Wangka	reb	remb1250	False
Rembarunga	rmb	remb1249	False
Rejang	rej	reja1240	False
Rejang Kayan	ree	reja1241	False
Reel	atu	reel1238	False
Rayón Zoque	zor	rayo1235	False
Rawat	jnl	rawa1264	False
Rawang	raw	rawa1265	False
Rawa	rwo	rawa1267	False
Ravula	yea	ravu1237	False
Raute	rau	raut1239	False
Ratahan	rth	rata1244	False
Rarotongan	rar	raro1241	False
Rapoisi	kyx	rapo1238	False
Rapanui	rap	rapa1244	False
Rao	rao	raoo1244	False
Rangpuri	rkt	rang1265	False
Rangkas	rgk	rang1266	False
Rana Tharu	thr	rana1246	False
Ramoaaina	rai	ramo1244	False
Rama	rma	rama1270	False
Rakahanga-Manihiki	rkh	raka1237	False
Raji	rji	raji1240	False
Rajbanshi	rjs	rajb1243	False
Rade	rad	rade1240	False
Rabha	rah	rabh1238	False
Quiotepec Chinantec	chq	quio1240	False
Quinault	qun	quin1251	False
Quileute	qui	quil1240	False
Quechan	yum	quec1382	False
Quapaw	qua	quap1242	False
Qimant	ahg	qima1242	False
Qashqa'i	qxq	qash1240	False
Qaqet	byx	qaqe1238	False
Q'anjob'al	kjb	qanj1241	False
Pökoot	pko	poko1263	False
Päri	lkr	pari1256	False
Páez	pbb	paez1247	False
Pwo Western Karen	pwo	pwow1235	False
Pwo Eastern Karen	kjp	pwoe1235	False
Puyuma	pyu	puyu1239	False
Purum	pub	puru1266	False
Purik-Sham-Nubra	prx	puri1258	False
Purepecha	tsz	pure1242	False
Purari	iar	pura1257	False
Pumé	yae	pume1238	False
Puma	pum	puma1239	False
Puluwatese	puw	pulu1242	False
Pular	fuf	pula1262	False
Pulaar	fuc	pula1263	False
Pukapuka	pkp	puka1242	False
Psikye	kvj	psik1239	False
Principense	pre	prin1242	False
Prasun	prn	pras1239	False
Prai	prt	phai1238	False
Pouye	bye	pouy1238	False
Poumei Naga	pmx	poum1235	False
Pottangi Ollar Gadaba	gdb	pott1240	False
Potawatomi	pot	pota1247	False
Portuguese	por	port1283	False
Port Sandwich	psw	port1285	False
Poqomchi'	poh	poqo1254	False
Poqomam	poc	poqo1253	False
Popti'	jac	popt1235	False
Pontic	pnt	pont1253	False
Polish	pol	poli1260	False
Polci	plj	polc1243	False
Polabian	pox	pola1255	False
Pohnpeian	pon	pohn1238	False
Pnar	pbv	pnar1238	False
Plautdietsch	pdt	plau1238	False
Plateau Malagasy	plt	plat1254	False
Plains Cree	crk	plai1258	False
Pitta Pitta	pit	pitt1247	False
Pitjantjatjara	pjt	pitj1243	False
Pite Sami	sje	pite1240	False
Pitcairn-Norfolk	pih	pitc1234	False
Piscataway	psy	pisc1239	False
Pirahã	myp	pira1253	False
Pipil	ppl	pipi1250	False
Pintupi-Luritja	piu	pint1250	False
Pintiini	pti	pint1251	False
Pinotepa Nacional Mixtec	mio	pino1237	False
Pingelapese	pif	ping1243	False
Pinai-Hagahai	pnn	pina1252	False
Pimbwe	piw	pimb1238	False
Pima Bajo	pia	pima1248	False
Pilagá	plg	pila1245	False
Pijin	pis	piji1239	False
Piemontese	pms	piem1238	False
Picuris Northern Tiwa	NOCODE_Picuris-Northern-Tiwa	picu1248	False
Piaroa	pid	piar1243	False
Piapoco	pio	piap1246	False
Phrygian	xpg	phry1239	False
Phong-Kniang	pnx	phon1246	False
Phom Naga	nph	phom1236	False
Phoenician	phn	phoe1239	False
Phalura	phl	phal1254	False
Phake	phk	phak1238	False
Pfaelzisch	pfl	pala1330	False
Peñoles Mixtec	mil	peno1244	False
Peve	lme	peve1243	False
Pero	pip	pero1241	False
Peripheral Mongolian	mvf	peri1253	False
Peranakan Indonesian	pea	pera1256	False
Penrhyn	pnh	penr1237	False
Pennsylvania German	pdc	penn1240	False
Pengo	peg	peng1244	False
Pendau	ums	pend1242	False
Penange	NOCODE_Penange	pena1270	False
Pele-Ata	ata	pele1245	False
Pedi	nso	pedi1238	False
Pech	pay	pech1241	False
Pazeh	pzh	kulo1237	False
Pawnee	paw	pawn1254	False
Paumarí	pad	paum1247	False
Pattani	lae	patt1248	False
Patpatar	gfk	patp1243	False
Patep	ptp	pate1247	False
Pass Valley Yali	yac	pass1247	False
Pará Arára	aap	para1310	False
Paraguayan Guaraní	gug	para1311	False
Parachi	prc	para1299	False
Papuan Malay	pmy	papu1250	False
Papiamento	pap	papi1253	False
Papar	dpp	papa1268	False
Papapana	ppn	papa1265	False
Panytyima	pnw	pany1241	False
Paniya	pcg	pani1256	False
Pangwa Naga	nst	tase1235	False
Pangutaran Sama	slm	pang1291	False
Pangasinan	pag	pang1290	False
Panare	pbh	enap1235	False
Panamint	par	pana1305	False
Pamplona Atta	att	pamp1244	False
Pampanga	pam	pamp1243	False
Paluai	blq	balu1257	False
Palikúr	plu	pali1279	False
Pali	pli	pali1273	False
Palenquero	pln	pale1260	False
Palauan	pau	pala1344	False
Palantla Chinantec	cpa	pala1351	False
Paiwan	pwn	paiw1248	False
Paite Chin	pck	pait1244	False
Paisaci Prakrit	qpp	pais1238	False
Paipai	ppi	paip1241	False
Pahlavi	pal	pahl1241	False
Pahari Newari	phj	paha1257	False
Pagu	pgu	pagu1249	False
Pagibete	pae	pagi1243	False
Pacoh	pac	paco1243	False
Pacific Gulf Yupik	ems	paci1278	False
Pacaraos Quechua	qvp	paca1245	False
Paasaal	sig	paas1238	False
Paama	pma	paam1238	False
Paakantyi	drl	darl1243	False
Pa'a	pqa	paaa1242	False
Ozolotepec Zapotec	zao	ozol1235	False
Oyda	oyd	oyda1235	False
Owa	stn	owaa1237	False
Otuho	lot	otuh1238	False
Ottawa	otw	otta1242	False
Otoro	otr	otor1240	False
Ot Danum	otd	otda1235	False
Ostfränkisch	vmf	main1267	False
Osage	osa	osag1243	False
Orya	ury	orya1242	False
Orowe	bpk	orow1242	False
Oroko	bdu	orok1266	False
Orokaiva	okv	orok1269	False
Orok	oaa	orok1265	False
Oroha	ora	oroh1237	False
Oro Win	orw	orow1243	False
Ormuri	oru	ormu1247	False
Ormu	orz	ormu1248	False
Orma	orc	orma1241	False
Oriya	ory	oriy1255	False
Onondaga	ono	onon1246	False
Ongota	bxe	bira1253	False
Oneida	one	onei1249	False
Omi	omi	omii1238	False
Omani Arabic	acx	oman1239	False
Omaha-Ponca	oma	omah1247	False
Omagua	omg	omag1248	False
Oluta Popoluca	plo	olut1240	False
Olo	ong	oloo1241	False
Olekha	ole	olek1239	False
Older Runic	NOCODE_Older-Runic	olde1239	False
Old Welsh	owl	oldw1239	False
Old Uighur	oui	oldu1238	False
Old Telugu	NOCODE_Old-Telugu	oldt1249	False
Old Tamil	oty	oldt1248	False
Old Saxon	osx	olds1250	False
Old Sabellic	qhr	sabe1248	False
Old Russian	orv	oldr1238	False
Old Prussian	prg	prus1238	False
Old Provençal	pro	oldp1253	False
Old Persian (ca. 600-400 B.C.)	peo	oldp1254	False
Old Nubian	onw	oldn1245	False
Old Norse	non	oldn1244	False
Old Mon	omx	oldm1242	False
Old Marathi	omr	oldm1244	False
Old Malay	NOCODE_Old-Malay	oldm1243	False
Old Latin	qbb	oldl1238	False
Old Khmer	qok	oldk1249	False
Old Kannada	qkn	oldk1250	False
Old Japanese	ojp	oldj1239	False
Old High German (ca. 750-1050)	goh	oldh1241	False
Old Georgian	oge	oldg1234	False
Old Frisian	ofs	oldf1241	False
Old French (842-ca. 1400)	fro	oldf1239	False
Old English (ca. 450-1100)	ang	olde1238	False
Old Chinese	och	oldc1244	False
Oku	oku	okuu1243	False
Oksapmin	opm	oksa1245	False
Okolie	oie	okol1243	False
Oko-Eni-Osayen	oks	okoe1238	False
Okiek	oki	okie1245	False
Oki-No-Erabu	okn	okin1246	False
Okanagan	oka	okan1243	False
Oirata	oia	oira1263	False
Oirad-Kalmyk-Darkhat	xal	kalm1243	False
Oinam	NOCODE_Oinam	-	False
Ogea	eri	ogea1238	False
Ogbronuagum	ogu	ogbr1243	False
Ogbia	ogb	ogbi1239	False
Odual	odu	odua1238	False
Odoodee	kkc	odoo1238	False
Ocotepec Mixtec	mie	ocot1243	False
Occitan	oci	occi1239	False
Obolo	ann	obol1243	False
Obokuitai	afz	obok1239	False
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	False
N||ng	ngh	nngg1234	False
Nzima	nzi	nzim1238	False
Nzanyi	nja	nzan1240	False
Nzadi	nzd	nzad1234	False
Nyunga	nys	nyun1247	False
Nyulnyul	nyv	nyul1247	False
Nyoro	nyo	nyor1246	False
Nyiyaparli	xny	nija1241	False
Nyishi-Hill Miri	njz	nyis1236	False
Nyiha (Tanzania)	nih	nyih1240	False
Nyigina	nyh	nyig1240	False
Nyawaygi	nyt	nyaw1247	False
Nyaturu	rim	nyat1246	False
Nyankole	nyn	nyan1307	False
Nyanja	nya	nyan1308	False
Nyangumarta	nna	nyan1301	False
Nyangbo	nyb	nyan1302	False
Nyangatom	nnj	nyan1315	False
Nyang'i	nyp	nyan1313	False
Nyamwezi	nym	nyam1276	False
Nyambo	now	nyam1277	False
Nyam	nmi	nyam1285	False
Nyali	nlj	nyal1250	False
Nyakyusa-Ngonde	nyy	nyak1260	False
Nyahkur	cbn	nyah1250	False
Nyaheun	nev	nyah1249	False
Nuu-chah-nulth	nuk	nuuc1236	False
Nuristani Kalasha	wbk	waig1243	False
Nupe-Nupe-Tako	nup	nupe1254	False
Nungali	nug	nung1291	False
Nung (Viet Nam)	nut	nung1283	False
Nung (Myanmar)	nun	nung1282	False
Nukuoro	nkr	nuku1260	False
Nukna	klt	nukn1238	False
Nugunu (Cameroon)	yas	nugu1242	False
Nuer	nus	nuer1246	False
Nubi	kcn	nubi1253	False
Nsong-Mpiin	soo	song1299	False
Nsenga	nse	nsen1242	False
Nottoway	ntw	nott1246	False
Notsi	ncf	nots1237	False
Norwegian	nor	norw1258	False
Northwestern Ojibwa	ojb	nort2961	False
Northwestern Lingala	NOCODE_Northwestern-Lingala	nort3345	False
Northwestern Kolami	kfb	nort2699	False
Northwest Sahaptin	yak	yaki1237	False
Northwest Maidu	mjd	nort2951	False
Northwest Gbaya	gya	nort2775	False
Northwest Alaska Inupiatun	esk	nort2945	False
Northern Yukaghir	ykg	nort2745	False
Northern Uzbek	uzn	nort2690	False
Northern Tujia	tji	nort2732	False
Northern Tshwa	hio	tsoa1238	False
Northern Tosk Albanian	als	tosk1239	False
Northern Thai	nod	nort2740	False
Northern Tepehuan	ntp	nort2959	False
Northern Subanen	stb	nort2885	False
Northern Straits Salish	str	stra1244	False
Northern Sami	sme	nort2671	False
Northern Roglai	rog	nort2994	False
Northern Qiang	cng	nort2722	False
Northern Pumi	pmi	nort2723	False
Northern Puebla Nahuatl	ncj	nort2957	False
Northern Pastaza Quichua	qvz	nort2973	False
Northern Pashto	pbu	nort2646	False
Northern Pame	pmq	nort2984	False
Northern Paiute	pao	nort2954	False
Northern One	onr	nort2907	False
Northern Mansi	mns	mans1258	False
Northern Lushootseed	lut	lush1252	False
Northern Luri	lrc	nort2645	False
Northern Kurdish	kmr	nort2641	False
Northern Khmer	kxm	nort2684	False
Northern Kankanay	xnn	nort2877	False
Northern Jinghpaw	sgp	sing1264	False
Northern Inland Yuin	NOCODE_Northern-Inland-Yuin	nort2760	False
Northern Hmong	NOCODE_Northern-Hmong	nort3244	False
Northern Haida	hdn	nort2938	False
Northern Gumuz	guk	gumu1244	False
Northern Gondi	gno	nort2702	False
Northern Frisian	frr	nort2626	False
Northern Emberá	emp	nort2972	False
Northern East Cree	crl	nort1552	False
Northern Dagara	dgi	nort2780	False
Northern Conchucos Ancash Quechua	qxn	nort2979	False
Northern Amami-Oshima	ryn	nort2935	False
Northern Alta	aqn	nort2875	False
Northeastern Thai	tts	nort2741	False
Northeast Maidu	nmu	nort2952	False
Northeast Kiwai	kiw	nort2930	False
North-Central Talysh	tly	taly1247	False
North-Central Ju	knw	kung1261	False
North-Central Dargwa	dar	darg1241	False
North Tanna	tnn	nort2847	False
North Tairora	tbg	nort2920	False
North Slavey	scs	nort2942	False
North Moluccan Malay	max	nort2828	False
North Mesopotamian Arabic	ayp	nort3142	False
North Marquesan	mrq	nort2845	False
North Levantine Arabic	apc	nort3139	False
North Junín Quechua	qvn	nort2980	False
North Giziga	gis	nort3047	False
North Efate	llp	nort2836	False
North Azerbaijani	azj	nort2697	False
North Ambrym	mmg	nort2839	False
North Alaskan Inupiatun	esi	nort2943	False
Nopala Chatino	cya	nopa1235	False
Noone	nhu	noon1243	False
Noon	snf	noon1242	False
Nonuya	noj	nonu1241	False
Nomatsiguenga	not	noma1263	False
Nomaande	lem	noma1260	False
Nokuku	nkk	noku1237	False
Nogai	nog	noga1249	False
Nocte Naga	njb	noct1238	False
Nobiin	fia	nobi1240	False
Nkonya	nko	nkon1248	False
Nkem-Nkum	isi	nkem1242	False
Nkami	nkq	nkam1239	False
Njyem	njy	njye1238	False
Njerep	njr	njer1242	False
Njebi	nzb	njeb1242	False
Njanga	NOCODE_Njanga	njan1240	False
Niuean	niu	niue1239	False
Niuafo'ou	num	niua1240	False
Nisga'a	ncg	nisg1240	False
Nisenan	nsz	nise1244	False
Nipmuck	xlo	loup1243	False
Ninde	mwi	labo1244	False
Ninam	shb	nina1238	False
Nimboran	nir	nucl1633	False
Nimadi	noe	nima1243	False
Nilamba	nim	nila1242	False
Nii	nii	niii1240	False
Nihali	nll	niha1238	False
Nigerian Pidgin	pcm	nige1257	False
Niellim	nie	niel1243	False
Nicaragua Creole English	bzk	nica1252	False
Nias	nia	nias1242	False
Nhengatu	yrl	nhen1239	False
Nhanda	nha	nhan1238	False
Ngäbere	gym	ngab1239	False
Ngwe	nwe	ngwe1238	False
Ngomba	jgo	ngom1272	False
Ngochang	NOCODE_Ngochang	ngoc1235	False
Ngizim	ngi	ngiz1242	False
Ngiti	niy	ngit1239	False
Ngie	ngj	ngie1242	False
Nggem	nbq	ngge1241	False
Ngbaka Minagende	nga	ngba1285	False
Ngazidja Comorian	zdj	ngaz1238	False
Ngas	anc	ngas1240	False
Ngarluma	nrl	ngar1287	False
Ngarla on the Ashburton river south of the Hamersley range	nrk	ngar1296	False
Ngarinman	nbj	ngar1235	False
Ngardi	rxd	ngar1288	False
Ngangam	gng	ngan1299	False
Ngandi	nid	ngan1295	False
Nganasan	nio	ngan1291	False
Ngamo	nbh	ngam1282	False
Ngambay	sba	ngam1268	False
Ngalkbun	ngk	ngal1292	False
Ngalakan	nig	ngal1293	False
Ngadjunmaya	nju	ngad1258	False
Ngad'a	nxg	ngad1261	False
Ngaanyatjarra	ntj	ngaa1240	False
Nez Perce	nez	nezp1238	False
Neve'ei	vnm	vinm1237	False
Nese	NOCODE_Nese	nese1235	False
Nepali	npi	nepa1254	False
Neo-Mandaic	mid	nucl1706	False
Nengone	nen	neng1238	False
Nend	anh	nend1239	False
Nen	nqn	nenn1238	False
Nek	nif	nekk1240	False
Nehan	nsn	neha1247	False
Negeri Sembilan Malay	zmi	nege1240	False
Negerhollands	dcr	nege1244	False
Nedebang	nec	nede1245	False
Ndut	ndv	ndut1239	False
Ndonga	ndo	ndon1254	False
Ndengereko	ndg	nden1248	False
Ndau	ndc	ndau1241	False
Ndamba	ndj	ndam1239	False
Ndali	ndh	ndal1241	False
Ncane	ncr	ncan1245	False
Nayi	noz	nayi1243	False
Nawuri	naw	nawu1242	False
Navajo	nav	nava1243	False
Nauru	nau	naur1243	False
Nauete	nxa	naue1237	False
Nati	NOCODE_Nati	nati1244	False
Natchez	ncz	natc1249	False
Narungga	nnr	naru1238	False
Narrinyeri	nay	narr1259	False
Naro	nhr	naro1249	False
Narim	loh	nari1240	False
Nara	nrb	nara1262	False
Nar Phu	npa	narp1239	False
Nankina	nnk	nank1250	False
Nangikurrunggurr	nam	nang1259	False
Nanggu	ngr	nang1262	False
Nanga	nzz	nang1261	False
Nandi	niq	nand1266	False
Nande	nnb	nand1264	False
Nanai	gld	nana1257	False
Namuyi	nmy	namu1246	False
Namia	nnm	nami1256	False
Nambo	ncm	namb1293	False
Naman	lzl	litz1237	False
Namakura	nmk	nama1268	False
Nama (Namibia)	naq	nama1264	False
Nalik	nal	nali1244	False
Nalca	nlc	nalc1240	False
Naki	mff	naki1238	False
Nakara	nck	naka1260	False
Nakanai	nak	naka1262	False
Najdi Arabic	ars	najd1235	False
Najanga-Kindige	dbu	bond1248	False
Nai	bio	naii1241	False
Nahenic	NOCODE_Nahenic	nahe1238	False
Nahavaq	sns	sout2857	False
Naga Pidgin	nag	naga1394	False
Nabak	naf	naba1256	False
Naasioi	nas	naas1242	False
Na	nbt	naaa1245	False
Mískito	miq	misk1235	False
Máku	xak	maku1246	False
Myene	mye	myen1241	False
Mycenaean Greek	gmy	myce1241	False
Mwotlap	mlv	motl1237	False
Mwera (Nyasa)	mjh	mwer1247	False
Mwera (Chimwera)	mwe	mwer1248	False
Mwani	wmw	mwan1247	False
Mwan	moa	mwan1250	False
Mwaghavul	sur	mwag1236	False
Muyuw	myw	muyu1244	False
Muyang	muy	muya1243	False
Mutsun	css	muts1243	False
Muthuvan	muv	muth1236	False
Mussau-Emira	emi	muss1246	False
Musom	msu	muso1238	False
Muruwari	zmu	muru1266	False
Murui Huitoto	huu	muru1274	False
Mursi	muz	murs1242	False
Murrinh-Patha	mwf	murr1258	False
Murle	mur	murl1244	False
Muong	mtq	muon1246	False
Munsee	umu	muns1251	False
Mungbam	mij	abar1238	False
Mungaka	mhk	mung1266	False
Mundari	unr	mund1320	False
Mundabli	boe	mund1328	False
Muna	mnb	muna1247	False
Mumuye	mzm	nucl1240	False
Mullukmulluk	mpb	mull1237	False
Mulam	mlm	mula1253	False
Muklom	NOCODE_Muklom	mukl1234	False
Mufian	aoj	mufi1238	False
Muduga	udg	mudu1239	False
Muduapa	wiv	mudu1242	False
Mudhili Gadaba	gau	mudh1235	False
Mualang	mtd	mual1241	False
Mru	mro	mruu1242	False
Mro Chin	cmr	mroc1235	False
Mpur	akc	mpur1239	False
Mpoto	mpa	mpot1240	False
Mpongmpong	mgg	mpon1254	False
Mpi	mpz	mpii1239	False
Mpade	mpi	mpad1242	False
Moyon	nmo	moyo1238	False
Movono	tgp	tang1347	False
Mountain Koiali	kpx	moun1252	False
Motu	meu	motu1246	False
Mota	mtt	mota1237	False
Mossi	mos	moss1236	False
Moskona	mtj	mosk1236	False
Mosetén-Chimané	cas	mose1249	False
Moselle Franconian	ltz	luxe1241	False
Mortlockese	mrl	mort1237	False
Moroccan Arabic	ary	moro1292	False
Moro	mor	moro1285	False
Morisyen	mfe	mori1278	False
Mori Bawah	xmz	mori1268	False
Morelos Nahuatl	nhm	more1259	False
Mor (Mor Islands)	mhz	morm1235	False
Moose Cree	crm	moos1236	False
Montagnais	moe	mont1268	False
Mono (USA)	mnr	mono1275	False
Mono (Democratic Republic of Congo)	mnh	mono1270	False
Moni	mnz	moni1261	False
Mongolia Buriat	bxm	mong1330	False
Mongo	lol	mong1338	False
Mongghul	mjg	huzh1238	False
Mon	mnw	monn1252	False
Mombo Dogon	dmb	momb1254	False
Moloko	mlw	molo1266	False
Molmo One	aun	molm1235	False
Molale	mbe	mola1238	False
Mokpwe	bri	mokp1239	False
Moklen	mkm	mokl1243	False
Mokilese	mkj	moki1238	False
Moken	mwt	moke1242	False
Mok	mqt	mokk1243	False
Moi (Indonesia)	mxn	moii1235	False
Mohegan-Montauk-Narragansett	mof	mohe1244	False
Mohawk	moh	moha1258	False
Mohave	mov	moha1256	False
Mogholi	mhj	mogh1245	False
Modern Hebrew	heb	hebr1245	False
Modern Greek	ell	mode1248	False
Mocoví	moc	moco1246	False
Mocho	mhc	moch1257	False
Mochica	omc	moch1259	False
Mmen	bfm	mmen1238	False
Mlahsô	lhs	mlah1239	False
Mlabri	mra	mlab1235	False
Mizo	lus	lush1249	False
Miyako	mvi	miya1259	False
Miya	mkf	miya1266	False
Mixtepec Zapotec	zpm	mixt1426	False
Mitla Zapotec	zaw	mitl1236	False
Misool-Salawati Ma'ya	slz	maya1282	False
Mising-Padam-Miri-Minyong	mrg	misi1242	False
Misima-Paneati	mpx	misi1243	False
Miship	mjs	mish1244	False
Miriwung	mep	miri1266	False
Mirandese	mwl	mira1251	False
Minigir	vmg	mini1251	False
