Language	ISO 639-3	Glottocode	coordination	serial_verb	verb_serialization	yuxtaposition
Tabo	knv	tabo1241	True	False	False	True
Tabla	tnm	tabl1243	False	True	False	True
Tabasco Chontal	chf	taba1266	True	False	False	True
Sukur	syk	suku1272	True	False	False	True
Stau-Dgebshes	ero	horp1239	True	False	False	True
Sranan Tongo	srn	sran1240	True	True	False	False
Squamish	squ	squa1248	True	False	False	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True	False	False	True
Southern Yukaghir	yux	sout2750	True	False	False	True
Southern Pomo	peq	sout2984	True	False	False	True
Southern Pame	pmz	sout2999	True	False	False	True
Southern Nambikuára	nab	sout2994	True	True	False	False
Southern Kisi	kss	sout2778	True	True	False	False
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	True	False	False	True
Southern Aymara	ayc	sout2996	True	False	False	True
Southern Amami-Oshima	ams	sout2954	True	False	False	True
Southeastern Tepehuan	stp	sout2976	True	False	False	True
Sougb	mnx	mani1235	True	True	False	False
Soo	teu	sooo1256	True	False	False	True
Sonsorol	sov	sons1242	True	False	False	True
Sobei	sob	sobe1238	True	False	True	False
Slovak	slk	slov1269	True	False	False	True
Skolt Sami	sms	skol1241	True	False	False	True
Siwu	akp	siwu1238	True	True	False	False
Siwi	siz	siwi1239	True	False	False	True
Siraya	fos	sira1267	False	True	True	False
Sirajic	NOCODE_Sirajic	sira1263	True	False	False	True
Siona-Tetete	snn	sion1247	False	True	True	False
Sio	xsi	sioo1240	True	False	True	False
Sinaugoro	snc	sina1266	False	True	False	True
Sinasina	sst	sina1271	True	False	False	True
Silacayoapan Mixtec	mks	sila1250	True	False	False	True
Sika	ski	sika1262	False	True	False	True
Sierra de Juárez Zapotec	zaa	sier1250	True	False	False	True
Sie	erg	siee1239	True	True	False	False
Shughni	sgh	shug1248	True	False	False	True
Shua	shg	shua1254	True	False	False	True
Shekhawati	swv	shek1243	True	True	False	False
Shabo	sbf	shab1252	True	True	False	False
Seselwa Creole French	crs	sese1246	True	False	False	True
Selkup	sel	selk1253	True	False	False	True
Selaru	slu	sela1259	True	True	False	False
Seke (Vanuatu)	ske	seke1241	False	True	True	False
Sawila	swt	sawi1256	False	True	False	True
Sawai	szw	sawa1247	True	False	False	True
Sarikoli	srh	sari1246	True	False	False	True
Saramaccan	srm	sara1340	False	True	False	True
Sanumá	xsu	sanu1240	True	False	False	True
Saniyo-Hiyewe	sny	sani1270	True	False	False	True
San Miguel El Grande Mixtec	mig	sanm1295	True	False	False	True
Salka-Tsishingini	tsw	tsis1238	True	False	False	True
Sakha	sah	yaku1245	True	False	False	True
Sahu	saj	sahu1245	True	False	False	True
Sabanê	sae	saba1268	False	True	False	True
Sabah Malay	msi	saba1263	True	True	False	False
Saaroa	sxr	saar1237	True	False	False	True
Sa'a	apb	saaa1240	False	True	False	True
Réunion Creole French	rcf	reun1238	True	False	False	True
Rukai	dru	ruka1240	True	True	False	False
Romansh	roh	roma1326	True	False	False	True
Rawa	rwo	rawa1267	False	True	False	True
Raji	rji	raji1240	True	False	False	True
Quileute	qui	quil1240	True	False	False	True
Puma	pum	puma1239	False	True	True	False
Port Sandwich	psw	port1285	True	False	True	False
Popti'	jac	popt1235	True	False	False	True
Pite Sami	sje	pite1240	True	False	False	True
Pirahã	myp	pira1253	True	False	False	True
Pingelapese	pif	ping1243	False	True	False	True
Pinai-Hagahai	pnn	pina1252	True	True	False	False
Pima Bajo	pia	pima1248	True	False	False	True
Pilagá	plg	pila1245	True	False	False	True
Pero	pip	pero1241	False	True	False	True
Peranakan Indonesian	pea	pera1256	True	False	False	True
Penange	NOCODE_Penange	pena1270	True	False	False	True
Paumarí	pad	paum1247	True	False	False	True
Pattani	lae	patt1248	True	False	False	True
Papuan Malay	pmy	papu1250	False	True	False	True
Pangutaran Sama	slm	pang1291	True	False	True	False
Panará	kre	pana1307	True	False	True	False
Pagu	pgu	pagu1249	True	False	False	True
Paama	pma	paam1238	False	True	True	False
Paakantyi	drl	darl1243	True	False	False	True
Orowe	bpk	orow1242	True	False	True	False
Oluta Popoluca	plo	olut1240	False	True	True	False
Olo	ong	oloo1241	False	True	True	False
Old Saxon	osx	olds1250	True	False	False	True
Old Mon	omx	oldm1242	True	True	False	False
Old Latin	qbb	oldl1238	True	False	False	True
Old Chinese	och	oldc1244	True	False	False	True
Oko-Eni-Osayen	oks	okoe1238	True	True	False	False
Odoodee	kkc	odoo1238	True	True	False	False
Ocotepec Mixtec	mie	ocot1243	True	False	False	True
Obokuitai	afz	obok1239	True	True	False	False
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	True	False	False	True
Nzima	nzi	nzim1238	True	True	False	False
Nyiha (Tanzania)	nih	nyih1240	True	False	False	True
Nyakyusa-Ngonde	nyy	nyak1260	True	False	False	True
Nubi	kcn	nubi1253	True	True	False	False
Northwestern Ojibwa	ojb	nort2961	True	False	False	True
Northwestern Kolami	kfb	nort2699	True	True	False	False
Northern Yukaghir	ykg	nort2745	True	False	False	True
Northern Tujia	tji	nort2732	True	False	False	True
Northern Pastaza Quichua	qvz	nort2973	True	False	False	True
Northern Paiute	pao	nort2954	True	False	False	True
Northern Emberá	emp	nort2972	False	True	False	True
Northern Dagara	dgi	nort2780	True	True	False	False
North Junín Quechua	qvn	nort2980	True	False	False	True
Noon	snf	noon1242	True	False	False	True
Nomatsiguenga	not	noma1263	False	True	False	True
Nigerian Pidgin	pcm	nige1257	True	True	False	False
Niellim	nie	niel1243	True	True	False	False
Nhanda	nha	nhan1238	True	False	False	True
Ngizim	ngi	ngiz1242	True	False	False	True
Nggem	nbq	ngge1241	False	True	True	False
Ngas	anc	ngas1240	False	True	False	True
Ngarinyin	ung	ngar1284	True	False	False	True
Ngarinman	nbj	ngar1235	False	True	True	False
Nganasan	nio	ngan1291	True	False	False	True
Ngalkbun	ngk	ngal1292	True	False	False	True
Nehan	nsn	neha1247	True	True	False	False
Nanga	nzz	nang1261	True	False	False	True
Nalca	nlc	nalc1240	False	True	True	False
Nakara	nck	naka1260	True	True	False	False
Mwaghavul	sur	mwag1236	False	True	True	False
Murui Huitoto	huu	muru1274	True	False	False	True
Mundabli	boe	mund1328	True	True	False	False
Muna	mnb	muna1247	True	False	False	True
Mullukmulluk	mpb	mull1237	True	False	False	True
Muklom	NOCODE_Muklom	mukl1234	True	True	False	False
Mpade	mpi	mpad1242	True	False	False	True
Moyon	nmo	moyo1238	True	False	False	True
Mosetén-Chimané	cas	mose1249	True	False	False	True
Mortlockese	mrl	mort1237	False	True	False	True
Molmo One	aun	molm1235	False	False	True	True
Molale	mbe	mola1238	False	True	True	False
Mokpwe	bri	mokp1239	True	False	False	True
Mokilese	mkj	moki1238	True	False	False	True
Mok	mqt	mokk1243	True	False	False	True
Modern Greek	ell	mode1248	True	False	False	True
Mocoví	moc	moco1246	True	False	False	True
Mmen	bfm	mmen1238	True	True	False	False
Miya	mkf	miya1266	True	False	False	True
Misool-Salawati Ma'ya	slz	maya1282	True	True	False	False
Mina (Cameroon)	hna	mina1276	True	False	False	True
Midob	mei	mido1240	True	False	False	True
Michoacán Nahuatl	ncl	mich1245	True	False	False	True
Mewari	mtr	mewa1249	True	True	False	False
Mehek	nux	mehe1243	False	True	False	True
Mbre	mka	mbre1244	True	False	False	True
Matbat	xmt	matb1237	False	True	True	False
Martu Wangka	mpj	mart1256	True	True	False	False
Markweeta	enb	mark1255	True	False	False	True
Marind	mrz	nucl1622	True	False	False	True
Marghi Central	mrt	marg1265	True	False	False	True
Mapudungun	arn	mapu1245	True	False	False	True
Mao Naga	nbi	maon1238	True	False	False	True
Mankanya	knf	mank1251	True	True	False	False
Mangga Buang	mmo	mang1404	True	False	False	True
Mangarayi	mpc	mang1381	True	False	False	True
Manda-Matumba	mgs	mand1423	False	True	False	True
Manat	pmr	payn1244	True	False	False	True
Mamanwa	mmn	mama1275	True	False	False	True
Mamaindé	wmd	mama1278	False	True	False	True
Malvi	mup	malv1243	True	False	False	True
Makwe	ymk	makw1236	True	False	False	True
Makhuwa-Saka	xsq	makh1266	True	False	False	True
Majhi	mjz	majh1253	True	False	False	True
Mada (Nigeria)	mda	mada1282	True	True	False	False
Macushi	mbc	macu1259	True	False	False	True
Maco	wpc	maco1239	True	False	False	True
Machame	jmc	mach1266	True	True	False	False
Lundayeh	lnd	lund1271	True	False	False	True
Lumun	lmd	lumu1239	True	False	False	True
Luchazi	lch	luch1239	True	False	False	True
Lubuagan Kalinga	knb	lubu1243	True	False	False	True
Lowland Tarahumara	tac	lowl1265	True	False	False	True
Limonese Creole	qlm	limo1249	False	True	False	True
Limbu	lif	limb1266	True	False	False	True
Lihir	lih	lihi1237	True	False	False	True
Lezghian	lez	lezg1247	True	False	False	True
Lashi	lsi	lash1243	True	True	False	False
Larike-Wakasihu	alo	lari1255	False	True	False	True
Langi	lag	lang1320	True	True	False	False
Lampung Api	ljp	lamp1243	True	False	False	True
Lamang	hia	lama1288	True	False	False	True
Lahta-Zayein Karen	kxk	zaye1235	True	True	False	False
Kyerung	kgy	kyer1238	False	True	True	False
Kwomtari	kwo	nucl1593	True	True	False	False
Kuy	kdt	kuyy1240	True	False	False	True
Kuungkari of Barcoo River	lku	kuun1236	True	False	False	True
Kusunda	kgg	kusu1250	True	False	False	True
Kusaal	kus	kusa1250	True	True	False	False
Kurtokha	xkz	kurt1248	False	True	True	False
Kuria	kuj	kuri1259	True	False	False	True
Kuot	kto	kuot1243	False	True	False	True
Kunjen	kjn	kunj1245	True	False	False	True
Kuikúro-Kalapálo	kui	kuik1246	True	False	False	True
Krio	kri	krio1253	False	True	True	False
Koyraboro Senni Songhai	ses	koyr1242	False	True	False	True
Koyra Chiini Songhay	khq	koyr1240	False	True	False	True
Kotiria	gvc	guan1269	False	True	True	False
Koroshi	ktl	koro1296	True	False	False	True
Koromfé	kfz	koro1298	True	False	False	True
Korean	kor	kore1280	True	False	False	True
Konni	kma	konn1242	True	True	False	False
Konai	kxw	kona1242	True	True	False	False
Komi-Zyrian	kpv	komi1268	True	False	False	True
Koi	kkt	koii1238	True	True	False	False
Koenoem	kcs	koen1239	False	True	True	False
Koch	kdq	koch1250	True	False	False	True
Kiowa	kio	kiow1266	True	False	False	True
Kilen	NOCODE_Kilen	kile1243	True	False	False	True
Khumi Chin	cnk	khum1248	False	True	True	False
Khroskyabs	jiq	guan1266	True	False	False	True
Ket	ket	kett1243	True	False	False	True
Kemezung	dmo	keme1240	True	False	False	True
Kelabit	kzi	kela1258	True	False	False	True
Kawaiisu	xaw	kawa1283	True	False	False	True
Kavalan	ckv	kava1241	False	True	False	True
Kaulong	pss	kaul1240	True	False	True	False
Karamojong	kdj	kara1483	True	False	False	True
Karadjeri	gbd	kara1476	True	False	False	True
Kanakanavu	xnb	kana1286	False	False	True	True
Kambera	xbr	kamb1299	True	True	False	False
Kambaata	ktb	kamb1316	True	False	False	True
Kamano	kbq	kama1370	True	False	False	True
Kamang	woi	kama1365	False	True	True	False
Kaluli	bco	kalu1248	True	True	False	False
Kalkutung	ktg	kalk1246	True	False	False	True
Kalanga	kck	kala1384	True	True	False	False
Kakabe	kke	kaka1265	True	False	False	True
Kaike	kzq	kaik1246	True	True	False	False
Kagulu	kki	kagu1239	True	False	False	True
Kachama-Ganjule-Haro	kcx	kach1284	True	False	False	True
Jiba	juo	jiba1237	False	True	False	True
Jejara Naga	pzn	para1302	True	False	False	True
Jebero	jeb	jebe1250	True	False	False	True
Jarawa (India)	anq	jara1245	True	False	False	True
Japanese	jpn	nucl1643	True	False	False	True
Jamsay Dogon	djm	jams1239	True	False	False	True
Jamiltepec Mixtec	mxt	jami1235	True	False	False	True
Iwal	kbm	iwal1237	False	True	True	False
Ingush	inh	ingu1240	True	True	False	False
Indo-Aryan Kinnauri	kjo	hari1246	True	False	False	True
Imbabura Highland Quichua	qvi	imba1240	True	False	False	True
Ila	ilb	ilaa1246	True	False	False	True
Ibaloi	ibl	ibal1244	True	False	False	True
Iau	tmu	iauu1242	False	True	False	True
Iatmul	ian	iatm1242	True	False	False	True
Hun-Saare	dud	huns1239	False	True	False	True
Humburi Senni Songhay	hmb	humb1243	False	True	False	True
Huli	hui	huli1244	False	True	True	False
Huarijio	var	huar1255	True	False	False	True
Huambisa	hub	huam1247	True	False	False	True
Hmong Njua	hnj	hmon1264	False	True	True	False
Hixkaryána	hix	hixk1239	True	False	False	True
Haya	hay	haya1250	True	False	False	True
Hano	lml	hano1246	True	False	True	False
Hadrami Arabic	ayh	hadr1236	True	False	False	True
Hadothi	hoj	hado1235	True	True	False	False
Ha	haq	haaa1252	True	False	False	True
Gyele	gyi	gyel1242	True	True	False	False
Guruntum-Mbaaru	grd	guru1271	False	True	False	True
Gulf Coast French	NOCODE_Gulf-Coast-French	gulf1242	True	False	False	True
Guiqiong	gqi	guiq1238	True	True	False	False
Guató	gta	guat1253	True	False	False	True
Grenadian Creole English	gcl	gren1247	True	True	False	False
Grass Koiari	kbk	gras1249	True	True	False	False
Gonja	gjn	gonj1241	False	True	False	True
Godoberi	gdo	ghod1238	True	False	False	True
Girawa	bbr	gira1247	True	False	False	True
Gilaki	glk	gila1241	True	False	False	True
Gidar	gid	gida1247	False	True	False	True
Ghomara	gho	ghom1257	True	False	False	True
Geba Karen	kvq	geba1237	False	True	True	False
Gbari	gby	gbar1246	False	True	True	False
Gapapaiwa	pwg	gapa1238	True	False	True	False
Gandhari	pgd	gand1259	True	False	False	True
Gan Chinese	gan	ganc1239	True	True	False	False
Fwe	fwe	fwee1238	True	False	False	True
Forest Enets	enf	fore1265	True	False	False	True
Fore	for	fore1270	True	False	False	True
Fataluku	ddg	fata1247	False	True	True	False
Falam Chin	cfm	fala1243	True	True	False	False
Evenki	evn	even1259	True	False	False	True
Esimbi	ags	esim1238	True	True	False	False
Esan	ish	esan1238	False	True	True	False
Emerillon	eme	emer1243	False	True	True	False
Eleme	elm	elem1253	False	True	False	True
Ekari	ekg	ekar1243	True	False	True	False
Eastern Cham	cjm	east2563	True	True	False	False
Dusner	dsn	dusn1237	True	False	False	True
Duri	mvp	duri1242	False	True	True	False
Dupaninan Agta	duo	dupa1235	True	True	False	False
Donno So Dogon	dds	donn1239	True	False	False	True
Dongxiang	sce	dong1285	True	True	False	False
Dolgan	dlg	dolg1241	True	False	False	True
Djeebbana	djj	djee1236	True	False	False	True
Diuxi-Tilantongo Mixtec	xtd	diux1235	True	False	False	True
Diriku	diu	diri1252	True	False	False	True
Dii	dur	diii1241	True	True	False	False
Dieri	dif	dier1241	True	False	False	True
Dhundari	dhd	dhun1238	True	True	False	False
Dhofari Arabic	adf	dhof1235	True	False	False	True
Dhalandji	dhl	dhal1245	True	False	False	True
Dera (Indonesia)	kbv	dera1245	False	True	False	True
Denya	anv	deny1238	True	True	False	False
Dazaga	dzg	daza1242	True	True	False	False
Dangaleat	daa	dang1274	True	True	False	False
Dampelas	dms	damp1237	False	True	False	True
Dameli	dml	dame1241	True	False	False	True
Dagbani	dag	dagb1246	True	True	False	False
Daga	dgz	daga1275	True	False	False	True
Cubeo	cub	cube1242	True	True	False	False
Crow	cro	crow1244	True	False	False	True
Cotabato Manobo	mta	cota1241	True	False	False	True
Copala Triqui	trc	copa1237	True	False	False	True
Coatzospan Mixtec	miz	coat1241	True	False	False	True
Coatlán Mixe	mco	coat1238	True	False	False	True
Classical Mandaic	myz	clas1253	True	False	False	True
Cicipu	awc	cici1237	True	False	False	True
Chácobo	cao	chac1251	True	False	False	True
Chuwabu	chw	chuw1238	True	False	False	True
Chuvash	chv	chuv1255	True	False	False	True
Chulym Turkic	clw	chul1246	True	False	False	True
Cholón	cht	chol1284	True	False	False	True
Chitwania Tharu	the	chit1274	True	False	False	True
China Buriat	bxu	chin1476	True	False	False	True
Chiga	cgg	chig1238	True	False	False	True
Chichimeca-Jonaz	pei	chic1272	True	False	False	True
Chibcha	chb	chib1270	True	False	False	True
Chepang	cdm	chep1245	False	True	True	False
Chechen	che	chec1245	True	False	False	True
Chakali	cli	chak1271	True	True	False	False
Chak	ckh	chak1270	False	True	True	False
Central Tarahumara	tar	cent2131	True	True	False	False
Central Cagayan Agta	agt	cent2084	True	False	False	True
Central Bai	bca	cent2004	False	True	True	False
Central Aymara	ayr	cent2142	True	False	False	True
Cemuhî	cam	cemu1238	True	False	True	False
Caribbean Hindustani	hns	cari1275	False	True	False	True
Cajun French	frc	caju1236	True	False	False	True
Cahuilla	chl	cahu1264	True	False	False	True
Buwal	bhs	buwa1243	True	False	False	True
Bunoge Dogon	dgb	buno1241	True	False	False	True
Bullom So	buy	bull1247	True	False	False	True
Bugawac	buk	buga1250	True	False	True	False
Budu	buu	budu1250	True	False	False	True
Brokpake	sgt	brok1248	False	False	True	True
Bouyei	pcc	bouy1240	True	True	False	False
Borei	gai	bore1247	True	False	False	True
Bo-Ung	mux	boun1245	True	False	False	True
Blagar	beu	blag1240	False	True	False	True
Bissa	bib	biss1248	True	False	False	True
Bislama	bis	bisl1239	True	True	False	False
Bini	bin	bini1246	True	True	False	False
Bimin	bhl	bimi1240	False	True	False	True
Bilua	blb	bilu1245	True	False	False	True
Biak	bhw	biak1248	False	True	False	True
Betta Kurumba	xub	bett1235	False	True	True	False
Berbice Creole Dutch	brc	berb1259	False	True	False	True
Beng	nhb	beng1286	True	False	False	True
Bench	bcq	benc1235	True	False	False	True
Bena (Tanzania)	bez	bena1262	True	False	False	True
Bella Coola	blc	bell1243	True	False	False	True
Belanda Viri	bvi	bela1255	True	False	False	True
Belanda Bor	bxb	bela1256	False	True	True	False
Befang	bby	befa1241	True	True	False	False
Bebele	beb	bebe1248	True	False	False	True
Bebe	bzv	bebe1250	False	True	False	True
Bati (Cameroon)	btc	bati1251	True	False	False	True
Batak Karo	btx	bata1293	True	False	False	True
Bassari-Tanda	bsc	bass1258	True	False	False	True
Bargam	mlp	barg1252	True	False	True	False
Barasana-Eduria	bsn	bara1380	True	False	False	True
Bamun	bax	bamu1253	False	True	False	True
Bambalang	bmo	bamb1265	True	True	False	False
Balinese	ban	bali1278	True	False	False	True
Balanta-Ganja	bjt	bala1302	True	True	False	False
Baha Buyang	yha	baha1256	True	True	False	False
Bagri	bgq	bagr1243	True	True	False	False
Baga Sitemu	bsp	baga1272	False	True	True	False
Bafia	ksf	bafi1243	True	False	False	True
Babanki	bbk	baba1266	True	True	False	False
Ayutla Mixtec	miy	ayut1236	True	False	False	True
Ayoreo	ayo	ayor1240	True	False	False	True
Ayacucho Quechua	quy	ayac1239	True	False	False	True
Awtuw	kmn	awtu1239	True	False	True	False
Awiyaana	auy	awiy1238	True	False	False	True
Awara	awx	awar1248	False	True	False	True
Avar	ava	avar1256	True	False	False	True
Atzingo Matlatzinca	ocu	atzi1235	True	False	False	True
Athpariya	aph	athp1241	True	False	False	True
Assiniboine	asb	assi1247	True	False	False	True
Ashéninka Perené	prq	ashe1272	True	False	False	True
Arosi	aia	aros1241	True	False	True	False
Argobba	agj	argo1244	True	False	False	True
Arequipa-La Unión Quechua	qxu	areq1237	True	False	False	True
Anufo	cko	anuf1239	True	True	False	False
Anu	anl	anuu1241	True	True	False	False
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	True	False	False
Annobonese	fab	fada1250	True	True	False	False
Anindilyakwa	aoi	anin1240	True	False	False	True
Anii	blo	anii1245	True	True	False	False
Angor	agg	ango1254	True	False	False	True
Aneityum	aty	anei1239	True	False	True	False
Andalusian Arabic	xaa	anda1287	True	False	False	True
Ancient Greek	grc	anci1242	True	False	False	True
Amis	ami	amis1246	True	True	False	False
Ami	amy	amii1238	False	True	False	True
Amanab	amn	aman1265	False	True	True	False
Ama (Papua New Guinea)	amm	amap1240	True	False	False	True
Alagwa	wbj	alag1248	True	False	False	True
Alabama	akz	alab1237	True	True	False	False
Alaba-K'abeena	alw	alab1254	True	True	False	False
Akie	mwy	mosi1247	True	True	False	False
Akhvakh	akv	akhv1239	True	False	False	True
Aka-Bea	abj	akab1249	True	False	False	True
Ajië	aji	ajie1238	True	True	False	False
Aghu Tharnggalu	ggr	aghu1254	True	False	False	True
Aghem	agq	aghe1239	False	True	False	True
Adyghe	ady	adyg1241	True	False	False	True
Adnyamathanha	adt	adny1235	True	False	False	True
Adang	adn	adan1251	False	True	True	False
Achuar-Shiwiar	acu	achu1248	True	False	False	True
Acehnese	ace	achi1257	True	False	True	False
Abé	aba	abee1242	False	True	True	False
Abu' Arapesh	aah	abua1245	False	True	False	True
A'ou	aou	aoua1234	True	True	False	False
//Gana	gnk	gana1274	True	False	False	True
//Ani	hnh	anii1246	True	False	False	True
Ömie	aom	omie1241	True	False	False	False
Zulu	zul	zulu1248	False	False	False	True
Zulgo-Gemzek	gnd	zulg1242	False	False	False	True
Zaniza Zapotec	zpw	zani1235	False	False	False	True
Zakhring	zkr	zakh1243	True	False	False	False
Yoy	yoy	yoyy1238	False	True	False	False
Yoruba	yor	yoru1245	False	True	False	False
Yir-Yoront	yiy	yiry1245	True	False	False	False
Yinggarda	yia	ying1247	False	False	False	True
Yine	pib	yine1238	False	False	False	True
Yessan-Mayo	yss	yess1239	False	False	False	True
Yemba	ybb	yemb1246	True	False	False	False
Yareba	yrb	yare1248	True	False	False	False
Yapese	yap	yape1248	True	False	False	False
Yanyuwa	jao	yany1243	False	False	False	True
Yami	tao	yami1254	False	True	False	False
Yamba	yam	yamb1251	False	True	False	False
Xârâcùù	ane	xara1244	True	False	False	False
Xicotepec De Juárez Totonac	too	xico1235	False	False	False	True
Wymysorys	wym	wymy1235	False	False	False	True
Wutunhua	wuh	wutu1241	True	False	False	False
Wunambal	wub	wuna1249	False	True	False	False
Wulguru	qgu	wulg1239	True	False	False	False
Woods Cree	cwd	wood1236	True	False	False	False
Wolof	wol	nucl1347	True	False	False	False
Wolaytta	wal	wola1242	True	False	False	False
Woiwurrung	wyi	woiw1237	False	False	False	True
Wiru	wiu	wiru1244	False	False	False	True
Wipi	gdr	wipi1242	True	False	False	False
Wintu	wit	wint1259	False	False	False	True
Wilson River (Grey Range)	nbx	ngur1261	False	False	False	True
Wik-Ngathana	wig	wikn1245	False	False	False	True
Wichita	wic	wich1260	True	False	False	False
Whitesands	tnp	whit1269	True	False	False	False
Western Sisaala	ssl	west2465	True	False	False	False
Western Pantar	lev	lamm1241	False	True	False	False
Western Minyag	wmg	west2417	False	True	False	False
Western Lawa	lcp	west2396	False	False	False	True
Western Highland Chatino	ctp	west2644	False	False	False	True
Western Frisian	fry	west2354	True	False	False	False
Western Cham	cja	west2650	False	True	False	False
Western Bru	brv	west2397	False	True	False	False
Western Arrarnta	are	west2441	True	False	False	False
Western Apache	apw	west2615	True	False	False	False
West Makian	mqs	west2600	False	False	False	True
Wedau	wed	weda1241	False	False	False	True
Wayuu	guc	wayu1243	True	False	False	False
Wayana	way	waya1269	False	False	False	True
Watam	wax	wata1253	False	True	False	False
Waskia	wsk	wask1241	False	False	False	True
Washo	was	wash1253	False	False	False	True
Warrgamay	wgy	warr1255	True	False	False	False
Warlpiri	wbp	warl1254	True	False	False	False
Waorani	auc	waor1240	False	False	False	True
Wanman	wbt	wanm1242	False	True	False	False
Wangaaybuwan-Ngiyambaa	wyb	wang1291	False	False	False	True
Wamey	cou	wame1240	False	False	False	True
Wallisian	wls	wall1257	False	True	False	False
Wailaki	wlk	wail1244	False	True	False	False
Wahgi	wgi	nucl1620	True	False	False	False
Wagdi	wbr	wagd1238	True	False	False	False
Wagaya	wga	waga1260	False	False	False	True
Wadjiginy	wdj	wadj1254	False	False	False	True
Vwanji	wbi	vwan1235	False	False	False	True
Ventureño	veo	vent1242	True	False	False	False
Vengo	bav	veng1238	True	False	False	False
Vafsi	vaf	vafs1240	True	False	False	False
Uzbeki Arabic	auz	uzbe1248	False	False	False	True
Ute-Southern Paiute	ute	utes1238	False	False	False	True
Ut-Main	gel	kagf1238	True	False	False	False
Uripiv-Wala-Rano-Atchin	upv	urip1239	True	False	False	False
Urhobo	urh	urho1239	False	False	False	True
Urartian	xur	urar1245	False	False	False	True
Ura (Vanuatu)	uur	urav1235	True	False	False	False
Upper Tanana	tau	uppe1437	True	False	False	False
Upper Necaxa Totonac	tku	uppe1275	True	False	False	False
Upper Kinabatangan	dmg	uppe1427	False	False	False	True
Unserdeutsch	uln	unse1236	False	False	False	True
Umiray Dumaget Agta	due	umir1236	False	False	False	True
Umbuygamu	umg	umbu1256	True	False	False	False
Umbugarla	umr	umbu1235	False	False	False	True
Umbrian	xum	umbr1253	False	False	False	True
Umatilla	uma	umat1237	True	False	False	False
Ulwa	ulw	ulwa1239	False	True	False	False
Ukrainian	ukr	ukra1253	False	False	False	True
Udi	udi	udii1243	True	False	False	False
Ubir	ubr	ubir1237	False	True	False	False
Tübatulabal	tub	tuba1278	False	False	False	True
Tuvinian	tyv	tuvi1240	False	False	False	True
Tuparí	tpr	tupa1250	True	False	False	False
Tungag	lcm	tung1290	False	True	False	False
Tundra Nenets	yrk	nene1249	True	False	False	False
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	False	False	False	True
Tucano	tuo	tuca1252	False	False	False	True
Tsou	tsu	tsou1248	False	False	False	True
Tsonga	tso	tson1249	True	False	False	False
Tshangla	tsj	tsha1245	False	True	False	False
Tsez	ddo	dido1241	True	False	False	False
Tsamai	tsb	tsam1247	False	False	False	True
Tsakhur	tkr	tsak1249	True	False	False	False
Totontepec Mixe	mto	toto1305	False	False	False	True
Totela	ttl	tote1238	False	True	False	False
Toro Tegu Dogon	dtt	toro1253	True	False	False	False
Tonsawang	tnw	tons1239	True	False	False	False
Tondi Songway Kiini	tst	tond1249	False	True	False	False
Tolowa-Chetco	tol	tolo1259	False	True	False	False
Tol	jic	toll1241	True	False	False	False
Tokelau	tkl	toke1240	True	False	False	False
Tojolabal	toj	tojo1241	True	False	False	False
Toda	tcx	toda1252	True	False	False	False
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	False	False	False	True
Tiranige Diga Dogon	tde	tira1258	True	False	False	False
Tira	tic	tira1254	False	False	False	True
Tipai	dih	kumi1248	True	False	False	False
Tinani	lbf	tina1246	False	False	False	True
Timugon Murut	tih	timu1262	True	False	False	False
Timor Pidgin	tvy	timo1258	False	False	True	False
Tima	tms	tima1241	False	False	False	True
Tilung	tij	tilu1238	False	False	False	True
Tillamook	til	till1254	False	False	False	True
Tigre	tig	tigr1270	True	False	False	False
Tigak	tgc	tiga1245	True	False	False	False
Tifal	tif	tifa1245	False	False	False	True
Tiene	tii	tien1242	False	False	False	True
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True	False	False	False
Ticuna	tca	ticu1245	True	False	False	False
Thompson	thp	thom1243	True	False	False	False
Thado Chin	tcz	thad1238	False	False	False	True
Tetelcingo Nahuatl	nhg	tete1251	False	False	False	True
Ternateño	tmg	tern1248	False	False	False	True
Terena-Kinikinao-Chane	ter	tere1279	False	False	False	True
Tera	ttr	tera1251	False	False	False	True
Tepetotutla Chinantec	cnt	tepe1279	True	False	False	False
Tengger	tes	teng1272	True	False	False	False
Tena Lowland Quichua	quw	tena1240	True	False	False	False
Tehit	kps	tehi1237	False	False	False	True
Tedim Chin	ctd	tedi1235	True	False	False	False
Tebul Ure Dogon	dtu	tebu1239	True	False	False	False
Teanu	tkw	tean1237	True	False	False	False
Tayo	cks	tayo1238	True	False	False	False
Tayart Tamajeq	thz	taya1257	True	False	False	False
Tawra	mhu	diga1241	True	False	False	False
Tauya	tya	tauy1241	True	False	False	False
Tatuyo	tav	tatu1247	False	True	False	False
Tatar	tat	tata1255	True	False	False	False
Tatana	txx	tata1257	False	True	False	False
Taos Northern Tiwa	twf	nort1550	False	False	False	True
Tanzanian Ngoni	xnj	tanz1241	True	False	False	False
