Language	ISO 639-3	Glottocode	coordination	serial_verb	verb_serialization	yuxtaposition
Huizhou Chinese	czh	huiz1242	True	True	True	True
Hozo	hoz	hozo1236	True	True	True	True
Hoava	hoa	hoav1238	True	True	True	True
Golin	gvf	goli1247	True	True	True	True
Ghanongga	ghn	ghan1242	True	True	True	True
Gayo	gay	gayo1244	True	True	True	True
Fuyug	fuy	fuyu1242	True	True	True	True
Etulo	utr	etul1245	True	True	True	True
Ese Ejja	ese	esee1248	True	True	True	True
Eipomek	eip	eipo1242	True	True	True	True
East Makian	mky	east2440	True	True	True	True
East Ambae	omb	east2443	True	True	True	True
Dâw	kwa	daww1239	True	True	True	True
Duna	duc	duna1248	True	True	True	True
Duhumbi	cvg	chug1252	True	True	True	True
Dom	doa	domm1246	True	True	True	True
Chong of Chanthaburi	cog	chon1284	True	True	True	True
Cheke Holo	mrn	chek1238	True	True	True	True
Cavineña	cav	cavi1250	True	True	True	True
Buru (Indonesia)	mhs	buru1303	True	True	True	True
Bunak	bfn	buna1278	True	True	True	True
Bonan	peh	bona1250	True	True	True	True
Blablanga	blp	blab1237	True	True	True	True
Bih	ibh	biha1246	True	True	True	True
Big Nambas	nmb	bign1238	True	True	True	True
Bierebo	bnk	bier1244	True	True	True	True
Belep	yly	nyal1254	True	True	True	True
Baure	brg	baur1253	True	True	True	True
Bauni	bpe	wara1302	True	True	True	True
Baré	bae	bare1276	True	True	True	True
Barok	bjk	baro1253	True	True	True	True
Bariai	bch	bari1286	True	True	True	True
Barain	bva	bare1279	True	True	True	True
Baniva de Maroa	gae	guar1293	True	True	True	True
Bandial	bqj	band1340	True	True	True	True
Bambassi	myf	bamb1262	True	True	True	True
Axamb	ahb	axam1237	True	True	True	True
Awa-Cuaiquer	kwi	awac1239	True	True	True	True
Avava	tmb	katb1237	True	True	True	True
Aukan	djk	ndyu1242	True	True	True	True
Atong (India)	aot	aton1241	True	True	True	True
Araona	aro	arao1248	True	True	True	True
Apma	app	apma1240	True	True	True	True
Ani Phowa	ypn	anip1235	True	True	True	True
Amur Nivkh	niv	gily1242	True	True	True	True
Amele	aey	amel1241	True	True	True	True
Ambonese Malay	abs	ambo1250	True	True	True	True
'Are'are	alu	area1240	True	True	True	True
Àhàn	ahn	ahan1244	True	True	True	False
Zoogocho Zapotec	zpq	zoog1238	True	True	False	True
Zialo	zil	zial1235	True	False	True	True
Zabana	kji	zaba1237	True	True	False	True
Yuchi	yuc	yuch1247	True	True	False	True
Yongnan Zhuang	zyn	yong1275	True	True	True	False
Yonggom	yon	yong1280	True	True	True	False
Yeri	yev	yapu1240	True	True	False	True
Yau (Morobe Province)	yuw	yaum1237	True	True	False	True
Yanomám	wca	yano1262	True	True	False	True
Yankunytjatjara	kdd	yank1247	True	True	True	False
Yalunka	yal	yalu1240	False	True	True	True
Yabem	jae	yabe1254	True	True	True	False
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	False	True
Wutung	wut	wutu1244	True	True	False	True
Western Xiangxi Miao	mmr	west2430	True	True	False	True
Western Tamang	tdg	west2415	True	True	False	True
Western Subanon	suc	west2557	True	True	False	True
Western Puroik	NOCODE_Western-Puroik	west2873	True	True	False	True
Western Karaboro	kza	west2466	True	True	False	True
Western Fijian	wyy	west2519	True	False	True	True
West Tarangan	txn	west2538	False	True	True	True
West Coast Bajau	bdr	west2560	True	False	True	True
Wersing	kvw	wers1238	False	True	True	True
Wari'	pav	wari1268	True	True	False	True
Wano	wno	wano1243	True	True	True	False
Wandala	mfi	wand1278	True	True	False	True
Wambon	wms	wamb1259	True	True	True	False
Waima	rro	waim1251	True	True	False	True
Waigeo	wgo	waig1244	True	True	True	False
Urim	uri	urim1252	False	True	True	True
Urat	urt	urat1244	True	True	False	True
Urarina	ura	urar1246	True	True	False	True
Unua	onu	unua1237	True	True	False	True
Umanakaina	gdn	uman1240	True	False	True	True
Uduk	udu	uduk1239	True	True	False	True
Tuwuli	bov	tuwu1238	True	True	False	True
Tukang Besi North	khc	tuka1248	True	True	True	False
Tsat	huq	tsat1238	True	True	False	True
Tobati	tti	toba1266	False	True	True	True
Tlachichilco Tepehua	tpt	tlac1235	True	True	False	True
Tiri-Mea	cir	tiri1258	False	True	True	True
Tigon Mbembe	nza	tigo1236	True	True	False	True
Thavung	thm	aheu1239	True	True	False	True
Tetun Dili	tdt	tetu1246	True	True	True	False
Ternate	tft	tern1247	True	True	True	False
Teop	tio	teop1238	False	True	True	True
Tapieté	tpj	tapi1253	True	True	False	True
Tajio	tdj	taji1246	True	True	False	True
Taiap	gpn	taia1239	True	True	False	True
Tai Dam	blt	taid1247	True	True	True	False
Sãotomense	cri	saot1239	True	True	True	False
Sursurunga	sgz	surs1246	False	True	True	True
Supyire Senoufo	spp	supy1237	True	True	False	True
Sulka	sua	sulk1246	True	True	False	True
Southern Qiang	qxs	sout2728	True	True	False	True
Southeast Pashayi	psi	sout2672	True	True	True	False
Southeast Ambrym	tvk	sout2859	True	True	True	False
South Wa	prk	para1301	True	True	True	False
South Nuaulu	nxl	sout2895	True	True	True	False
Soga	xog	soga1242	True	True	True	False
Skou	skv	nucl1634	True	True	True	False
Sisiqa	NOCODE_Sisiqa	sisi1250	True	True	True	False
Sirva	sbq	sile1255	True	True	True	False
Shipibo-Conibo	shp	ship1254	True	False	True	True
Sheko	she	shek1245	True	True	False	True
Semelai	sza	seme1247	False	True	True	True
Selee	snw	sele1249	False	True	True	True
Sekpele	lip	sekp1241	True	True	False	True
Seimat	ssg	seim1238	True	True	True	False
Savosavo	svs	savo1255	True	True	False	True
Saposa	sps	sapo1253	True	False	True	True
San Dionisio del Mar Huave	hve	sand1278	True	True	False	True
Safaliba	saf	safa1243	True	True	False	True
Riuk Bekati'	bei	beka1241	True	True	False	True
Rembong-Wangka	reb	remb1250	True	True	True	False
Rayón Zoque	zor	rayo1235	True	True	False	True
Rama	rma	rama1270	True	True	True	False
Rade	rad	rade1240	True	True	True	False
Qaqet	byx	qaqe1238	True	True	False	True
Q'anjob'al	kjb	qanj1241	True	True	False	True
Pwo Eastern Karen	kjp	pwoe1235	True	True	True	False
Puyuma	pyu	puyu1239	True	True	True	False
Purik-Sham-Nubra	prx	puri1258	True	False	True	True
Principense	pre	prin1242	True	True	False	True
Pouye	bye	pouy1238	True	True	False	True
Poumei Naga	pmx	poum1235	True	True	False	True
Pnar	pbv	pnar1238	True	True	True	False
Piapoco	pio	piap1246	True	True	False	True
Phalura	phl	phal1254	True	True	False	True
Peve	lme	peve1243	True	True	False	True
Pendau	ums	pend1242	True	True	True	False
Patwin	pwi	patw1250	True	True	False	True
Parecís	pab	pare1272	True	True	False	True
Paraguayan Guaraní	gug	para1311	True	True	False	True
Palenquero	pln	pale1260	True	True	False	True
Pacoh	pac	paco1243	True	True	False	True
Paasaal	sig	paas1238	True	True	False	True
Omagua	omg	omag1248	True	True	False	True
Oksapmin	opm	oksa1245	True	True	True	False
Oirata	oia	oira1263	True	True	False	True
Ogea	eri	ogea1238	True	True	True	False
Ogbronuagum	ogu	ogbr1243	True	True	True	False
Odual	odu	odua1238	True	True	True	False
Nzadi	nzd	nzad1234	True	True	False	True
Nyulnyul	nyv	nyul1247	True	False	True	True
Northern Subanen	stb	nort2885	True	True	False	True
Northern Qiang	cng	nort2722	True	True	False	True
Northeast Kiwai	kiw	nort2930	True	True	False	True
North Marquesan	mrq	nort2845	True	False	True	True
North Giziga	gis	nort3047	True	True	False	True
Nocte Naga	njb	noct1238	True	True	True	False
Nkami	nkq	nkam1239	True	True	True	False
Nizaa	sgi	suga1248	True	True	True	False
Ninde	mwi	labo1244	True	True	True	False
Nicaragua Creole English	bzk	nica1252	True	True	False	True
Ngomba	jgo	ngom1272	False	True	True	True
Ngiti	niy	ngit1239	True	True	False	True
Ngad'a	nxg	ngad1261	True	True	False	True
Nend	anh	nend1239	True	True	False	True
Nek	nif	nekk1240	True	True	True	False
Nedebang	nec	nede1245	False	True	True	True
Ncane	ncr	ncan1245	True	True	False	True
Nauete	nxa	naue1237	False	True	True	True
Nangikurrunggurr	nam	nang1259	True	False	True	True
Nalik	nal	nali1244	False	True	True	True
Nai	bio	naii1241	True	True	True	False
Nahavaq	sns	sout2857	True	True	False	True
Nabak	naf	naba1256	True	True	True	False
Mwotlap	mlv	motl1237	True	True	True	False
Mungbam	mij	abar1238	True	True	True	False
Mulam	mlm	mula1253	True	True	False	True
Mualang	mtd	mual1241	True	True	False	True
Movima	mzp	movi1243	True	True	False	True
Moken	mwt	moke1242	True	True	False	True
Mohave	mov	moha1256	True	True	False	True
Mlabri	mra	mlab1235	False	True	True	True
Milang	NOCODE_Milang	mila1245	True	True	False	True
Migabac	mpp	miga1241	True	True	False	True
Mende (Papua New Guinea)	sim	mend1268	True	True	False	True
Mekens	skf	saki1248	True	True	False	True
Mbuk	bpc	mbuk1244	True	True	False	True
Mayogo	mdm	mayo1261	True	True	False	True
Maung	mph	maun1240	True	True	False	True
Matsés	mcf	mats1244	True	True	False	True
Mato	met	mato1252	False	True	True	True
Mateq	xem	kemb1249	True	True	False	True
Maonan	mmd	maon1241	True	True	False	True
Manumanaw Karen	kxf	manu1255	True	True	True	False
Manange	nmm	mana1288	False	True	True	True
Manambu	mle	mana1298	True	True	False	True
Mambai	mcs	mamb1294	True	True	False	True
Male (Ethiopia)	mdy	male1284	True	False	True	True
Maipure-Avane	NOCODE_Maipure	maip1247	True	True	False	True
Maijiki	ore	orej1242	True	True	False	True
Maia	sks	maia1254	True	True	False	True
Ma'anyan	mhy	maan1238	True	True	True	False
Luang	lex	luan1263	True	True	True	False
Lou	loj	louu1245	True	True	True	False
Lopit	lpx	lopi1242	True	True	False	True
Lolopo	ycl	lolo1259	False	True	True	True
Logba	lgq	logb1245	False	True	True	True
Liko	lik	lika1243	True	True	False	True
