Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Maia	sks	maia1254	True	True	False	True	True
Madurese	mad	nucl1460	True	True	True	True	False
Ma'anyan	mhy	maan1238	True	False	True	True	True
Luyi	lyn	luya1241	True	False	True	True	True
Lumun	lmd	lumu1239	True	True	True	True	False
Luguru	ruf	lugu1238	True	True	True	True	False
Luchazi	lch	luch1239	True	True	False	True	True
Lote	uvl	lote1237	False	True	True	True	True
Loniu	los	loni1238	True	False	True	True	True
Longgu	lgu	long1395	True	True	False	True	True
Lolopo	ycl	lolo1259	True	True	True	True	False
Logba	lgq	logb1245	True	True	True	True	False
Lishán Didán	trg	lish1246	True	True	False	True	True
Liko	lik	lika1243	True	True	True	True	False
Lezghian	lez	lezg1247	True	True	True	True	False
Lewo	lww	lewo1242	False	True	True	True	True
Lele (Papua New Guinea)	lle	lele1270	False	True	True	True	True
Laven	lbo	lave1248	True	True	False	True	True
Lashi	lsi	lash1243	True	False	True	True	True
Lardil	lbz	lard1243	True	False	True	True	True
Lao	lao	laoo1244	False	True	True	True	True
Lamboya	lmy	lamb1273	True	True	True	True	False
Lakkia	lbc	lakk1238	True	False	True	True	True
Lahta-Zayein Karen	kxk	zaye1235	True	False	True	True	True
Kxoe	xuu	kxoe1243	False	True	True	True	True
Kwakum	kwu	kwak1266	True	True	False	True	True
Kuy	kdt	kuyy1240	True	True	False	True	True
Kutep	kub	kute1248	True	False	True	True	True
Kusunda	kgg	kusu1250	False	True	True	True	True
Kunbarlang	wlg	kunb1251	True	True	False	True	True
Kumzari	zum	kumz1235	True	True	False	True	True
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	True	True	True	True	False
Kulsab	faj	fait1240	False	True	True	True	True
Kotiria	gvc	guan1269	True	True	True	True	False
Koshin	kid	kosh1246	False	True	True	True	True
Koroshi	ktl	koro1296	True	True	False	True	True
Koromfé	kfz	koro1298	True	False	True	True	True
Korafe-Yegha	kpr	kora1294	True	False	True	True	True
Kombio	xbi	komb1272	False	True	True	True	True
Kombai	tyn	komb1274	True	False	True	True	True
Koluwawa	klx	kolu1245	False	True	True	True	True
Klon	kyo	kelo1247	True	True	True	True	False
Kiliwa	klb	kili1268	False	True	True	True	True
Kilen	NOCODE_Kilen	kile1243	True	True	False	True	True
Khwarshi-Inkhoqwari	khv	khva1239	True	True	False	True	True
Khoibu	nkb	khoi1251	True	False	True	True	True
Khana	ogo	khan1278	True	False	True	True	True
Khakas	kjh	khak1248	False	True	True	True	True
Kesawai	xes	kesa1244	True	True	True	True	False
Kelabit	kzi	kela1258	False	True	True	True	True
Kayardild	gyd	kaya1319	False	True	True	True	True
Kayapó	txu	kaya1330	False	True	True	True	True
Kawaiisu	xaw	kawa1283	True	True	True	True	False
Kavalan	ckv	kava1241	True	False	True	True	True
Katso	kaf	kats1235	False	True	True	True	True
Karachay-Balkar	krc	kara1465	True	True	False	True	True
Kapriman	dju	kapr1245	True	True	False	True	True
Kambera	xbr	kamb1299	False	True	True	True	True
Kalkutung	ktg	kalk1246	True	True	False	True	True
Kagulu	kki	kagu1239	True	True	False	True	True
Kadiwéu	kbc	kadi1248	True	True	True	True	False
Jejara Naga	pzn	para1302	False	True	True	True	True
Japhug	NOCODE_Japhug	japh1234	False	True	True	True	True
Jalkunan	bxl	jalk1242	True	True	True	True	False
Inter-Zab Jewish Neo-Aramaic	aij	lish1245	True	True	True	True	False
Ingush	inh	ingu1240	False	True	True	True	True
Indo-Aryan Kinnauri	kjo	hari1246	True	True	False	True	True
Imonda	imn	imon1245	True	False	True	True	True
Igala	igl	igal1242	True	True	False	True	True
Idun	ldb	idun1241	True	False	True	True	True
Ibaloi	ibl	ibal1244	False	True	True	True	True
Hungana	hum	hung1278	False	True	True	True	True
Hulaulá	huy	hula1244	True	True	False	True	True
Huastec	hus	huas1242	True	True	True	True	False
Huarijio	var	huar1255	True	True	True	True	False
Hozo	hoz	hozo1236	True	True	True	True	False
Hoava	hoa	hoav1238	True	True	True	True	False
Hmong Daw	mww	hmon1333	False	True	True	True	True
Hanga Hundi	wos	hang1263	False	True	True	True	True
Hadothi	hoj	hado1235	True	True	False	True	True
Ha	haq	haaa1252	True	True	False	True	True
Gumawana	gvs	guma1254	True	True	True	True	False
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	False	True	True	True
Gofa	gof	gofa1235	True	True	True	True	False
Goemai	ank	goem1240	False	True	True	True	True
Godoberi	gdo	ghod1238	True	True	False	True	True
German Northern Low Saxon	frs	nort2628	True	True	False	True	True
Gbari	gby	gbar1246	True	True	True	True	False
Garifuna	cab	gari1256	True	True	False	True	True
Ganggalida	gcd	gang1267	True	True	False	True	True
Fwe	fwe	fwee1238	False	True	True	True	True
Fuyug	fuy	fuyu1242	True	True	False	True	True
Fe'fe'	fmp	fefe1239	True	True	False	True	True
Etulo	utr	etul1245	True	True	False	True	True
Eton-Mengisa	eto	eton1253	True	True	True	True	False
Esimbi	ags	esim1238	True	True	True	True	False
Emberá-Catío	cto	embe1260	True	True	True	True	False
Edolo	etr	edol1239	True	True	True	True	False
Eastern Huasteca Nahuatl	nhe	east2538	True	True	True	True	False
East Makian	mky	east2440	False	True	True	True	True
Dâw	kwa	daww1239	True	True	False	True	True
Dyangadi	dyn	dyan1250	False	True	True	True	True
Dura	drq	dura1244	True	True	True	True	False
Duhumbi	cvg	chug1252	False	True	True	True	True
Doromu-Koki	kqc	doro1266	False	True	True	True	True
Dongxiang	sce	dong1285	True	False	True	True	True
Dom	doa	domm1246	True	True	True	True	False
Dogul Dom Dogon	dbg	dogu1235	True	True	True	True	False
Dii	dur	diii1241	False	True	True	True	True
Dhundari	dhd	dhun1238	True	True	False	True	True
Dhivehi	div	dhiv1236	True	False	True	True	True
Dhangu	dhg	dhan1270	False	True	True	True	True
Desano	des	desa1247	True	False	True	True	True
Dazaga	dzg	daza1242	True	True	False	True	True
Darma	drd	darm1243	False	True	True	True	True
Daman-Diu Portuguese	idb	dama1278	True	True	False	True	True
Dakaka	bpa	daka1243	True	True	True	True	False
Cubeo	cub	cube1242	True	False	True	True	True
Cicipu	awc	cici1237	True	False	True	True	True
Chimariko	cid	chim1301	True	True	True	True	False
Chiga	cgg	chig1238	True	False	True	True	True
Chibcha	chb	chib1270	True	False	True	True	True
Chavacano	cbk	chav1241	True	True	True	True	False
Chantyal	chx	chan1310	True	True	True	True	False
Central Tarahumara	tar	cent2131	True	True	True	True	False
Central Kalapuya	kyl	kala1400	True	True	False	True	True
Cajun French	frc	caju1236	True	False	True	True	True
Caac	msq	caac1237	True	True	False	True	True
C'lela	dri	clel1238	True	True	False	True	True
Burushaski	bsk	buru1296	True	True	False	True	True
Bunan	bfu	gahr1239	True	True	True	True	False
Buli (Ghana)	bwu	buli1254	False	True	True	True	True
Budu	buu	budu1250	True	False	True	True	True
Brokpake	sgt	brok1248	False	True	True	True	True
Bola	bnp	bola1250	True	True	True	True	False
Biri	bzr	biri1256	True	True	False	True	True
Bilua	blb	bilu1245	True	True	True	True	False
Big Nambas	nmb	bign1238	True	False	True	True	True
Betta Kurumba	xub	bett1235	True	True	True	True	False
Belhariya	byw	belh1239	False	True	True	True	True
Belep	yly	nyal1254	False	True	True	True	True
Bauni	bpe	wara1302	True	True	False	True	True
Batuley	bay	batu1258	False	True	True	True	True
Basque	eus	basq1248	True	True	False	True	True
Baré	bae	bare1276	True	True	True	True	False
Barbareño	boi	barb1263	True	False	True	True	True
Barasana-Eduria	bsn	bara1380	True	False	True	True	True
Bannoni	bcm	bann1247	True	False	True	True	True
Bankan Tey Dogon	dbw	bank1259	True	True	True	True	False
Bangime	dba	bang1363	True	True	True	True	False
Balinese	ban	bali1278	False	True	True	True	True
Balanta-Ganja	bjt	bala1302	True	False	True	True	True
Bagri	bgq	bagr1243	True	True	False	True	True
Awutu	afu	awut1241	False	True	True	True	True
Awtuw	kmn	awtu1239	True	True	False	True	True
Awetí	awe	awet1244	False	True	True	True	True
Awara	awx	awar1248	True	True	False	True	True
Avar	ava	avar1256	True	True	False	True	True
Auye	auu	auye1238	True	True	True	True	False
Athpariya	aph	athp1241	False	True	True	True	True
Atayal	tay	atay1247	True	True	False	True	True
Assiniboine	asb	assi1247	True	True	True	True	False
Arequipa-La Unión Quechua	qxu	areq1237	False	True	True	True	True
Araona	aro	arao1248	False	True	True	True	True
Arammba	stk	aram1253	True	True	True	True	False
Araki	akr	arak1252	False	True	True	True	True
Anufo	cko	anuf1239	True	False	True	True	True
Anii	blo	anii1245	False	True	True	True	True
Ani Phowa	ypn	anip1235	True	False	True	True	True
Aneityum	aty	anei1239	False	True	True	True	True
Anamuxra	imi	anam1248	False	True	True	True	True
Amur Nivkh	niv	gily1242	False	True	True	True	True
Amkoe	huc	hoaa1235	False	True	True	True	True
Amis	ami	amis1246	True	False	True	True	True
Alamblak	amp	alam1246	True	True	False	True	True
Alaba-K'abeena	alw	alab1254	True	False	True	True	True
Akie	mwy	mosi1247	True	True	False	True	True
Akhvakh	akv	akhv1239	True	True	False	True	True
Akawaio	ake	akaw1239	True	True	True	True	False
Aguacateco	agu	agua1252	True	True	True	True	False
Aghwan	xag	aghw1237	False	True	True	True	True
Aghu	ahh	aghu1255	True	True	False	True	True
Adyghe	ady	adyg1241	False	True	True	True	True
Abun	kgr	abun1252	True	True	False	True	True
Abawiri	flh	foau1240	False	True	True	True	True
A'ou	aou	aoua1234	True	False	True	True	True
//Gana	gnk	gana1274	True	True	False	True	True
//Ani	hnh	anii1246	True	True	False	True	True
'Are'are	alu	area1240	True	True	False	True	True
Zialo	zil	zial1235	True	False	True	True	False
Zabana	kji	zaba1237	False	True	True	True	False
Yora	mts	yora1241	True	True	False	True	False
Yopno	yut	yopn1238	False	False	True	True	True
Yongning Na	nru	yong1270	False	False	True	True	True
Yogad	yog	yoga1237	False	True	False	True	True
Yeri	yev	yapu1240	False	True	False	True	True
Yele	yle	yele1255	False	False	True	True	True
Yapese	yap	yape1248	False	True	False	True	True
Yankunytjatjara	kdd	yank1247	False	False	True	True	True
Yale	nce	yale1246	False	False	True	True	True
Yalarnnga	ylr	yala1262	False	False	True	True	True
Yakan	yka	yaka1277	False	True	False	True	True
Wotu	wtw	wotu1240	True	False	True	True	False
Worrorra	wro	worr1237	False	True	False	True	True
Woods Cree	cwd	wood1236	True	True	False	True	False
Wolof	wol	nucl1347	True	False	False	True	True
Wipi	gdr	wipi1242	True	True	False	True	False
Western Xiangxi Miao	mmr	west2430	False	True	False	True	True
Western Minyag	wmg	west2417	False	True	True	True	False
Western Highland Chatino	ctp	west2644	True	True	False	True	False
Western Frisian	fry	west2354	True	False	True	True	False
Western Fijian	wyy	west2519	False	False	True	True	True
Western Dani	dnw	west2594	True	True	False	True	False
Western Cham	cja	west2650	True	True	False	True	False
Western Bru	brv	west2397	True	True	False	True	False
Western Balochi	bgn	west2368	False	True	False	True	True
Western Arrarnta	are	west2441	True	False	False	True	True
Western Apache	apw	west2615	False	False	True	True	True
Wawa	www	wawa1246	False	False	True	True	True
Warungu	wrg	waru1264	False	False	True	True	True
Warrgamay	wgy	warr1255	False	True	False	True	True
Warlmanpa	wrl	warl1255	True	False	False	True	True
Wari'	pav	wari1268	False	False	True	True	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True	False	False	True	True
Wambule	wme	wamb1257	True	False	True	True	False
Wambon	wms	wamb1259	False	False	True	True	True
Wakhi	wbl	wakh1245	False	False	True	True	True
Waiwai	waw	waiw1244	False	False	True	True	True
Waimiri-Atroari	atr	waim1253	True	False	True	True	False
Waima'a	wmh	waim1252	False	True	True	True	False
Vute	vut	vute1244	True	False	True	True	False
Vengo	bav	veng1238	True	False	False	True	True
Ut-Main	gel	kagf1238	False	True	True	True	False
Urubú-Kaapor	urb	urub1250	False	False	True	True	True
Unua	onu	unua1237	True	True	False	True	False
Umatilla	uma	umat1237	False	False	True	True	True
Ulwa (Papua New Guinea)	yla	yaul1241	False	False	True	True	True
Ulithian	uli	ulit1238	False	False	True	True	True
Tz'utujil	tzj	tzut1248	True	True	False	True	False
Tuvinian	tyv	tuvi1240	False	True	False	True	True
Tuscarora	tus	tusc1257	False	False	True	True	True
Tunni	tqq	tunn1238	True	True	False	True	False
Tshangla	tsj	tsha1245	True	True	False	True	False
Tsez	ddo	dido1241	True	True	False	True	False
Tsakhur	tkr	tsak1249	False	False	True	True	True
Tsafiki	cof	colo1256	True	True	False	True	False
Totontepec Mixe	mto	toto1305	False	False	True	True	True
Tolomako	tlm	tolo1255	False	True	False	True	True
Tlachichilco Tepehua	tpt	tlac1235	False	True	True	True	False
Tiwi	tiw	tiwi1244	False	True	False	True	True
Tirma-Chai	suq	suri1267	True	False	True	True	False
Tiri-Mea	cir	tiri1258	True	True	False	True	False
Thayore	thd	thay1249	True	False	False	True	True
Thavung	thm	aheu1239	False	False	True	True	True
Thao	ssf	thao1240	False	True	True	True	False
Tetun Dili	tdt	tetu1246	True	True	False	True	False
Ternateño	tmg	tern1248	True	False	True	True	False
Teanu	tkw	tean1237	False	True	False	True	True
Tayart Tamajeq	thz	taya1257	False	True	False	True	True
Tauya	tya	tauy1241	False	True	True	True	False
Tatana	txx	tata1257	False	True	True	True	False
Tasawaq	twq	tasa1240	False	False	True	True	True
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	True	True	False	True	False
Tanudan Kalinga	kml	lowe1412	False	False	True	True	True
Tanacross	tcb	tana1290	False	False	True	True	True
Taiga Sayan Turkic	kim	kara1462	False	True	True	True	False
Tabasco Chontal	chf	taba1266	False	False	True	True	True
Swedish	swe	swed1254	True	False	False	True	True
Sulka	sua	sulk1246	True	False	True	True	False
Suabo	szp	suab1238	True	False	True	True	False
Southern Nambikuára	nab	sout2994	False	False	True	True	True
Southern Alta	agy	sout2905	True	False	True	True	False
Southeastern Tepehuan	stp	sout2976	False	True	False	True	True
South-Eastern Ju	ktz	juho1239	False	True	False	True	True
Solu-Khumbu Sherpa	xsr	sher1255	True	False	False	True	True
Sochiapam Chinantec	cso	soch1239	True	True	False	True	False
Sisiqa	NOCODE_Sisiqa	sisi1250	False	True	False	True	True
Sinte-Manus Romani	rmo	sint1235	True	True	False	True	False
Siar-Lak	sjr	siar1238	False	True	False	True	True
Shughni	sgh	shug1248	True	False	False	True	True
Shoshoni	shh	shos1248	True	False	False	True	True
Seselwa Creole French	crs	sese1246	True	False	False	True	True
Serrano	ser	serr1255	False	True	True	True	False
Selaru	slu	sela1259	False	True	True	True	False
Sawai	szw	sawa1247	False	False	True	True	True
Sasak	sas	sasa1249	True	False	True	True	False
Sanumá	xsu	sanu1240	False	True	True	True	False
Santa María Quiegolani Zapotec	zpi	sant1451	True	False	True	True	False
Sanaani Arabic	ayn	sana1295	True	False	False	True	True
San Miguel El Grande Mixtec	mig	sanm1295	False	False	True	True	True
San Dionisio del Mar Huave	hve	sand1278	True	True	False	True	False
Ruuli	ruc	ruul1235	True	True	False	True	False
Ratahan	rth	rata1244	False	True	True	True	False
Quileute	qui	quil1240	False	False	True	True	True
Quapaw	qua	quap1242	False	False	True	True	True
Qimant	ahg	qima1242	False	True	False	True	True
Pwo Eastern Karen	kjp	pwoe1235	True	True	False	True	False
Principense	pre	prin1242	True	False	False	True	True
Poumei Naga	pmx	poum1235	False	False	True	True	True
Pingelapese	pif	ping1243	True	False	True	True	False
Pinai-Hagahai	pnn	pina1252	False	True	False	True	True
Pimbwe	piw	pimb1238	True	True	False	True	False
Picuris Northern Tiwa	NOCODE_Picuris-Northern-Tiwa	picu1248	False	True	False	True	True
Pero	pip	pero1241	True	True	False	True	False
Peranakan Indonesian	pea	pera1256	False	False	True	True	True
Pendau	ums	pend1242	False	True	True	True	False
Pech	pay	pech1241	False	True	False	True	True
Patpatar	gfk	patp1243	False	True	False	True	True
Owa	stn	owaa1237	True	False	True	True	False
Osage	osa	osag1243	True	False	True	True	False
Old Telugu	NOCODE_Old-Telugu	oldt1249	True	False	False	True	True
Old Persian (ca. 600-400 B.C.)	peo	oldp1254	True	False	False	True	True
Old Mon	omx	oldm1242	True	True	True	False	False
Old Latin	qbb	oldl1238	True	False	False	True	True
Old Chinese	och	oldc1244	False	False	True	True	True
Ogea	eri	ogea1238	False	False	True	True	True
Odoodee	kkc	odoo1238	True	True	False	True	False
Ocotepec Mixtec	mie	ocot1243	False	False	True	True	True
Occitan	oci	occi1239	False	True	False	True	True
Nzanyi	nja	nzan1240	True	False	False	True	True
Nyiyaparli	xny	nija1241	False	False	True	True	True
Nyang'i	nyp	nyan1313	True	False	False	True	True
Nuu-chah-nulth	nuk	nuuc1236	False	True	True	False	True
Nubi	kcn	nubi1253	False	True	True	True	False
Notsi	ncf	nots1237	False	False	True	True	True
Northwest Alaska Inupiatun	esk	nort2945	False	True	False	True	True
Northern Qiang	cng	nort2722	False	True	True	True	False
Northern Puebla Nahuatl	ncj	nort2957	True	True	False	True	False
Northern Conchucos Ancash Quechua	qxn	nort2979	True	False	False	True	True
North-Central Talysh	tly	taly1247	False	False	True	True	True
North-Central Dargwa	dar	darg1241	False	True	False	True	True
North Tanna	tnn	nort2847	False	True	False	True	True
North Marquesan	mrq	nort2845	False	False	True	True	True
North Junín Quechua	qvn	nort2980	True	False	True	True	False
Noone	nhu	noon1243	False	True	True	True	False
Nocte Naga	njb	noct1238	True	False	True	True	False
Nobiin	fia	nobi1240	False	True	False	True	True
Niuafo'ou	num	niua1240	False	False	True	True	True
Nisga'a	ncg	nisg1240	False	False	True	True	True
Ngochang	NOCODE_Ngochang	ngoc1235	False	True	True	True	False
Nggem	nbq	ngge1241	True	False	True	True	False
Ngarinman	nbj	ngar1235	False	False	True	True	True
Ngardi	rxd	ngar1288	False	False	True	True	True
Ngandi	nid	ngan1295	False	False	True	True	True
Ngalakan	nig	ngal1293	False	False	True	True	True
Ngad'a	nxg	ngad1261	True	False	False	True	True
Neve'ei	vnm	vinm1237	False	True	False	True	True
Nehan	nsn	neha1247	False	True	True	True	False
Ndamba	ndj	ndam1239	True	True	False	True	False
Nar Phu	npa	narp1239	True	False	True	True	False
Nanti	cox	nant1250	False	True	True	True	False
Nangikurrunggurr	nam	nang1259	False	False	True	True	True
Nandi	niq	nand1266	True	False	True	True	False
Nama (Namibia)	naq	nama1264	True	False	True	True	False
Nabak	naf	naba1256	False	False	True	True	True
Mussau-Emira	emi	muss1246	True	False	False	True	True
Mru	mro	mruu1242	True	True	False	True	False
Moskona	mtj	mosk1236	True	True	False	True	False
Mon	mnw	monn1252	False	True	True	True	False
Mokilese	mkj	moki1238	False	True	True	True	False
Mok	mqt	mokk1243	True	True	False	True	False
Mocoví	moc	moco1246	True	True	False	True	False
Mochica	omc	moch1259	True	False	True	True	False
Miyako	mvi	miya1259	True	False	False	True	True
Minangkabau	min	mina1268	False	True	True	True	False
Middle English	enm	midd1317	True	False	False	True	True
Michoacán Nahuatl	ncl	mich1245	True	True	False	True	False
Michif	crg	mich1243	False	True	True	True	False
Mewati	wtm	mewa1250	True	True	False	True	False
Meta'	mgo	meta1238	True	False	True	True	False
Merei	lmb	mere1242	False	True	True	True	False
Mbuk	bpc	mbuk1244	True	False	True	True	False
Mbosi	mdw	mbos1242	True	False	False	True	True
Maybrat-Karon	ayz	maib1239	True	False	True	True	False
Matumbi	mgw	matu1259	True	False	True	True	False
Mateq	xem	kemb1249	True	True	False	True	False
Marind	mrz	nucl1622	False	False	True	True	True
Marghi Central	mrt	marg1265	True	False	False	True	True
Maonan	mmd	maon1241	False	False	True	True	True
Mao Naga	nbi	maon1238	False	False	True	True	True
Mandan	mhq	mand1446	False	False	True	True	True
Manambu	mle	mana1298	False	True	True	True	False
Malua Bay	mll	malu1245	False	True	True	True	False
Malinaltepec Me'phaa	tcf	mali1285	False	True	True	True	False
Makwe	ymk	makw1236	True	True	False	True	False
Makhuwa-Saka	xsq	makh1266	False	False	True	True	True
Makasar	mak	maka1311	False	False	True	True	True
Makasae-Makalero	mkz	maka1316	False	True	True	True	False
Maijiki	ore	orej1242	False	False	True	True	True
Macushi	mbc	macu1259	False	False	True	True	True
Maasina Fulfulde	ffm	maas1239	True	False	True	True	False
Lundayeh	lnd	lund1271	False	True	False	True	True
Lunda	lun	lund1266	True	True	False	True	False
Lombard	lmo	lomb1257	True	False	False	True	True
Lizu	NOCODE_Lizu	lizu1234	True	True	True	False	False
Liv	liv	livv1244	True	False	False	True	True
Lithuanian	lit	lith1251	False	False	True	True	True
Limos Kalinga	kmk	limo1248	True	False	True	True	False
Lembena	leq	lemb1266	True	True	False	True	False
Lelemi	lef	lele1264	False	False	True	True	True
Lele (Chad)	lln	lele1276	False	True	True	True	False
Lega-Mwenga	lgm	lega1250	True	False	True	True	False
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	True	False	False	True	True
Lango (Uganda)	laj	lang1324	False	True	False	True	True
Kyerung	kgy	kyer1238	False	True	True	True	False
Kwerba	kwe	nucl1595	False	False	True	True	True
Kwegu	xwg	kweg1241	True	False	False	True	True
Kuot	kto	kuot1243	True	False	True	True	False
Kuo	xuo	kuoo1238	False	True	False	True	True
Kuku-Yalanji	gvn	kuku1273	True	False	False	True	True
Kovai	kqb	kova1243	False	False	True	True	True
Koti	eko	koti1238	True	False	False	True	True
Kosraean	kos	kosr1238	True	False	True	True	False
Korowai	khe	koro1312	True	False	False	True	True
Korlai Portuguese	vkp	korl1238	False	False	True	True	True
Konso	kxc	kons1243	True	True	False	True	False
Kola	kvv	kola1285	False	True	False	True	True
Kol (Cameroon)	biw	kolc1235	False	True	True	True	False
Kiowa	kio	kiow1266	False	True	False	True	True
Khwarezmian	xco	khwa1238	True	False	False	True	True
Khumi Chin	cnk	khum1248	False	False	True	True	True
Khezha Naga	nkh	khez1235	True	False	True	True	False
Khams Tibetan	khg	kham1282	True	False	True	True	False
Ket	ket	kett1243	False	False	True	True	True
Keerak	hhr	kera1248	False	False	True	True	True
Ke'o	xxk	keoo1238	False	True	True	True	False
Kaulong	pss	kaul1240	False	False	True	True	True
Katukína-Kanamarí	knm	kana1291	False	True	True	True	False
Kasua	khs	kasu1251	True	False	False	True	True
Kashmiri	kas	kash1277	True	False	False	True	True
Karo (Brazil)	arr	karo1305	False	False	True	True	True
Karata	kpt	kara1474	True	True	False	True	False
Karadjeri	gbd	kara1476	False	True	True	True	False
Kara (Papua New Guinea)	leu	kara1486	False	True	True	True	False
Kanasi	soq	kana1288	False	False	True	True	True
Kanakanavu	xnb	kana1286	False	True	True	True	False
Kamula	xla	kamu1260	True	True	False	True	False
Kami (Tanzania)	kcu	kami1256	True	True	False	True	False
Kalanga	kck	kala1384	False	True	False	True	True
Kalamang	kgv	kara1499	False	True	True	True	False
Kalagan	kqe	kala1388	False	True	True	True	False
Kairiru	kxa	kair1263	False	True	False	True	True
Kachi Koli	gjk	kach1272	False	True	False	True	True
Kabikabi	gbw	kabi1260	True	True	False	True	False
K'iche'	quc	kich1262	False	True	True	True	False
Jicarilla Apache	apj	jica1244	False	True	True	False	True
Jibbali	shv	sheh1240	True	True	False	True	False
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	jewi1240	True	False	False	True	True
Jehai	jhi	jeha1242	False	False	True	True	True
Jedek	NOCODE_Jedek	jede1239	False	True	True	True	False
Jebero	jeb	jebe1250	False	False	True	True	True
Jarawa (India)	anq	jara1245	False	True	True	True	False
Jarai	jra	jara1266	False	True	False	True	True
Iyo	nca	iyoo1238	False	True	False	True	True
Ipai	NOCODE_Ipai	ipai1240	False	False	True	True	True
Inland-Buhi-Daraga Bikol	bhk	alba1269	True	True	False	True	False
Ineseño	inz	ines1240	False	False	True	True	True
Imperial Aramaic (700-300 BCE)	arc	impe1235	True	False	False	True	True
Ila	ilb	ilaa1246	True	False	False	True	True
Ik	ikx	ikkk1242	False	False	True	True	True
Ida'an	dbj	idaa1241	False	True	True	True	False
Ibibio	ibb	ibib1240	False	False	True	True	True
Ibanag	ibg	iban1267	False	True	True	True	False
Hungarian	hun	hung1274	True	False	False	True	True
Hun-Saare	dud	huns1239	True	True	False	True	False
Huizhou Chinese	czh	huiz1242	False	False	True	True	True
Huichol	hch	huic1243	False	False	True	True	True
Hopi	hop	hopi1249	False	False	True	True	True
Ho-Chunk	win	hoch1243	True	False	False	True	True
Hmong Njua	hnj	hmon1264	False	True	True	True	False
Hixkaryána	hix	hixk1239	False	False	True	True	True
Hawai'i Creole English	hwc	hawa1247	True	False	False	True	True
Harari	har	hara1271	False	False	True	True	True
Hano	lml	hano1246	False	True	False	True	True
Hadiyya	hdy	hadi1240	False	False	True	True	True
Gusii	guz	gusi1247	False	True	False	True	True
Gorowa	gow	goro1270	True	False	True	True	False
Gooniyandi	gni	goon1238	False	False	True	True	True
Godié	god	godi1239	True	False	True	True	False
Gitxsan	git	gitx1241	False	True	False	True	True
Gidar	gid	gida1247	True	True	False	True	False
Ghomara	gho	ghom1257	False	False	True	True	True
Ghadames	gha	ghad1239	False	True	False	True	True
Geba Karen	kvq	geba1237	True	True	False	True	False
Gbaya-Mbodomo	gmm	gbay1281	True	True	False	True	False
Gavião Do Jiparaná	gvo	gavi1246	False	True	True	True	False
Garawa	wrk	gara1269	True	False	False	True	True
Gapapaiwa	pwg	gapa1238	True	False	False	True	True
Gants	gao	gant1244	False	False	True	True	True
Gan Chinese	gan	ganc1239	False	False	True	True	True
Fyam	pym	fyam1238	True	True	False	True	False
Fuliiru	flr	fuli1240	True	True	False	True	False
Fijian	fij	fiji1243	False	True	True	True	False
Faroese	fao	faro1244	True	True	False	True	False
Eyak	eya	eyak1241	False	False	True	True	True
Even	eve	even1260	True	False	False	True	True
Etruscan	ett	etru1241	False	True	False	True	True
Esselen	esq	esse1238	True	False	True	True	False
Egyptian (Ancient)	egy	egyp1246	True	False	False	True	True
Edopi	dbf	edop1238	True	False	True	True	False
Duri	mvp	duri1242	True	True	False	True	False
Domari	rmt	doma1258	True	False	False	True	True
Djingili	jig	djin1251	False	False	True	True	True
Djeebbana	djj	djee1236	False	True	False	True	True
Dirasha	gdl	dira1242	False	True	True	True	False
Digor Ossetian	NOCODE_Digor-Ossetian	digo1242	False	True	False	True	True
Dieri	dif	dier1241	False	False	True	True	True
Dhalandji	dhl	dhal1245	False	True	True	False	True
Dera (Indonesia)	kbv	dera1245	False	True	True	True	False
Denya	anv	deny1238	True	True	False	True	False
Dameli	dml	dame1241	True	False	False	True	True
Dahalo	dal	daha1245	False	True	False	True	True
Dagbani	dag	dagb1246	False	False	True	True	True
Crow	cro	crow1244	False	False	True	True	True
Crimean Tatar	crh	crim1257	True	False	False	True	True
Columbia-Wenatchi	col	colu1241	False	False	True	True	True
Cochimi	coj	coch1272	False	True	False	True	True
Coahuilteco	xcw	coah1252	False	True	True	True	False
Chuwabu	chw	chuw1238	True	True	False	True	False
Chumburung	ncu	chum1261	False	False	True	True	True
Chukchi	ckt	chuk1273	True	False	True	True	False
Chothe	nct	chot1239	True	False	True	True	False
Cholón	cht	chol1284	False	False	True	True	True
China Buriat	bxu	chin1476	True	False	False	True	True
Chimalapa Zoque	zoh	chim1300	True	False	True	True	False
Chepang	cdm	chep1245	False	False	True	True	True
Cheke Holo	mrn	chek1238	True	False	True	True	False
Chechen	che	chec1245	False	False	True	True	True
Chadian Arabic	shu	chad1249	True	False	True	True	False
Central Tagbanwa	tgt	cent2090	False	False	True	True	True
Central Mnong	cmo	cent1992	True	True	False	True	False
Central Mfumte	NOCODE_Central-Mfumte	cent2312	True	False	True	True	False
Central Lembata-Lewokukun	lvu	levu1239	False	False	True	True	True
Central Dagaare	dga	sout2789	False	False	True	True	True
Central Cagayan Agta	agt	cent2084	True	False	False	True	True
Central Aymara	ayr	cent2142	False	False	True	True	True
