Language	ISO 639-3	Glottocode	object_agreement	subject_agreement	subject_indexing
Gyele	gyi	gyel1242	True	True	False
Gusii	guz	gusi1247	True	True	False
Gurani	hac	gura1251	True	True	False
Gumawana	gvs	guma1254	True	True	False
Gulf Arabic	afb	gulf1241	True	True	False
Gujari	gju	guja1253	True	True	False
Gujarati	guj	guja1252	True	True	False
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	True	False
Grass Koiari	kbk	gras1249	True	True	False
Gorowa	gow	goro1270	True	True	False
Gogodala	ggw	gogo1265	True	True	False
Gofa	gof	gofa1235	True	True	False
Goemai	ank	goem1240	True	True	False
Godoberi	gdo	ghod1238	True	True	False
Goan Konkani	gom	goan1235	True	True	False
Gitxsan	git	gitx1241	True	True	False
Gitonga	toh	gito1238	True	True	False
Gilaki	glk	gila1241	True	True	False
Ghomara	gho	ghom1257	True	True	False
Georgian	kat	nucl1302	True	True	False
Gedeo	drs	gede1246	True	True	False
Gedaged	gdd	geda1237	True	True	False
Garhwali	gbm	garh1243	True	True	False
Gandhari	pgd	gand1259	True	True	False
Gamo	gmv	gamo1243	True	True	False
Galela	gbi	gale1259	True	True	False
Gade Lohar	gda	gade1236	True	True	False
Gaam	tbi	gaam1241	True	True	False
Fwe	fwe	fwee1238	True	True	False
Fungwa	ula	fung1245	True	True	False
Fuliiru	flr	fuli1240	True	True	False
Friulian	fur	friu1240	True	True	False
French	fra	stan1290	True	True	False
Forest Nenets	NOCODE_Forest-Nenets	fore1274	True	True	False
Foodo	fod	food1238	True	True	False
Fon	fon	fonn1241	True	True	False
Finnish	fin	finn1318	True	True	False
Filomeno Mata Totonac	tlp	filo1235	True	True	False
Fijian	fij	fiji1243	True	True	False
Fiji Hindi	hif	fiji1242	True	True	False
Falam Chin	cfm	fala1243	True	True	False
Etulo	utr	etul1245	True	True	False
Eton-Mengisa	eto	eton1253	True	True	False
Ese	mcq	esee1247	True	True	False
Erzya	myv	erzy1239	True	True	False
Ersu	ers	ersu1241	True	True	False
Epigraphic Mayan	emy	epig1241	True	True	False
Epena	sja	epen1239	False	True	True
Emai-Iuleha-Ora	ema	emai1241	True	True	False
El Nayar Cora	crn	elna1235	True	True	False
Ejagham	etu	ejag1239	True	True	False
Eipomek	eip	eipo1242	True	True	False
Edolo	etr	edol1239	True	True	False
Eastern Panjabi	pan	panj1256	True	True	False
Eastern Oromo	hae	east2652	True	True	False
Eastern Huasteca Nahuatl	nhe	east2538	True	True	False
East Kewa	kjs	east2516	True	True	False
Dyirbal	dbl	dyir1250	True	True	False
Dyangadi	dyn	dyan1250	True	True	False
Dusner	dsn	dusn1237	True	True	False
Duri	mvp	duri1242	True	True	False
Dura	drq	dura1244	True	True	False
Dungar Varli	vav	varl1238	True	True	False
Dumi	dus	dumi1241	True	True	False
Domari	rmt	doma1258	True	True	False
Dogrib	dgr	dogr1252	True	True	False
Djingili	jig	djin1251	True	True	False
Djeebbana	djj	djee1236	True	True	False
Diriku	diu	diri1252	True	True	False
Dimli	diq	diml1238	True	True	False
Digo	dig	digo1243	True	True	False
Dibole	bvx	dibo1245	True	True	False
Dhurga	dhu	dhur1239	True	True	False
Dhundari	dhd	dhun1238	True	True	False
Dhofari Arabic	adf	dhof1235	True	True	False
Dhimal	dhi	dhim1246	True	True	False
Dhatki	mki	dhat1238	True	True	False
Dhao	nfa	dhao1237	True	True	False
Dera (Nigeria)	kna	dera1248	True	True	False
Dera (Indonesia)	kbv	dera1245	True	True	False
Degema	deg	dege1246	True	True	False
Dazaga	dzg	daza1242	True	True	False
Dass	dot	dass1243	True	True	False
Darai	dry	dara1250	True	True	False
Danish	dan	dani1285	True	True	False
Dameli	dml	dame1241	True	True	False
Dagik	dec	dagi1241	True	True	False
Daga	dgz	daga1275	True	True	False
Daai Chin	dao	daai1236	True	True	False
Cusco Quechua	quz	cusc1236	True	True	False
Cupeño	cup	cupe1243	True	True	False
Culina	cul	culi1244	True	True	False
Cubeo	cub	cube1242	True	True	False
Crow	cro	crow1244	True	True	False
Continental Southern Italian	nap	neap1235	True	True	False
Congo Swahili	swc	cong1236	True	True	False
Comox	coo	como1259	True	True	False
Comanche	com	coma1245	True	True	False
Comaltepec Chinantec	cco	coma1246	True	True	False
Columbia-Wenatchi	col	colu1241	True	True	False
Coeur d'Alene	crd	coeu1236	True	True	False
Coahuilteco	xcw	coah1252	True	True	False
Clatsop-Shoalwater Chinook	chh	chin1286	True	True	False
Cimbrian	cim	cimb1238	True	True	False
Cicipu	awc	cici1237	True	True	False
Chuwabu	chw	chuw1238	True	True	False
Chopi	cce	chop1243	True	True	False
Choctaw	cho	choc1276	True	True	False
Chitwania Tharu	the	chit1274	True	True	False
Chitkuli Kinnauri	cik	chit1279	True	True	False
Chippewa	ciw	chip1241	True	True	False
Chintang	ctn	chhi1245	True	True	False
Chinali	cih	chin1475	True	True	False
Chimwiini	NOCODE_Chimwiini	chim1312	True	True	False
Chimalapa Zoque	zoh	chim1300	True	True	False
Chilcotin	clc	chil1280	True	True	False
Chiga	cgg	chig1238	True	True	False
Chickasaw	cic	chic1270	True	True	False
Chepang	cdm	chep1245	True	True	False
Chechen	che	chec1245	True	True	False
Chamalal	cji	cham1309	True	True	False
Chaldean Neo-Aramaic	cld	chal1275	True	True	False
Chadian Arabic	shu	chad1249	True	True	False
Central Tarahumara	tar	cent2131	True	True	False
Central Siberian Yupik	ess	cent2128	True	True	False
Central Romani	rmc	carp1235	True	True	False
Central Pashto	pst	cent1973	True	True	False
Central Ojibwa	ojc	cent2136	True	True	False
Central Moroccan Berber	tzm	cent2194	True	True	False
Central Mansi	NOCODE_Central-Mansi	cent2322	True	True	False
Central Aymara	ayr	cent2142	True	True	False
Catalan	cat	stan1289	True	True	False
Cashibo-Cacataibo	cbr	cash1251	True	True	False
Caribbean Hindustani	hns	cari1275	True	True	False
Caquinte	cot	caqu1242	True	True	False
Cappadocian Greek	cpg	capp1239	True	True	False
Campidanese Sardinian	sro	camp1261	True	True	False
Cahuilla	chl	cahu1264	True	True	False
Buwal	bhs	buwa1243	True	True	False
Busoa	bup	buso1238	True	True	False
Burushaski	bsk	buru1296	True	True	False
Burmeso	bzu	burm1264	True	True	False
Burarra	bvr	bura1267	True	True	False
Bundeli	bns	bund1253	True	True	False
Bunan	bfu	gahr1239	True	True	False
Bunama	bdd	buna1276	True	True	False
Bunak	bfn	buna1278	True	True	False
Bumthangkha	kjz	bumt1240	True	True	False
Bullom So	buy	bull1247	True	True	False
Buli (Ghana)	bwu	buli1254	True	True	False
Bukusu	bxk	buku1249	True	True	False
Bukiyip	ape	buki1249	True	True	False
Bujhyal	byh	bujh1238	True	True	False
Budukh	bdk	budu1248	True	True	False
Budu	buu	budu1250	True	True	False
Brokskat	bkk	brok1247	True	True	False
Boro (Ethiopia)	bwo	boro1277	True	True	False
Bora	boa	bora1263	True	True	False
Bolinao	smk	boli1256	True	True	False
Bobangi	bni	bang1354	True	True	False
Bo-Ung	mux	boun1245	True	True	False
Bilua	blb	bilu1245	True	True	False
Big Nambas	nmb	bign1238	True	True	False
Bierebo	bnk	bier1244	True	True	False
Biangai	big	bian1252	True	True	False
Bhoti Kinnauri	nes	bhot1235	True	True	False
Bhili	bhb	bhil1251	True	True	False
Beria	zag	zagh1240	True	True	False
Bench	bcq	benc1235	True	True	False
Benabena	bef	bena1264	True	True	False
Bena (Tanzania)	bez	bena1262	True	True	False
Ben Tey Dogon	dbt	bent1238	True	True	False
Bembe	bmb	bemb1255	True	True	False
Belep	yly	nyal1254	True	True	False
Belarusian	bel	bela1254	True	True	False
Befang	bby	befa1241	True	True	False
Bebele	beb	bebe1248	True	True	False
Bauzi	bvz	bauz1241	True	True	False
Bats	bbl	bats1242	True	True	False
Bathari	bhm	bath1244	True	True	False
Basque	eus	basq1248	True	True	False
Basa (Nigeria)	bzw	basa1282	True	True	False
Bariai	bch	bari1286	True	True	False
Bargam	mlp	barg1252	True	True	False
Bardi	bcj	bard1255	True	True	False
Barasana-Eduria	bsn	bara1380	True	True	False
Bankan Tey Dogon	dbw	bank1259	True	True	False
Bandial	bqj	band1340	True	True	False
Bambili-Bambui	baw	bamb1266	True	True	False
Bambassi	myf	bamb1262	True	True	False
Balinese	ban	bali1278	True	True	False
Balanta-Ganja	bjt	bala1302	True	True	False
Bahing	bhj	bahi1252	True	True	False
Bagri	bgq	bagr1243	True	True	False
Bafanji	bfj	bafa1249	True	True	False
Bactrian	xbc	bact1239	True	True	False
Babine	bcr	babi1235	True	True	False
Babanki	bbk	baba1266	True	True	False
Awutu	afu	awut1241	True	True	False
Awtuw	kmn	awtu1239	True	True	False
Awngi	awn	awng1244	True	True	False
Awjilah	auj	awji1241	True	True	False
Awiyaana	auy	awiy1238	True	True	False
Awar	aya	awar1249	True	True	False
Awadhi	awa	awad1243	True	True	False
Awad Bing	bcu	awad1244	True	True	False
Awa-Cuaiquer	kwi	awac1239	True	True	False
Auye	auu	auye1238	True	True	False
Assiniboine	asb	assi1247	True	True	False
Arikara	ari	arik1262	True	True	False
Arhuaco	arh	arhu1242	True	True	False
Arequipa-La Unión Quechua	qxu	areq1237	True	True	False
Archi	aqc	arch1244	True	True	False
Arapaho	arp	arap1274	True	True	False
Arammba	stk	aram1253	True	True	False
Araki	akr	arak1252	True	True	False
Apalaí	apy	apal1257	True	True	False
Anu	anl	anuu1241	True	True	False
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	False	True
Anindilyakwa	aoi	anin1240	True	True	False
Anii	blo	anii1245	True	True	False
Angor	agg	ango1254	True	True	False
Andalusian Arabic	xaa	anda1287	True	True	False
Ancient Greek	grc	anci1242	True	True	False
Anamuxra	imi	anam1248	True	True	False
Amur Nivkh	niv	gily1242	True	True	False
Amkoe	huc	hoaa1235	True	True	False
Amharic	amh	amha1245	True	True	False
Amele	aey	amel1241	True	True	False
Ambonese Malay	abs	ambo1250	True	True	False
Ama (Sudan)	nyi	amas1236	True	True	False
Alutor	alr	alut1245	True	True	False
Alsea-Yaquina	aes	alse1251	True	True	False
Aleut	ale	aleu1260	True	True	False
Alamblak	amp	alam1246	True	True	False
Alagwa	wbj	alag1248	True	True	False
Alaba-K'abeena	alw	alab1254	True	True	False
Akoose	bss	akoo1248	True	True	False
Akateko	knj	west2635	True	True	False
Ajyíninka Apurucayali	cpc	ajyi1238	True	True	False
Agob	kit	agob1244	True	True	False
Aghwan	xag	aghw1237	True	True	False
Adyghe	ady	adyg1241	True	True	False
Adonara	adr	adon1237	True	True	False
Adang	adn	adan1251	True	False	True
Abun	kgr	abun1252	True	True	False
Abron	abr	abro1238	True	True	False
Abau	aau	abau1245	True	True	False
Abadi	kbt	abad1241	True	True	False
//Ani	hnh	anii1246	True	True	False
'Are'are	alu	area1240	False	True	True
Zou	zom	zouu1235	True	False	False
Zimba	zmb	zimb1251	False	True	False
Zayse-Zergulla	zay	zays1235	False	True	False
Zacatepec Chatino	ctz	zaca1242	False	True	False
Zabana	kji	zaba1237	False	False	True
Yukuben	ybl	yuku1243	False	True	False
Yosondúa Mixtec	mpm	yoso1239	False	True	False
Yora	mts	yora1241	False	True	False
Yopno	yut	yopn1238	True	False	False
Yir-Yoront	yiy	yiry1245	False	True	False
Yinggarda	yia	ying1247	False	True	False
Yindjibarndi	yij	yind1247	False	True	False
Yidiny	yii	yidi1250	False	True	False
Yemsa	jnj	yems1235	False	True	False
Ye'kwana	mch	maqu1238	False	True	False
Yauyos Quechua	qux	yauy1235	True	False	False
Yareba	yrb	yare1248	False	True	False
Yaqui	yaq	yaqu1251	False	True	False
Yao	yao	yaoo1241	False	True	False
Yankunytjatjara	kdd	yank1247	False	True	False
Yaminahua	yaa	yami1256	False	True	False
Yagnobi	yai	yagn1238	False	True	False
Xicotepec De Juárez Totonac	too	xico1235	True	False	False
Xamtanga	xan	xamt1239	False	True	False
Wymysorys	wym	wymy1235	True	False	False
Wotu	wtw	wotu1240	False	False	True
Wolof	wol	nucl1347	False	True	False
Wolio	wlo	woli1241	True	False	False
Wolaytta	wal	wola1242	False	True	False
Wintu	wit	wint1259	True	False	False
Whitesands	tnp	whit1269	False	True	False
Western Neo-Aramaic	amw	west2763	False	True	False
Western Minyag	wmg	west2417	False	True	False
Western Karaboro	kza	west2466	False	True	False
Western Frisian	fry	west2354	False	True	False
Western Farsi	pes	west2369	False	True	False
Western Apache	apw	west2615	False	True	False
Western Abenaki	abe	west2630	True	False	False
West Yugur	ybe	west2402	False	True	False
West Central Oromo	gaz	west2721	False	True	False
Wersing	kvw	wers1238	False	True	False
Wedau	wed	weda1241	False	True	False
Wayu	vay	wayu1241	True	False	False
Wawa	www	wawa1246	False	True	False
Waurá	wau	waur1244	False	True	False
Warungu	wrg	waru1264	False	True	False
Warlmanpa	wrl	warl1255	False	True	False
Waris	wrs	wari1266	False	True	False
Wardaman	wrr	ward1246	False	True	False
Waray (Philippines)	war	wara1300	False	True	False
War-Jaintia	aml	warj1242	False	True	False
Wappo	wao	wapp1239	False	True	False
Waorani	auc	waor1240	False	True	False
Wanga	lwg	wang1294	True	False	False
Wamey	cou	wame1240	False	True	False
Wambule	wme	wamb1257	False	True	False
Wambayan	wmb	wamb1258	False	True	False
Walser	wae	wals1238	False	True	False
Wallisian	wls	wall1257	False	True	False
Wakhi	wbl	wakh1245	False	True	False
Wailaki	wlk	wail1244	True	False	False
Waigeo	wgo	waig1244	False	True	False
Wahgi	wgi	nucl1620	False	True	False
Wageman	waq	wage1238	True	False	False
Waata	ssn	waat1238	False	True	False
Vute	vut	vute1244	False	True	False
Vurës	msn	vure1239	False	False	True
Varhadi-Nagpuri	vah	varh1239	False	True	False
Vanimo	vam	vani1248	False	True	False
Vaagri Booli	vaa	vaag1238	False	True	False
Uzbeki Arabic	auz	uzbe1248	True	False	False
Usarufa	usa	usar1243	False	True	False
Urubú-Kaapor	urb	urub1250	False	True	False
Uripiv-Wala-Rano-Atchin	upv	urip1239	False	True	False
Urim	uri	urim1252	False	True	False
Urhobo	urh	urho1239	False	True	False
Urat	urt	urat1244	False	True	False
Urarina	ura	urar1246	False	True	False
Upper Tanana	tau	uppe1437	False	False	True
Upper Sorbian	hsb	uppe1395	False	True	False
Uneapa	bbn	unea1237	False	True	False
Umbrian	xum	umbr1253	False	True	False
Ulwa	ulw	ulwa1239	False	True	False
Ukrainian	ukr	ukra1253	False	True	False
Ugaritic	uga	ugar1238	False	True	False
Uduk	udu	uduk1239	False	True	False
Udmurt	udm	udmu1245	False	True	False
Tzotzil	tzo	tzot1259	False	True	False
Tz'utujil	tzj	tzut1248	False	True	False
Tyap	kcg	tyap1238	False	True	False
Tuwali Ifugao	ifk	tuwa1243	True	False	False
Tuvinian	tyv	tuvi1240	False	True	False
Turkish	tur	nucl1301	False	True	False
Turkana	tuv	turk1308	False	True	False
Tunica	tun	tuni1252	False	True	False
Tugun	tzn	tugu1245	False	True	False
Tswana	tsn	tswa1253	False	True	False
Tsuvadi	tvd	tsuv1239	False	True	False
Tsez	ddo	dido1241	False	True	False
Tsamai	tsb	tsam1247	False	True	False
Tsafiki	cof	colo1256	False	True	False
Trumai	tpy	trum1247	False	True	False
Trió	tri	trio1238	True	False	False
Towa	tow	jeme1245	False	True	False
Touo	tqu	touo1238	True	False	False
Toro Tegu Dogon	dtt	toro1253	False	True	False
Toro So Dogon	dts	toro1252	False	True	False
Torau	ttu	tora1259	False	False	True
Toma	tod	toma1245	False	True	False
Tolomako	tlm	tolo1255	False	True	False
Tojolabal	toj	tojo1241	True	False	False
Toda	tcx	toda1252	False	True	False
Tobelo	tlb	tobe1252	False	True	False
Tobagonian Creole English	tgh	toba1282	False	True	False
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	False	True	False
Tlachichilco Tepehua	tpt	tlac1235	False	True	False
Tiwi	tiw	tiwi1244	False	True	False
Tiv	tiv	tivv1240	False	True	False
Tirax	mme	maee1241	False	True	False
Tiranige Diga Dogon	tde	tira1258	False	True	False
Tira	tic	tira1254	True	False	False
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	False	True	False
Ticuna	tca	ticu1245	False	True	False
Thulung	tdh	thul1246	False	True	False
Thangmi	thf	than1259	False	True	False
Thangal Naga	nki	than1255	False	True	False
Thado Chin	tcz	thad1238	False	True	False
Ternate	tft	tern1247	False	True	False
Terena-Kinikinao-Chane	ter	tere1279	False	True	False
Tepetotutla Chinantec	cnt	tepe1279	True	False	False
Tengou-Togo Dogon	dtk	tene1248	False	True	False
Temiar	tea	temi1246	False	True	False
Telugu	tel	telu1262	False	True	False
Tedim Chin	ctd	tedi1235	False	True	False
Tebul Ure Dogon	dtu	tebu1239	False	True	False
Tawra	mhu	diga1241	False	True	False
Tatar	tat	tata1255	False	True	False
Taos Northern Tiwa	twf	nort1550	True	False	False
Tanaina	tfn	tana1289	False	True	False
Tanacross	tcb	tana1290	False	True	False
Takelma	tkm	take1257	False	True	False
Taiga Sayan Turkic	kim	kara1462	False	True	False
Tahitian	tah	tahi1242	True	False	False
Tadaksahak	dsq	tada1238	False	True	False
Ta'izzi-Adeni Arabic	acq	taiz1242	False	True	False
T'apo	lgn	opuu1239	False	True	False
Sylheti	syl	sylh1242	True	False	False
Swedish	swe	swed1254	False	True	False
Swahili	swh	swah1253	False	True	False
Surgut Khanty	NOCODE_Surgut-Khanty	surg1248	False	True	False
Sunwar	suz	sunw1242	False	True	False
Sulka	sua	sulk1246	False	True	False
Suena	sue	suen1241	False	True	False
Sudanese Arabic	apd	suda1236	False	True	False
Standard Arabic	arb	stan1318	False	True	False
Spanish	spa	stan1288	False	True	False
Southern Yukaghir	yux	sout2750	False	True	False
Southern Rengma Naga	nre	sout2732	False	True	False
Southern Pumi	pmj	sout2729	False	True	False
Southern Kisi	kss	sout2778	True	False	False
South-Central Koongo	kng	koon1244	False	True	False
South Wa	prk	para1301	False	True	False
South Nuaulu	nxl	sout2895	False	True	False
South Bolivian Quechua	quh	sout2991	False	True	False
South Azerbaijani	azb	sout2697	False	True	False
Soqotri	sqt	soqo1240	False	True	False
Soo	teu	sooo1256	False	True	False
Somali	som	soma1255	False	True	False
Sogdian	sog	sogd1245	False	True	False
Slovenian	slv	slov1268	False	True	False
Slovak	slk	slov1269	False	True	False
Skolt Sami	sms	skol1241	False	True	False
Siwu	akp	siwu1238	False	True	False
Siwai	siw	siwa1245	False	True	False
Sirva	sbq	sile1255	False	True	False
Siona-Tetete	snn	sion1247	False	True	False
Sio	xsi	sioo1240	True	False	False
Sinte-Manus Romani	rmo	sint1235	False	True	False
Sinasina	sst	sina1271	False	True	False
Simte	smt	simt1238	False	True	False
Silt'e	stv	silt1240	False	True	False
Sidamo	sid	sida1246	False	True	False
Siar-Lak	sjr	siar1238	False	True	False
Siane	snp	sian1257	False	True	False
Shughni	sgh	shug1248	False	True	False
Shona	sna	shon1251	False	True	False
Shina	scl	shin1264	False	True	False
Sherdukpen	sdp	sher1257	False	True	False
Sheko	she	shek1245	False	True	False
Seze	sze	seze1235	False	True	False
Severn Ojibwa	ojs	seve1240	True	False	False
Seselwa Creole French	crs	sese1246	False	True	False
Sereer	srr	sere1260	False	True	False
Serbian-Croatian-Bosnian	hbs	sout1528	False	True	False
Sena	seh	nucl1396	False	True	False
Seke (Vanuatu)	ske	seke1241	False	True	False
Seediq	trv	taro1264	False	True	False
Saya	say	saya1246	False	True	False
Sawai	szw	sawa1247	False	True	False
Sauria Paharia	mjt	saur1249	False	True	False
Sasak	sas	sasa1249	False	True	False
Sarikoli	srh	sari1246	False	True	False
Sango	sag	sang1328	False	True	False
San Miguel El Grande Mixtec	mig	sanm1295	False	True	False
San Martín Quechua	qvs	sanm1289	False	True	False
Samba Daka	ccg	samb1311	False	True	False
Samaritan	smp	sama1313	False	True	False
Saisiyat	xsy	sais1237	False	True	False
Sagalla	tga	saga1262	True	False	False
Sa'a	apb	saaa1240	True	False	False
Rutul	rut	rutu1240	False	True	False
Rusyn	rue	rusy1239	False	True	False
Russia Buriat	bxr	russ1264	False	True	False
Rotokas	roo	roto1249	False	True	False
Rongpo	rnp	rong1264	False	True	False
Romansh	roh	roma1326	False	True	False
Ritarungo	rit	rita1239	False	True	False
Riantana	ran	rian1263	False	True	False
Rennell-Bellona	mnv	renn1242	False	True	False
Rembong-Wangka	reb	remb1250	False	True	False
Rembarunga	rmb	remb1249	True	False	False
Ravula	yea	ravu1237	False	True	False
Raute	rau	raut1239	False	True	False
Rangkas	rgk	rang1266	False	True	False
Ramoaaina	rai	ramo1244	False	True	False
Rama	rma	rama1270	False	True	False
Rajbanshi	rjs	rajb1243	False	True	False
Qimant	ahg	qima1242	False	True	False
Qashqa'i	qxq	qash1240	False	True	False
Qaqet	byx	qaqe1238	True	False	False
Q'anjob'al	kjb	qanj1241	False	True	False
Puyuma	pyu	puyu1239	False	True	False
Purum	pub	puru1266	False	True	False
Pulaar	fuc	pula1263	False	True	False
Principense	pre	prin1242	False	True	False
Portuguese	por	port1283	False	True	False
Popti'	jac	popt1235	False	True	False
Pontic	pnt	pont1253	False	True	False
Pondi	lnm	lang1328	False	False	True
Polish	pol	poli1260	False	True	False
Plains Cree	crk	plai1258	True	False	False
Pitta Pitta	pit	pitt1247	False	True	False
Pitjantjatjara	pjt	pitj1243	False	True	False
Pite Sami	sje	pite1240	False	True	False
Pinai-Hagahai	pnn	pina1252	False	True	False
Phom Naga	nph	phom1236	False	True	False
Peñoles Mixtec	mil	peno1244	False	True	False
Pengo	peg	peng1244	False	True	False
Pendau	ums	pend1242	False	True	False
Penange	NOCODE_Penange	pena1270	False	True	False
Pech	pay	pech1241	False	True	False
Patwin	pwi	patw1250	False	True	False
Patpatar	gfk	patp1243	False	True	False
Parecís	pab	pare1272	False	False	True
Papuan Malay	pmy	papu1250	False	True	False
Pampanga	pam	pamp1243	False	True	False
Palenquero	pln	pale1260	False	True	False
Paisaci Prakrit	qpp	pais1238	True	False	False
Pagibete	pae	pagi1243	False	True	False
Osage	osa	osag1243	True	False	False
Orowe	bpk	orow1242	False	True	False
Oroko	bdu	orok1266	False	True	False
Orma	orc	orma1241	False	True	False
Oriya	ory	oriy1255	False	True	False
Old Uighur	oui	oldu1238	False	True	False
Old Telugu	NOCODE_Old-Telugu	oldt1249	False	True	False
Old Saxon	osx	olds1250	False	True	False
Old Sabellic	qhr	sabe1248	False	True	False
Old Russian	orv	oldr1238	False	True	False
Old Prussian	prg	prus1238	False	True	False
Old Persian (ca. 600-400 B.C.)	peo	oldp1254	False	True	False
Old Nubian	onw	oldn1245	True	False	False
Old Latin	qbb	oldl1238	False	True	False
Oko-Eni-Osayen	oks	okoe1238	False	True	False
Ogea	eri	ogea1238	False	True	False
Ogbronuagum	ogu	ogbr1243	False	True	False
Ogbia	ogb	ogbi1239	False	True	False
Odual	odu	odua1238	False	True	False
Occitan	oci	occi1239	False	True	False
Obolo	ann	obol1243	False	True	False
Nzima	nzi	nzim1238	False	True	False
Nzanyi	nja	nzan1240	False	True	False
Nyoro	nyo	nyor1246	False	True	False
Nyiyaparli	xny	nija1241	False	True	False
Nyiha (Tanzania)	nih	nyih1240	True	False	False
Nyanja	nya	nyan1308	False	True	False
Nyang'i	nyp	nyan1313	False	True	False
Nyamwezi	nym	nyam1276	False	True	False
Nsong-Mpiin	soo	song1299	False	True	False
Notsi	ncf	nots1237	False	True	False
Northwestern Kolami	kfb	nort2699	False	True	False
Northwest Gbaya	gya	nort2775	True	False	False
Northern Tosk Albanian	als	tosk1239	True	False	False
Northern Sami	sme	nort2671	False	True	False
Northern Pomo	pej	nort2966	False	True	False
Northern Paiute	pao	nort2954	True	False	False
Northern One	onr	nort2907	False	True	False
Northern Gumuz	guk	gumu1244	True	False	False
Northern Emberá	emp	nort2972	False	True	False
Northern East Cree	crl	nort1552	False	True	False
Northern Dagara	dgi	nort2780	False	True	False
Northeast Maidu	nmu	nort2952	False	True	False
North Tairora	tbg	nort2920	False	True	False
Noone	nhu	noon1243	False	True	False
Nomaande	lem	noma1260	True	False	False
Nogai	nog	noga1249	False	True	False
Nisenan	nsz	nise1244	False	True	False
Nicaragua Creole English	bzk	nica1252	False	True	False
Nhengatu	yrl	nhen1239	False	True	False
Ngkâlmpw Kanum	kcd	ngka1235	False	False	True
Ngie	ngj	ngie1242	False	True	False
Ngarla on the Ashburton river south of the Hamersley range	nrk	ngar1296	False	True	False
Ngarinman	nbj	ngar1235	False	True	False
Ngardi	rxd	ngar1288	False	True	False
Ngandi	nid	ngan1295	True	False	False
Ngambay	sba	ngam1268	False	True	False
Ngaanyatjarra	ntj	ngaa1240	False	True	False
Neve'ei	vnm	vinm1237	False	True	False
Nend	anh	nend1239	False	True	False
Nehan	nsn	neha1247	False	True	False
Nedebang	nec	nede1245	True	False	False
Ncane	ncr	ncan1245	False	True	False
Nauru	nau	naur1243	False	True	False
Nauete	nxa	naue1237	False	True	False
Nanti	cox	nant1250	False	True	False
Nangikurrunggurr	nam	nang1259	False	True	False
Nandi	niq	nand1266	False	True	False
Nande	nnb	nand1264	False	True	False
Naki	mff	naki1238	False	True	False
Nahavaq	sns	sout2857	False	True	False
Nabak	naf	naba1256	False	True	False
Mycenaean Greek	gmy	myce1241	False	True	False
Mwotlap	mlv	motl1237	False	True	False
Mwakai	mgt	mong1344	False	False	True
Mwaghavul	sur	mwag1236	False	True	False
Murle	mur	murl1244	False	True	False
Mundari	unr	mund1320	False	True	False
Mundabli	boe	mund1328	False	True	False
Mumuye	mzm	nucl1240	False	True	False
Mpade	mpi	mpad1242	False	True	False
Motu	meu	motu1246	True	False	False
Moskona	mtj	mosk1236	False	True	False
Mortlockese	mrl	mort1237	True	False	False
Moroccan Arabic	ary	moro1292	False	True	False
Moro	mor	moro1285	False	True	False
Mongolia Buriat	bxm	mong1330	False	True	False
Mombo Dogon	dmb	momb1254	False	True	False
Molmo One	aun	molm1235	False	True	False
Mokpwe	bri	mokp1239	False	True	False
Moken	mwt	moke1242	False	False	True
Moi (Indonesia)	mxn	moii1235	False	True	False
Mogholi	mhj	mogh1245	False	True	False
Modern Hebrew	heb	hebr1245	False	True	False
Mizo	lus	lush1249	False	True	False
Misool-Salawati Ma'ya	slz	maya1282	False	True	False
Minigir	vmg	mini1251	False	True	False
Middle English	enm	midd1317	False	True	False
Miami	mia	miam1252	False	True	False
Mesaka	iyo	mesa1245	False	True	False
Menya	mcr	meny1245	True	False	False
Menominee	mez	meno1252	True	False	False
Mednyj Aleut	mud	medn1235	False	True	False
Me'en	mym	meen1242	False	True	False
Mbula	mna	mbul1263	False	True	False
Mbay	myb	mbay1241	False	True	False
Mayo	mfy	mayo1264	False	True	False
Maybrat-Karon	ayz	maib1239	False	True	False
Mato	met	mato1252	False	True	False
Matbat	xmt	matb1237	False	True	False
Martuthunira	vma	mart1255	False	True	False
Marithiel	mfr	mari1424	False	True	False
Marghi Central	mrt	marg1265	False	True	False
Maranunggu	zmr	mara1386	False	True	False
Mara	mec	mara1385	False	True	False
Mara Chin	mrh	mara1382	False	True	False
Mao Naga	nbi	maon1238	False	True	False
Manyika	mxc	many1258	False	True	False
Manus Koro	kxr	bowa1234	False	True	False
Mann	mev	mann1248	False	True	False
Mangghuer	NOCODE_Mangghuer	minh1238	False	True	False
Manggarai	mqy	mang1405	False	True	False
Mangga Buang	mmo	mang1404	False	True	False
Mangarayi	mpc	mang1381	False	True	False
Mandarin Chinese	cmn	mand1415	False	True	False
Mandari	mqu	mand1425	False	True	False
Mand	ate	atem1241	False	True	False
Mambai	mcs	mamb1294	False	True	False
Mamaindé	wmd	mama1278	True	False	False
Mam	mam	mamm1241	True	False	False
Malua Bay	mll	malu1245	False	True	False
Mali	gcc	mali1284	False	True	False
Male (Ethiopia)	mdy	male1284	False	True	False
