Language	ISO 639-3	Glottocode	liquid
Wappo	wao	wapp1239	True
Wapishana	wap	wapi1253	True
Waorani	auc	waor1240	True
Wano	wno	wano1243	True
Wanman	wbt	wanm1242	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True
Wanga	lwg	wang1294	True
Wandarang	wnd	wand1263	True
Wandamen	wad	wand1267	True
Wandala	mfi	wand1278	True
Wambule	wme	wamb1257	True
Wambon	wms	wamb1259	True
Wambayan	wmb	wamb1258	True
Walmajarri	wmt	walm1241	True
Wallisian	wls	wall1257	True
Wala	lgl	wala1266	True
Wakhi	wbl	wakh1245	True
Wakawaka	wkw	waka1274	True
Wajarri	wbv	waja1257	True
Waiwai	waw	waiw1244	True
Waimiri-Atroari	atr	waim1253	True
Waima'a	wmh	waim1252	True
Waigeo	wgo	waig1244	True
Wahgi	wgi	nucl1620	True
Wageman	waq	wage1238	True
Wagdi	wbr	wagd1238	True
Wadjiginy	wdj	wadj1254	True
Waata	ssn	waat1238	True
Vute	vut	vute1244	True
Vurës	msn	vure1239	True
Vlax Romani	rmy	vlax1238	True
Virgin Islands Creole English	vic	virg1240	True
Vinza	vin	vinz1238	True
Vincentian Creole English	svc	vinc1243	True
Vietnamese	vie	viet1252	True
Vera'a	vra	vera1241	True
Ventureño	veo	vent1242	True
Vengo	bav	veng1238	True
Venetic	xve	vene1257	True
Venda	ven	vend1245	True
Varhadi-Nagpuri	vah	varh1239	True
Vanimo	vam	vani1248	True
Vamale	mkt	vama1243	True
Vaiphei	vap	vaip1239	True
Vai	vai	vaii1241	True
Vaghri	vgr	vagh1246	True
Vaeakau-Taumako	piv	pile1238	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True
Vaagri Booli	vaa	vaag1238	True
Ute-Southern Paiute	ute	utes1238	True
Ut-Main	gel	kagf1238	True
Usarufa	usa	usar1243	True
Usan	wnu	usan1239	True
Urubú-Kaapor	urb	urub1250	True
Uru	ure	uruu1244	True
Uripiv-Wala-Rano-Atchin	upv	urip1239	True
Urim	uri	urim1252	True
Urhobo	urh	urho1239	True
Urdu	urd	urdu1245	True
Urartian	xur	urar1245	True
Urarina	ura	urar1246	True
Urak Lawoi'	urk	urak1238	True
Ura (Vanuatu)	uur	urav1235	True
Upper Tanana	tau	uppe1437	True
Upper Sorbian	hsb	uppe1395	True
Upper Necaxa Totonac	tku	uppe1275	True
Upper Guinea Crioulo	pov	uppe1455	True
Upper Chehalis	cjh	uppe1439	True
Unua	onu	unua1237	True
Uneapa	bbn	unea1237	True
Unami	unm	unam1242	True
Umiray Dumaget Agta	due	umir1236	True
Umbuygamu	umg	umbu1256	True
Umbundu	umb	umbu1257	True
Umbugarla	umr	umbu1235	True
Umbrian	xum	umbr1253	True
Ulwa	ulw	ulwa1239	True
Ulwa (Papua New Guinea)	yla	yaul1241	True
Ulithian	uli	ulit1238	True
Ukaan	kcf	ukaa1243	True
Uighur	uig	uigh1240	True
Ugaritic	uga	ugar1238	True
Uduk	udu	uduk1239	True
Udmurt	udm	udmu1245	True
Udihe	ude	udih1248	True
Udi	udi	udii1243	True
Ubykh	uby	ubyk1235	True
U	uuu	uuuu1243	True
Tübatulabal	tub	tuba1278	True
Tày	tyz	tayy1238	True
Tzotzil	tzo	tzot1259	True
Tzeltal	tzh	tzel1254	True
Tz'utujil	tzj	tzut1248	True
Tyap	kcg	tyap1238	True
Tweed-Albert	xjb	twee1234	True
Twana	twa	twan1247	True
Tuwuli	bov	tuwu1238	True
Tuwali Ifugao	ifk	tuwa1243	True
Tuvinian	tyv	tuvi1240	True
Tuvalu	tvl	tuva1244	True
Tutsa Naga	tvt	tuts1235	True
Tutelo	tta	tute1247	True
Turung	try	turu1249	True
Turkmen	tuk	turk1304	True
Turkish	tur	nucl1301	True
Turkana	tuv	turk1308	True
Tuparí	tpr	tupa1250	True
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	True
Tunni	tqq	tunn1238	True
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True
Tungag	lcm	tung1290	True
Tunen	tvu	tune1261	True
Tundra Nenets	yrk	nene1249	True
Tumbuka	tum	tumb1250	True
Tulu	tcy	tulu1258	True
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	True
Tukang Besi North	khc	tuka1248	True
Tugun	tzn	tugu1245	True
Tucano	tuo	tuca1252	True
Tswana	tsn	tswa1253	True
Tswa	tsc	tswa1255	True
Tsou	tsu	tsou1248	True
Tsonga	tso	tson1249	True
Tshobdun	NOCODE_Tshobdun	tsho1240	True
Tshangla	tsj	tsha1245	True
Tsez	ddo	dido1241	True
Tsat	huq	tsat1238	True
Tsamai	tsb	tsam1247	True
Tsakonian	tsd	tsak1248	True
Tsakhur	tkr	tsak1249	True
Tsafiki	cof	colo1256	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True
Trumai	tpy	trum1247	True
Trió	tri	trio1238	True
Totontepec Mixe	mto	toto1305	True
Toto	txo	toto1302	True
Totela	ttl	tote1238	True
Torres Strait Creole	tcs	torr1261	True
Toro Tegu Dogon	dtt	toro1253	True
Toro So Dogon	dts	toro1252	True
Toposa	toq	topo1242	True
Tonkawa	tqw	tonk1249	True
Tonga (Tonga Islands)	ton	tong1325	True
Tondi Songway Kiini	tst	tond1249	True
Tondano	tdn	tond1251	True
Tomo Kan Dogon	dtm	tomo1243	True
Tommo So Dogon	dto	tomm1242	True
Tombonuo	txa	tomb1244	True
Toma	tod	toma1245	True
Tolowa-Chetco	tol	tolo1259	True
Tol	jic	toll1241	True
Tokelau	tkl	toke1240	True
Tok Pisin	tpi	tokp1240	True
Tojolabal	toj	tojo1241	True
Tohono O'odham	ood	toho1245	True
Toda	tcx	toda1252	True
Tocantins Asurini	asu	toca1235	True
Tobelo	tlb	tobe1252	True
Tobagonian Creole English	tgh	toba1282	True
Toba	tob	toba1269	True
To'abaita	mlu	toab1237	True
Tlingit	tli	tlin1245	True
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	True
Tlahuitoltepec Mixe	mxp	tlah1239	True
Tlachichilco Tepehua	tpt	tlac1235	True
Tiwi	tiw	tiwi1244	True
Tiwa (India)	lax	tiwa1253	True
Tiv	tiv	tivv1240	True
Tirma-Chai	suq	suri1267	True
Tiri-Mea	cir	tiri1258	True
Tirax	mme	maee1241	True
Tiranige Diga Dogon	tde	tira1258	True
Tira	tic	tira1254	True
Tipai	dih	kumi1248	True
Tinani	lbf	tina1246	True
Timugon Murut	tih	timu1262	True
Timne	tem	timn1235	True
Timbe	tim	timb1251	True
Tima	tms	tima1241	True
Tilung	tij	tilu1238	True
Tikopia	tkp	tiko1237	True
Tikhak	NOCODE_Tikhak	tikh1243	True
Tigrinya	tir	tigr1271	True
Tigre	tig	tigr1270	True
Tigon Mbembe	nza	tigo1236	True
Tigak	tgc	tiga1245	True
Tifal	tif	tifa1245	True
Tiene	tii	tien1242	True
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True
