Language	ISO 639-3	Glottocode	high-unrounded
Umbu-Ungu	ubu	umbu1258	True
Umbrian	xum	umbr1253	True
Umatilla	uma	umat1237	True
Ulwa	ulw	ulwa1239	True
Ulwa (Papua New Guinea)	yla	yaul1241	True
Ulithian	uli	ulit1238	True
Ukrainian	ukr	ukra1253	True
Uduk	udu	uduk1239	True
Udmurt	udm	udmu1245	True
Udihe	ude	udih1248	True
U	uuu	uuuu1243	True
Tweed-Albert	xjb	twee1234	True
Twana	twa	twan1247	True
Tuwuli	bov	tuwu1238	True
Tuwali Ifugao	ifk	tuwa1243	True
Tuvinian	tyv	tuvi1240	True
Tuvalu	tvl	tuva1244	True
Tuscarora	tus	tusc1257	True
Turkmen	tuk	turk1304	True
Turkish	tur	nucl1301	True
Tuparí	tpr	tupa1250	True
Tungag	lcm	tung1290	True
Tunen	tvu	tune1261	True
Tundra Nenets	yrk	nene1249	True
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	True
Tukang Besi North	khc	tuka1248	True
Tugun	tzn	tugu1245	True
Tsou	tsu	tsou1248	True
Tsonga	tso	tson1249	True
Tsat	huq	tsat1238	True
Tsamai	tsb	tsam1247	True
Tsakhur	tkr	tsak1249	True
Tsafiki	cof	colo1256	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True
Trió	tri	trio1238	True
Trinidadian Creole English	trf	trin1276	True
Towa	tow	jeme1245	True
Totontepec Mixe	mto	toto1305	True
Totela	ttl	tote1238	True
Torres Strait Creole	tcs	torr1261	True
Toro Tegu Dogon	dtt	toro1253	True
Toro So Dogon	dts	toro1252	True
Tondi Songway Kiini	tst	tond1249	True
Tondano	tdn	tond1251	True
Tomo Kan Dogon	dtm	tomo1243	True
Tommo So Dogon	dto	tomm1242	True
Toma	tod	toma1245	True
Tolowa-Chetco	tol	tolo1259	True
Tol	jic	toll1241	True
Tokelau	tkl	toke1240	True
Tojolabal	toj	tojo1241	True
Toda	tcx	toda1252	True
Tobagonian Creole English	tgh	toba1282	True
To'abaita	mlu	toab1237	True
Tlahuitoltepec Mixe	mxp	tlah1239	True
Tlachichilco Tepehua	tpt	tlac1235	True
Tiwi	tiw	tiwi1244	True
Tirma-Chai	suq	suri1267	True
Tiri-Mea	cir	tiri1258	True
Tirax	mme	maee1241	True
Tiranige Diga Dogon	tde	tira1258	True
Tipai	dih	kumi1248	True
Tinani	lbf	tina1246	True
Tima	tms	tima1241	True
Tilung	tij	tilu1238	True
Tikhak	NOCODE_Tikhak	tikh1243	True
Tigrinya	tir	tigr1271	True
Tigre	tig	tigr1270	True
Tigon Mbembe	nza	tigo1236	True
Tiene	tii	tien1242	True
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True
Tidore	tvo	tido1248	True
Ticuna	tca	ticu1245	True
Thayore	thd	thay1249	True
Thao	ssf	thao1240	True
Thado Chin	tcz	thad1238	True
Texistepec Popoluca	poq	texi1237	True
Tetun Dili	tdt	tetu1246	True
Tetum	tet	tetu1245	True
Ternate	tft	tern1247	True
Teribe	tfr	teri1250	True
Tennet	tex	tenn1246	True
Tengou-Togo Dogon	dtk	tene1248	True
Tenetehara	tqb	temb1276	True
Tena Lowland Quichua	quw	tena1240	True
Temi	soz	temi1247	True
Teiwa	twe	teiw1235	True
Tedim Chin	ctd	tedi1235	True
Tebul Ure Dogon	dtu	tebu1239	True
Tayart Tamajeq	thz	taya1257	True
Tauya	tya	tauy1241	True
Taulil	tuh	taul1251	True
Tataltepec Chatino	cta	tata1258	True
Tarok	yer	taro1263	True
Tariana	tae	tari1256	True
Tapieté	tpj	tapi1253	True
Taos Northern Tiwa	twf	nort1550	True
Tanzanian Ngoni	xnj	tanz1241	True
Tangut	txg	tang1334	True
Tangam	NOCODE_Tangam	tang1377	True
Tanacross	tcb	tana1290	True
Tamasheq	taq	tama1365	True
Tamambo	mla	malo1243	True
Takuu	nho	taku1257	True
Takia	tbc	taki1248	True
Tajio	tdj	taji1246	True
Tajik	tgk	taji1245	True
Tainae	ago	tain1253	True
Taiga Sayan Turkic	kim	kara1462	True
Tagin	tgj	tagi1241	True
Tagdal	tda	tagd1238	True
Tafi	tcd	tafi1243	True
Tadaksahak	dsq	tada1238	True
Tachelhit	shi	tach1250	True
Tabo	knv	tabo1241	True
Tabasco Chontal	chf	taba1266	True
T'apo	lgn	opuu1239	True
Sô	sss	sooo1254	True
Sìcìté Sénoufo	sep	sici1249	True
Sãotomense	cri	saot1239	True
Sydney	xdk	sydn1236	True
Svan	sva	svan1243	True
Sursurunga	sgz	surs1246	True
Surigaonon	sgd	suri1273	True
Supyire Senoufo	spp	supy1237	True
Sumi Naga	nsm	sumi1235	True
Sumbawa	smw	sumb1241	True
Sulka	sua	sulk1246	True
Sula	szn	sula1248	True
Sukur	syk	suku1272	True
Sud Oranais-Gourara	grr	tazn1238	True
Suba-Simbiti	ssc	suba1252	True
Stoney	sto	ston1242	True
Stau-Dgebshes	ero	horp1239	True
Squamish	squ	squa1248	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True
Southwest Tanna	nwi	sout2869	True
Southern Tiwa	tix	sout2961	True
Southern Sama	ssb	sout2918	True
Southern Pumi	pmj	sout2729	True
Southern Puget Sound Salish	slh	sout2965	True
Southern Pashto	pbt	sout2649	True
Southern Nambikuára	nab	sout2994	True
Southern Kisi	kss	sout2778	True
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	True
Southern Conchucos Ancash Quechua	qxo	sout2992	True
Southern Bobo Madaré	bwq	sout2840	True
Southern Amami-Oshima	ams	sout2954	True
Southern Alta	agy	sout2905	True
Southeastern Tepehuan	stp	sout2976	True
Southeastern Kolami	nit	sout1549	True
Southeast Pashayi	psi	sout2672	True
South-Eastern Ju	ktz	juho1239	True
South Nuaulu	nxl	sout2895	True
South Levantine Arabic	ajp	sout3123	True
South Efate	erk	sout2856	True
South Azerbaijani	azb	sout2697	True
Sougb	mnx	mani1235	True
Soo	teu	sooo1256	True
Slovenian	slv	slov1268	True
Skou	skv	nucl1634	True
Skolt Sami	sms	skol1241	True
Siwai	siw	siwa1245	True
Situ	tzi	situ1238	True
Sisiqa	NOCODE_Sisiqa	sisi1250	True
Sirva	sbq	sile1255	True
Sirionó	srq	siri1273	True
Siraya	fos	sira1267	True
Sirajic	NOCODE_Sirajic	sira1263	True
Siona-Tetete	snn	sion1247	True
Sinaugoro	snc	sina1266	True
Simbo	sbb	simb1256	True
Sikkimese	sip	sikk1242	True
Sika	ski	sika1262	True
Sierra de Juárez Zapotec	zaa	sier1250	True
Sidamo	sid	sida1246	True
Sichuan Yi	iii	sich1238	True
Siamou	sif	siam1242	True
Shwe Palaung	pll	shwe1236	True
Shuar	jiv	shua1257	True
Shixing	sxg	shix1238	True
Shihhi Arabic	ssh	shih1239	True
Shi	shr	shii1238	True
Shekhawati	swv	shek1243	True
Shawi	cbt	chay1248	True
Shasta	sht	shas1239	True
Shahrudi	shm	shah1254	True
Shabo	sbf	shab1252	True
Seze	sze	seze1235	True
Serudung Murut	srk	seru1246	True
Serrano	ser	serr1255	True
Seri	sei	seri1257	True
Sereer	srr	sere1260	True
Senhaja De Srair	sjs	senh1238	True
Semelai	sza	seme1247	True
Selkup	sel	selk1253	True
Selk'nam	ona	onaa1245	True
Selepet	spl	sele1250	True
Selee	snw	sele1249	True
Selayar	sly	sela1260	True
Selaru	slu	sela1259	True
Sekpele	lip	sekp1241	True
Seediq	trv	taro1264	True
Sebat Bet Gurage	sgw	seba1251	True
Sawai	szw	sawa1247	True
Satawalese	stw	sata1237	True
Sasak	sas	sasa1249	True
Sarsi	srs	sars1236	True
Sarangani Manobo	mbs	sara1327	True
Saramaccan	srm	sara1340	True
Sanumá	xsu	sanu1240	True
Sankaran Maninka	msc	sank1253	True
Sangtam Naga	nsa	sang1321	True
Sango	sag	sang1328	True
Sangisari	sgr	sang1315	True
Sangir	sxn	sang1336	True
Sanapaná	spn	sana1298	True
San Miguel El Grande Mixtec	mig	sanm1295	True
San Francisco del Mar Huave	hue	sanf1258	True
San Dionisio del Mar Huave	hve	sand1278	True
Samburu	saq	samb1315	True
Samba Daka	ccg	samb1311	True
Samaritan	smp	sama1313	True
Salka-Tsishingini	tsw	tsis1238	True
Sakizaya	szy	saki1247	True
Sakha	sah	yaku1245	True
Saisiyat	xsy	sais1237	True
