Language	ISO 639-3	Glottocode	high-unrounded
Limilngan	lmc	nucl1327	True
Limbum	lmp	limb1268	True
Limbu	lif	limb1266	True
Liko	lik	lika1243	True
Libyan Arabic	ayl	liby1240	True
Liangmai Naga	njn	lian1251	True
Lhomi	lhm	lhom1239	True
Lezghian	lez	lezg1247	True
Lewotobi	lwt	lewo1244	True
Lewo	lww	lewo1242	True
Leti (Indonesia)	lti	leti1246	True
Lengua Sur	enx	sout2989	True
Lengo	lgr	leng1259	True
Lenakel	tnl	lena1238	True
Lembena	leq	lemb1266	True
Lelepa	lpa	lele1267	True
Lelemi	lef	lele1264	True
Lele (Papua New Guinea)	lle	lele1270	True
Lele (Chad)	lln	lele1276	True
Lega-Shabunda	lea	lega1249	True
Lega-Mwenga	lgm	lega1250	True
Lavukaleve	lvk	lavu1241	True
Laven	lbo	lave1248	True
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	True
Larteh	lar	lart1238	True
Larike-Wakasihu	alo	lari1255	True
Lardil	lbz	lard1243	True
Laragia	lrg	lara1258	True
Lao	lao	laoo1244	True
Lango (Uganda)	laj	lang1324	True
Langi	lag	lang1320	True
Lampung Api	ljp	lamp1243	True
Lamjung-Melamchi Yolmo	scp	hela1238	True
Lamenu	lmu	lame1260	True
Lambadi	lmn	lamb1269	True
Lamang	hia	lama1288	True
Lamaholot	slp	lama1277	True
Lama (Togo)	las	lama1275	True
Lakkia	lbc	lakk1238	True
Lake Miwok	lmw	lake1258	True
Lahta-Zayein Karen	kxk	zaye1235	True
Lachi	lbt	lach1248	True
Labu	lbu	labu1248	True
Laari	ldi	laar1238	True
Kyerung	kgy	kyer1238	True
Kwomtari	kwo	nucl1593	True
Kwoma	kmo	kwom1262	True
Kwini	gww	kwin1241	True
Kwaza	xwa	kwaz1243	True
Kwaya	kya	kway1241	True
Kwamera	tnk	kwam1252	True
Kwama	kmq	kwam1249	True
Kwakum	kwu	kwak1266	True
Kwaio	kwd	kwai1243	True
Kwadi	kwz	kwad1244	True
Kuy	kdt	kuyy1240	True
Kutep	kub	kute1248	True
Kutenai	kut	kute1249	True
Kusunda	kgg	kusu1250	True
Kusaal	kus	kusa1250	True
Kurtokha	xkz	kurt1248	True
Kuria	kuj	kuri1259	True
Kupsabiny	kpz	kups1238	True
Kuot	kto	kuot1243	True
Kuni-Boazi	kvg	kuni1265	True
Kung	kfl	kung1260	True
Kunbarlang	wlg	kunb1251	True
Kumarbhag Paharia	kmj	kuma1274	True
Kumaoni	kfy	kuma1273	True
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	True
Kulung (Nigeria)	bbu	kulu1255	True
Kulsab	faj	fait1240	True
Kullu Pahari	kfx	kull1236	True
Kula (Indonesia)	tpg	kula1280	True
Kuku-Yalanji	gvn	kuku1273	True
Kuku-Uwanh	uwa	kuku1280	True
Kuku	ukv	kuku1285	True
Kuikúro-Kalapálo	kui	kuik1246	True
Kui (Indonesia)	kvd	kuii1253	True
Kuanyama	kua	kuan1247	True
Krio	kri	krio1253	True
Kriang-Khlor	ngt	ngeq1245	True
Koyraboro Senni Songhai	ses	koyr1242	True
Koyra Chiini Songhay	khq	koyr1240	True
Kove	kvc	kove1237	True
Kotiria	gvc	guan1269	True
Koti	eko	koti1238	True
Kosraean	kos	kosr1238	True
Koshin	kid	kosh1246	True
Kosarek Yale	kkl	kosa1249	True
Korra Koraga	kfd	korr1238	True
Korowai	khe	koro1312	True
Koroshi	ktl	koro1296	True
Korop	krp	koro1304	True
Koromfé	kfz	koro1298	True
Korlai Portuguese	vkp	korl1238	True
Korafe-Yegha	kpr	kora1294	True
Konyak Naga	nbe	kony1248	True
Konso	kxc	kons1243	True
Konni	kma	konn1242	True
Konkan Marathi	knn	konk1267	True
Konai	kxw	kona1242	True
Komo (Sudan)	xom	komo1258	True
Kombio	xbi	komb1272	True
Kombai	tyn	komb1274	True
Komba	kpf	komb1273	True
Kom (India)	kmm	komi1270	True
Koluwawa	klx	kolu1245	True
Kol (Cameroon)	biw	kolc1235	True
Kokota	kkk	koko1269	True
Koko Dhawa	NOCODE_Koko-Dhawa	koko1272	True
Kok-Nar	gko	kokn1236	True
Kok Borok	trp	kokb1239	True
Koi	kkt	koii1238	True
Koho	kpm	koho1244	True
Kohistani Shina	plk	kohi1248	True
Koch	kdq	koch1250	True
Kobon	kpw	kobo1249	True
Koasati	cku	koas1236	True
Kistane	gru	kist1241	True
Kirghiz	kir	kirg1245	True
Kipsigis	sgc	kips1239	True
Kimaragang	kqr	kima1244	True
Kilmeri	kih	kilm1241	True
Kiliwa	klb	kili1268	True
Kilivila	kij	kili1267	True
Kilen	NOCODE_Kilen	kile1243	True
Kickapoo	kic	kick1244	True
Khün	kkh	khun1259	True
Khroskyabs	jiq	guan1266	True
Khowar	khw	khow1242	True
Khoibu	nkb	khoi1251	True
Khmu	kjg	khmu1256	True
Khinalugh	kjj	khin1240	True
Khezha Naga	nkh	khez1235	True
Khengkha	xkf	khen1241	True
Kharam Naga	kfw	khar1288	True
Khandesi	khn	khan1272	True
Khana	ogo	khan1278	True
Khamba	kbg	kham1283	True
Khaling	klr	khal1275	True
Khakas	kjh	khak1248	True
Kesawai	xes	kesa1244	True
Kerinci	kvr	keri1250	True
Kenuzi-Dongola	kzh	kenu1236	True
Kele (Papua New Guinea)	sbc	kele1258	True
Kelantan-Pattani Malay	mfa	patt1249	True
Ke'o	xxk	keoo1238	True
Kayardild	gyd	kaya1319	True
Kayan Lahwi	pdu	kaya1315	True
Kawi	kaw	kawi1241	True
Katso	kaf	kats1235	True
Katkari	kfu	katk1238	True
Kathmandu Valley Newari	new	newa1246	True
Kathlamet	NOCODE_Kathlamet	kath1253	True
Kashmiri	kas	kash1277	True
Kashaya	kju	kash1280	True
Karo (Ethiopia)	kxh	karo1297	True
Karo (Brazil)	arr	karo1305	True
Karitiâna	ktn	kari1311	True
Karamojong	kdj	kara1483	True
Karajá	kpj	kara1500	True
Karadjeri	gbd	kara1476	True
Karachay-Balkar	krc	kara1465	True
Kara-Kalpak	kaa	kara1467	True
Kara (Papua New Guinea)	leu	kara1486	True
Kapriman	dju	kapr1245	True
Kaonde	kqn	kaon1241	True
Kaninuwa	wat	kani1281	True
Kangri	xnr	kang1280	True
Kanashi	xns	kana1283	True
Kanakanavu	xnb	kana1286	True
Kamula	xla	kamu1260	True
Kamu	xmu	kamu1258	True
Kambera	xbr	kamb1299	True
Kambaata	ktb	kamb1316	True
Kamasau	kms	kama1367	True
Kamas-Koibal	xas	kama1351	True
Kamang	woi	kama1365	True
Kam	kdx	kamm1249	True
Kalkutung	ktg	kalk1246	True
Kalispel-Pend d'Oreille	fla	kali1308	True
Kalanga	kck	kala1384	True
Kalamang	kgv	kara1499	True
Kakua	cbv	cacu1241	True
Kakabe	kke	kaka1265	True
Kajkavian	kjv	kajk1237	True
Kairiru	kxa	kair1263	True
Kaike	kzq	kaik1246	True
Kagulu	kki	kagu1239	True
Kagayanen	cgc	kaga1256	True
Kafoa	kpu	kafo1240	True
Kaera	jka	kaer1234	True
Kado	kdv	kado1242	True
Kadiwéu	kbc	kadi1248	True
Kadar	kej	kada1242	True
Kacipo-Balesi	koe	kaci1244	True
Kachchi	kfr	kach1277	True
Kachama-Ganjule-Haro	kcx	kach1284	True
Kabikabi	gbw	kabi1260	True
Kaba	ksp	kaba1281	True
Juquila Mixe	mxq	juqu1238	True
Judeo-Persian	jpr	jude1257	True
Judeo-Moroccan Arabic	aju	jude1265	True
Juang	jun	juan1238	True
Jowulu	jow	jowu1238	True
Jola-Fonyi	dyo	jola1263	True
Jju	kaj	jjuu1238	True
Jita	jit	jita1239	True
Jina	jia	jina1244	True
Jiba	juo	jiba1237	True
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	jewi1240	True
Jerung	jee	jeru1240	True
Jehai	jhi	jeha1242	True
Jeh	jeh	jehh1245	True
Jedek	NOCODE_Jedek	jede1239	True
Jebero	jeb	jebe1250	True
Jaunsari	jns	jaun1243	True
Jaru	ddj	jaru1254	True
Jarawa (India)	anq	jara1245	True
Jarai	jra	jara1266	True
Jaqaru	jqr	jaqa1244	True
Japhug	NOCODE_Japhug	japh1234	True
Jamsay Dogon	djm	jams1239	True
Jambi Malay	jax	jamb1236	True
Jalkunan	bxl	jalk1242	True
Jah Hut	jah	jahh1242	True
Izi-Ezaa-Ikwo-Mgbo	izi	izie1238	True
Ixtenco Otomi	otz	ixte1237	True
Iwal	kbm	iwal1237	True
Itzá	itz	itza1241	True
Itbayat	ivv	ivat1242	True
Isimjeega-Rootigaanga	NOCODE_Isimjeega	isim1234	True
Iraya	iry	iray1237	True
Irarutu	irh	irar1238	True
Iquito	iqu	iqui1243	True
Ipai	NOCODE_Ipai	ipai1240	True
Inter-Zab Jewish Neo-Aramaic	aij	lish1245	True
Inor	ior	inor1238	True
Ingush	inh	ingu1240	True
Ineseño	inz	ines1240	True
Indus Kohistani	mvy	indu1241	True
Imonda	imn	imon1245	True
Imbongu	imo	imbo1238	True
Imbabura Highland Quichua	qvi	imba1240	True
Ilongot	ilk	ilon1239	True
Ili'uun	ilu	iliu1237	True
Ili Turki	ili	ilit1241	True
Ikulu	ikl	ikul1238	True
Ikoma-Nata	ntk	ikom1245	True
Ik	ikx	ikkk1242	True
Igede	ige	iged1239	True
Igala	igl	igal1242	True
Idun	ldb	idun1241	True
Idu	clk	idum1241	True
Ida'an	dbj	idaa1241	True
Ibibio	ibb	ibib1240	True
Iban	iba	iban1264	True
Ibaloi	ibl	ibal1244	True
Iatmul	ian	iatm1242	True
I'saka	ksi	kris1246	True
Hup	jup	hupd1244	True
Hungarian	hun	hung1274	True
Hung	hnu	hung1275	True
Hun-Saare	dud	huns1239	True
Humburi Senni Songhay	hmb	humb1243	True
Huli	hui	huli1244	True
Hulaulá	huy	hula1244	True
Huichol	hch	huic1243	True
Huba	hbb	huba1236	True
Huarijio	var	huar1255	True
Huambisa	hub	huam1247	True
Huallaga Huánuco Quechua	qub	hual1241	True
Hozo	hoz	hozo1236	True
Hoava	hoa	hoav1238	True
Hmong Daw	mww	hmon1333	True
Hlai	lic	hlai1239	True
Hinuq	gin	hinu1240	True
Hills Karbi	mjw	karb1241	True
Highland Popoluca	poi	high1276	True
Hezhou	NOCODE_Hezhou	hezh1244	True
Herero	her	here1253	True
Hdi	xed	hdii1240	True
Hawu	hvn	sabu1255	True
Hatang Kayi	agv	remo1247	True
Haryanvi	bgc	hary1238	True
Hanga Hundi	wos	hang1263	True
Hamer-Banna	amf	hame1242	True
Halia	hla	hali1244	True
Hadza	hts	hadz1240	True
Hadrami Arabic	ayh	hadr1236	True
Hadothi	hoj	hado1235	True
Gyele	gyi	gyel1242	True
Gusii	guz	gusi1247	True
Guruntum-Mbaaru	grd	guru1271	True
Gurung	gvr	guru1261	True
Gurani	hac	gura1251	True
Guragone	gge	gura1252	True
Gumawana	gvs	guma1254	True
Gulf Coast French	NOCODE_Gulf-Coast-French	gulf1242	True
Gujari	gju	guja1253	True
Guiqiong	gqi	guiq1238	True
Gugu Badhun	gdc	gugu1253	True
Gude	gde	gude1246	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True
Guató	gta	guat1253	True
Grenadian Creole English	gcl	gren1247	True
Gourmanchéma	gux	gour1243	True
Gooniyandi	gni	goon1238	True
Gonja	gjn	gonj1241	True
Golin	gvf	goli1247	True
Gofa	gof	gofa1235	True
Goemai	ank	goem1240	True
Godié	god	godi1239	True
Goan Konkani	gom	goan1235	True
Glavda	glw	glav1244	True
Gitxsan	git	gitx1241	True
Girirra	gii	giri1245	True
Gilit Mesopotamian Arabic	acm	meso1252	True
Gidar	gid	gida1247	True
Ghomara	gho	ghom1257	True
Ghadames	gha	ghad1239	True
German Northern Low Saxon	frs	nort2628	True
Gedeo	drs	gede1246	True
Gebe	gei	gebe1237	True
Gbaya-Mbodomo	gmm	gbay1281	True
Gbaya-Bossangoa	gbp	gbay1287	True
Gbari	gby	gbar1246	True
Gazi	gzi	gazi1243	True
Gayo	gay	gayo1244	True
Gavião Do Jiparaná	gvo	gavi1246	True
Garig-Ilgar	ilg	gari1253	True
Garawa	wrk	gara1269	True
Gapapaiwa	pwg	gapa1238	True
Gants	gao	gant1244	True
Galo	adl	galo1242	True
Galibi Carib	car	gali1262	True
Gagauz	gag	gaga1249	True
Gagadu	gbu	gaga1251	True
Gade	ged	gade1242	True
Gade Lohar	gda	gade1236	True
Gaa	ttb	gaaa1245	True
Ga'anda	gqa	gaan1243	True
Fwe	fwe	fwee1238	True
Fur	fvr	furr1244	True
Fungwa	ula	fung1245	True
Fuliiru	flr	fuli1240	True
Forest Nenets	NOCODE_Forest-Nenets	fore1274	True
Forest Enets	enf	fore1265	True
Fore	for	fore1270	True
Foodo	fod	food1238	True
Fon	fon	fonn1241	True
Finallig	bkb	fina1242	True
Filomeno Mata Totonac	tlp	filo1235	True
Fayu	fau	fayu1238	True
Fataluku	ddg	fata1247	True
Faroese	fao	faro1244	True
Faliscan	xfa	fali1291	True
Falam Chin	cfm	fala1243	True
Faiwol	fai	faiw1243	True
Faifi	fif	faif1234	True
Eyak	eya	eyak1241	True
Ewondo	ewo	ewon1239	True
Evenki	evn	even1259	True
Even	eve	even1260	True
Etulo	utr	etul1245	True
Etruscan	ett	etru1241	True
Eton-Mengisa	eto	eton1253	True
Esselen	esq	esse1238	True
Ese Ejja	ese	esee1248	True
Esan	ish	esan1238	True
Erzya	myv	erzy1239	True
Ersu	ers	ersu1241	True
Epena	sja	epen1239	True
Engenni	enn	enge1239	True
Emerillon	eme	emer1243	True
Eleme	elm	elem1253	True
Ekpeye	ekp	ekpe1253	True
Ekari	ekg	ekar1243	True
Ejagham	etu	ejag1239	True
Eipomek	eip	eipo1242	True
Ebira	igb	ebir1243	True
Eastern Tamang	taj	east2347	True
Eastern Pomo	peb	east2545	True
Eastern Oromo	hae	east2652	True
Eastern Ojibwa	ojg	east2542	True
Eastern Newari	NOCODE_Dolakha-Newari	east2773	True
Eastern Lawa	lwl	east2330	True
Eastern Egyptian Bedawi Arabic	avl	east2690	True
Eastern Cham	cjm	east2563	True
Eastern Bru	bru	east2332	True
Eastern Arrernte	aer	east2379	True
Eastern Abenaki	aaq	east2544	True
East-Central Tangkhul Naga	nmf	tang1336	True
East Yugur	yuy	east2337	True
East Taa	nmn	huaa1248	True
East Nyala	nle	east2409	True
East Makian	mky	east2440	True
East Kewa	kjs	east2516	True
East Ambae	omb	east2443	True
Dâw	kwa	daww1239	True
Dzongkha	dzo	dzon1239	True
Dyirbal	dbl	dyir1250	True
Dyaabugay	dyy	dyaa1242	True
Dura	drq	dura1244	True
Dupaninan Agta	duo	dupa1235	True
Dungar Varli	vav	varl1238	True
Duna	duc	duna1248	True
Dumi	dus	dumi1241	True
Doyayo	dow	doya1240	True
Donno So Dogon	dds	donn1239	True
Dongxiang	sce	dong1285	True
Domung	dev	domu1246	True
Domari	rmt	doma1258	True
Dom	doa	domm1246	True
Dolgan	dlg	dolg1241	True
Dogul Dom Dogon	dbg	dogu1235	True
Dobel	kvo	dobe1238	True
Djingili	jig	djin1251	True
Djeebbana	djj	djee1236	True
Dizin	mdx	dizi1235	True
Diriku	diu	diri1252	True
Dirasha	gdl	dira1242	True
Dimli	diq	diml1238	True
Dime	dim	dime1235	True
Dii	dur	diii1241	True
Dieri	dif	dier1241	True
Dibole	bvx	dibo1245	True
Dhundari	dhd	dhun1238	True
Dhofari Arabic	adf	dhof1235	True
Dhimal	dhi	dhim1246	True
Dhatki	mki	dhat1238	True
Dhao	nfa	dhao1237	True
Dhanki	dhn	dhan1264	True
Dezfuli-Shushtari	def	dezf1238	True
Desano	des	desa1247	True
Dera (Indonesia)	kbv	dera1245	True
Degema	deg	dege1246	True
Dazaga	dzg	daza1242	True
Darma	drd	darm1243	True
Darai	dry	dara1250	True
Dangaleat	daa	dang1274	True
Dampelas	dms	damp1237	True
Daman-Diu Portuguese	idb	dama1278	True
Dakpakha	dka	dakp1242	True
Dakaka	bpa	daka1243	True
Dahalo	dal	daha1245	True
Dagik	dec	dagi1241	True
Dagbani	dag	dagb1246	True
Daats'iin	dtn	daat1234	True
Daasanach	dsh	daas1238	True
Daai Chin	dao	daai1236	True
Cypriot Arabic	acy	cypr1248	True
Cupeño	cup	cupe1243	True
Culina	cul	culi1244	True
Cubeo	cub	cube1242	True
Crow	cro	crow1244	True
Crimean Tatar	crh	crim1257	True
Cowlitz	cow	cowl1242	True
Copala Triqui	trc	copa1237	True
Copainalá Zoque	zoc	copa1236	True
Continental Southern Italian	nap	neap1235	True
Comox	coo	como1259	True
Comanche	com	coma1245	True
Columbia-Wenatchi	col	colu1241	True
Colonia Tovar German	gct	colo1254	True
Coeur d'Alene	crd	coeu1236	True
Cocama-Cocamilla	cod	coca1259	True
Coatlán Mixe	mco	coat1238	True
Classical Mandaic	myz	clas1253	True
Clallam	clm	clal1241	True
Cicipu	awc	cici1237	True
Cia-Cia	cia	ciac1237	True
Chácobo	cao	chac1251	True
Chuwabu	chw	chuw1238	True
Chuvash	chv	chuv1255	True
Chuukese	chk	chuu1238	True
Church Slavic	chu	chur1257	True
Chumburung	ncu	chum1261	True
Chulym Turkic	clw	chul1246	True
Chuj	cac	chuj1250	True
Chrau	crw	chra1242	True
Chothe	nct	chot1239	True
Chong of Chanthaburi	cog	chon1284	True
Cholón	cht	chol1284	True
Chol	ctu	chol1282	True
Chitwania Tharu	the	chit1274	True
Chitimacha	ctm	chit1248	True
Chintang	ctn	chhi1245	True
Chimwiini	NOCODE_Chimwiini	chim1312	True
Chimariko	cid	chim1301	True
Chimalapa Zoque	zoh	chim1300	True
Chepang	cdm	chep1245	True
Cheke Holo	mrn	chek1238	True
Chechen	che	chec1245	True
Che	ruk	chee1238	True
Chambeali	cdh	cham1307	True
Chamalal	cji	cham1309	True
Chaldean Neo-Aramaic	cld	chal1275	True
Chakma	ccp	chak1266	True
Chakali	cli	chak1271	True
Chadong	cdy	chad1240	True
Chadian Arabic	shu	chad1249	True
Central Tarahumara	tar	cent2131	True
Central Tagbanwa	tgt	cent2090	True
Central Romani	rmc	carp1235	True
Central Okinawan	ryu	cent2126	True
Central Moroccan Berber	tzm	cent2194	True
Central Mfumte	NOCODE_Central-Mfumte	cent2312	True
Central Melanau	mel	cent2101	True
Central Mansi	NOCODE_Central-Mansi	cent2322	True
Central Lembata-Lewokukun	lvu	levu1239	True
Central Kanuri	knc	cent2050	True
Central East Middle German	sxu	uppe1400	True
Central Dagaare	dga	sout2789	True
Central Bai	bca	cent2004	True
Cashibo-Cacataibo	cbr	cash1251	True
Caribbean Hindustani	hns	cari1275	True
Caquinte	cot	caqu1242	True
Cappadocian Greek	cpg	capp1239	True
Camsá	kbh	cams1241	True
Campidanese Sardinian	sro	camp1261	True
Camarines Norte Agta	abd	cama1250	True
Cajun French	frc	caju1236	True
Caddo	cad	cadd1256	True
Caac	msq	caac1237	True
C'lela	dri	clel1238	True
Byangsi	bee	byan1241	True
Buwal	bhs	buwa1243	True
Bussa	dox	buss1239	True
Busoa	bup	buso1238	True
Bure	bvh	bure1242	True
Bunoge Dogon	dgb	buno1241	True
Bundeli	bns	bund1253	True
Bunan	bfu	gahr1239	True
Bunak	bfn	buna1278	True
Bunaba	bck	buna1275	True
Bumthangkha	kjz	bumt1240	True
Bullom So	buy	bull1247	True
Buli (Ghana)	bwu	buli1254	True
Bukusu	bxk	buku1249	True
Bukiyip	ape	buki1249	True
Bujhyal	byh	bujh1238	True
Budu	buu	budu1250	True
Brokskat	bkk	brok1247	True
Brokpake	sgt	brok1248	True
Breton	bre	bret1244	True
Bouyei	pcc	bouy1240	True
Bororo	bor	boro1282	True
Boro (Ethiopia)	bwo	boro1277	True
Bori-Karko	adi	bori1243	True
Bora	boa	bora1263	True
Bonggi	bdg	bong1289	True
Bonan	peh	bona1250	True
Bolinao	smk	boli1256	True
Bolgo	bvo	bolg1251	True
Bokar-Ramo	NOCODE_Bokar	boka1249	True
Bo-Ung	mux	boun1245	True
Blablanga	blp	blab1237	True
Bislama	bis	bisl1239	True
Binongan Itneg	itb	bino1237	True
Bininj Kun-Wok	gup	gunw1252	True
Bini	bin	bini1246	True
Bilua	blb	bilu1245	True
Bila	bip	bila1255	True
Bih	ibh	biha1246	True
Bierebo	bnk	bier1244	True
Betta Kurumba	xub	bett1235	True
Beria	zag	zagh1240	True
Berbice Creole Dutch	brc	berb1259	True
Bengali	ben	beng1280	True
Bench	bcq	benc1235	True
Bena (Tanzania)	bez	bena1262	True
Ben Tey Dogon	dbt	bent1238	True
Bembe	bmb	bemb1255	True
Belize Kriol English	bzj	beli1260	True
Belep	yly	nyal1254	True
Belanda Bor	bxb	bela1256	True
Befang	bby	befa1241	True
Bebele	beb	bebe1248	True
Bebe	bzv	bebe1250	True
Beaver	bea	beav1236	True
Bauni	bpe	wara1302	True
Batuley	bay	batu1258	True
Bats	bbl	bats1242	True
Bati (Cameroon)	btc	bati1251	True
Batak Toba	bbc	bata1289	True
Batak Karo	btx	bata1293	True
Basque	eus	basq1248	True
Baré	bae	bare1276	True
Baruga	bjz	baru1269	True
Barok	bjk	baro1253	True
Bariai	bch	bari1286	True
Bari	bfa	bari1284	True
Bardi	bcj	bard1255	True
Barbareño	boi	barb1263	True
Barain	bva	bare1279	True
Barai	bbb	nucl1630	True
Baraamu	brd	bara1357	True
Bannoni	bcm	bann1247	True
Bankan Tey Dogon	dbw	bank1259	True
Baniva de Maroa	gae	guar1293	True
Bangime	dba	bang1363	True
Bandial	bqj	band1340	True
Bamun	bax	bamu1253	True
Bambili-Bambui	baw	bamb1266	True
Bambassi	myf	bamb1262	True
Bambam	ptu	bamb1270	True
Bambalang	bmo	bamb1265	True
Balinese	ban	bali1278	True
Balantak	blz	bala1315	True
Balangao	blw	bala1310	True
Bakole	kme	bako1250	True
Bakoko	bkh	bako1249	True
Bakhtiari	bqi	bakh1245	True
Baharna Arabic	abv	baha1259	True
Baha Buyang	yha	baha1256	True
Bagri	bgq	bagr1243	True
Bagirmi	bmi	bagi1246	True
Bafut	bfd	bafu1246	True
Bafaw-Balong	bwt	bafa1247	True
Bafanji	bfj	bafa1249	True
Badimaya	bia	badi1246	True
Bade	bde	bade1248	True
Babine	bcr	babi1235	True
Babanki	bbk	baba1266	True
Baba	bbw	baba1264	True
Baba Malay	mbf	baba1267	True
Baa	kwb	kwaa1262	True
Ayoreo	ayo	ayor1240	True
Axamb	ahb	axam1237	True
Awutu	afu	awut1241	True
Awtuw	kmn	awtu1239	True
Awngi	awn	awng1244	True
Awjilah	auj	awji1241	True
Awiyaana	auy	awiy1238	True
Awetí	awe	awet1244	True
Aweer	bob	awee1242	True
Awar	aya	awar1249	True
Awadhi	awa	awad1243	True
Awad Bing	bcu	awad1244	True
Awa-Cuaiquer	kwi	awac1239	True
Awa (Papua New Guinea)	awb	awap1236	True
Avokaya	avu	avok1242	True
Avava	tmb	katb1237	True
Avatime	avn	avat1244	True
Auye	auu	auye1238	True
Aukan	djk	ndyu1242	True
Au	avt	auuu1241	True
Atzingo Matlatzinca	ocu	atzi1235	True
Atong (India)	aot	aton1241	True
Atayal	tay	atay1247	True
Ata Manobo	atd	atam1240	True
Assiniboine	asb	assi1247	True
Ashéninka Perené	prq	ashe1272	True
Arta	atz	arta1239	True
Aromanian	rup	arom1237	True
Arizona Tewa	NOCODE_Arizona-Tewa	ariz1237	True
Arigidi	aqg	arig1246	True
Arhuaco	arh	arhu1242	True
Arbore	arv	arbo1245	True
Arapaho	arp	arap1274	True
Araki	akr	arak1252	True
Apma	app	apma1240	True
Apinayé	apn	apin1244	True
Apalaí	apy	apal1257	True
Anufo	cko	anuf1239	True
Anu	anl	anuu1241	True
Antigua and Barbuda Creole English	aig	anti1245	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	True
Anindilyakwa	aoi	anin1240	True
Anii	blo	anii1245	True
Ani Phowa	ypn	anip1235	True
Anguthimri	awg	angu1242	True
Angor	agg	ango1254	True
Angami Naga	njm	anga1288	True
Aneityum	aty	anei1239	True
Andalusian Arabic	xaa	anda1287	True
Anamuxra	imi	anam1248	True
Amur Nivkh	niv	gily1242	True
Amo	amo	amoo1242	True
Amkoe	huc	hoaa1235	True
Ami	amy	amii1238	True
Amele	aey	amel1241	True
Ambulas	abt	ambu1247	True
Ambonese Malay	abs	ambo1250	True
Ambai	amk	amba1265	True
Amanab	amn	aman1265	True
Alyawarr	aly	alya1239	True
Ale	gwd	gaww1239	True
Alawa	alh	alaw1244	True
Alamblak	amp	alam1246	True
Alabama	akz	alab1237	True
Alaba-K'abeena	alw	alab1254	True
Akuntsu	aqz	akun1241	True
Akum	aku	akum1238	True
Akoose	bss	akoo1248	True
Aklanon	akl	akla1240	True
Akawaio	ake	akaw1239	True
Aka-Jeru	akj	akaj1239	True
Aka-Bea	abj	akab1249	True
Ajyíninka Apurucayali	cpc	ajyi1238	True
Ainu (China)	aib	ainu1251	True
Aimele	ail	aime1238	True
Ahom	aho	ahom1240	True
Agutaynen	agn	agut1237	True
Aguaruna	agr	agua1253	True
Agob	kit	agob1244	True
Aghwan	xag	aghw1237	True
Aghu	ahh	aghu1255	True
Aghem	agq	aghe1239	True
Afrikaans	afr	afri1274	True
Afar	aar	afar1241	True
Adzera	adz	adze1240	True
Adnyamathanha	adt	adny1235	True
Adilabad Gondi	wsg	utno1237	True
Adangme	ada	adan1247	True
Adang	adn	adan1251	True
Adamawa Fulfulde	fub	adam1253	True
Achuar-Shiwiar	acu	achu1248	True
Acehnese	ace	achi1257	True
Abé	aba	abee1242	True
Abun	kgr	abun1252	True
Abu' Arapesh	aah	abua1245	True
Abaza	abq	abaz1241	True
Abawiri	flh	foau1240	True
Abau	aau	abau1245	True
A'ou	aou	aoua1234	True
//Ani	hnh	anii1246	True
'Are'are	alu	area1240	True
Önge	oon	onge1236	False
Àhàn	ahn	ahan1244	False
Záparo	zro	zapa1253	False
Zuni	zun	zuni1245	False
Zulu	zul	zulu1248	False
Zulgo-Gemzek	gnd	zulg1242	False
Zou	zom	zouu1235	False
Zoroastrian Dari	gbz	zoro1242	False
Zoogocho Zapotec	zpq	zoog1238	False
Zimbabwean Ndebele	nde	nort2795	False
Zia	zia	ziaa1250	False
Zhangzhung	xzh	zhan1239	False
Zeme Naga	nzm	zeme1240	False
Zemba	dhm	zemb1238	False
Zbu	NOCODE_Zbu	zbua1234	False
Zarma-Kaado	dje	zarm1239	False
Zaniza Zapotec	zpw	zani1235	False
Zande	zne	zand1248	False
Zakhring	zkr	zakh1243	False
Zacatepec Chatino	ctz	zaca1242	False
Zabana	kji	zaba1237	False
Yámana	yag	yama1264	False
Yuwaalaraay-Gamilaraay	kld	gami1243	False
Yurok	yur	yuro1248	False
Yuputhimri	NOCODE_Yuputhimri	yupu1235	False
Yulu	yul	yulu1243	False
Yukuben	ybl	yuku1243	False
Yucuna	ycn	yucu1253	False
Yucatec Maya	yua	yuca1254	False
Younuo Bunu	buh	youn1235	False
Yosondúa Mixtec	mpm	yoso1239	False
Yoruba	yor	yoru1245	False
Yora	mts	yora1241	False
Yopno	yut	yopn1238	False
Yonggom	yon	yong1280	False
Yom	pil	yomm1242	False
Yokuts	yok	yoku1256	False
Yogad	yog	yoga1237	False
Yiwom	gek	yiwo1237	False
Yinggarda	yia	ying1247	False
Yessan-Mayo	yss	yess1239	False
Yaygir	xya	yayg1236	False
Yaweyuha	yby	yawe1241	False
Yawa	yva	nucl1454	False
Yaqui	yaq	yaqu1251	False
Yao	yao	yaoo1241	False
Yanyuwa	jao	yany1243	False
Yankunytjatjara	kdd	yank1247	False
Yanesha'	ame	yane1238	False
Yandruwandha	ynd	yand1253	False
