Language	ISO 639-3	Glottocode	animacy	classifier	gender	nominal_classification	noun_class
Southern Qiang	qxs	sout2728	True	True	True	False	True
South Efate	erk	sout2856	True	True	True	False	True
Sochiapam Chinantec	cso	soch1239	True	True	True	False	True
Siona-Tetete	snn	sion1247	False	True	True	True	True
Siar-Lak	sjr	siar1238	True	True	True	False	True
Shipibo-Conibo	shp	ship1254	True	True	True	False	True
Sarsi	srs	sars1236	True	True	True	False	True
San Dionisio del Mar Huave	hve	sand1278	True	True	True	False	True
Saaroa	sxr	saar1237	True	True	True	False	True
Quapaw	qua	quap1242	True	True	True	False	True
Qaqet	byx	qaqe1238	False	True	True	True	True
Q'anjob'al	kjb	qanj1241	True	True	True	False	True
Popti'	jac	popt1235	True	True	True	False	True
Piscataway	psy	pisc1239	True	True	True	False	True
Pilagá	plg	pila1245	False	True	True	True	True
Papapana	ppn	papa1265	True	True	True	False	True
Panare	pbh	enap1235	True	True	True	False	True
Pahari Newari	phj	paha1257	True	True	True	False	True
Ocotepec Mixtec	mie	ocot1243	True	True	True	False	True
Northwestern Ojibwa	ojb	nort2961	True	True	True	False	True
Northern Pumi	pmi	nort2723	True	True	True	False	True
Northern Dagara	dgi	nort2780	True	True	True	False	True
North Slavey	scs	nort2942	True	True	True	False	True
Nopala Chatino	cya	nopa1235	True	True	True	False	True
Nonuya	noj	nonu1241	False	True	True	True	True
Njanga	NOCODE_Njanga	njan1240	False	True	True	True	True
Ngalkbun	ngk	ngal1292	True	True	True	False	True
Neverver	lgk	ling1265	True	True	True	False	True
Nanti	cox	nant1250	True	True	True	False	True
Nanggu	ngr	nang1262	False	True	True	True	True
Namuyi	nmy	namu1246	True	True	True	False	True
Mwotlap	mlv	motl1237	True	True	True	False	True
Murrinh-Patha	mwf	murr1258	False	True	True	True	True
Munsee	umu	muns1251	True	True	True	False	True
Momu-Fas	fqs	fass1245	True	True	True	True	False
Mocoví	moc	moco1246	False	True	True	True	True
Minigir	vmg	mini1251	True	True	True	False	True
Michif	crg	mich1243	True	True	True	False	True
Mekeo	mek	meke1243	True	True	True	False	True
Matbat	xmt	matb1237	True	True	True	False	True
Martuthunira	vma	mart1255	True	True	True	False	True
Marithiel	mfr	mari1424	True	True	True	False	True
Marind	mrz	nucl1622	True	True	True	False	True
Maonan	mmd	maon1241	True	True	True	False	True
Mandara	tbf	mand1440	True	True	True	False	True
Manambu	mle	mana1298	True	True	True	False	True
Mamaindé	wmd	mama1278	True	True	True	False	True
Malinaltepec Me'phaa	tcf	mali1285	True	True	True	False	True
Mali	gcc	mali1284	False	True	True	True	True
Mafea	mkv	mafe1237	True	True	True	False	True
Lolopo	ycl	lolo1259	True	True	True	False	True
Logba	lgq	logb1245	True	True	True	False	True
Lhomi	lhm	lhom1239	True	True	True	False	True
Lewo	lww	lewo1242	True	True	True	False	True
Lengua Sur	enx	sout2989	True	True	True	False	True
Lengo	lgr	leng1259	True	True	True	False	True
Lele (Papua New Guinea)	lle	lele1270	True	True	True	False	True
Laven	lbo	lave1248	True	True	True	False	True
Larteh	lar	lart1238	True	True	True	False	True
Langi	lag	lang1320	True	False	True	True	True
Lamaholot	slp	lama1277	True	True	True	False	True
Lakkia	lbc	lakk1238	False	True	True	True	True
Kuku-Yalanji	gvn	kuku1273	True	True	True	False	True
Kuku-Uwanh	uwa	kuku1280	True	True	True	False	True
Kove	kvc	kove1237	True	True	True	False	True
Koti	eko	koti1238	True	True	True	False	True
Kipsigis	sgc	kips1239	True	True	True	False	True
Ket	ket	kett1243	True	True	True	False	True
Kensiu	kns	kens1248	True	True	True	False	True
Ke'o	xxk	keoo1238	True	True	True	False	True
Karadjeri	gbd	kara1476	True	True	True	False	True
Kaike	kzq	kaik1246	True	True	True	False	True
Jejara Naga	pzn	para1302	True	True	True	False	True
Japhug	NOCODE_Japhug	japh1234	True	True	True	False	True
Ivbie North-Okpela-Arhe	atg	ivbi1241	True	True	True	False	True
Itzá	itz	itza1241	True	True	True	False	True
Ingush	inh	ingu1240	True	False	True	True	True
Indo-Aryan Kinnauri	kjo	hari1246	True	True	True	False	True
Idun	ldb	idun1241	True	True	True	False	True
Ibibio	ibb	ibib1240	True	False	True	True	True
Huarijio	var	huar1255	True	True	True	False	True
Hozo	hoz	hozo1236	True	True	True	False	True
Gyele	gyi	gyel1242	True	True	True	False	True
Guragone	gge	gura1252	True	False	True	True	True
Gorowa	gow	goro1270	False	True	True	True	True
Goemai	ank	goem1240	False	True	True	True	True
Ghanongga	ghn	ghan1242	True	True	True	False	True
Gebe	gei	gebe1237	True	True	True	False	True
Gants	gao	gant1244	True	True	True	False	True
Eton-Mengisa	eto	eton1253	True	True	True	False	True
Esselen	esq	esse1238	True	True	True	False	True
Ese Ejja	ese	esee1248	False	True	True	True	True
Ejagham	etu	ejag1239	True	True	True	False	True
Eipomek	eip	eipo1242	True	True	True	False	True
Eastern Arrernte	aer	east2379	True	True	True	False	True
Djingili	jig	djin1251	True	False	True	True	True
Djambarrpuyngu	djr	djam1256	True	True	True	False	True
Dime	dim	dime1235	False	True	True	True	True
Dakaka	bpa	daka1243	True	True	True	False	True
Curripaco	kpc	curr1243	False	True	True	True	True
Chitwania Tharu	the	chit1274	True	True	True	False	True
Chilcotin	clc	chil1280	True	True	True	False	True
Cha'palaa	cbi	chac1249	True	True	True	False	True
Caquinte	cot	caqu1242	True	True	True	False	True
Caac	msq	caac1237	True	True	True	True	False
Buru (Indonesia)	mhs	buru1303	True	True	True	False	True
Bunaba	bck	buna1275	True	True	False	True	True
Bullom So	buy	bull1247	True	False	True	True	True
Bujhyal	byh	bujh1238	True	True	True	False	True
Bih	ibh	biha1246	False	True	True	True	True
Belep	yly	nyal1254	True	True	True	False	True
Belanda Bor	bxb	bela1256	True	True	True	False	True
Bats	bbl	bats1242	True	True	True	False	True
Bati (Cameroon)	btc	bati1251	True	False	True	True	True
Bariai	bch	bari1286	True	True	True	False	True
Barasana-Eduria	bsn	bara1380	True	True	True	False	True
Bamun	bax	bamu1253	True	False	True	True	True
Bambili-Bambui	baw	bamb1266	True	True	True	False	True
Babine	bcr	babi1235	True	True	True	False	True
Awetí	awe	awet1244	True	True	True	False	True
Ashéninka Perené	prq	ashe1272	False	True	True	True	True
Amis	ami	amis1246	True	True	True	False	True
Amele	aey	amel1241	True	True	True	False	True
Alamblak	amp	alam1246	True	True	True	False	True
Akuntsu	aqz	akun1241	True	True	True	False	True
Abau	aau	abau1245	True	True	True	False	True
Zoogocho Zapotec	zpq	zoog1238	False	True	True	False	True
Zigula-Mushungulu	ziw	zigu1244	True	False	True	False	True
Zialo	zil	zial1235	False	True	True	False	True
Zenzontepec Chatino	czn	zenz1235	True	True	True	False	False
Yonggom	yon	yong1280	True	False	True	False	True
Yintyinka-Ayabadhu	ayd	ayab1239	True	True	False	True	False
Yimas	yee	yima1243	True	False	True	False	True
Yemsa	jnj	yems1235	True	True	True	False	False
Yau (Morobe Province)	yuw	yaum1237	True	False	True	False	True
Yapese	yap	yape1248	False	True	True	False	True
Yanesha'	ame	yane1238	False	True	True	False	True
Yanda Dom Dogon	dym	yand1257	True	True	False	False	True
Yaminahua	yaa	yami1256	True	True	True	False	False
Yalahatan-Haruru-Awaiya	jal	yala1266	False	True	True	False	True
Yakkha	ybh	yakk1236	True	True	True	False	False
Yabem	jae	yabe1254	False	True	True	True	False
Woods Cree	cwd	wood1236	True	True	True	False	False
Western Tamang	tdg	west2415	True	False	True	False	True
Western Subanon	suc	west2557	True	True	False	False	True
Western Muria	mut	west2408	False	True	True	False	True
Western Minyag	wmg	west2417	True	True	True	False	False
Western Dani	dnw	west2594	True	True	True	False	False
Western Apache	apw	west2615	True	True	True	False	False
West Yugur	ybe	west2402	False	True	True	False	True
West Coast Bajau	bdr	west2560	True	True	False	False	True
Warungu	wrg	waru1264	True	False	True	False	True
Warrwa	wwr	warr1258	True	True	False	False	True
Waris	wrs	wari1266	False	True	True	False	True
Wari'	pav	wari1268	True	False	True	False	True
Waorani	auc	waor1240	False	True	True	False	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True	False	True	False	True
Wamey	cou	wame1240	False	True	True	False	True
Wambule	wme	wamb1257	False	True	True	False	True
Wageman	waq	wage1238	False	True	True	False	True
Vwanji	wbi	vwan1235	True	False	True	False	True
Vera'a	vra	vera1241	True	True	False	False	True
Vagla	vag	vagl1239	True	True	False	False	True
Vafsi	vaf	vafs1240	True	True	True	False	False
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	False	True	False	True
Urhobo	urh	urho1239	True	False	True	False	True
Urat	urt	urat1244	True	False	True	False	True
Ukrainian	ukr	ukra1253	True	True	True	False	False
Ughele	uge	ughe1237	False	True	True	False	True
Tyap	kcg	tyap1238	True	True	False	False	True
Tuwuli	bov	tuwu1238	True	False	True	False	True
Tuki	bag	tuki1240	False	True	True	False	True
Tukang Besi North	khc	tuka1248	True	True	False	False	True
Tucano	tuo	tuca1252	False	True	True	False	True
Totela	ttl	tote1238	True	False	True	False	True
Toposa	toq	topo1242	True	True	True	False	False
Toba	tob	toba1269	False	True	True	False	True
To'abaita	mlu	toab1237	True	True	True	False	False
Tlahuitoltepec Mixe	mxp	tlah1239	True	True	False	False	True
Tlachichilco Tepehua	tpt	tlac1235	True	True	True	False	False
Tiwi	tiw	tiwi1244	True	False	True	False	True
Tirax	mme	maee1241	True	True	True	False	False
Tikhak	NOCODE_Tikhak	tikh1243	False	True	True	False	True
Tiene	tii	tien1242	False	True	True	False	True
Thulung	tdh	thul1246	False	True	True	False	True
Ternate	tft	tern1247	False	True	True	False	True
Teribe	tfr	teri1250	True	True	True	False	False
Teop	tio	teop1238	True	False	True	False	True
Teiwa	twe	teiw1235	True	True	False	False	True
Tehit	kps	tehi1237	False	True	True	False	True
Tawala	tbo	tawa1275	True	False	True	False	True
Tataltepec Chatino	cta	tata1258	True	True	True	False	False
Tangam	NOCODE_Tangam	tang1377	True	True	True	False	False
Tanaina	tfn	tana1289	False	True	True	False	True
Tai Dam	blt	taid1247	False	True	False	True	True
Tafi	tcd	tafi1243	True	False	True	False	True
Tabo	knv	tabo1241	True	False	True	False	True
Tabasco Chontal	chf	taba1266	False	True	True	False	True
Sula	szn	sula1248	True	True	True	False	False
Sudest	tgo	sude1239	False	True	True	False	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True	False	True	False	True
Southern Nambikuára	nab	sout2994	False	True	True	False	True
Southern Kisi	kss	sout2778	True	False	True	False	True
Southern Alta	agy	sout2905	True	False	True	False	True
Southeast Pashayi	psi	sout2672	True	False	True	False	True
Southeast Ambrym	tvk	sout2859	True	True	True	False	False
Sonsorol	sov	sons1242	False	True	True	False	True
Skolt Sami	sms	skol1241	True	True	True	False	False
Siwai	siw	siwa1245	False	True	True	False	True
Sirajic	NOCODE_Sirajic	sira1263	False	True	True	False	True
Sipacapense	qum	sipa1247	True	True	False	False	True
Siamou	sif	siam1242	False	True	True	False	True
Shwe Palaung	pll	shwe1236	False	True	True	False	True
Shixing	sxg	shix1238	True	True	True	False	False
Serrano	ser	serr1255	False	True	True	False	True
Sereer	srr	sere1260	False	True	True	False	True
Semelai	sza	seme1247	False	True	True	False	True
Selk'nam	ona	onaa1245	True	True	True	False	False
Seke (Vanuatu)	ske	seke1241	False	True	True	False	True
Seimat	ssg	seim1238	False	True	True	False	True
Sawila	swt	sawi1256	True	True	False	False	True
Sarikoli	srh	sari1246	False	True	True	False	True
Sanumá	xsu	sanu1240	False	True	True	False	True
Santa María Quiegolani Zapotec	zpi	sant1451	True	True	False	False	True
San Miguel El Grande Mixtec	mig	sanm1295	False	True	True	False	True
San Blas Kuna	cuk	sanb1242	False	True	True	False	True
Sahu	saj	sahu1245	False	True	True	False	True
Ruund	rnd	ruun1238	True	False	True	False	True
Rundi	run	rund1242	False	True	True	False	True
Rukai	dru	ruka1240	False	True	True	False	True
Rotokas	roo	roto1249	False	True	True	False	True
Raute	rau	raut1239	False	True	True	False	True
Rakahanga-Manihiki	rkh	raka1237	False	True	True	False	True
Rabha	rah	rabh1238	False	True	True	False	True
Quiotepec Chinantec	chq	quio1240	False	True	True	False	True
Qimant	ahg	qima1242	True	False	True	False	True
Puma	pum	puma1239	True	True	True	False	False
Pukapuka	pkp	puka1242	False	True	True	False	True
Principense	pre	prin1242	True	False	True	False	True
Pnar	pbv	pnar1238	True	True	True	False	False
Pinotepa Nacional Mixtec	mio	pino1237	False	True	True	False	True
Pingelapese	pif	ping1243	False	True	True	False	True
Peve	lme	peve1243	True	True	True	False	False
Pendau	ums	pend1242	True	True	True	False	False
Paumarí	pad	paum1247	False	True	True	False	True
Papuan Malay	pmy	papu1250	True	True	True	False	False
Panará	kre	pana1307	True	True	True	False	False
Pagu	pgu	pagu1249	True	True	True	False	False
Pagibete	pae	pagi1243	True	False	True	False	True
Osage	osa	osag1243	False	True	True	False	True
Orya	ury	orya1242	False	True	True	False	True
Oroko	bdu	orok1266	True	False	True	False	True
Olo	ong	oloo1241	True	False	True	False	True
Old Russian	orv	oldr1238	True	False	True	False	True
Oksapmin	opm	oksa1245	True	True	False	False	True
Oko-Eni-Osayen	oks	okoe1238	False	True	True	False	True
Ogea	eri	ogea1238	False	True	True	False	True
Nyangumarta	nna	nyan1301	True	True	True	False	False
Nyangbo	nyb	nyan1302	True	False	True	False	True
Nung (Myanmar)	nun	nung1282	False	True	True	False	True
Nsong-Mpiin	soo	song1299	True	False	False	True	True
Northwestern Kolami	kfb	nort2699	False	True	True	False	True
Northern Tujia	tji	nort2732	False	True	True	False	True
Northern Qiang	cng	nort2722	True	True	True	False	False
Northern Pomo	pej	nort2966	True	False	True	False	True
Northern Pame	pmq	nort2984	True	True	False	False	True
Northern Paiute	pao	nort2954	True	True	False	False	True
Northern East Cree	crl	nort1552	True	True	True	False	False
North Giziga	gis	nort3047	True	False	True	False	True
Nomatsiguenga	not	noma1263	True	False	True	False	True
Ninde	mwi	labo1244	False	True	True	False	True
Ninam	shb	nina1238	True	True	False	False	True
Nias	nia	nias1242	True	True	False	False	True
Ngochang	NOCODE_Ngochang	ngoc1235	True	True	False	False	True
Ngizim	ngi	ngiz1242	True	False	True	False	True
Ngarinman	nbj	ngar1235	True	False	True	True	False
Ngardi	rxd	ngar1288	True	False	True	False	True
Nganasan	nio	ngan1291	True	False	True	False	True
Nehan	nsn	neha1247	True	True	False	False	True
Nauete	nxa	naue1237	False	True	True	False	True
Nanga	nzz	nang1261	True	True	True	False	False
Nande	nnb	nand1264	True	False	True	False	True
Mussau-Emira	emi	muss1246	False	True	True	False	True
Mursi	muz	murs1242	True	False	True	False	True
Mundabli	boe	mund1328	True	False	True	False	True
Mullukmulluk	mpb	mull1237	False	True	True	False	True
Muklom	NOCODE_Muklom	mukl1234	False	True	True	False	True
Muduapa	wiv	mudu1242	False	True	True	False	True
Mualang	mtd	mual1241	True	True	True	False	False
Mpoto	mpa	mpot1240	True	False	True	False	True
Mosetén-Chimané	cas	mose1249	True	True	True	False	False
Mortlockese	mrl	mort1237	False	True	True	False	True
Montagnais	moe	mont1268	True	True	True	False	False
Mono-Alu	mte	mono1273	True	True	True	False	False
Mombo Dogon	dmb	momb1254	True	True	False	False	True
Molale	mbe	mola1238	True	True	True	False	False
Mocho	mhc	moch1257	True	True	False	False	True
Mmen	bfm	mmen1238	False	True	True	False	True
Mlabri	mra	mlab1235	False	True	True	False	True
Miya	mkf	miya1266	True	False	True	False	True
Misool-Salawati Ma'ya	slz	maya1282	True	True	True	False	False
Milang	NOCODE_Milang	mila1245	True	True	True	False	False
Merei	lmb	mere1242	False	True	True	False	True
Menya	mcr	meny1245	False	True	True	False	True
Mbula	mna	mbul1263	True	True	False	False	True
Mbre	mka	mbre1244	True	False	True	False	True
Mayo	mfy	mayo1264	False	True	True	False	True
Maskelynes	klv	mask1242	False	True	True	False	True
Maore Comorian	swb	maor1244	True	False	True	False	True
Manumanaw Karen	kxf	manu1255	True	True	True	False	False
Mankanya	knf	mank1251	False	False	True	True	True
Maniq	tnz	tong1308	False	True	True	False	True
Mangarayi	mpc	mang1381	False	True	True	False	True
Manda-Matumba	mgs	mand1423	True	False	True	False	True
Manange	nmm	mana1288	True	True	True	False	False
Malecite-Passamaquoddy	pqm	male1292	True	True	True	False	False
Makhuwa-Saka	xsq	makh1266	True	False	True	False	True
Makasae-Makalero	mkz	maka1316	True	True	True	False	False
Majhi	mjz	majh1253	False	True	True	False	True
Maipure-Avane	NOCODE_Maipure	maip1247	False	True	True	False	True
Madngele	zml	madn1237	False	True	True	False	True
Mada (Nigeria)	mda	mada1282	True	False	False	True	True
Machame	jmc	mach1266	True	False	True	False	True
Ma'anyan	mhy	maan1238	True	True	False	False	True
Ma Manda	skc	sauk1252	True	False	True	False	True
Lunda	lun	lund1266	True	False	True	False	True
Lumun	lmd	lumu1239	True	False	True	False	True
Luchazi	lch	luch1239	False	True	True	False	True
Lowland Tarahumara	tac	lowl1265	True	True	True	False	False
Lowland Oaxaca Chontal	clo	lowl1260	True	False	True	False	True
Lower Chehalis	cea	lowe1427	True	True	True	False	False
Lopit	lpx	lopi1242	True	False	True	False	True
Lizu	NOCODE_Lizu	lizu1234	True	True	True	False	False
Limilngan	lmc	nucl1327	True	False	True	False	True
Limbu	lif	limb1266	True	True	True	False	False
Liko	lik	lika1243	True	False	True	False	True
Libinza	liz	libi1244	False	True	True	False	True
Liangmai Naga	njn	lian1251	False	True	True	False	True
Lezghian	lez	lezg1247	False	True	True	False	True
Lenje	leh	lenj1248	False	True	True	False	True
Lealao Chinantec	cle	leal1235	True	True	True	False	False
Lashi	lsi	lash1243	False	True	True	False	True
Lacandon	lac	laca1243	False	True	True	False	True
Laari	ldi	laar1238	False	True	True	False	True
Kxoe	xuu	kxoe1243	False	True	True	False	True
Kwomtari	kwo	nucl1593	False	True	True	False	True
Kwakum	kwu	kwak1266	False	False	True	True	True
Kutep	kub	kute1248	True	False	True	False	True
