Language	ISO 639-3	Glottocode	animacy	classifier	gender	nominal_classification	noun_class
Fuyug	fuy	fuyu1242	False	True	True	False	True
Fungwa	ula	fung1245	False	False	True	True	True
Fuliiru	flr	fuli1240	True	False	True	False	True
Forest Enets	enf	fore1265	True	False	True	False	True
Foodo	fod	food1238	False	False	True	True	True
Fon	fon	fonn1241	False	True	True	False	True
Filomeno Mata Totonac	tlp	filo1235	True	True	True	False	False
Falam Chin	cfm	fala1243	True	True	False	False	True
Eyak	eya	eyak1241	False	True	True	False	True
Etulo	utr	etul1245	True	False	True	False	True
Eleme	elm	elem1253	False	True	True	False	True
Eggon	ego	eggo1239	False	True	True	False	True
Eastern Kayah	eky	east2342	True	True	False	False	True
East Nyala	nle	east2409	False	True	True	False	True
East Makian	mky	east2440	False	True	True	False	True
East Ambae	omb	east2443	True	True	False	False	True
Dura	drq	dura1244	True	True	True	False	False
Dumi	dus	dumi1241	False	True	True	False	True
Duhumbi	cvg	chug1252	True	True	True	False	False
Dobel	kvo	dobe1238	True	True	False	False	True
Diuxi-Tilantongo Mixtec	xtd	diux1235	True	True	True	False	False
Dhimal	dhi	dhim1246	True	True	True	False	False
Dhao	nfa	dhao1237	True	True	True	False	False
Dera (Indonesia)	kbv	dera1245	True	False	True	False	True
Degema	deg	dege1246	True	False	True	False	True
Daman-Diu Portuguese	idb	dama1278	True	True	True	False	False
Dagik	dec	dagi1241	True	False	True	False	True
Dagbani	dag	dagb1246	True	False	False	True	True
Daai Chin	dao	daai1236	False	True	True	False	True
Culina	cul	culi1244	False	True	True	False	True
Congo Swahili	swc	cong1236	True	False	True	False	True
Columbia-Wenatchi	col	colu1241	True	True	True	False	False
Clallam	clm	clal1241	False	True	True	False	True
Chácobo	cao	chac1251	True	False	True	False	True
Cholti	NOCODE_Cholti	chol1283	False	True	True	False	True
Chol	ctu	chol1282	True	True	False	False	True
Chimwiini	NOCODE_Chimwiini	chim1312	True	False	True	False	True
Central-Eastern Niger Fulfulde	fuq	cent2018	False	True	True	False	True
Central Romani	rmc	carp1235	True	False	True	False	True
Central Ojibwa	ojc	cent2136	True	True	True	False	False
Central Dagaare	dga	sout2789	False	True	True	False	True
Cavineña	cav	cavi1250	False	True	True	False	True
Cashibo-Cacataibo	cbr	cash1251	True	False	True	False	True
Caribbean Hindustani	hns	cari1275	False	True	True	False	True
Camsá	kbh	cams1241	True	True	False	False	True
Cabécar	cjp	cabe1245	True	True	False	False	True
Burushaski	bsk	buru1296	True	False	True	False	True
Bulu (Cameroon)	bum	bulu1251	False	True	True	False	True
Budu	buu	budu1250	False	False	True	True	True
Bola	bnp	bola1250	False	True	True	False	True
Bodo Gadaba	gbj	bodo1267	True	True	True	False	False
Blablanga	blp	blab1237	False	True	True	False	True
Big Nambas	nmb	bign1238	False	True	True	False	True
Bierebo	bnk	bier1244	True	True	True	False	False
Bench	bcq	benc1235	True	False	True	False	True
Bena (Tanzania)	bez	bena1262	True	False	True	False	True
Bembe	bmb	bemb1255	True	False	True	False	True
Batak Karo	btx	bata1293	True	True	False	False	True
Basa (Nigeria)	bzw	basa1282	True	False	True	False	True
Bangime	dba	bang1363	True	False	True	False	True
Bambassi	myf	bamb1262	True	False	True	False	True
Baltic Romani	rml	balt1257	True	False	True	False	True
Balinese	ban	bali1278	True	True	True	False	False
Balanta-Ganja	bjt	bala1302	True	False	True	False	True
Baha Buyang	yha	baha1256	False	True	True	False	True
Baba	bbw	baba1264	False	False	True	True	True
Baba Malay	mbf	baba1267	False	True	True	False	True
Baa	kwb	kwaa1262	False	True	True	False	True
Axamb	ahb	axam1237	False	True	True	False	True
Awutu	afu	awut1241	False	True	True	False	True
Awa-Cuaiquer	kwi	awac1239	False	True	True	False	True
Auye	auu	auye1238	True	True	True	False	False
Aushi	auh	aush1241	True	False	True	False	True
Atong (India)	aot	aton1241	True	True	True	False	False
Atayal	tay	atay1247	True	True	False	False	True
Assiniboine	asb	assi1247	True	True	True	False	False
Arizona Tewa	NOCODE_Arizona-Tewa	ariz1237	True	False	True	False	True
Arhuaco	arh	arhu1242	True	True	False	False	True
Araki	akr	arak1252	True	True	True	False	False
Ani Phowa	ypn	anip1235	True	True	False	False	True
Anamuxra	imi	anam1248	True	True	True	False	False
Ami	amy	amii1238	False	True	True	False	True
Ambai	amk	amba1265	True	True	False	False	True
Ama (Papua New Guinea)	amm	amap1240	True	False	True	False	True
Alaba-K'abeena	alw	alab1254	True	False	True	False	True
Akoye	miw	akoy1238	True	False	True	False	True
Akateko	knj	west2635	True	False	True	False	True
Aimele	ail	aime1238	True	False	True	False	True
Ahom	aho	ahom1240	False	True	True	False	True
Aghu	ahh	aghu1255	True	False	True	False	True
Abun	kgr	abun1252	False	True	True	False	True
Abui	abz	abui1241	True	True	True	False	False
A'ou	aou	aoua1234	False	True	True	False	True
Àhàn	ahn	ahan1244	False	False	True	False	True
Zulu	zul	zulu1248	False	False	True	False	True
Zimbabwean Ndebele	nde	nort2795	False	False	True	False	True
Zbu	NOCODE_Zbu	zbua1234	False	True	True	False	False
Zaniza Zapotec	zpw	zani1235	False	False	True	True	False
Zaiwa	atb	zaiw1241	False	True	False	False	True
Yue Chinese	yue	yuec1235	False	True	True	False	False
Yucatec Maya	yua	yuca1254	False	True	True	False	False
Younuo Bunu	buh	youn1235	False	True	True	False	False
Yosondúa Mixtec	mpm	yoso1239	False	True	True	False	False
Yongning Na	nru	yong1270	False	True	False	False	True
Yongnan Zhuang	zyn	yong1275	False	True	True	False	False
Yir-Yoront	yiy	yiry1245	False	True	True	False	False
Yine	pib	yine1238	False	False	True	False	True
Yindjibarndi	yij	yind1247	False	True	False	False	True
Yeri	yev	yapu1240	False	False	True	False	True
Yemba	ybb	yemb1246	False	False	True	False	True
Yekhee	ets	yekh1238	False	False	True	False	True
Yanyuwa	jao	yany1243	False	False	True	False	True
Yandruwandha	ynd	yand1253	False	True	True	False	False
Yan-nhangu	jay	yann1237	True	True	False	False	False
Yamphu	ybi	yamp1242	True	False	True	False	False
Yalunka	yal	yalu1240	True	False	True	False	False
Yale	nce	yale1246	True	False	True	False	False
Yala	yba	yala1263	False	True	False	False	True
Yakan	yka	yaka1277	True	True	False	False	False
Yagnobi	yai	yagn1238	True	False	False	False	True
Yagaria	ygr	yaga1260	False	False	True	False	True
Xishanba Lalo	ywt	xish1235	False	True	True	False	False
Xiang Chinese	hsn	xian1251	False	True	True	False	False
Wutunhua	wuh	wutu1241	False	True	True	False	False
Wolof	wol	nucl1347	False	False	True	False	True
Wolaytta	wal	wola1242	False	False	True	False	True
Wolane	wle	wola1253	False	False	True	False	True
Wiyot	wiy	wiyo1248	False	True	True	False	False
Wipi	gdr	wipi1242	False	False	True	False	True
Wintu	wit	wint1259	False	True	False	False	True
Wilson River (Grey Range)	nbx	ngur1261	False	False	True	False	True
Wichita	wic	wich1260	False	True	True	False	False
Whitesands	tnp	whit1269	False	True	False	False	True
Western Victoria	NOCODE_Western-Victoria	west2443	False	False	True	False	True
Western Sisaala	ssl	west2465	False	True	False	False	True
Western Pantar	lev	lamm1241	False	True	False	True	False
Western Ojibwa	ojw	west1510	True	False	True	False	False
Western Highland Chatino	ctp	west2644	False	True	False	False	True
Western Bru	brv	west2397	False	True	False	False	True
West Makian	mqs	west2600	False	False	True	False	True
Wersing	kvw	wers1238	True	True	False	False	False
Wayuu	guc	wayu1243	False	True	True	False	False
Wawa	www	wawa1246	False	False	True	False	True
Waurá	wau	waur1244	False	True	True	False	False
Warlmanpa	wrl	warl1255	True	False	True	False	False
War-Jaintia	aml	warj1242	False	True	True	False	False
Wano	wno	wano1243	False	False	True	False	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	False	True	False	False	True
Wanga	lwg	wang1294	False	False	True	False	True
Wandarang	wnd	wand1263	False	False	True	False	True
Wandamen	wad	wand1267	False	True	False	False	True
Wandala	mfi	wand1278	False	True	True	False	False
Wambayan	wmb	wamb1258	False	False	True	False	True
Wala	lgl	wala1266	False	True	True	False	False
Waimiri-Atroari	atr	waim1253	True	False	True	False	False
Waima'a	wmh	waim1252	False	True	True	False	False
Wailaki	wlk	wail1244	False	True	False	False	True
Wahgi	wgi	nucl1620	False	False	True	False	True
Wagaya	wga	waga1260	False	False	True	False	True
Wadjiginy	wdj	wadj1254	False	False	True	False	True
Waata	ssn	waat1238	False	False	True	False	True
Vute	vut	vute1244	False	False	True	False	True
Vinza	vin	vinz1238	False	False	True	False	True
Vengo	bav	veng1238	False	False	True	False	True
Venda	ven	vend1245	False	False	True	False	True
Vaiphei	vap	vaip1239	False	True	True	False	False
Vaeakau-Taumako	piv	pile1238	False	True	False	False	True
Ut-Main	gel	kagf1238	False	False	True	False	True
Uru	ure	uruu1244	False	False	True	False	True
Urarina	ura	urar1246	True	False	True	False	False
Upper Necaxa Totonac	tku	uppe1275	True	True	False	False	False
Upper Chehalis	cjh	uppe1439	False	False	True	False	True
Unua	onu	unua1237	False	True	True	False	False
Uneapa	bbn	unea1237	False	True	True	False	False
Umbuygamu	umg	umbu1256	False	True	False	False	True
Umbundu	umb	umbu1257	False	False	True	False	True
Umbugarla	umr	umbu1235	False	False	True	False	True
Ulithian	uli	ulit1238	False	True	False	False	True
Udmurt	udm	udmu1245	True	False	True	False	False
Udihe	ude	udih1248	True	False	True	False	False
Udi	udi	udii1243	False	False	True	False	True
Tzeltal	tzh	tzel1254	False	True	False	False	True
Tuwali Ifugao	ifk	tuwa1243	False	False	True	False	True
Tuscarora	tus	tusc1257	False	True	True	False	False
Tuparí	tpr	tupa1250	False	False	True	False	True
Tunni	tqq	tunn1238	False	True	True	False	False
Tugen	tuy	tuge1241	True	False	True	False	False
Tswana	tsn	tswa1253	False	False	True	False	True
Tshobdun	NOCODE_Tshobdun	tsho1240	False	True	True	False	False
Tsakhur	tkr	tsak1249	False	False	True	False	True
Trumai	tpy	trum1247	True	False	True	False	False
Towa	tow	jeme1245	True	False	False	False	True
Touo	tqu	touo1238	False	False	True	False	True
Totontepec Mixe	mto	toto1305	False	True	True	False	False
Toto	txo	toto1302	False	True	True	False	False
Tonsawang	tnw	tons1239	True	False	True	False	False
Tomo Kan Dogon	dtm	tomo1243	True	True	False	False	False
Tommo So Dogon	dto	tomm1242	True	False	False	False	True
Tokelau	tkl	toke1240	False	True	False	False	True
Tojolabal	toj	tojo1241	False	True	False	False	True
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	True	False	True	False	False
Timugon Murut	tih	timu1262	False	True	True	False	False
Tilung	tij	tilu1238	False	True	True	False	False
Ticuna	tca	ticu1245	False	False	True	False	True
Thayore	thd	thay1249	False	True	False	False	True
Thavung	thm	aheu1239	False	True	True	False	False
Thai	tha	thai1261	False	True	True	False	False
Thado Chin	tcz	thad1238	False	True	True	False	False
Texistepec Popoluca	poq	texi1237	True	False	False	False	True
Tetun Dili	tdt	tetu1246	False	True	True	False	False
Temiar	tea	temi1246	False	False	True	False	True
Tebul Ure Dogon	dtu	tebu1239	True	True	False	False	False
Tawra	mhu	diga1241	False	True	True	False	False
Tapieté	tpj	tapi1253	False	False	True	False	True
Tanacross	tcb	tana1290	False	True	True	False	False
Tajio	tdj	taji1246	True	True	False	False	False
Tajik	tgk	taji1245	False	True	True	False	False
Tainae	ago	tain1253	False	False	True	False	True
Taiap	gpn	taia1239	True	False	True	False	False
Tai Laing	tjl	tail1248	False	True	False	False	True
Tahitian	tah	tahi1242	False	False	True	False	True
Tagoi	tag	tago1246	False	False	True	False	True
Tagin	tgj	tagi1241	False	True	True	False	False
Sìcìté Sénoufo	sep	sici1249	False	False	True	False	True
Sylheti	syl	sylh1242	False	True	True	False	False
Swati	ssw	swat1243	False	False	True	False	True
Swahili	swh	swah1253	False	False	True	False	True
Sunwar	suz	sunw1242	False	True	True	False	False
Sumbawa	smw	sumb1241	False	True	False	False	True
Sukur	syk	suku1272	True	False	True	False	False
Suba	sxb	suba1238	False	False	True	False	True
Southern Pumi	pmj	sout2729	True	True	False	False	False
Southern Pomo	peq	sout2984	True	False	True	False	False
Southern Ghale	ghe	sout2715	False	True	True	False	False
Southern Dong	kmc	sout2741	False	True	False	False	True
Southern Amami-Oshima	ams	sout2954	True	True	False	False	False
South-Eastern Ju	ktz	juho1239	False	False	True	False	True
South Wa	prk	para1301	False	True	True	False	False
South Nuaulu	nxl	sout2895	False	True	False	False	True
Soga	xog	soga1242	False	False	True	False	True
Siwi	siz	siwi1239	False	False	True	False	True
Situ	tzi	situ1238	False	True	True	False	False
Sinaugoro	snc	sina1266	False	False	True	False	True
Simte	smt	simt1238	False	False	True	False	True
Silacayoapan Mixtec	mks	sila1250	False	True	True	False	False
Sichuan Yi	iii	sich1238	False	True	True	False	False
Shughni	sgh	shug1248	True	False	True	False	False
Shekhawati	swv	shek1243	True	False	True	False	False
Shawnee	sjw	shaw1249	True	False	True	False	False
Seze	sze	seze1235	False	True	True	False	False
Senhaja De Srair	sjs	senh1238	False	False	True	False	True
Semaq Beri	szc	sema1265	False	True	True	False	False
Selepet	spl	sele1250	False	True	False	False	True
Sauria Paharia	mjt	saur1249	False	True	True	False	False
Sasak	sas	sasa1249	True	False	True	False	False
Santali	sat	sant1410	False	True	True	False	False
Sangtam Naga	nsa	sang1321	False	True	True	False	False
Sambalpuri	spv	samb1325	False	True	True	False	False
Salka-Tsishingini	tsw	tsis1238	False	False	True	False	True
Saliba	sbe	sali1295	False	True	False	False	True
Safaliba	saf	safa1243	False	False	True	False	True
Sadu	NOCODE_Sadu	sadu1234	False	True	True	False	False
Sacapulteco	quv	saca1238	False	True	False	False	True
Sabanê	sae	saba1268	False	True	True	False	False
Sabah Malay	msi	saba1263	False	True	True	False	False
Sa'a	apb	saaa1240	True	True	False	False	False
Sa	sax	saaa1241	False	False	True	False	True
S'gaw Karen	ksw	sgaw1245	False	True	True	False	False
Ruuli	ruc	ruul1235	False	False	True	False	True
Rutul	rut	rutu1240	True	False	False	False	True
Russian	rus	russ1263	True	False	True	False	False
Ruching Palaung	pce	ruch1235	False	True	False	False	True
Romansh	roh	roma1326	True	False	True	False	False
Riuk Bekati'	bei	beka1241	False	True	False	False	True
Rennell-Bellona	mnv	renn1242	False	True	True	False	False
Rendille	rel	rend1243	False	False	True	False	True
Rembong-Wangka	reb	remb1250	False	True	False	False	True
Rejang	rej	reja1240	False	True	True	False	False
Rawang	raw	rawa1265	False	True	True	False	False
Rarotongan	rar	raro1241	False	False	True	False	True
Rapanui	rap	rapa1244	True	False	True	False	False
Rangkas	rgk	rang1266	False	False	True	False	True
Rana Tharu	thr	rana1246	False	True	True	False	False
Rama	rma	rama1270	False	True	False	False	True
Rajbanshi	rjs	rajb1243	False	True	True	False	False
Quileute	qui	quil1240	False	True	True	False	False
Qashqa'i	qxq	qash1240	False	True	True	False	False
Purik-Sham-Nubra	prx	puri1258	True	False	True	False	False
Puluwatese	puw	pulu1242	False	True	False	False	True
Pular	fuf	pula1262	False	False	True	False	True
Psikye	kvj	psik1239	False	False	True	False	True
Prai	prt	phai1238	False	True	True	False	False
Pontic	pnt	pont1253	True	False	True	False	False
Pondi	lnm	lang1328	False	False	True	False	True
Polish	pol	poli1260	True	False	True	False	False
Pitjantjatjara	pjt	pitj1243	False	False	True	False	True
Pintupi-Luritja	piu	pint1250	False	True	False	False	True
Pima Bajo	pia	pima1248	True	False	False	False	True
Pijin	pis	piji1239	False	True	True	False	False
Pichi	fpe	fern1234	True	False	True	False	False
Piapoco	pio	piap1246	False	True	True	False	False
Phom Naga	nph	phom1236	False	True	True	False	False
Phalura	phl	phal1254	True	False	True	False	False
Peñoles Mixtec	mil	peno1244	False	True	True	False	False
Penange	NOCODE_Penange	pena1270	True	True	False	False	False
Pele-Ata	ata	pele1245	False	False	True	False	True
Pedi	nso	pedi1238	False	False	True	False	True
Patwin	pwi	patw1250	True	False	True	False	False
Pattani	lae	patt1248	False	False	True	False	True
Panytyima	pnw	pany1241	False	True	False	False	True
Pangwa Naga	nst	tase1235	False	True	True	False	False
Palikúr	plu	pali1279	False	False	True	False	True
Pacoh	pac	paco1243	False	True	True	False	False
Paama	pma	paam1238	False	True	True	False	False
Owa	stn	owaa1237	False	True	True	False	False
Orowe	bpk	orow1242	False	True	True	False	False
Ormuri	oru	ormu1247	False	False	True	True	False
Oneida	one	onei1249	False	True	True	False	False
Omagua	omg	omag1248	False	False	True	False	True
Old Welsh	owl	oldw1239	False	False	True	False	True
Old Telugu	NOCODE_Old-Telugu	oldt1249	False	False	True	False	True
Old Khmer	qok	oldk1249	False	True	True	False	False
Old Japanese	ojp	oldj1239	True	True	False	False	False
Oku	oku	okuu1243	False	False	True	False	True
Okiek	oki	okie1245	False	False	True	False	True
Oki-No-Erabu	okn	okin1246	True	True	False	False	False
Ogbronuagum	ogu	ogbr1243	False	False	True	False	True
Odual	odu	odua1238	False	False	True	False	True
Odoodee	kkc	odoo1238	True	False	True	False	False
Nzima	nzi	nzim1238	True	False	False	False	True
Nzanyi	nja	nzan1240	False	False	True	False	True
Nyiha (Tanzania)	nih	nyih1240	True	False	False	False	True
Nyigina	nyh	nyig1240	True	False	False	False	True
Nyaturu	rim	nyat1246	False	False	True	False	True
Nyang'i	nyp	nyan1313	True	False	True	False	False
Nyamwezi	nym	nyam1276	False	False	True	False	True
Nyambo	now	nyam1277	True	False	False	False	True
Nyakyusa-Ngonde	nyy	nyak1260	False	False	True	False	True
Nungali	nug	nung1291	False	False	True	False	True
Northern Tshwa	hio	tsoa1238	True	False	True	False	False
Northern Subanen	stb	nort2885	True	True	False	False	False
Northern Straits Salish	str	stra1244	False	True	True	False	False
Northern Pastaza Quichua	qvz	nort2973	True	False	True	False	False
Northern Jinghpaw	sgp	sing1264	False	True	True	False	False
Northern Hmong	NOCODE_Northern-Hmong	nort3244	False	True	False	False	True
Northern Emberá	emp	nort2972	False	True	True	False	False
Northeastern Thai	tts	nort2741	False	True	True	False	False
Northeast Kiwai	kiw	nort2930	True	False	True	False	False
North-Central Ju	knw	kung1261	False	False	True	False	True
North Tanna	tnn	nort2847	False	False	True	False	True
Noone	nhu	noon1243	False	False	True	False	True
Noon	snf	noon1242	False	False	True	False	True
Nomaande	lem	noma1260	False	False	True	False	True
Nocte Naga	njb	noct1238	False	True	True	False	False
Njyem	njy	njye1238	False	False	True	False	True
Nipmuck	xlo	loup1243	True	False	True	False	False
Nimboran	nir	nucl1633	False	True	True	False	False
Nihali	nll	niha1238	False	True	True	False	False
Nicaragua Creole English	bzk	nica1252	False	True	True	False	False
Ngwe	nwe	ngwe1238	False	False	True	False	True
Ngkâlmpw Kanum	kcd	ngka1235	True	False	True	False	False
Nggem	nbq	ngge1241	True	False	True	False	False
Ngazidja Comorian	zdj	ngaz1238	False	False	True	False	True
Ngarinyin	ung	ngar1284	False	False	True	False	True
Ngandi	nid	ngan1295	False	False	True	False	True
Nez Perce	nez	nezp1238	False	True	True	False	False
Nese	NOCODE_Nese	nese1235	False	True	False	False	True
Nepali	npi	nepa1254	False	True	True	False	False
Neo-Mandaic	mid	nucl1706	False	True	True	False	False
Nedebang	nec	nede1245	True	True	False	False	False
Ndut	ndv	ndut1239	False	True	False	False	True
Ndonga	ndo	ndon1254	False	False	True	False	True
Ndali	ndh	ndal1241	False	False	True	False	True
Ncane	ncr	ncan1245	False	False	True	False	True
Nawuri	naw	nawu1242	False	False	True	False	True
Nauru	nau	naur1243	False	False	True	False	True
Nandi	niq	nand1266	False	False	True	False	True
Namakura	nmk	nama1268	False	False	True	False	True
Nalik	nal	nali1244	False	True	True	False	False
Nalca	nlc	nalc1240	False	False	True	False	True
Nakara	nck	naka1260	False	False	True	False	True
Najdi Arabic	ars	najd1235	False	False	True	False	True
Najanga-Kindige	dbu	bond1248	True	True	False	False	False
Mün Chin	mwq	munc1235	True	False	True	False	False
Mycenaean Greek	gmy	myce1241	False	True	True	False	False
Mwera (Chimwera)	mwe	mwer1248	False	False	True	False	True
Mwani	wmw	mwan1247	False	False	True	False	True
Mwan	moa	mwan1250	True	False	True	False	False
Musom	msu	muso1238	False	True	False	False	True
Murle	mur	murl1244	False	False	True	False	True
Mungbam	mij	abar1238	False	False	True	False	True
Mungaka	mhk	mung1266	False	False	True	False	True
Muna	mnb	muna1247	True	True	False	False	False
Mufian	aoj	mufi1238	False	False	True	False	True
Mpur	akc	mpur1239	False	True	True	False	False
Mpongmpong	mgg	mpon1254	False	False	True	False	True
Mpade	mpi	mpad1242	True	False	True	False	False
Morisyen	mfe	mori1278	False	False	True	False	True
Mori Bawah	xmz	mori1268	False	True	True	False	False
Mongo	lol	mong1338	False	False	True	False	True
Mon	mnw	monn1252	False	True	True	False	False
Mokpwe	bri	mokp1239	False	False	True	False	True
Moken	mwt	moke1242	False	True	True	False	False
Miyako	mvi	miya1259	True	True	False	False	False
Mixtepec Zapotec	zpm	mixt1426	True	True	False	False	False
Mising-Padam-Miri-Minyong	mrg	misi1242	False	True	True	False	False
Miship	mjs	mish1244	False	False	True	False	True
Miriwung	mep	miri1266	False	False	True	False	True
Minangkabau	min	mina1268	False	True	True	False	False
Middle Clarence	bdy	midd1357	False	False	True	False	True
Miami	mia	miam1252	True	False	True	False	False
Mezquital Otomi	ote	mezq1235	False	False	True	False	True
Mewari	mtr	mewa1249	True	False	True	False	False
Meta'	mgo	meta1238	False	False	True	False	True
Meskwaki	sac	mesk1242	True	False	True	False	False
Mesaka	iyo	mesa1245	False	False	True	False	True
Meru	mer	meru1245	False	False	True	False	True
Mekens	skf	saki1248	False	True	True	False	False
Mehek	nux	mehe1243	True	False	True	False	False
Mbukushu	mhw	mbuk1240	False	False	True	False	True
Mbuk	bpc	mbuk1244	False	False	True	False	True
Mbugwe	mgz	mbug1242	False	False	True	False	True
Mbugu	mhd	mbug1240	False	False	True	False	True
Mbalanhu	lnb	mbal1255	False	False	True	False	True
Mayogo	mdm	mayo1261	False	False	True	False	True
Maybrat-Karon	ayz	maib1239	False	True	True	False	False
Mauwake	mhl	mauw1238	False	False	True	False	True
Matumbi	mgw	matu1259	False	False	True	False	True
Matsés	mcf	mats1244	True	False	True	False	False
Masaaba	myx	masa1299	False	True	True	False	False
Marwari (India)	rwr	marw1260	True	False	True	False	False
Marshallese	mah	mars1254	False	True	True	False	False
Markweeta	enb	mark1255	False	False	True	False	True
Maria (India)	mrr	mari1414	True	False	True	False	False
Maram Naga	nma	mara1379	False	True	True	False	False
Mara	mec	mara1385	False	False	True	False	True
Mape	mlh	mape1249	True	False	False	False	True
Mao Naga	nbi	maon1238	False	True	True	False	False
Manus Koro	kxr	bowa1234	False	True	True	False	False
Mann	mev	mann1248	True	False	True	False	False
Mangghuer	NOCODE_Mangghuer	minh1238	True	True	False	False	False
Manggarai	mqy	mang1405	True	True	False	False	False
Mangala	mem	mang1383	True	False	True	False	False
Mangaia-Old Rapa	ray	rapa1245	False	True	True	False	False
Mandarin Chinese	cmn	mand1415	False	True	True	False	False
Mambwe-Lungu	mgr	mamb1296	False	False	True	False	True
Mambai	mcs	mamb1294	True	True	False	False	False
Mambae	mgm	mamb1306	False	True	True	False	False
Mam	mam	mamm1241	False	True	False	False	True
Malvi	mup	malv1243	False	True	True	False	False
Malua Bay	mll	malu1245	False	True	True	False	False
Male (Ethiopia)	mdy	male1284	False	False	True	False	True
Malawi Lomwe	lon	mala1256	False	False	True	False	True
Makwe	ymk	makw1236	False	False	True	False	True
Makasar	mak	maka1311	False	True	True	False	False
Makaa	mcp	maka1304	False	False	True	False	True
Mailu	mgu	mail1248	False	True	True	False	False
Macedonian	mkd	mace1250	True	False	True	False	False
Macanese	mzs	maca1262	False	True	True	False	False
Lü	khb	luuu1242	False	True	True	False	False
Lycian A	xlc	lyci1241	False	False	True	False	True
Luwo	lwo	luwo1239	False	True	True	False	False
Luvale	lue	luva1239	False	False	True	False	True
Luna	luj	luna1244	False	False	True	False	True
Luguru	ruf	lugu1238	False	False	True	False	True
Lower Tanana	taa	lowe1425	False	True	True	False	False
Lote	uvl	lote1237	False	True	False	False	True
Loniu	los	loni1238	False	True	True	False	False
Lokaa	yaz	loka1252	False	False	True	False	True
Lisu	lis	lisu1250	False	True	True	False	False
Limbum	lmp	limb1268	False	False	True	False	True
Lewotobi	lwt	lewo1244	False	True	False	False	True
Lenakel	tnl	lena1238	False	False	True	False	True
Lelemi	lef	lele1264	False	False	True	False	True
Lele (Chad)	lln	lele1276	False	True	True	False	False
Lega-Mwenga	lgm	lega1250	False	False	True	False	True
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	True	False	True	False	False
Larike-Wakasihu	alo	lari1255	False	True	False	False	True
Laragia	lrg	lara1258	False	False	True	False	True
Lango (Uganda)	laj	lang1324	True	False	True	False	False
Lamkang	lmk	lamk1238	False	True	True	False	False
Lamjung-Melamchi Yolmo	scp	hela1238	False	True	True	False	False
Lamba	lam	lamb1271	False	False	True	False	True
Lahta-Zayein Karen	kxk	zaye1235	False	True	True	False	False
Kwini	gww	kwin1241	False	True	True	False	False
Kwaio	kwd	kwai1243	False	True	True	False	False
Kwadi	kwz	kwad1244	True	False	True	False	False
Kuy	kdt	kuyy1240	False	True	False	False	True
Kuvi	kxv	kuvi1243	False	True	True	False	False
Kusunda	kgg	kusu1250	True	True	False	False	False
Kusaal	kus	kusa1250	False	False	True	False	True
Kurukh	kru	kuru1301	False	True	True	False	False
Kurrama	vku	kurr1243	False	True	False	False	True
Kuria	kuj	kuri1259	False	False	True	False	True
Kuni-Boazi	kvg	kuni1265	False	False	True	False	True
Kung	kfl	kung1260	False	False	True	False	True
Kumaoni	kfy	kuma1273	False	False	True	False	True
Kui (Indonesia)	kvd	kuii1253	True	True	False	False	False
Kota (India)	kfe	kota1263	False	False	True	False	True
Koshin	kid	kosh1246	False	False	True	False	True
Koroshi	ktl	koro1296	False	True	True	False	False
Korop	krp	koro1304	False	False	True	False	True
Korlai Portuguese	vkp	korl1238	True	False	True	False	False
Korafe-Yegha	kpr	kora1294	True	True	False	False	False
Konso	kxc	kons1243	True	False	True	False	False
Konda-Dora	kfc	kond1295	False	True	True	False	False
Konai	kxw	kona1242	True	False	True	False	False
Kombai	tyn	komb1274	False	True	False	False	True
Kom (India)	kmm	komi1270	False	False	True	False	True
Kom (Cameroon)	bkm	komc1235	False	False	True	False	True
Koluwawa	klx	kolu1245	False	True	False	False	True
Kok Borok	trp	kokb1239	False	True	True	False	False
Koho	kpm	koho1244	False	True	False	False	True
Kohistani Shina	plk	kohi1248	False	False	True	False	True
Kodava	kfa	koda1255	False	False	True	False	True
Koch	kdq	koch1250	False	True	True	False	False
Koasati	cku	koas1236	True	False	False	False	True
Kman	mxj	miju1243	False	True	True	False	False
Klamath-Modoc	kla	klam1254	False	False	True	False	True
Kiowa	kio	kiow1266	True	False	False	False	True
Kiliwa	klb	kili1268	False	False	True	False	True
Kikuyu	kik	kiku1240	False	False	True	False	True
Khoibu	nkb	khoi1251	False	True	True	False	False
Khmu	kjg	khmu1256	False	True	True	False	False
Khasi	kha	khas1269	False	True	True	False	False
Khakas	kjh	khak1248	True	False	True	False	False
Kgalagadi	xkv	kgal1244	False	False	True	False	True
Kenuzi-Dongola	kzh	kenu1236	False	False	True	False	True
Kendayan-Belangin	knx	kend1254	False	True	False	False	True
Kemezung	dmo	keme1240	False	False	True	False	True
Keerak	hhr	kera1248	False	False	False	True	True
Kaytetye	gbb	kayt1238	False	True	True	False	False
Kawaiisu	xaw	kawa1283	True	True	False	False	False
Kathmandu Valley Newari	new	newa1246	False	True	True	False	False
Kaska	kkz	kask1239	False	True	True	False	False
Kashubian	csb	kash1274	True	False	True	False	False
Kariyarra	vka	kari1304	False	True	False	False	True
Karajá	kpj	kara1500	False	True	True	False	False
Kaqchikel	cak	kaqc1270	False	False	True	False	True
Kapriman	dju	kapr1245	False	False	True	False	True
