Language	ISO 639-3	Glottocode	feet	finger	five	hand	numerals	quinary	toe
Breton	bre	bret1244	True	True	True	True	True	False	True
Borana-Arsi-Guji Oromo	gax	bora1271	True	True	True	True	True	False	True
Bongo	bot	bong1285	True	True	True	True	True	False	True
Bondo	bfw	bond1245	True	True	True	True	True	False	True
Bom-Kim	bmf	bomk1234	True	True	True	True	True	False	True
Bola	bnp	bola1250	False	True	True	True	True	True	True
Bobangi	bni	bang1354	True	True	True	True	True	False	True
Blablanga	blp	blab1237	True	True	True	True	True	False	True
Binumarien	bjr	binu1245	True	True	True	True	True	False	True
Bini	bin	bini1246	True	True	True	True	True	False	True
Binandere	bhg	bina1277	True	True	True	True	True	False	True
Biloxi	bll	bilo1248	True	True	True	True	True	False	True
Big Nambas	nmb	bign1238	True	False	True	True	True	True	True
Bierebo	bnk	bier1244	True	True	True	True	True	False	True
Bhili	bhb	bhil1251	True	True	True	True	True	False	True
Beng	nhb	beng1286	True	True	True	True	True	False	True
Bena (Tanzania)	bez	bena1262	True	True	True	True	True	False	True
Bella Coola	blc	bell1243	True	True	True	True	True	False	True
Belep	yly	nyal1254	True	False	True	True	True	True	True
Baure	brg	baur1253	True	True	True	True	True	False	True
Bauni	bpe	wara1302	True	True	True	True	True	False	True
Basque	eus	basq1248	True	True	True	True	True	False	True
Bari	bfa	bari1284	True	True	True	True	True	False	True
Baoulé	bci	baou1238	True	True	True	True	True	False	True
Bangime	dba	bang1363	True	True	True	True	True	False	True
Bandial	bqj	band1340	True	True	True	True	True	False	True
Balinese	ban	bali1278	True	True	True	True	True	False	True
Balantak	blz	bala1315	True	True	True	True	True	False	True
Bahing	bhj	bahi1252	True	True	True	True	True	False	True
Baha Buyang	yha	baha1256	True	True	True	True	True	False	True
Bagirmi	bmi	bagi1246	True	True	True	True	True	False	True
Baga Koga	bgo	baga1273	True	True	True	True	True	False	True
Badaga	bfq	bada1257	True	True	True	True	True	False	True
Babanki	bbk	baba1266	True	True	True	True	True	False	True
Awtuw	kmn	awtu1239	True	True	True	True	True	False	True
Awiakay-Karimba	NOCODE_Awiakay	awia1234	True	True	True	True	True	False	True
Awetí	awe	awet1244	True	True	True	True	True	False	True
Awar	aya	awar1249	True	True	True	True	True	False	True
Awadhi	awa	awad1243	True	True	True	True	True	False	True
Awad Bing	bcu	awad1244	True	True	True	True	True	False	True
Awa-Cuaiquer	kwi	awac1239	True	True	True	True	True	False	True
Avava	tmb	katb1237	True	True	True	True	True	False	True
Aushi	auh	aush1241	True	True	True	True	True	False	True
Aukan	djk	ndyu1242	True	True	True	True	True	False	True
Atzingo Matlatzinca	ocu	atzi1235	True	True	True	True	True	False	True
Atong (India)	aot	aton1241	True	True	True	True	True	False	True
Assyrian Neo-Aramaic	aii	assy1241	True	True	True	True	True	False	True
Ashkun	ask	ashk1246	True	True	True	True	True	False	True
Arta	atz	arta1239	True	True	True	True	True	False	True
Are	mwc	aree1239	True	True	True	True	False	True	True
Archaic Angloromani	rme	angl1239	True	True	True	True	True	False	True
Arbore	arv	arbo1245	True	True	True	True	True	False	True
Ao Naga	njo	aona1235	True	True	True	True	True	False	True
Anuta	aud	anut1237	True	True	True	True	True	False	True
Anufo	cko	anuf1239	True	True	True	True	True	False	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	True	True	True	True	False	True
Anindilyakwa	aoi	anin1240	True	True	True	True	True	False	True
Angami Naga	njm	anga1288	True	True	True	True	True	False	True
Angal Heneng	akh	anga1292	True	True	True	True	True	False	True
Andalusian Arabic	xaa	anda1287	True	True	True	True	True	False	True
Ancient Hebrew	hbo	anci1244	True	True	True	True	True	False	True
Anamuxra	imi	anam1248	False	True	True	True	True	True	True
Amur Nivkh	niv	gily1242	True	True	True	True	True	False	True
Amkoe	huc	hoaa1235	True	True	True	True	True	False	True
Amharic	amh	amha1245	True	True	True	True	True	False	True
Amele	aey	amel1241	True	True	True	True	True	False	True
Ambonese Malay	abs	ambo1250	True	True	True	True	True	False	True
Ama (Sudan)	nyi	amas1236	True	True	True	True	True	False	True
Alyawarr	aly	alya1239	True	True	True	True	True	False	True
Alur	alz	alur1250	True	True	True	True	True	False	True
Aleut	ale	aleu1260	True	True	True	True	True	False	True
Aka-Bea	abj	akab1249	True	True	True	True	True	False	True
Ahom	aho	ahom1240	True	True	True	True	True	False	True
Aguaruna	agr	agua1253	True	True	True	True	True	False	True
Aghwan	xag	aghw1237	True	True	True	True	True	False	True
Afar	aar	afar1241	True	True	True	True	True	False	True
Adilabad Gondi	wsg	utno1237	True	True	True	True	True	False	True
Adangme	ada	adan1247	True	True	True	True	True	False	True
Acoli	ach	acol1236	True	True	True	True	True	False	True
Abau	aau	abau1245	False	True	True	True	True	True	True
A'ou	aou	aoua1234	True	True	True	True	True	False	True
Önge	oon	onge1236	True	True	True	True	False	False	True
Zuni	zun	zuni1245	False	True	True	True	True	False	True
Zigula-Mushungulu	ziw	zigu1244	True	True	True	True	True	False	False
Zeme Naga	nzm	zeme1240	True	False	True	True	True	False	True
Zaniza Zapotec	zpw	zani1235	True	True	True	True	True	False	False
Zande	zne	zand1248	True	False	True	True	True	False	True
Zacatepec Chatino	ctz	zaca1242	True	True	True	True	True	False	False
Yuwaalaraay-Gamilaraay	kld	gami1243	True	True	True	True	False	False	True
Yuputhimri	NOCODE_Yuputhimri	yupu1235	True	False	True	True	True	False	True
Yuchi	yuc	yuch1247	True	True	True	True	True	False	False
Yucatec Maya	yua	yuca1254	False	True	True	True	True	False	True
Yora	mts	yora1241	True	True	True	True	True	False	False
Yopno	yut	yopn1238	True	False	True	True	True	False	True
Yom	pil	yomm1242	True	False	True	True	True	False	True
Yir-Yoront	yiy	yiry1245	True	True	True	True	False	False	True
Yeyi	yey	yeyi1239	True	True	True	True	True	False	False
Yessan-Mayo	yss	yess1239	True	False	True	True	True	False	True
Yerukula	yeu	yeru1240	False	True	True	True	True	False	True
Yeri	yev	yapu1240	True	True	True	True	True	False	False
Ye'kwana	mch	maqu1238	True	False	True	True	True	False	True
Yawuru	ywr	yawu1244	True	True	True	True	True	False	False
Yareba	yrb	yare1248	True	False	True	True	True	False	True
Yapese	yap	yape1248	False	True	True	True	True	False	True
Yanomám	wca	yano1262	True	True	True	True	False	False	True
Yami	tao	yami1254	True	True	True	True	False	False	True
Yale	nce	yale1246	True	False	True	True	True	True	False
Yagua	yad	yagu1244	False	True	True	True	True	False	True
Yagaria	ygr	yaga1260	True	False	True	True	True	False	True
Yaaku	muu	yaak1241	False	True	True	True	True	False	True
Xishanba Lalo	ywt	xish1235	False	True	True	True	True	False	True
Xamtanga	xan	xamt1239	False	True	True	True	True	True	False
Wutung	wut	wutu1244	False	True	True	True	True	False	True
Wunambal	wub	wuna1249	True	True	True	True	False	False	True
Worimi	kda	wori1245	True	True	True	True	True	False	False
Wolio	wlo	woli1241	True	False	True	True	True	False	True
Woleaian	woe	wole1240	True	True	True	True	True	False	False
Wolane	wle	wola1253	True	True	True	True	True	False	False
Wirangu	wgu	wira1265	True	False	True	True	True	False	True
Wipi	gdr	wipi1242	True	False	True	True	True	False	True
Wichí Lhamtés Vejoz	wlv	wich1263	True	True	True	True	False	False	True
Wichita	wic	wich1260	True	True	True	True	False	False	True
Western Sisaala	ssl	west2465	True	True	True	True	False	False	True
Western Huasteca Nahuatl	nhw	west2624	False	True	True	True	True	False	True
Western Canadian Inuktitut	ikt	west2618	True	False	True	True	True	False	True
Western Balochi	bgn	west2368	True	True	True	True	True	False	False
Western Abenaki	abe	west2630	True	True	True	True	False	False	True
West Makian	mqs	west2600	False	True	True	True	True	False	True
West Kewa	kew	west2599	False	True	True	True	True	False	True
West Coast Bajau	bdr	west2560	True	True	True	True	True	False	False
Welsh	cym	wels1247	True	True	True	True	True	False	False
Welsh Romani	rmw	wels1246	True	True	True	True	False	False	True
Wedau	wed	weda1241	True	True	True	True	False	False	True
Wawa	www	wawa1246	False	True	True	True	True	False	True
Wathawurrung	wth	wath1238	True	True	True	True	False	False	True
Warungu	wrg	waru1264	True	True	True	True	True	False	False
Warrwa	wwr	warr1258	True	False	True	True	True	False	True
Wardaman	wrr	ward1246	True	True	True	True	False	False	True
Wara	wbf	wara1292	True	True	True	True	True	False	False
War-Jaintia	aml	warj1242	True	True	True	True	True	False	False
Wappo	wao	wapp1239	True	True	True	True	True	False	False
Wapishana	wap	wapi1253	True	True	True	True	False	False	True
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True	False	True	True	True	False	True
Wanga	lwg	wang1294	True	True	True	True	False	False	True
Waneci	wne	wane1241	True	True	True	True	True	False	False
Wandamen	wad	wand1267	False	False	True	True	True	True	True
Wambon	wms	wamb1259	True	True	True	True	True	False	False
Wallisian	wls	wall1257	False	True	True	True	True	False	True
Wakawaka	wkw	waka1274	True	True	True	True	False	False	True
Wailaki	wlk	wail1244	True	False	True	True	True	True	False
Wahgi	wgi	nucl1620	True	False	True	True	True	False	True
Wageman	waq	wage1238	False	True	True	True	True	False	True
Waddar	wbq	wadd1237	False	True	True	True	True	False	True
Waata	ssn	waat1238	True	True	True	True	True	False	False
Vlax Romani	rmy	vlax1238	True	True	True	True	True	False	False
Virgin Islands Creole English	vic	virg1240	True	True	True	True	False	False	True
Vinza	vin	vinz1238	False	True	True	True	True	False	True
Varhadi-Nagpuri	vah	varh1239	True	True	True	True	False	False	True
Vamale	mkt	vama1243	False	True	True	True	True	False	True
Vagla	vag	vagl1239	True	False	True	True	True	False	True
Vaeakau-Taumako	piv	pile1238	False	True	True	True	True	False	True
Ut-Main	gel	kagf1238	True	True	True	True	True	False	False
Usarufa	usa	usar1243	True	False	True	True	True	False	True
Usan	wnu	usan1239	False	True	True	True	True	False	True
Uru	ure	uruu1244	False	True	True	True	True	False	True
Urim	uri	urim1252	False	True	True	True	True	False	True
Unami	unm	unam1242	True	True	True	True	True	False	False
Una	mtg	unaa1239	True	True	True	True	True	False	False
Umbuygamu	umg	umbu1256	False	True	True	True	True	False	True
Umbugarla	umr	umbu1235	False	True	True	True	True	False	True
Ulithian	uli	ulit1238	True	True	True	True	True	False	False
Ughele	uge	ughe1237	False	True	True	True	True	False	True
Ugaritic	uga	ugar1238	True	True	True	True	True	False	False
Uduk	udu	uduk1239	True	True	True	True	True	False	False
U	uuu	uuuu1243	False	True	True	True	True	False	True
Tz'utujil	tzj	tzut1248	True	False	True	True	True	False	True
Tuwali Ifugao	ifk	tuwa1243	True	True	True	True	False	False	True
Tuvinian	tyv	tuvi1240	True	True	True	True	True	False	False
Tututni	tuu	tutu1242	True	True	True	True	True	False	False
Tutsa Naga	tvt	tuts1235	False	True	True	True	True	False	True
Tutelo	tta	tute1247	False	True	True	True	True	False	True
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	True	True	True	True	False	False	True
Tukang Besi North	khc	tuka1248	False	True	True	True	True	False	True
Tswa	tsc	tswa1255	True	True	True	True	True	False	False
Tshangla	tsj	tsha1245	False	True	True	True	True	False	True
Tsat	huq	tsat1238	False	True	True	True	True	False	True
Tsafiki	cof	colo1256	True	True	True	True	True	False	False
Ts'ixa	NOCODE_Tsixa	tsix1234	True	True	True	True	True	False	False
Towa	tow	jeme1245	True	True	True	True	True	False	False
Toto	txo	toto1302	True	True	True	True	True	False	False
Torres Strait Creole	tcs	torr1261	True	True	True	True	True	False	False
Toro So Dogon	dts	toro1252	False	True	True	True	True	False	True
Toposa	toq	topo1242	True	True	True	True	True	False	False
Tonkawa	tqw	tonk1249	False	True	True	True	True	False	True
Tonga (Zambia)	toi	tong1318	False	True	True	True	True	False	True
Tondano	tdn	tond1251	True	True	True	True	True	False	False
Tolowa-Chetco	tol	tolo1259	True	True	True	True	False	False	True
Tolomako	tlm	tolo1255	True	True	True	True	True	False	False
Tokelau	tkl	toke1240	True	False	True	True	True	False	True
Tohono O'odham	ood	toho1245	True	True	True	True	True	False	False
Tobelo	tlb	tobe1252	False	True	True	True	True	False	True
Toba	tob	toba1269	True	False	True	True	True	False	True
Tiwa (India)	lax	tiwa1253	True	True	True	True	True	False	False
Tiri-Mea	cir	tiri1258	False	True	True	True	True	False	True
Tirahi	tra	tira1253	True	False	True	True	True	False	True
Timugon Murut	tih	timu1262	True	True	True	True	True	False	False
Tima	tms	tima1241	True	True	True	True	True	False	False
Thavung	thm	aheu1239	False	True	True	True	True	False	True
Thangal Naga	nki	than1255	False	True	True	True	True	False	True
Thado Chin	tcz	thad1238	True	True	True	True	True	False	False
Tetelcingo Nahuatl	nhg	tete1251	True	True	True	True	True	False	False
Tera	ttr	tera1251	True	False	True	True	True	False	True
Tengou-Togo Dogon	dtk	tene1248	True	True	True	True	True	False	False
Tehuelche	teh	tehu1242	False	True	True	True	True	False	True
Tedim Chin	ctd	tedi1235	False	True	True	True	True	False	True
Tebul Ure Dogon	dtu	tebu1239	True	False	True	True	True	False	True
Taulil	tuh	taul1251	True	True	True	True	True	False	False
Tarao	tro	tara1313	False	True	True	True	True	False	True
Tapieté	tpj	tapi1253	False	True	True	True	True	False	True
Tanaina	tfn	tana1289	True	True	True	True	False	False	True
Tanacross	tcb	tana1290	True	True	True	True	False	False	True
Tamil	tam	tami1289	False	True	True	True	True	False	True
Takia	tbc	taki1248	False	True	True	True	True	False	True
Tajio	tdj	taji1246	True	True	True	True	True	False	False
Taita	dav	tait1250	True	True	True	True	True	False	False
Tai Dón	twh	taid1250	True	True	True	True	False	False	True
Tagoi	tag	tago1246	False	True	True	True	True	False	True
Tagdal	tda	tagd1238	False	True	True	True	True	False	True
Tachelhit	shi	tach1250	True	True	True	True	True	False	False
Tabo	knv	tabo1241	True	False	True	True	True	False	True
T'apo	lgn	opuu1239	False	True	True	True	True	False	True
Sydney	xdk	sydn1236	True	True	True	True	False	False	True
Swahili	swh	swah1253	True	True	True	True	True	False	False
Svan	sva	svan1243	True	False	True	True	True	False	True
Susu	sus	susu1250	True	False	True	True	True	False	True
Sursurunga	sgz	surs1246	True	True	True	True	False	False	True
Sunwar	suz	sunw1242	False	True	True	True	True	False	True
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	True	True	True	True	True	False	False
Sulka	sua	sulk1246	False	True	True	True	True	True	False
Sula	szn	sula1248	False	True	True	True	True	False	True
Sukur	syk	suku1272	True	False	True	True	True	False	True
Sud Oranais-Gourara	grr	tazn1238	True	True	True	True	True	False	False
Spokane	spo	spok1245	True	True	True	True	True	False	False
Spiti Bhoti	spt	spit1240	False	True	True	True	True	False	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True	True	True	True	True	False	False
Southwest Tanna	nwi	sout2869	False	True	True	True	True	False	True
Southern Pashto	pbt	sout2649	True	True	True	True	True	False	False
Southern Nambikuára	nab	sout2994	True	True	True	True	True	False	False
Southern Jinghpaw	kac	kach1280	True	True	True	True	True	False	False
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	True	False	True	True	True	False	True
Southern Dong	kmc	sout2741	True	True	True	True	True	False	False
Southern Bobo Madaré	bwq	sout2840	True	True	True	True	True	False	False
Southern Alta	agy	sout2905	True	True	True	True	True	False	False
Southeastern Kolami	nit	sout1549	True	True	True	True	True	False	False
Sougb	mnx	mani1235	False	True	True	True	True	False	True
Sora	srb	sora1254	True	True	True	True	True	False	False
Soo	teu	sooo1256	False	True	True	True	True	True	False
Somali	som	soma1255	True	True	True	True	True	False	False
Solu-Khumbu Sherpa	xsr	sher1255	True	True	True	True	True	False	False
Soga	xog	soga1242	True	True	True	True	True	False	False
Sochiapam Chinantec	cso	soch1239	True	True	True	True	True	False	False
Slovenian	slv	slov1268	True	False	True	True	True	False	True
Slovak	slk	slov1269	False	True	True	True	True	False	True
Skou	skv	nucl1634	False	True	True	True	True	False	True
Siwu	akp	siwu1238	False	True	True	True	True	False	True
Siroi	ssd	siro1249	True	False	True	True	True	False	True
Sirajic	NOCODE_Sirajic	sira1263	True	True	True	True	True	False	False
Sipacapense	qum	sipa1247	True	True	True	True	False	False	True
Siona-Tetete	snn	sion1247	False	True	True	True	True	False	True
Sinaugoro	snc	sina1266	False	True	True	True	True	False	True
Silacayoapan Mixtec	mks	sila1250	True	False	True	True	True	False	True
Siksika	bla	siks1238	True	True	True	True	False	False	True
Sikkimese	sip	sikk1242	True	True	True	True	True	False	False
Sikaiana	sky	sika1261	False	True	True	True	True	False	True
Sichuan Yi	iii	sich1238	True	True	True	True	True	False	False
Siamou	sif	siam1242	True	False	True	True	True	False	True
Shina	scl	shin1264	True	True	True	True	True	False	False
Sherdukpen	sdp	sher1257	True	True	True	True	False	False	True
Sherbro	bun	sher1258	False	True	True	True	True	False	True
Seze	sze	seze1235	False	True	True	True	True	False	True
Severn Ojibwa	ojs	seve1240	True	True	True	True	True	False	False
Seri	sei	seri1257	True	True	True	True	True	False	False
Serbian-Croatian-Bosnian	hbs	sout1528	False	True	True	True	True	False	True
Senhaja De Srair	sjs	senh1238	False	True	True	True	True	False	True
Selkup	sel	selk1253	False	True	True	True	True	False	True
Selepet	spl	sele1250	True	False	True	True	True	False	True
Selee	snw	sele1249	False	True	True	True	True	False	True
Seke (Vanuatu)	ske	seke1241	True	True	True	True	True	False	False
Scottish Gaelic	gla	scot1245	True	True	True	True	True	False	False
Scots	sco	scot1243	False	True	True	True	True	False	True
Sayula Popoluca	pos	sayu1241	True	True	True	True	True	False	False
Sawila	swt	sawi1256	False	False	True	True	True	True	True
Sawai	szw	sawa1247	True	True	True	True	True	False	False
Satawalese	stw	sata1237	False	True	True	True	True	False	True
Saramaccan	srm	sara1340	True	True	True	True	False	False	True
Sapuan	spu	sapu1248	False	True	True	True	True	False	True
Saniyo-Hiyewe	sny	sani1270	True	True	True	True	True	False	False
Sangtam Naga	nsa	sang1321	True	False	True	True	True	False	True
Sango	sag	sang1328	True	True	True	True	True	False	False
Sanaani Arabic	ayn	sana1295	True	True	True	True	True	False	False
San Miguel El Grande Mixtec	mig	sanm1295	False	True	True	True	True	False	True
San Martín Quechua	qvs	sanm1289	True	False	True	True	True	False	True
San Blas Kuna	cuk	sanb1242	False	True	True	True	True	False	True
Sambalpuri	spv	samb1325	True	True	True	True	True	False	False
Samaritan	smp	sama1313	True	True	True	True	True	False	False
Saliba	sbe	sali1295	True	False	True	True	True	False	True
Sakha	sah	yaku1245	False	True	True	True	True	False	True
Sajalong	sjl	saja1240	True	True	True	True	True	False	False
Sahu	saj	sahu1245	False	True	True	True	True	False	True
Saaroa	sxr	saar1237	True	True	True	True	True	False	False
Rwa	rwk	rwaa1238	False	True	True	True	True	False	True
Rutul	rut	rutu1240	True	True	True	True	True	False	False
Russia Buriat	bxr	russ1264	True	True	True	True	True	False	False
Rumu	klq	rumu1243	True	True	True	True	False	False	True
Rotuman	rtm	rotu1241	True	False	True	True	True	False	True
Rotokas	roo	roto1249	False	False	True	True	True	True	True
Rongmei Naga	nbu	rong1266	False	True	True	True	True	False	True
Rimanggudinhma	zmv	mbar1253	True	True	True	True	False	False	True
Reta	ret	rett1240	True	True	True	True	True	False	False
Rembarunga	rmb	remb1249	True	True	True	True	True	False	False
Rejang	rej	reja1240	True	True	True	True	False	False	True
Reel	atu	reel1238	True	True	True	True	False	False	True
Rayón Zoque	zor	rayo1235	False	True	True	True	True	False	True
Rawang	raw	rawa1265	True	True	True	True	True	False	False
Rawa	rwo	rawa1267	True	False	True	True	True	False	True
Ravula	yea	ravu1237	True	True	True	True	True	False	False
Ratahan	rth	rata1244	True	False	True	True	True	False	True
Rarotongan	rar	raro1241	True	False	True	True	True	False	True
Rapanui	rap	rapa1244	True	False	True	True	True	False	True
Rangkas	rgk	rang1266	True	True	True	True	True	False	False
Ramoaaina	rai	ramo1244	False	True	True	True	True	False	True
Rama	rma	rama1270	True	True	True	True	True	False	False
Rakahanga-Manihiki	rkh	raka1237	True	False	True	True	True	False	True
Quiotepec Chinantec	chq	quio1240	True	True	True	True	True	False	False
Quechan	yum	quec1382	False	True	True	True	True	False	True
Quapaw	qua	quap1242	True	False	True	True	True	True	False
Qashqa'i	qxq	qash1240	True	True	True	True	True	False	False
Purum	pub	puru1266	False	True	True	True	True	False	True
Puma	pum	puma1239	True	True	True	True	True	False	False
Puluwatese	puw	pulu1242	True	True	True	True	True	False	False
Pular	fuf	pula1262	True	True	True	True	False	False	True
Psikye	kvj	psik1239	True	False	True	True	True	False	True
Prai	prt	phai1238	True	False	True	True	True	False	True
Pouye	bye	pouy1238	True	False	True	True	True	False	True
Pottangi Ollar Gadaba	gdb	pott1240	False	True	True	True	True	False	True
Poqomchi'	poh	poqo1254	True	False	True	True	True	False	True
Popti'	jac	popt1235	True	False	True	True	True	False	True
Pimbwe	piw	pimb1238	True	True	True	True	True	False	False
Picuris Northern Tiwa	NOCODE_Picuris-Northern-Tiwa	picu1248	True	True	True	True	True	False	False
Phong-Kniang	pnx	phon1246	False	True	True	True	True	False	True
Phake	phk	phak1238	False	True	True	True	True	False	True
Pennsylvania German	pdc	penn1240	True	True	True	True	False	False	True
Pendau	ums	pend1242	True	True	True	True	True	False	False
Pedi	nso	pedi1238	True	True	True	True	True	False	False
Pech	pay	pech1241	True	False	True	True	True	False	True
Pazeh	pzh	kulo1237	False	True	True	True	True	False	True
Paumarí	pad	paum1247	True	True	True	True	True	False	False
Parachi	prc	para1299	True	True	True	True	True	False	False
Paniya	pcg	pani1256	True	True	True	True	True	False	False
Panare	pbh	enap1235	False	True	True	True	True	False	True
Paluai	blq	balu1257	True	True	True	True	True	False	False
Pali	pli	pali1273	True	True	True	True	True	False	False
Paite Chin	pck	pait1244	False	True	True	True	True	False	True
Paisaci Prakrit	qpp	pais1238	False	True	True	True	True	False	True
Pahlavi	pal	pahl1241	True	True	True	True	True	False	False
Pa'a	pqa	paaa1242	False	True	True	True	True	False	True
Otuho	lot	otuh1238	True	True	False	True	True	False	True
Ottawa	otw	otta1242	True	False	True	True	True	False	True
Ongota	bxe	bira1253	True	True	True	True	True	False	False
Omani Arabic	acx	oman1239	True	False	True	True	True	False	True
Oluta Popoluca	plo	olut1240	True	True	True	True	True	False	False
Old Telugu	NOCODE_Old-Telugu	oldt1249	True	True	True	True	True	False	False
Old Tamil	oty	oldt1248	True	True	True	True	True	False	False
Old Saxon	osx	olds1250	True	True	True	True	True	False	False
Old Prussian	prg	prus1238	True	False	True	True	True	False	True
Old Norse	non	oldn1244	True	False	True	True	True	False	True
Old Kannada	qkn	oldk1250	True	False	True	True	True	False	True
Old High German (ca. 750-1050)	goh	oldh1241	True	True	True	True	True	False	False
Old French (842-ca. 1400)	fro	oldf1239	True	False	True	True	True	False	True
Oko-Eni-Osayen	oks	okoe1238	False	True	True	True	True	False	True
Oinam	NOCODE_Oinam	-	True	True	False	True	True	False	True
Ogbronuagum	ogu	ogbr1243	False	True	True	True	True	False	True
Odual	odu	odua1238	False	True	True	True	True	False	True
Occitan	oci	occi1239	True	True	True	True	True	False	False
Obokuitai	afz	obok1239	True	False	True	True	True	False	True
Nzima	nzi	nzim1238	False	True	True	True	True	False	True
Nyishi-Hill Miri	njz	nyis1236	False	True	True	True	True	False	True
Nyiha (Tanzania)	nih	nyih1240	False	True	True	True	True	False	True
Nyaturu	rim	nyat1246	True	True	True	True	True	False	False
Nyankole	nyn	nyan1307	True	True	True	True	True	False	False
Nyangbo	nyb	nyan1302	True	True	True	True	True	False	False
Nyakyusa-Ngonde	nyy	nyak1260	False	True	True	True	True	False	True
Nuristani Kalasha	wbk	waig1243	True	True	True	True	True	False	False
Nungali	nug	nung1291	False	True	True	True	True	False	True
Nung (Viet Nam)	nut	nung1283	False	True	True	True	True	False	True
Norwegian	nor	norw1258	False	True	True	True	True	False	True
Northwestern Lingala	NOCODE_Northwestern-Lingala	nort3345	False	True	True	True	True	False	True
Northern Tshwa	hio	tsoa1238	True	True	True	True	False	False	True
Northern Tosk Albanian	als	tosk1239	False	True	True	True	True	False	True
Northern Thai	nod	nort2740	False	True	True	True	True	False	True
Northern Subanen	stb	nort2885	True	True	True	True	True	False	False
Northern Pumi	pmi	nort2723	True	True	True	True	True	False	False
Northern Kurdish	kmr	nort2641	False	True	True	True	True	False	True
Northern Jinghpaw	sgp	sing1264	False	True	True	True	True	False	True
Northern Gondi	gno	nort2702	True	True	True	True	True	False	False
Northern Frisian	frr	nort2626	True	True	True	True	True	False	False
North-Central Dargwa	dar	darg1241	False	True	True	True	True	False	True
North Tanna	tnn	nort2847	True	False	True	True	True	True	False
North Tairora	tbg	nort2920	True	True	True	True	False	False	True
North Levantine Arabic	apc	nort3139	True	True	True	True	True	False	False
Nokuku	nkk	noku1237	True	True	True	True	True	False	False
Nocte Naga	njb	noct1238	True	True	True	True	True	False	False
Njanga	NOCODE_Njanga	njan1240	False	True	True	True	True	False	True
Nipmuck	xlo	loup1243	True	True	True	True	True	False	False
Ninam	shb	nina1238	False	True	True	True	True	False	True
Nimboran	nir	nucl1633	True	True	True	True	True	False	False
Nilamba	nim	nila1242	False	True	True	True	True	False	True
Nihali	nll	niha1238	False	True	True	True	True	False	True
Niellim	nie	niel1243	True	False	True	True	True	False	True
Nhengatu	yrl	nhen1239	True	False	True	True	True	False	True
Ngwe	nwe	ngwe1238	False	True	True	True	True	False	True
Ngalkbun	ngk	ngal1292	True	True	True	True	True	False	False
Ngalakan	nig	ngal1293	True	True	True	True	False	False	True
Ngad'a	nxg	ngad1261	True	True	True	True	True	False	False
Ngaanyatjarra	ntj	ngaa1240	True	True	True	True	False	False	True
Nez Perce	nez	nezp1238	True	False	True	True	True	False	True
Neve'ei	vnm	vinm1237	False	True	True	True	True	False	True
Nengone	nen	neng1238	True	False	True	True	True	False	True
Negerhollands	dcr	nege1244	True	False	True	True	True	False	True
Nedebang	nec	nede1245	True	False	True	True	True	True	False
Naro	nhr	naro1249	False	True	True	True	True	False	True
Nanti	cox	nant1250	True	True	True	True	True	False	False
Nanggu	ngr	nang1262	True	True	True	True	True	False	False
Nanai	gld	nana1257	False	True	True	True	True	False	True
Naman	lzl	litz1237	False	True	True	True	True	False	True
Namakura	nmk	nama1268	False	True	True	True	True	False	True
Nalik	nal	nali1244	False	True	True	True	True	False	True
Nakara	nck	naka1260	True	True	True	True	False	False	True
Najanga-Kindige	dbu	bond1248	True	True	True	True	True	False	False
Nahavaq	sns	sout2857	False	True	True	True	True	False	True
Naga Pidgin	nag	naga1394	True	True	True	True	True	False	False
Nabak	naf	naba1256	True	True	True	True	False	False	True
Mün Chin	mwq	munc1235	True	True	True	True	True	False	False
Mískito	miq	misk1235	True	False	True	True	True	False	True
Mycenaean Greek	gmy	myce1241	True	False	True	True	True	False	True
Mwotlap	mlv	motl1237	True	True	True	True	True	False	False
Mwera (Chimwera)	mwe	mwer1248	False	True	True	True	True	True	False
Mutsun	css	muts1243	True	True	True	True	True	False	False
Muthuvan	muv	muth1236	False	True	True	True	True	False	True
Musom	msu	muso1238	True	True	True	True	True	False	False
Mursi	muz	murs1242	True	False	True	True	True	False	True
Murrinh-Patha	mwf	murr1258	True	False	True	True	True	False	True
Muna	mnb	muna1247	True	True	True	True	True	False	False
Mulam	mlm	mula1253	True	True	True	True	True	False	False
Mufian	aoj	mufi1238	False	True	True	True	True	False	True
Muduapa	wiv	mudu1242	True	False	True	True	True	True	False
Mpur	akc	mpur1239	False	True	True	True	True	False	True
Mpade	mpi	mpad1242	True	True	True	True	True	False	False
Movima	mzp	movi1243	True	True	True	True	False	False	True
Mortlockese	mrl	mort1237	True	True	True	True	True	False	False
Mor (Mor Islands)	mhz	morm1235	False	True	True	True	True	False	True
Mongghul	mjg	huzh1238	False	True	True	True	True	False	True
Momu-Fas	fqs	fass1245	True	True	True	True	True	False	False
Moloko	mlw	molo1266	True	True	True	True	True	False	False
Mokpwe	bri	mokp1239	True	True	True	True	True	False	False
Moi (Indonesia)	mxn	moii1235	False	True	True	True	True	False	True
