Language	ISO 639-3	Glottocode	feet	finger	five	hand	numerals	quinary	toe
Wano	wno	wano1243	True	True	True	True	True	False	True
Wambule	wme	wamb1257	True	True	True	True	True	False	True
Wala	lgl	wala1266	True	True	True	True	True	False	True
Waigeo	wgo	waig1244	True	True	True	True	True	False	True
Wadjiginy	wdj	wadj1254	True	True	True	True	True	False	True
Votic	vot	voti1245	True	True	True	True	True	False	True
Ventureño	veo	vent1242	True	True	True	True	True	False	True
Vengo	bav	veng1238	True	True	True	True	True	False	True
Vaiphei	vap	vaip1239	True	True	True	True	True	False	True
Vai	vai	vaii1241	True	True	True	True	True	False	True
Vaghri	vgr	vagh1246	True	True	True	True	True	False	True
Vafsi	vaf	vafs1240	True	True	True	True	True	False	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	True	True	True	True	False	True
Vaagri Booli	vaa	vaag1238	True	True	True	True	True	False	True
Ute-Southern Paiute	ute	utes1238	True	True	True	True	True	False	True
Uripiv-Wala-Rano-Atchin	upv	urip1239	True	True	True	True	True	False	True
Urarina	ura	urar1246	True	True	True	True	True	False	True
Urak Lawoi'	urk	urak1238	True	True	True	True	True	False	True
Upper Tanana	tau	uppe1437	True	True	True	True	True	False	True
Upper Sorbian	hsb	uppe1395	True	True	True	True	True	False	True
Upper Necaxa Totonac	tku	uppe1275	True	True	True	True	True	False	True
Upper Chinookan	wac	wasc1239	True	True	True	True	True	False	True
Upper Chehalis	cjh	uppe1439	True	True	True	True	True	False	True
Unua	onu	unua1237	True	True	True	True	True	False	True
Umanakaina	gdn	uman1240	True	True	True	True	True	False	True
Ulwa	ulw	ulwa1239	True	True	True	True	True	False	True
Uighur	uig	uigh1240	True	True	True	True	True	False	True
Udihe	ude	udih1248	True	True	True	True	True	False	True
Ubykh	uby	ubyk1235	True	True	True	True	True	False	True
Tweed-Albert	xjb	twee1234	True	True	True	True	True	False	True
Tuwuli	bov	tuwu1238	True	True	True	True	True	False	True
Tuvalu	tvl	tuva1244	True	True	True	True	True	False	True
Turkmen	tuk	turk1304	True	True	True	True	True	False	True
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True	True	True	True	True	False	True
Tugun	tzn	tugu1245	True	True	True	True	True	False	True
Tswana	tsn	tswa1253	True	True	True	True	True	False	True
Tsou	tsu	tsou1248	True	True	True	True	True	False	True
Tsonga	tso	tson1249	False	True	True	True	True	True	True
Tsamai	tsb	tsam1247	True	True	True	True	True	False	True
Tsakhur	tkr	tsak1249	True	True	True	True	True	False	True
Trió	tri	trio1238	True	True	True	True	True	False	True
Toro Tegu Dogon	dtt	toro1253	True	True	True	True	True	False	True
Tonga (Tonga Islands)	ton	tong1325	True	True	True	True	True	False	True
Tondi Songway Kiini	tst	tond1249	True	True	True	True	True	False	True
Tok Pisin	tpi	tokp1240	True	True	True	True	True	False	True
Tojolabal	toj	tojo1241	True	True	True	True	True	False	True
Toda	tcx	toda1252	True	True	True	True	True	False	True
To'abaita	mlu	toab1237	True	True	True	True	True	False	True
Tlingit	tli	tlin1245	True	True	True	True	True	False	True
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	True	True	True	True	True	False	True
Tlachichilco Tepehua	tpt	tlac1235	True	True	True	True	True	False	True
Tiwi	tiw	tiwi1244	True	True	True	True	True	False	True
Tirma-Chai	suq	suri1267	True	True	True	True	True	False	True
Tira	tic	tira1254	True	True	True	True	True	False	True
Tipai	dih	kumi1248	True	True	True	True	True	False	True
Tinani	lbf	tina1246	True	True	True	True	True	False	True
Tillamook	til	till1254	True	True	True	True	True	False	True
Tikhak	NOCODE_Tikhak	tikh1243	True	True	True	True	True	False	True
Tifal	tif	tifa1245	True	True	True	True	True	False	True
