ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
kati1270,Kati,Eurasia,35.4145,70.9826,kati1270,bsh,indo1319,Indo-European,shifting,kati1241
sans1269,Sanskrit,Eurasia,20.0,77.0,sans1269,san,indo1319,Indo-European,not endangered,indo1321
pais1238,Paisaci Prakrit,Eurasia,19.48,75.38,pais1238,qpp,indo1319,Indo-European,extinct,indo1324
kash1277,Kashmiri,Eurasia,34.166825,74.330455,kash1277,kas,indo1319,Indo-European,not endangered,indo1324
dame1241,Dameli,Eurasia,35.299,71.6806,dame1241,dml,indo1319,Indo-European,threatened,kuna1264
gran1245,Grangali,Eurasia,34.6485,70.7323,gran1245,nli,indo1319,Indo-European,shifting,gawa1246
shum1235,Shumashti,Eurasia,34.4756,70.5696,shum1235,sts,indo1319,Indo-European,moribund,gawa1246
gawa1247,Gawar-Bati,Eurasia,35.1982,71.5428,gawa1247,gwt,indo1319,Indo-European,threatened,gawa1246
nort2666,Northeast Pashayi,Eurasia,34.66,70.4317,nort2666,aee,indo1319,Indo-European,threatened,east2322
sout2672,Southeast Pashayi,Eurasia,34.43099,70.30351,sout2672,psi,indo1319,Indo-European,threatened,east2322
sout2671,Southwest Pashayi,Eurasia,34.8478,69.8734,sout2671,psh,indo1319,Indo-European,threatened,west2387
nort2665,Northwest Pashayi,Eurasia,35.1678,69.9936,nort2665,glh,indo1319,Indo-European,threatened,west2387
kach1277,Kachchi,Eurasia,23.83,69.0,kach1277,kfr,indo1319,Indo-European,not endangered,sind1279
sind1270,Sindhi Bhil,Eurasia,24.5408,69.0008,sind1270,sbn,indo1319,Indo-European,not endangered,sind1279
khet1238,Khetrani,Eurasia,30.4799,70.2828,khet1238,xhe,indo1319,Indo-European,not endangered,sind1279
sind1272,Sindhi,Eurasia,26.0,69.0,sind1272,snd,indo1319,Indo-European,not endangered,sind1279
luwa1238,Luwati,Eurasia,23.6322,58.4916,luwa1238,luv,indo1319,Indo-European,threatened,sind1279
memo1238,Memoni,Eurasia,24.853,67.007,memo1238,mby,indo1319,Indo-European,shifting,sind1279
khol1241,Kholosi,Eurasia,27.119682,54.295806999999996,khol1241,,indo1319,Indo-European,,uncl1504
jadg1238,Jadgali,Eurasia,26.9682,63.535,jadg1238,jdg,indo1319,Indo-European,not endangered,lasi1244
lasi1242,Lasi,Eurasia,25.3293,66.9137,lasi1242,lss,indo1319,Indo-European,not endangered,lasi1244
west2386,Western Panjabi,Eurasia,30.0948,75.3474,west2386,pnb,indo1319,Indo-European,not endangered,lahn1241
paha1251,Pahari Potwari,Eurasia,33.6424,73.8071,paha1251,phr,indo1319,Indo-European,not endangered,paha1255
sira1263,Sirajic,Eurasia,33.143621,75.545125,sira1263,,indo1319,Indo-European,,paha1255
nort2662,Northern Hindko,Eurasia,34.3202,73.3844,nort2662,hno,indo1319,Indo-European,not endangered,hind1271
sout2668,Southern Hindko,Eurasia,33.2122,72.1702,sout2668,hnd,indo1319,Indo-European,not endangered,hind1271
jaka1245,Inku,Eurasia,36.001754999999996,68.611035,jaka1245,jat,indo1319,Indo-European,extinct,sira1271
sera1259,Saraiki,Eurasia,29.5534,71.906,sera1259,skr,indo1319,Indo-European,not endangered,sira1271
panj1256,Eastern Panjabi,Eurasia,30.0368,75.6702,panj1256,pan,indo1319,Indo-European,not endangered,east2727
sans1271,Sansi,Eurasia,28.7364,72.6838,sans1271,ssi,indo1319,Indo-European,shifting,east2727
tira1253,Tirahi,Eurasia,34.1792,69.5901,tira1253,tra,indo1319,Indo-European,extinct,kohi1251
indu1241,Indus Kohistani,Eurasia,35.3389,73.0154,indu1241,mvy,indo1319,Indo-European,threatened,indu1240
chil1275,Chilisso,Eurasia,35.2494,73.3344,chil1275,clh,indo1319,Indo-European,shifting,oute1238
gowr1239,Gowro,Eurasia,35.1243,73.1233,gowr1239,gwf,indo1319,Indo-European,shifting,oute1238
bate1261,Bateri,Eurasia,34.9582,72.92674,bate1261,btv,indo1319,Indo-European,threatened,bate1269
mank1256,Mankiyali,Eurasia,34.2922,73.2505,mank1256,nlm,indo1319,Indo-European,threatened,bate1269
kala1373,Gawri,Eurasia,35.5303,72.5738,kala1373,gwc,indo1319,Indo-European,shifting,dirs1236
torw1241,Torwali,Eurasia,35.3101,72.5316,torw1241,trw,indo1319,Indo-European,threatened,dirs1236
wota1240,Wotapuri-Katarqalai,Eurasia,34.7033,70.8565,wota1240,wsv,indo1319,Indo-European,extinct,dirs1236
kala1372,Kalasha,Eurasia,35.6415,71.6657,kala1372,kls,indo1319,Indo-European,shifting,chit1278
khow1242,Khowar,Eurasia,36.0,72.0,khow1242,khw,indo1319,Indo-European,not endangered,chit1278
