id,family_id,name,iso639P3code,aes,population
aikl1237,aust1307,Aiklep,mwg,Not Endangered,3700
aiku1240,book1242,Aiku,mzf,unk,-1
aima1241,indo1319,Aimaq,aiq,Not Endangered,716900
aime1238,bosa1245,Aimele,ail,7 (Shifting),140
aimo1244,sino1245,Aimol,aim,7 (Shifting),2640
ainb1238,bord1247,Ainbai,aic,7 (Shifting),100
ainu1240,ainu1252,Hokkaido Ainu,ain,8b (Nearly extinct),2
ainu1251,turk1311,Ainu (China),aib,7 (Shifting),12000
aiom1240,lowe1437,Aiome,aki,7 (Shifting),750
airo1242,kwer1242,Airoran,air,6b (Threatened),1000
aito1238,taik1256,Aiton,aio,7 (Shifting),1500
ajab1235,atla1278,Aja (Benin),ajg,Not Endangered,1131000
ajas1235,kres1240,Aja (South Sudan),aja,7 (Shifting),200
ajaw1236,afro1255,Ajawa,ajw,10 (Extinct),0
ajie1238,aust1307,Ajië,aji,Not Endangered,5360
ajyi1238,araw1281,Ajyíninka Apurucayali,cpc,6b (Threatened),4000
akaa1242,east2386,Aka,soh,7 (Shifting),300
akab1248,grea1241,Akabo,akm,10 (Extinct),0
akab1249,grea1241,Akabea,abj,10 (Extinct),0
akac1240,grea1241,Akacari,aci,10 (Extinct),0
akaj1239,grea1241,Akajeru,akj,8b (Nearly extinct),0
akak1251,grea1241,Akakora,ack,10 (Extinct),0
akak1252,grea1241,Akakede,akx,10 (Extinct),0
akak1253,grea1241,Akakol,aky,10 (Extinct),0
akan1250,atla1278,Akan,aka,Not Endangered,8309200
akar1243,grea1241,Akarbale,acl,10 (Extinct),0
akas1242,atla1278,Akaselem,aks,Not Endangered,59200
akaw1239,cari1283,Akawaio-Ingariko,ake,6b (Threatened),5850
akeb1238,atla1278,Akebu,keu,Not Endangered,70300
akee1238,atla1278,Ake,aik,6b (Threatened),3000
akei1237,aust1307,Akei,tsr,Not Endangered,650
akeu1235,sino1245,Akeu,aeu,7 (Shifting),12400
akha1245,sino1245,Akha,ahk,Not Endangered,616600
akhv1239,nakh1245,Akhvakh,akv,7 (Shifting),210
akka1237,ural1272,Akkala Saami,sia,10 (Extinct),0
akka1240,afro1255,Akkadian,akk,unk,-1
akkk1240,sepi1257,Ak,akq,8a (Moribund),10
akla1240,aust1307,Aklanon,akl,Not Endangered,549600
